start	end	text
0	10120	Se eu pegar essa ilha e esse helicóptero, e aí tudo faz sentido, porque aqui tem um zumbi e ali não tinha, e agora...
10120	15000	É isso! É isso! Eu sabia! Eu sabia! O Guaxaverso existe!
15120	15960	Como assim?
16180	18000	Você entendeu a referência do último episódio?
18260	18980	Olha só, faz tudo!
18980	20020	Não, o Guaxaverso sabe o que faz!
20020	20960	Espera, o que é o Guaxaverso?
21000	22980	Era só uma questão de tempo.
23100	24520	O Guaxaverso sempre existiu!
24520	27180	Eu quero entender o Guaxaverso!
27220	28560	Alguém me explica o que é o Guaxaverso?
28560	32040	É, pessoal, não existe o Guaxaverso.
32080	33740	Eu acredito no Guaxaverso!
33820	36560	Mas, supondo que ele exista...
37900	41540	Guaxaverso, onde o que não existe é debatido.
45120	52460	Chate, eu tô aqui ainda, tá? Eu tô só parando de gravar. Não me abandone, não se desespere, porque eu não posso ficar sem vocês.
53120	54580	Não chore, não.
54720	56000	Eu pensei em outra música, tá vendo?
56000	56400	Não chore, não.
56900	57800	Não chore, não.
57800	60020	Qual foi a música que você pensou?
60200	67740	Não, não me abandone, não se desespere, porque eu não posso ficar sem você.
68320	68980	Não, não.
69280	69820	É isso, gente.
69860	71580	Aí, agora que eu vou perder todo mundo.
74480	76420	Olha só, ela tá rindo da minha cantoria.
77680	79380	Eu tô arrasando o som aqui.
79760	80500	Oi, gente.
81080	82960	Aqui é a Ju, ou Guaxete.
83740	87660	Infelizmente, nesse Guaxaverso, o áudio local deu um probleminha.
87800	91420	Por isso, a gravação tá com uma qualidade um pouco inferior.
91900	95780	E de vez em quando, vai dar pra ouvir uma notificação de fundo.
96060	97720	Mas nada que atrapalhe o episódio.
98000	105860	Há boatos de que o problema no áudio foi gerado por viagens no tempo ou por influência do Estatuto da Ordem dos Goblins.
106220	107520	Mas nada foi confirmado.
107800	109680	Bora ouvir esse maravilhoso Guaxaverso.
112680	117680	Olá, eu sou Marcelo Guaxinim, narrador, produtor, idealizador, podcast do Realidade do Palavra de Guaxinim e...
117800	121180	Bilabilu, Bilabilu, imitando a Bilabilu.
121520	124340	Fábio, a Carlina, ela teve a fase da Xuxa, não?
124780	126740	Não, ela não foi apresentada a Xuxa ainda.
126740	129740	Esse Bilabilu é daquela Xuxa só pra baixinhos...
130540	131720	Algum número, eu não sei.
131740	134340	Não, eu mostro o Bita pra ele.
134620	134920	Ah.
135700	136560	É, por aí.
137100	140700	A Malu teve só a fase de música repetiva, era a galinha pintadinha.
141020	141900	E depois passou.
142400	146060	E hoje ela escuta a música do Pokémon que anda.
146180	147660	Deixa eu ver se esse vídeo...
147660	148000	Não.
148480	149220	Ah, puta.
149640	151940	Depois eu te mando no Telegram.
152780	158560	Alguns lutam muito bem, são deuses, mas eu só quero caminhar.
160240	160680	Caminhar.
161140	166120	Porque a gente tá aqui pra o nosso Guaxaverso, onde a gente lê os seus comentários, né?
166120	167400	O nosso antigo escudo do mestre.
167600	169220	E hoje eu tô fazendo tudo ao vivo.
169620	171080	Vamos gravar tudo de uma vez só.
171680	173180	Já tô aqui com a Fábio.
173300	175720	Você já tem esse spoiler de quem é a Jumozinha da vez.
176200	177280	Não deu pra chamar ninguém.
178000	179040	Do episódio.
179660	182220	A Ágata Sofia trabalha esta noite.
182640	183260	Ela tá de...
183260	184740	Apesar de estar no chat, tá?
184980	185620	Ela tá no chat.
185640	186200	Não está.
186340	187920	A chefe da Ágata, ela não está.
188660	190880	É a Amanda, que tá em aula, eu acho.
191160	191780	Ah, sim.
192340	194040	É outra pessoa.
194500	195180	É outra pessoa.
196240	197640	A Naomi também.
197640	202520	Ela tá em algum outro lugar na Twitch nesse momento, jogando RPG.
203200	204700	E a semana tava complicada pra ela.
205200	207640	E a Tiana e a Fernanda são produtoras.
207660	211780	De jogos mundialmente famosas, também a gente não conseguiu.
212080	214760	Mas temos aqui ela, maravilhosa.
215180	220740	Uma das nossas cuidadoras do Telegram também.
221220	221800	Do Instagram.
222540	225560	Uma das pessoas que ajuda bastante este projeto.
225800	229140	E que tem um vale-aventura, ou seja, vocês vão ver ela em algum momento ainda, até final do ano.
229620	230480	Temos a Fábio.
230620	231200	Olá, Fábio.
231620	231940	Olá.
232700	235640	Você esqueceu de avisar que a gente também ia chamar a Jum,
235640	236640	só que a Jum tá viajando.
236640	240200	Não, em momento algum eu pensei em chamar a Jum.
241000	242460	Isso é calúnia.
242780	243220	Calúnia.
244640	247940	Em momento algum eu chamei a Jum e ela respondeu que tava viajando.
248040	248940	Eu não ia chamar a Jum.
249000	249920	Ela sempre grava aqui.
250100	251560	Por que eu ia fazer isso?
252200	254280	Mas antes que eu me comprometa mais,
254620	257100	essa leitura é do episódio 115, Sem Tempo.
257560	259160	É engraçado o Sem Tempo, o título.
259600	260780	Eu tentei fazer uma brincadeira,
261120	263180	porque o jogo da Tiana e da Fernanda,
263520	264620	que é o Unsighted,
264620	266620	ele pode ser traduzido como Sem Visão.
267440	269700	E daí, Sem Visão, Sem Tempo, sabe?
269800	270660	Essa era...
270660	271880	Não sei.
273080	276420	Unsighted, por sinal, que o Jovem Nerd tem no canal dele,
276500	277220	joga jogos.
277640	279080	Essa semana ele jogou Unsighted.
279400	281240	Ele jogou na semana seguinte
281240	285140	que saiu o RPG Guaxa com as duas meninas que fizeram o jogo.
285700	286260	Coincidência?
286460	287080	Sim, coincidência.
287280	289340	O RPG Guaxa sempre indica tendências.
289640	289940	Tendências.
290180	292660	Nessas coisas e aparece depois.
293600	294520	Com certeza.
295400	296620	Pessoas, antes de a gente começar a leitura,
296640	299020	o RPG Guaxa, para existir,
299060	300360	ao contrário do Guaxa Versa, que não existe,
300400	301900	o RPG Guaxa existe, está no seu feed.
302440	305580	Está lá de graça sempre.
305940	306860	Mas, se você quiser,
307300	309220	você pode apoiar esse projeto.
309320	310840	Nós temos o nosso patronato.
311220	313260	A partir de R$1,00 você está ajudando a gente a pagar o editor.
313820	316460	A partir de R$10,00 você faz parte do grupo do Telegram,
316900	318980	que se divide em vários subgrupos,
319420	320620	que é maravilhoso.
320740	322220	Tem grupo de anime,
322800	324040	tem o grupo principal,
324200	325320	tem o grupo de spoiler.
325500	325900	Tem...
325900	326180	Tem...
326180	326240	Tem...
326240	326340	Tem...
326340	326440	Tem...
326440	326600	Tem...
326600	326620	Tem...
326640	327380	Participa, Fábio.
327680	328200	Olha só.
328380	329920	Tem o grupo das meninas.
330300	330840	Esse é o grupo das meninas.
330860	333160	Esse eu não deixaria participar, por motivos óbvios.
334520	337780	Tem o grupo de transcritores do RPG Guaxa.
337860	340600	Então, se você quiser ajudar a transcrever os episódios,
340700	342680	a gente tem uns que estão transcritos,
342740	344720	outros que estão esperando revisão.
345160	346540	Vai ser liberado.
346720	348060	E é isso que a gente vai fazer ainda.
349180	351340	Tem a sala de jogos, como você falou,
351460	352700	que todo mundo pode jogar lá.
354200	356560	Muitas pessoas começaram a jogar lá com o meu.
356560	358920	E agora, olha, muito legal.
359700	362520	Eu participo também do Guaxinim Otaku.
363080	363860	Eu estou...
363860	366140	Tem homenagem aqui, ó.
366440	367940	Do Steven Universe, né?
368280	370300	A Garnet com a Rubi e a Safira.
370680	372020	Eu tenho tudo a ver.
373260	373560	E...
374260	375820	Ah, e tem vários outros.
375880	377300	Só que eu participo mais desse.
377400	378860	Ah, tem um boato de Atabé.
379740	380960	Que é o da fofoca, né?
381400	382060	Que eu não...
382060	384780	Em teoria é da fofoca, mas acontece de tudo lá.
384780	386440	Então, eu não sei o que acontece.
386560	389560	Quando você entra lá, você tem que fazer uma cantada ruim, né?
389920	390200	É.
390560	393960	Tem outros, só que eu participo desse.
394200	395420	Porque não participo de nenhum.
395620	397340	É, não, eu não participo de vários.
397660	399340	E os melhores são os que eu não participo, eu acho.
399680	402360	Além disso, além de fazer parte do grupo do Telegram,
402420	403460	você grava vozes.
403900	405340	É difícil, mas...
405340	407340	Eu só conheci essa pessoa maravilhosa que é a Fabi.
407380	409540	E ela jogou já uns 400 episódios.
409860	411280	Porque ela é madrinha, né?
411280	413480	Inclusive, ela tem o Vale Aventura
413480	415180	pra jogar uma aventura mais à frente.
415700	416120	Uhum.
416120	418500	O pessoal que é padrinho pode gravar voz de NPC,
419180	421380	grava que é a leitura de regras lá no começo,
421900	423300	recebe episódio antes,
423840	425460	pode conversar comigo,
425840	427780	conversar com grande parte das pessoas
427780	429900	que já gravaram RPG Guaxa estão lá, né?
430180	430620	Então...
430620	430880	Sim.
431500	433220	Assim, só tem vantagens,
433560	435960	além de manter o nosso RPG Guaxa
435960	437980	saindo no feed sempre.
438460	438760	Não pode...
438760	441020	Eu esqueci de comentar, então é rapidinho.
441440	442740	Eu não estou no grupo, né?
442880	444220	Além do Arco-Íris,
444220	446100	que é do pessoal LGBT,
446120	447660	que é a mais.
448180	450060	Mas eu sei que é muito acolhedor lá.
450760	451700	O pessoal sempre fala.
452240	454180	E é um diferencial.
454580	456060	O Arco-Íris, eu acho que nos comentários
456060	458920	ele fala que depende de você ser ou não,
459420	460940	a tua perna é um lugar quentinho,
461100	462000	cheio de amor e carinho.
462300	464420	Perfeito, perfeito, perfeito, perfeito.
465260	467500	Eu acho que deve ter alguma pergunta
467500	470160	relacionada a algo similar mais pra frente.
470540	472340	Então eu dou uma comentada disso
472340	473420	quando chegar nisso.
473420	475700	Mas outra forma de estar ajudando o RPG Guaxa,
475700	477840	isso não tem porquê você não fazer.
478300	480040	Eu sei quantas pessoas baixam o episódio
480040	482120	e eu olho lá minhas redes sociais
482120	483340	e, poxa, gente,
483660	485540	segue a gente, não vai cair o dedo.
485620	486780	Segue lá, arroba Marcelo Guaxinim,
487180	488400	arroba RPG Guaxa,
488820	490540	tanto no Twitter quanto no Instagram.
491060	492120	E na Twitch.
492580	494340	E na Twitch também, porque a gente está aqui gravando,
494500	497400	mas em especial no Instagram,
497980	500200	que tem pessoas maravilhosas postando sempre.
500620	502000	Sabe, é incrível
502000	503280	as coisas que tem lá.
503280	505680	E o Twitter, às vezes eu posto,
505700	506400	às vezes eu esqueço.
506740	508400	Eu estou numa fase de postar pouca coisa.
508760	510800	Mas volta e meia tem votação do melhor episódio
510800	514360	do bimestre, então isso me ajuda a pensar
514360	515880	quais os próximos episódios.
516020	517380	Então segue a gente lá.
517840	519860	Mas tá bom, vamos para os comentários,
520140	521140	que tem bastante, né?
521620	523020	E o primeiro comentário é dele.
523640	525500	Jorge Marcos Santos Silva.
526020	527180	Ele coloca...
527180	529520	Meu Deus, nunca detestei mais
529520	531700	a minha dificuldade em lembrar nomes do que agora.
532180	534100	Bom dia, senhor Guaxinim.
534100	534140	Bom dia, senhor Guaxinim.
534780	535300	Convidade.
535700	536440	Que é a Fábio.
536640	536980	Oi.
537300	537780	Chate.
538340	539260	E eu vim chinins.
539580	541140	Tudo bem com vocês, meus queridos?
541220	541620	Tudo bem comigo?
541700	542320	Tudo bem contigo, Fábio?
542740	543940	Tudo bem, graças a Deus.
544000	544400	Lembrando...
544400	545260	É o meu nome, Guaxinim.
545500	545900	Da lá.
546960	551040	Lembrando que a cidade se chama Bilabelo do Sul.
551260	551720	É do Sul, né?
551760	553140	É, eu ia comentar isso,
553160	554760	que eu só estou nesse episódio,
554880	556240	assim, baixa verso,
556360	558740	porque eu sou representante da Bilabelo do Sul.
559100	559580	Bilabelo...
559580	560560	A minha antepassada.
560760	562300	Eu sou descendente dela, né?
562300	564260	Que faz o nome da cidade.
564360	565200	Eu sou descendente dela.
565700	567000	Eu estou em cima da nossa Bilabelo.
567520	569620	E a Bilabelo, minha antepassada,
569660	571520	era grande amiga desde o nosso tempo.
571900	572880	E as duas brigaram?
572980	574660	Uma foi para o Sul, uma foi para o Norte?
574680	575220	Não, não.
575360	577060	Somos cidades irmãs.
577500	577720	Tá.
577980	578260	Ok.
578580	578820	Ok.
579440	581780	Bilabelo foi uma homenagem à Belo, né?
582020	583860	Como padrinho, você ainda corre o risco
583860	585440	de virar uma cidade no Guaxa Verso.
585480	585600	É.
586420	588080	Tem um episódio sem ser o próximo,
588240	589080	que é Cavaleiros do Bicho.
589500	590660	Cavaleiros do Bicho, vem aí, gente.
590980	592560	Sem ser o próximo, o outro,
593080	594660	tem uma cidade, Golebiowski,
594800	595600	que eu sei que está errado,
595700	597140	já, porque eu aprendi a ensinar essa.
597640	599220	E tem uma cidade, Balardino,
599720	601860	que são homenagens a sobrenomes de padrinhos
601860	602940	que vocês já viram por aqui.
603400	604620	Um deles está no chat, inclusive.
604960	605620	Mas deixa eu voltar,
605820	606900	para uma Jorge Marcos Santos Silva.
607240	608320	Que episódio, hein?
608800	609900	E ainda ouvindo a história
609900	611420	de como ele aconteceu no final,
611540	612800	foi uma cereja do bolo.
613520	613920	Spoilers.
614160	615140	Bem, não lembro o nome,
615640	617020	mas algum dos meus amigos
617020	618340	irá lembrar com certeza.
618860	621080	Mas esse garoto é aquele cientista
621080	623100	que já fez aquelas peripécias com o tempo,
623660	624320	creio eu.
624820	625300	Principalmente,
625300	626580	ao lado de uma certa policial,
626680	627220	estou certo?
627400	627820	Quase.
628180	629480	Me ajuda com o nome, vai.
630480	631780	É, kkkkk.
632300	634220	Imagino que todas as questões sobrenaturais
634220	636380	fossem pela alteração do espaço-tempo,
636440	636820	correto?
636940	637300	Correto.
637780	638180	Aliás,
639000	641460	a última descrição foi de tirar o fôlego.
641520	641900	E bem,
642320	643820	nossas queridas amigas ficaram presas
643820	645160	em um espaço além do tempo?
645680	646120	Então,
646660	648280	ali cabem interpretações.
648460	649880	Elas viraram fantasmas
649880	652160	e agora elas assombram a escola?
652780	654300	Ou é algo mais físico,
654300	654620	mesmo?
655300	656300	Não é nada físico.
656300	657000	Está em aberto.
657180	657640	Na minha,
657880	659840	quando eu pensei a aventura,
660380	661520	o final não seria aquele,
661620	661960	obviamente,
662200	662820	seria um outro,
663160	664100	que eu vou comentar depois,
664180	665560	acho que uma jogadora vai falar
665560	666940	de um certo detalhe
666940	667780	que passou batido.
668260	669360	Era para ter fantasma.
669680	670020	Então,
670280	671240	na minha interpretação,
671340	672260	são fantasmas.
672540	673340	Ou gente caída
673340	674220	naquele buraco do sofá
674220	674640	que a gente falou
674640	675620	no último Gochavé.
675640	676920	Eu estava pensando nisso.
677180	677760	Eu ia comentar,
677820	678700	será que elas estão lá?
679780	680480	Pode ser,
680740	681200	pode ser.
681940	682380	Então,
682480	684040	espero que elas nunca se interessem
684040	685220	enquanto tem a boba,
685300	686340	que elas vão estar
686340	687580	no mesmo espaço que elas.
688400	689920	Espera que elas vão ser agora
689920	690500	as...
690500	691400	as...
691400	692600	as lacaias?
692760	693880	É porque elas não interagem
693880	694940	com o mundo físico,
695000	695720	é mais complicado.
695820	696100	Mas ok,
696180	697160	não vamos entrar nesse ponto.
697560	699000	Numa linha do tempo alternativa
699000	699780	e apagada,
700140	700700	ou de fato
700700	702000	se tornaram fantasmas?
702060	702420	Como eu falei,
702840	704620	eu interpreto como fantasmas.
704860	705660	Mas não estou cravando
705660	706300	nada não, gente.
706620	706940	Até porque,
707060	707400	como eu falei,
707480	708900	o final do episódio
708900	709720	foi completamente
709720	710600	me pegou de surpresa.
711000	711640	Há alguma forma
711640	712440	delas voltarem?
712780	713480	Acho que não.
714000	714720	E, assim,
714720	714760	eu acho que não.
714760	714780	assim,
715300	716320	não, não tem...
716320	716760	Quer dizer,
716820	717680	se alguém voltar no tempo
717680	718440	e salvar elas
718440	719940	sacrificando o refém,
720120	720720	dá pra salvar.
721240	721740	E, claro...
721740	722680	Prepara todo mundo
722680	723420	e joga o refém
723420	724200	lá dentro da gaiola.
725320	725980	E, claro,
726080	726780	a pergunta principal,
726920	728180	fantasmas existem?
728660	729460	No mundo real,
729560	730440	eu não acredito,
730880	731760	porque eu me sentiria
731760	732120	muito mal
732120	732880	se ela está fazendo
732880	733600	o número 2
733600	734600	e imaginar alguém
734600	735440	parado me olhando.
735880	737180	Isso me incomodaria muito,
737300	737740	então eu prefiro
