start	end	text
0	7500	Conseguimos saber muito de uma pessoa pela casa em que ela mora.
7720	12100	É uma casa grande, é uma casa pequena, é um amontoado de coisas ou é minimalista?
12440	14400	É colorida ou monocromática?
15080	16280	Ela existe de verdade?
17060	20980	Mas e quanto podemos descobrir sobre nós mesmos na casa de outra pessoa?
21340	26400	O quanto de nós existe ali depois de uma hora, uma noite, uma vida?
26400	33640	Episódio de hoje, a casa com a Mônica de Faria, lá do universo simulado e dos jogos imaginários.
33880	35620	Com a Paula, do Caquitas Podcast.
36220	39500	E com a Andresa, da taberna do Beholder Cego.
39900	43480	O Realidades Paralelas do Guaxinim usa o sistema Guaxinim e Gambiarras.
43920	48020	Nele, cada jogador possui apenas um único atributo que vai de 2 a 5.
48520	51300	Quanto maior o atributo, mais atlético é o personagem.
51740	53680	Quanto menor, mais inteligente e carismático.
54100	56380	Sempre que um jogador faz algo com uma chance de errar,
56400	61480	ele joga dois dados e precisa tirar o seu atributo ou menos para ataques e ações físicas
61480	65040	e o seu atributo ou mais para ações intelectuais ou sociais.
65760	69100	Se a jogada for fácil, ou tiver algum auxílio, joga um dado a mais.
69460	72040	Se a jogada for difícil, rola-se um dado a menos.
72600	75240	Eu sou a Mel e eu sou madrinha do RP Guaxinim,
75240	78680	porque escutar esse podcast é só o começo da experiência.
79400	80760	Não deixe de me seguir nas redes sociais,
80760	82760	arroba Marcelo Guaxinim, arroba RP Guaxinim,
83440	85060	tanto no Twitter quanto no Instagram.
85420	86380	E pense com carinho.
86400	89320	E se tornar apoiador deste projeto,
89580	91140	fazer parte do nosso grupo do Telegram,
91500	92720	nomear a NP6,
93120	95420	gravar vozes para a NP6,
95820	98380	sugerir ideias e muito, muito mais.
98880	102040	Saiba mais ao final do episódio e boa aventura.
114000	116020	Aí vocês estão na caverna.
116400	117400	Rola os dados.
118080	120080	Bola de fogo!
120480	120980	Chamo...
120980	122380	Cof, cof, cof.
122380	123680	Chamo o clérigo.
123680	124580	Cof, cof, cof.
124580	125080	Cof, cof, cof.
125080	126080	Como assim eu morri?
126080	127080	Ha, ha, ha.
127080	128580	Rola a iniciativa.
128880	131580	Então, não tem armadilha.
131580	132580	Podemos ir.
132980	134380	O que vocês fazem?
134380	135580	Hum, hum.
135580	136380	Tá, tá.
136380	139800	É, eu amarro uma corda nelas e uso como arma.
139800	141180	Eu ataco.
141180	145280	O Magro lança seu Thunderbolt mais 15 no Ubi Holder.
145280	146080	Sim, eu quero rolar.
146080	148080	Tô com decepção, posso?
148080	150080	Tem algum lugar pra se esconder?
150080	153080	Ah, falha a crítica.
153080	154080	Ataque de impunidade!
154080	155080	Ei, arrumando!
155080	157080	Chamo o clérigo!
159080	163080	RPG, Realidades Paralelas do Guaxinim.
163080	166080	Sua aventura de bolso na forma de podcast.
166080	169080	Uma jornada completa a cada episódio.
176080	196080	O ano é 1992.
196080	201080	Vocês estão em Maryland, que fica nos Estados Unidos, próximo ali à capital.
201080	204080	Normalmente, eu iria introduzir todo um cenário.
204080	205080	E depois os jogadores se apresentarem.
205080	211080	Mas dessa vez começamos conhecendo os jogadores e depois descobrimos onde elas se meteram.
211080	216080	Paula, por favor, fala sobre o seu personagem, o atributo e como ela está vestida em uma
216080	219080	noite durante a semana voltando pra casa.
219080	220080	Ok.
220080	223080	Então, a minha personagem é a Samantha Clark.
223080	226080	Ela tem 20 anos, é uma estudante.
226080	228080	Ela não mora mais em Maryland.
228080	232080	A família dela mora lá, mas ela tá passando as férias lá.
232080	234080	Ela tá voltando de ter encontrado um sonho.
234080	238080	Ela tem encontrado uns velhos amigos pra fazer aquele...
238080	242080	Vamos marcar de se reencontrar de novo, assim, com os amigos do colégio.
242080	244080	O atributo dela é 2.
244080	249080	Ela tá de uma calça jeans, uma camiseta e um tênis.
249080	250080	Uma roupa normal.
250080	258080	E desde criança, a Samantha, ela sempre teve uma intuição sobre, tipo, o que as pessoas estão sentindo no momento.
258080	263080	Então, às vezes, se alguém tá mal e diz que tá bem, ela sempre meio que sabe.
263080	266080	Ou quando as pessoas talvez estão mentindo pra ela.
266080	269080	Ela tem essa intuição sobre os sentimentos das pessoas.
269080	273080	Funciona quase como um, sei lá, um super poder de empatia.
273080	277080	De ela sempre conseguir ler as pessoas e saber como elas se sentem.
277080	278080	Perfeito.
278080	284080	Mônica, fala sobre o seu personagem, atributo e como ela tá vestida em uma noite durante a semana voltando pra casa.
284080	286080	A minha personagem é a Megan O'Brien.
286080	288080	Ela tem 22 anos.
288080	291080	Ela fugiu de casa, na verdade, pra viver sonhos.
291080	295080	Então, ela é uma barmaid.
295080	298080	Ela vive fazendo coquetéis na noite.
298080	301080	Mas, no momento, ela tá em Maryland.
301080	304080	Na verdade, então, ela tá voltando para um hotel.
304080	306080	Na verdade, né, um hotel bem simplesinho.
306080	308080	Porque ela não tem muita grana.
308080	312080	Porque ela tá em Maryland pra participar de um evento, né.
312080	316080	Pode ser um curso, né, pra pessoas.
316080	320080	Então, bartenders e barmaids, né, que fazem coquetéis e coisas assim.
320080	323080	Ela veste roupas confortáveis.
323080	325080	Uma calça preta.
325080	327080	Assim como uma blusa, né.
327080	329080	Coisas que ela poderia usar num trabalho.
329080	334080	Carrega um avental e uma mochila com seu possível material de trabalho.
334080	335080	Coisas mais simples.
335080	336080	Óbvio que não bebidas.
336080	340080	E tá, então, um pouco cansada, né, voltando para o hotel.
340080	344080	E ela sempre teve sentidos muito bagunçados, né.
344080	346080	Num patamar sobre-humano.
346080	349080	Então, ela consegue escutar muito mais do que o outro.
349080	351080	Muito mais do que qualquer ser humano, né.
351080	352080	Enxergar mais.
352080	356080	Ela consegue sentir as texturas das coisas ao tocar, né.
356080	357080	O próprio paladar.
357080	359080	Ela experimenta alguma coisa.
359080	364080	Consegue identificar com certeza, né, os ingredientes que foram utilizados.
364080	366080	Talvez até mesmo na medida.
366080	369080	E o atributo dela é 3.
369080	370080	Perfeito.
370080	371080	E, por último, a Andresa.
371080	374080	Fala sobre seu personagem, seu atributo, como ela tá vestida.
374080	377080	Voltando pra casa numa noite do dia da semana.
377080	378080	Minha personagem hoje é a Andresa.
378080	380080	Minha personagem hoje é a Davina Dunn.
380080	382080	Ela tem 25 anos.
382080	386080	Ela é alta, forte, com os cabelos cortados bem rente, a cabeça mesmo.
386080	388080	Quase chegando a ser cabelos raspados.
388080	392080	Ela nasceu, foi criada e mora até hoje em Maryland.
392080	397080	E desde pequena, ela tem uma saúde muito impecável.
397080	401080	Nunca ficou doente, nunca quebrou um osso.
401080	404080	E sempre que ela se envolvia em alguma coisa meio perigosa,
404080	407080	sempre parecia que ela não tava na parte mais perigosa do que era perigo.
407080	410080	Então, além de se envolver nesse tipo de coisa,
410080	414080	ela decidiu que podia usar isso pra ajudar as pessoas.
414080	417080	Já que ela sempre tinha esse dom de, nos lugares perigosos,
417080	418080	não estar tão perigosas assim.
418080	421080	Então, se tornou bombeira na cidade de Maryland.
421080	426080	Ela tá voltando pra casa com gandola de bombeiro,
426080	430080	aquela roupa khaki por cima da camisa vermelha, da camiseta vermelha,
430080	434080	calças khakis também, de traje quase casual de bombeiro,
434080	436080	quando ele não tá usando aquela roupa de chamas, né?
436080	439080	E botinos e botas pra voltar pra casa.
439080	442080	Tá voltando depois de um plantão e não vê a hora de poder dar uma descansada.
442080	444080	O atributo dela é 4.
444080	445080	Perfeito.
452080	456080	Vocês lembram de estar chegando em casa, talvez até de entrar em casa,
456080	458080	mas depois tudo é escuridão.
460080	463080	Vocês acordam deitadas, juntas, em um ambiente diferente.
463080	465080	O cheiro do ambiente é de um quarto fechado.
465080	466080	Há muito tempo.
466080	468080	É um cheiro de mofo que irrita o nariz.
468080	471080	A parede onde fica a janela possui uma grande mancha de umidade.
471080	473080	Uma umidade que parece vir do teto.
473080	477080	É muito provável que a água passe por aquele canto quando chove lá fora.
477080	480080	Então, vocês estão acordando com esse cheiro, numa cama.
480080	484080	Vocês estão meio espremidas ali, porque a cama é uma cama simples de casal.
484080	485080	E aí?
485080	488080	Era meia de semana, não? Eu podia ter bebido?
488080	490080	O que tá acontecendo?
490080	494080	O quê? Isso? Colocaram alguma coisa pra beber bebida?
494080	499080	Eu vou falar alguma coisa, mas eu começo a olhar ao redor, assim,
499080	503080	tentar entender onde que eu tô, que tipo de lugar é esse.
503080	504080	Eu tenho alguma ideia?
504080	506080	Não faz ideia. Nunca viu esse lugar.
506080	511080	Mas parece ser tipo um quarto de hotel, parece ser um quarto normal, ou é algo estranho?
511080	513080	Parece um quarto de casa antiga.
513080	519080	A gente tá preso, Guaxa? A gente tá vestido? A gente tem alguma coisa no pulso ou na perna?
519080	521080	Tipo, dá pra tentar sentar na cama?
521080	523080	Vocês estão com as mesmas roupas que estavam quando estavam dormindo?
523080	526080	Quando estavam na última lembrança de vocês.
526080	528080	Podem tentar sentar na cama ali.
528080	529080	Existe uma porta?
529080	532080	É, o quarto, ele possui essa cama onde vocês estão deitadas.
532080	534080	Ele tem duas portas, na verdade.
534080	537080	Uma do lado oposto da cama, outra do lado oposto da janela.
537080	540080	Ele tem um guarda-roupas, uma pequena penteadeira.
540080	542080	Vocês dois estão deitados nessa cama, né?
542080	546080	A cama, vocês sentem que a cama tá úmida, o lençol dela.
546080	548080	Tá. As nossas roupas estão úmidas também?
548080	551080	A parte em contato com a cama, sim, porque parece que vocês ficaram ali há algum tempo.
551080	552080	Mas a cama nos molhou, não? A gente...
552080	554080	A cama nos molhou, não. A gente molhou a cama.
554080	556080	Isso, a cama molhou vocês.
556080	558080	Alguém de vocês sabe como a gente parou aqui?
558080	560080	Alguém lembra como a gente chegou aqui?
560080	563080	Não, não faço a menor ideia de que lugar é esse.
563080	565080	Eu vou dar um pulo da cama.
565080	569080	E o que mais os aromas me dizem, além do mofo?
569080	571080	Rola dois dados.
571080	573080	Quatro e um.
573080	576080	Perfeito. Pelo cheiro, essa casa esteve fechada por muito tempo.
576080	579080	Tu vê que é uma casa mal cuidada.
579080	582080	Fora isso, tu não tem grandes informações.
582080	586080	Eu vou tentar ver uma das portas, assim, que estiver mais próxima de mim.
586080	589080	Já que tu sacou que é um quarto, tu nota que tem uma porta mais simples.
589080	592080	Provavelmente é um banheiro. Provavelmente esse quarto é uma suíte.
592080	595080	E uma porta que deve dar para um corredor ou para uma sala maior.
595080	598080	Tá, eu vou para a porta que me permite sair daqui.
598080	599080	E eu vou olhar pela janela.
599080	600080	A janela está fechada.
600080	603080	Tá, mas a janela está fechada ou ela está, tipo, bloqueada?
603080	604080	Fechada apenas.
604080	606080	E é de ídolo de fora, então?
606080	610080	É, mas entra um pouco de luz pelo telhado, tem alguns buraquinhos, assim, pouca coisa.
610080	614080	E pela janela, também, algumas pequenas frestas, mas é pouca luz.
614080	617080	Tá, a Samantha foi até a porta principal, né?
617080	618080	Isso.
618080	621080	A porta principal, essa porta, ela abre para um corredor.
621080	622080	O corredor se estende à esquerda.
622080	627080	Na mesma parede que a de vocês, que é a porta que tu abriu, tem uma porta no final desse corredor.
627080	629080	E daí, na parede oposta, tem três portas.
629080	631080	Uma de frente à porta que tu abriu.
631080	633080	Uma de frente à porta no final do corredor.
633080	634080	E uma entre as duas.
634080	637080	À direita, tu vê que esse corredor acaba e ele se abre numa sala maior.
637080	639080	Tu consegue ver só um ângulo dessa sala.
639080	641080	Mas tu consegue ver lá um sofá velho.
641080	643080	Parece ser uma pequena mesa de centro.
643080	645080	Sem sair pela porta, é isso que te chama a atenção ali.
645080	646080	E eu não vejo ninguém?
646080	647080	Ninguém.
647080	650080	E ali fora tá tão abandonado quanto aí dentro.
650080	652080	Tá, eu vou lentamente puxar, assim...
652080	656080	Porque eu vou dar só uma... abrir um pouquinho, assim, a porta, dar uma espiada e voltar.
656080	660080	Porque o que eu queria ver é se a gente tava trancada na sala.
660080	662080	É, a princípio, não.
662080	665080	Como a gente não tá, eu vou tentar fechar sem fazer barulho, assim.
665080	666080	Tá.
666080	668080	E vou me voltar para as outras duas, mas a Monique olhar na janela, né?
668080	669080	Isso.
669080	670080	Então tu vai até a janela.
670080	672080	Faz um teste de força aí.
672080	676080	Ela tá um pouco... tá velho, a madeira, o trinco.
677080	678080	Três e um.
678080	680080	Um acerto crítico, um acerto simples, né?
680080	682080	Tu vai forçar a janela ali.
682080	686080	Tu acha que se colocasse força demais, a janela podia até cair, fazer um barulho muito grande.
686080	691080	Mas tu consegue botar força suficiente pra abrir a janela sem causar grandes estardalhaços.
691080	692080	Tu abre a janela.
692080	695080	Do lado de fora, existe uma grade dessa janela.
695080	698080	Mas tu vê uma mata fechada de árvores com troncos altos.
698080	702080	Parece que a casa fica, pelo menos este lado da casa, numa floresta.
702080	704080	E nós estamos num térreo?
