start	end	text
0	800	Estamos prontos?
1160	1980	Estamos sim!
2440	4780	Ah, você prefere mestre ou narrador?
4960	6660	Na verdade, eu prefiro guache.
9020	11520	Olá, eu sou Marcelo Guaxinim, o guache da aventura de hoje.
11720	15420	Queria convidar você a ir em apoia.se barra rpguache.
15640	18240	Desde que o PicPay e o Padrim deixaram de existir,
18440	20920	o Apoia.se tem se tornado a nossa principal fonte de renda
20920	24700	e eu preciso dela para pagar o editor e todos os gastos que o rpguache tem.
24900	27800	Me ajude a este projeto continuar existindo.
27800	32080	Outra forma de ajudar, você pode ir lá no MPB, Melhores Podcasts do Brasil.
32320	34640	O prêmio que o rpguache passou na primeira fase graças a você
34640	36200	e agora está na fase final.
36380	40840	Você pode votar todo dia em prêmio mpb.com.br.
41060	44100	Você vai lá, vai na categoria Ficção e Fantasia
44100	46800	e vota no Realidades Paralelas do Guaxinim.
47660	49640	Agradeço demais o seu voto.
49780	51740	Outra forma de ajudar, segue a gente nas redes sociais
51740	53800	arroba Marcelo Guaxinim, arroba rpguache,
54500	56860	tanto no Blue Sky quanto no Instagram.
56860	58800	E os jogadores de hoje são...
58800	62240	Caio Lourencio e vocês podem me encontrar na Taverna do Guaxinim
62240	64560	ou no Blue Sky como Caio Lourencio.
64660	68600	Oi, eu sou a Sara Barbosa e vocês podem me achar na Taverna do Guaxinim
68600	70740	como Sara Barbosa com Z.
70860	74920	Oi, eu sou a Káfika e vocês podem me achar também na Taverna.
75440	78420	Ana Lilian, vamos jogar RPG?
79480	82880	O jogo do rpguache sim, eu quero!
83560	86780	Mas você sabe como que o rpguache funciona?
86860	89080	Sim, eu sei!
90140	93860	O Realidades Paralelas do Guaxinim
94380	98980	usa sistema guaxinim e gambiarra.
99460	106200	Nele, cada jogador possui apenas um único atributo
106200	108800	que vai de 2 a 5.
108800	116800	Quanto maior o atributo, mais atlético é o jogo.
116860	126500	O personagem, enquanto menor, mais inteligente é carimático.
129000	134940	Sempre que o jogador faz algo com uma chance de errar,
135500	141560	joga dois dados e precisa tirar seu atributo ao menos
141560	145740	para ataques e ações físicas.
145740	146100	Ok.
146860	168360	O seu atributo ou mais para ações intelectuais ou sociais e se a jogada for fácil ou tiver algum auxílio, joga um dado a mais.
168360	175160	E se a jogada for difícil, rola um dado a menos.
175160	182500	Eu sou a Ana Lília e eu já joguei o jogo do RP Guaxa com meu papai.
182880	188500	E eu sou o Anderson e eu já narrei o RP Guaxa para muitas crianças.
190720	194000	Episódio de hoje, a creche dos pequenos monstrinhos.
205160	218280	A creche Monstrinhos Alados é um lugar onde a diversidade monstruosa é celebrada com cores vibrantes e estruturas excêntricas.
218280	222900	As portas de entrada são enormes, esculpidas como uma boca aberta de dragão.
223140	229780	E o parque tem brinquedos feitos de ossos gigantes e plantas carnívoras, que na verdade são inofensivas, na maior parte das vezes.
230340	234780	Ao redor, pequenos monstros de todos os tipos chegam, com suas mochilinhas personalizadas.
235620	238980	Bebês gelatinosos de várias cores, que escorregam e se arrastam pelo chão.
239500	243200	Pequenos ciclopes de um olho só, pulando, de forma desajeitada.
243340	247680	Zumbis de passos lentos, nobres homenzinhos peludos, correndo de um lado para o outro.
248220	255200	E uma criaturinha com olhos espalhados por seus tentáculos viscosos, que se move flutuando no ar enquanto sussurra sons incompreensíveis.
255740	258400	Ela desliza de forma curiosa até a porta.
258540	265140	Completando o cenário, estranho e encantador, chegada da creche, temos os professores, uma mistura de múmias, bruxas e outros.
265580	272660	Recebe as crianças com sorrisos, alguns com presas e dentes afiados, prontos para mais um dia de diversão e aprendizado caótico.
272660	275400	Hoje, em especial, é o dia do passeio.
275740	284020	E a empolgação está no ar, enquanto as turmas se preparam para voar de dragão até o Vale das Cordas, onde uma peça de marionete será exibida.
284200	289260	A escola, infelizmente, dispõe apenas de um dragão, então as viagens serão em pequenos grupos.
289820	292860	E a turma B, o pré-2, será a última a ir.
293260	294660	Pois Dedé, o destruidor...
295160	297480	Explodiu o teto da creche na semana passada.
297740	300100	E comeu tudo o lanche dos professores na anterior.
300500	303260	Transformou o parquinho em uma cratera fumegante no mês passado.
303860	306020	E, bem, a lista é muito longa.
306440	308980	A sala B é composta por cinco alu-monstrinhos.
309500	312820	Crianças-monstros precisam de mais espaço que crianças humanas.
312820	320040	Lila é uma monstrinha gelatinosa de 5 anos, com um corpo translúcido em tons roxo e verde, que muda de cor conforme seu humor.
320320	325120	Seu formato é amorfo, podendo se esticar ou se encolher conforme sua vontade.
325160	332660	Mas ela geralmente mantém uma forma arredondada e adorável, com pequenos braços e pernas flutuantes que emergem de seu corpo gelatinoso.
332660	338580	Seus grandes olhos redondos flutuam livremente dentro dela, brilhando de curiosidades sempre sorridentes.
338580	342280	Suas expressões são um pouco derretidas, literalmente.
342280	348960	E ela adora escorregar pelos corredores da creche, deixando um rastro brilhante e pegajoso para onde passe.
348960	354460	Outro aluno desta turma é Dedé, o destruidor, que é um monstrinho de 5 anos também,
354460	360960	que se resume a uma pequena caveira alada, com um crânio branco e reluzente, que está sempre com um sorriso travesso,
360960	364460	com grandes órbitas vazias que brilham com chamas verdes.
364460	372760	Suas asas de anjo enormes, para seu corpo minúsculo, batem ruidosamente enquanto ele flutua com uma graça inquietante.
372760	378040	Além dos dois, para completar essa turma de 5 monstrinhos, temos os três jogadores.
378040	380760	Então, Caio, fala sobre esse personagem, aparência e atributos.
380760	383420	Olá, pessoal. Eu sou o Caio.
383420	383580	Olá, pessoal. Eu sou o Caio.
383580	383620	Olá, pessoal. Eu sou o Caio.
383620	383660	Olá, pessoal. Eu sou o Caio.
383660	383760	Olá, pessoal. Eu sou o Caio.
383760	383820	Olá, pessoal. Eu sou o Caio.
383820	383880	Olá, pessoal. Eu sou o Caio.
383880	384700	Olá, pessoal. Eu sou o Caio.
384760	390800	Hoje, eu vou jogar com o Kiki. Ele também tem cinco anos, e ele descendte de dois monstros especialistas em técnicas de transformação.
391020	398380	Seu pai, que é um Yokai Tanuki, basicamente uma versão mágica do Cão Guaxini, e sua mãe, que é uma Yokai Kitsune, a versão mágica da raposa.
398820	401600	O que torna o Kiki algo como um Tanukitsune.
401780	407940	A aparência dele é uma mescla da do Cão Guaxini com a da raposa, do pai ele herdou as manchas escuras em volta dos olhos,
408520	411480	e da sua mãe ele herdou a pelagem branca e o corpo mais esguio.
411480	413480	O Kiki é um Kiki, ele possui características antropomórficas,
413880	418140	e costuma se vestir com um kimono azul, com uma estampa de folhas e labaredas.
418280	421560	Por estar começando a desenvolver suas habilidades de transformação,
422060	427080	por hora ele só consegue mudar sua forma se ele colocar uma folha no topo da sua cabeça.
427320	429800	Kiki é capaz de se transformar em objetos diversos,
429960	435560	mas diferente dos seus pais, até então ele não consegue assumir a forma de outras criaturas ou de humanos.
435900	438120	Kiki é muito curioso e bastante brincalhão,
438540	442600	o que combinado com seu poder de transformação dá muito trabalho para os adultos.
442600	444780	E o atributo dele é o 2.
445140	447640	Sarah, fala sobre o personagem e a aparência e atributo.
472600	476940	Sarah, fala sobre o personagem e a aparência e atributo.
476940	495340	A história de Rania começa com seus pais, o Sr. Saulo, conhecido como o Sapo da Lagoa,
495640	498080	e sua mãe, Serafina, que é uma lâmia.
498080	500900	Saulo, um simples vendedor de talco para chulé,
500900	505680	estava cansado da infame música infantil que associava seu nome ao produto.
505800	510160	Vendo a tristeza de seu amor, Serafina sugeriu que se mudassem para um novo lugar,
510520	512960	buscando um recomeço profissional para ambos.
513140	518320	Serafina e Saulo, desejando proporcionar uma educação de oportunidades para sua filha,
518620	524540	explorar e crescer monstruosamente, matricularam Rania na creche Monstrinho Alados.
524860	526380	O atributo dela é o 4.
526720	527180	Perfeito.
527660	530020	Kafka, fala sobre o personagem e a aparência e atributo.
530020	530420	Olá!
530900	535600	Hoje eu vou jogar com a Raio de Sol, a Sunny.
536400	538280	Ela também tem 5 aninhos.
538820	546120	A Sunny é uma lobinha muito animada, de pelo cinza claro, com manchinhas brancas no peito,
546220	548700	nas patinhas e na pontinha do rabo.
549240	554020	Ela tem heterocromia, sendo o olho direito azul e o esquerdo branco.
554560	559300	Ela é a mais jovem da sua matilha e uma das mais jovens da sua alcateia.
559300	560300	Sunny vem de uma...
560900	567940	Tradicional família de lobisomens, onde cresce sendo assistida e orientada por todos os adultos da sua comunidade.
568140	574420	Seus pais querem que ela tenha acesso às melhores oportunidades e por isso colocaram na creche Monstrinhos Alados,
574980	580000	onde esperam que ela se desenvolva e faça amizades com filhos de outros monstros influentes.
580480	586120	Eles também esperam que isso a ajude a largar a chupeta, mas segue sendo uma negociação difícil.
586280	590720	Sunny é muito extrovertida e adora brincar na caixa de areia na hora do recreio.
