start	end	text
0	14820	19 reizinhos foram passear além das montanhas e a leima
14820	17740	Um dia todos os reinos se uniram para festejar
17740	20880	19 reinos, 19 reis, 19 povos
20880	26520	Em um único lugar, por um breve momento, a paz parecia finalmente ter sido alcançada
26520	33240	Mas só 18 reizinhos voltaram de lá
33240	37220	Episódio de hoje, a 19ª coroa
37220	40880	Com a Shelly lá do RPG Next, do Pode Isso e do Contínuo
40880	42860	Com a Ana do Projeto Drama
42860	45580	E com o Ramon lá do Psycast
45580	50220	O Realidades Paralelas do Guaxinim usa o sistema Guaxinim e Gambiarras
50220	54680	Nele, cada jogador possui apenas um único atributo, que vai de 2 a 5
54680	56500	Quanto maior o atributo, mais é possível
56500	57900	Mais atlético é o personagem
57900	60720	Quanto menor, mais inteligente e carismático
60720	63420	Sempre que o jogador faz algo com uma chance de errar
63420	66000	Ele joga dois dados e precisa tirar seu atributo
66000	68260	Ou menos, para ataques e ações físicas
68260	72500	Ou, seu atributo ou mais, para ações intelectuais ou sociais
72500	76440	Se a jogada for fácil ou tiver auxílio, ele joga um dado a mais
76440	79020	Se a jogada for difícil, ele joga um dado a menos
79020	82200	Eu sou o Matheus Nery e sou padrinho do RPG Guaxa
82200	84920	Não porque pretendo provar que existe um Guaxa Verso
84920	86480	Mas porque o programa já me trouxe hoje
86500	87300	Uma história de diversão
87300	89380	Tenho certeza que continuará trazendo
89380	91200	Não deixe de seguir nas redes sociais
91200	93260	Arroba Marcelo Guaxinim, arroba RP Guaxa
93260	94940	Tanto no Twitter quanto no Instagram
94940	97500	Considere também nos apoiar no PicPay ou no Padrim
97500	98400	Boa aventura
116500	120340	Ação irá gostar de todas
120340	125980	Porque todas são iguais
125980	133200	Aí vocês estão na caverna
133200	134300	Rola os dados
134300	137080	Bola de fogo
137080	140740	Chama o clérigo
140740	143220	Quase eu morri
143220	145500	Hora iniciativa
145500	146480	Então
146500	148560	Não tem armadilha
148560	149500	Podemos ir
149500	151380	O que vocês fazem?
152760	153520	Tá, tá
153520	156760	Eu amarro uma corda nelas e uso como arma
156760	158020	Eu ataco
158020	160540	O magro lança seu Thunderbolt
160540	162380	Mais 15 no Ubi Holder
162380	164080	Eu quero rolar a percepção
164080	164800	Posso?
165680	167100	Tem algum lugar pra se esconder?
167720	170020	Ah, falha crítica
170020	171480	Ataque de impunidade
171480	173940	Chama o clérigo
173940	176480	Chama o clérigo
176500	177320	RPG
177320	180280	Realidades paralelas do Guaxinim
180280	183220	Sua aventura de bolso na forma de podcast
