start	end	text
0	10640	Entrar numa escola no meio do ano é sempre complicado.
11240	15540	Os grupinhos já estão formados, o conteúdo nunca está no mesmo ponto que estava na outra
15540	17320	escola e é sempre um pesadelo.
18080	23980	Agora imagine isso num mundo de pesadelos, onde seus colegas de classe são monstros,
24460	26940	seus professores e você também.
26940	34500	Episódio de hoje, a escola de criaturas adolescentes, com a madrinha Fabi Belo, que
34500	38800	é uma grande amiga minha e que cuida lá do Instagram do RPG Watch, com a Adriana Trota,
39180	42320	que pediu pra dizer que é só ator e dublador.
42820	47620	Às vezes ele joga lá com o pessoal do RPG Planet, com o Zipão, também padrinho, que
47620	52380	no momento está de férias do Psycast, mas é um grande companheiro nosso lá da equipe.
53480	55380	Olha, esse jogo é novo!
56000	56480	Queimada?
56940	59740	Tem gente querendo desafiar a morte de novo?
60040	65660	Não, não, é outro tipo de jogo, chama-se RPG, conhece?
65820	67260	Ah, já ouvi falar.
68260	70500	Isso é coisa do pessoal do andar de baixo.
70500	73500	Não, não, não é nada disso, todo mundo joga.
74920	80580	O Realidades Paralelas do Guaxinim usa o sistema Guaxinim e Gambiarras.
81000	86500	Nele, cada jogador possui apenas um único atributo, que vai de 2 a 5.
86940	91460	Quanto maior o atributo, mais atlético é o personagem.
91640	95260	E quanto menor, mais inteligente e carismático.
95720	100060	Sempre que o jogador faz algo com uma chance de errar, joga dois dados.
100400	104860	Então precisa tirar o seu atributo ou menos para ataques e ações físicas,
105220	108160	e seu atributo ou mais para ações intelectuais ou sociais.
108540	110040	Isso, você pegou o jeito!
110940	116300	Se a jogada for fácil ou tiver algum auxílio, joga um dado a mais.
116300	116620	Isso!
116940	120840	E se a jogada for difícil, rola-se um dado a menos.
121480	121880	Gostei!
122340	124020	Sim, é fantástico!
125240	127520	Agora mesmo vai começar o episódio.
128420	131520	Se você quiser, podemos escutar juntos.
132760	135260	Se você achar que seria legal, claro.
136540	139680	Qualquer coisa nesse universo fica mais legal com você.
145640	146520	E a abertura é...
146940	148440	Chiquérrima, uff, só!
151340	156220	Sete realidades paralelas, uma infinidade de possibilidades,
156640	158860	três jogadores e um Washington!
161020	164700	Respeitável público, não deixem a boba comer sua pipoca
164700	166840	e não tenham um homem forte,
167320	169580	pois o espetáculo irá começar!
170140	171280	Boa aventura!
174400	175160	Cinco!
175320	175700	Três!
175980	176300	Quatro!
176300	177460	Quatro!
177480	180000	Onde achei...
180000	180880	Três!
181500	183660	Dois!
184500	185300	O que é para você?
188160	191200	RPG, Realidades Paralelas do Guaxinim.
191580	193980	Sua aventura de bolso na forma de podcast.
194380	196880	Uma jornada completa a cada episódio.
204400	204720	MÔSTROES EM UM MUNDO DE PESADEUS
204720	204880	Monstros em um mundo de pesadelos,
204880	205200	Monstros em um mundo de pesadelos,
205200	205220	Monstros em um mundo de pesadelos,
205220	205340	Monstros em um mundo de pesadelos,
205340	209560	mundo de pesadelo. Ninguém sabe o que veio primeiro, se é a imaginação dos homens
209560	214880	que deu vida às criaturas, ou se as criaturas que invadiram os sonhos dos humanos e criaram
214880	219900	suas próprias lendas. O fato é que existe um mundo formado apenas pelo terror humano,
220260	224900	onde vivem os monstros. E provavelmente também, por influência humana, eles vivem de maneira
224900	230620	muito parecida com a gente, habitando cidades, tendo suas casas, seu emprego, seus filhos,
230620	235860	suas escolas. Existem pequenas vilas onde os monstros costumam viver com seus iguais,
236100	241680	e lá estão a maioria deles. Mas também existe uma capital, um local onde todos os
241680	246800	monstros se encontram, um lugar com prédios altos e grandes empresas. A escola de criaturas
246800	252220	adolescentes não fica no centro, mas fica na borda desta cidade, e é provavelmente
252220	258500	uma das mais disputadas do mundo. Muitos monstros colocam seus filhos na fila de espera quando
258500	260600	o mesmo ainda é um bebê, e os critérios de vida são muito diferentes.
260600	266280	Os valores de seleção são rigorosos, aleatórios e completamente desconhecidos. A escola vai
266280	271060	do décimo ano, que equivale ao nono ano brasileiro, e para os ouvintes mais velhos é a oitava
271060	277040	série do fundamental, e vai até o décimo terceiro ano, o equivalente ao terceiro ano
