start	end	text
0	12220	Uma mulher se tornou maga, alcançou o status de deusa e decidiu repartir seu poder com
12220	15260	os seres vivos, colocando uma pequena luz dentro de cada um.
15560	19000	Alguns tentaram dominar essa chama, outros simplesmente a ignoraram.
19380	22960	Existem daqueles que a estudam, como os pequenos clérigos dessa aventura.
23440	28340	Pequenos como suas chamas, que agora precisam encontrar um caminho na escuridão.
28340	33700	Episódio de hoje, A Escuridão da Caverna, com o Ricardo, lá do Quarentena Antes dos
33700	39240	Quarenta, jogando com o Lando, com a Mel, lá do Nossa Poesia, jogando com a Tasha,
39600	42960	e com a Sinara, aqui da Ipeguaxa, jogando com a Samu.
43240	46260	O Realidades Paralelas do Guaxinim usa o sistema Guaxinins e Gambiarras.
46600	51000	Nele, cada jogador possui um único atributo, que vai de 2 a 5.
51460	56160	Quanto maior o atributo, mais atlético é o personagem, quanto menor, mais inteligente
56160	56760	e carismático.
56760	61320	Sempre que o jogador faz algo com uma chance de errar, joga dois dados, e precisa tirar
61320	67060	seu atributo, ou menos, para ataques e ações físicas, e seu atributo, ou mais, para ações
67060	68640	intelectuais ou sociais.
68940	72560	Se a jogada for fácil, ou tiver algum auxílio, ele joga um dado a mais.
72920	75380	Se a jogada for difícil, rola-se um dado a menos.
75740	78400	Tem um post no Instagram explicando o sistema pra quem quiser ler?
78740	83700	Por sinal, não deixe de nos seguir nas redes sociais, arroba marcelaguaxinim, arroba rpguaxa,
83700	86300	tanto no Twitter quanto no Instagram.
86760	90500	Gostaria também de apoiar este projeto, tanto no PicPay quanto no Padrim.
90900	91420	Boa aventura.
116760	136280	E aí, vocês estão na caverna?
136740	137420	Rola os dados.
138460	140060	Bola de fogo!
140060	143880	Chama o clérigo.
144960	146260	Como assim eu morri?
146760	148660	Ah, rola a iniciativa.
149300	151700	Então, não tem armadilha.
151980	152600	Podemos ir.
153340	154500	O que vocês fazem?
155880	159920	Tá, tá, eu amarro uma corda nelas e uso como arma.
160280	161160	Eu ataco.
161580	165500	O Magro lança seu Thunderbolt mais 15 no Upholder.
165520	167820	Eu quero rolar a percepção, posso?
168560	170220	Tem algum lugar pra se esconder?
170880	173100	Ah, falha a crítica.
173660	174480	Ataque de impunidade!
174480	175700	Ei, arrumando!
175860	176480	Chama o clérigo!
176760	177060	Chama o clérigo!
179600	183400	RPG, Realidades Paralelas do Guaxinim.
183800	186380	Sua aventura de bolso na forma de podcast.
186800	189340	Uma jornada completa a cada episódio.
205420	205880	A MENSAGEM DE UM MÉDICO
205880	206600	Há muito tempo atrás,
206600	207900	em um reino chamado Delfim,
208540	210900	embora naquele tempo ele era chamado de apenas Cidade do Mar,
211540	212780	existia um mago poderoso,
212940	214420	que ajudava os locais onde passava.
215260	217120	Um dia, ele se sentiu velho
217120	218840	e decidiu adotar uma aprendiz.
219560	221300	Essa aprendiz convenceu o mago
221300	222860	que guardar o poder em um lugar só
222860	224860	seria perigoso e egoísta,
225240	227980	que as pessoas merecem ter sua própria fração do poder.
228160	229320	E foi assim que eles fizeram.
229560	231440	Repartiram sua energia com todos os seres vivos.
232280	233660	Dividiram o poder infinito
233660	234640	infinitas vezes.
234640	236440	A aprendiz morreu anos depois,
236600	238640	mas não antes de viver uma última aventura.
240260	240920	Já o mago
240920	243200	sabia que uma criatura de sombras
243200	244860	o seguia e esperava
244860	246260	pelo momento de atacá-lo.
246540	248340	E mesmo assim ele dividiu seus poderes.
248820	250180	Acreditou na humanidade
250180	252060	e esperou o que iria acontecer.
252440	253760	A criatura então o atacou.
254040	255640	Os dois lutaram por anos,
256320	257460	na beira de um penhasco,
257900	258880	até que caíram no mar.
259200	261920	Com suas últimas energias, o mago instruiu algumas pessoas
261920	263660	sobre uma ilha especial.
263660	265960	E o que fazer quando chegassem lá?
266240	266580	O mago pensou,
266580	268140	e pediu para nunca ser cultuado,
268300	271100	pois agora fazia parte da criatura de trevas.
271280	273140	E cultuá-lo daria mais poder
273140	273960	ao seu algóz.
274180	276280	Ele pediu para que cultuassem seu aprendiz.
276520	278180	Vocês três estão em treinamento
278180	279840	no templo da aprendiz
279840	282560	e vocês terão uma aventura,
282620	284740	uma missão especial nesta manhã.
285020	287020	Então, começamos aqui pela ordem.
288180	288660	Ricardo,
288860	290760	o nome do teu personagem, atributo e aparência?
291320	292280	Meu personagem se chama
292280	293500	Lando Kukamole.
293500	295880	Ele é um cara bem baixinho,
296580	297540	bem encaracolado.
298200	301500	Ele tem os pés excessivamente peludos,
302060	304080	que não se sabe exatamente o porquê.
305560	307960	Ele nem gosta muito de usar sapatos.
308580	309420	Ele é um cara que
309420	312220	é meio lerdinho, assim,
312280	313020	das ideias.
313320	314560	Há quem diga que é porque
314560	317160	cheirou muito fungo sem querer
317160	319120	enquanto lia livros na biblioteca.
319620	320960	E o atributo dele é 2.
321220	323500	Perfeito. Sinara, a sua personagem?
323500	325660	Minha personagem é a Samu.
326580	328120	O atributo dela é 3.
328120	330120	Ela é bem alta e magrinha.
330120	331620	Ela tem cabelo branco,
331620	333620	com uma franjinha cortada daquelas
333620	335620	altas, assim, na testa.
335620	337620	E ela é a mais novinha dos três.
337620	340120	Ela tá aprendendo a arte da cura,
340120	343040	mas ela não gosta muito de ter que curar as pessoas.
343040	345040	Principalmente quando as pessoas ficam doentes
345040	346540	por motivos bestas.
346540	347540	E por último, a Mel?
347540	350540	Então, a minha personagem é a Tasha.
350540	353540	Ela é uma mulher negra.
353540	356080	Ela não é a mais velha, mas ela se comporta como se fosse.
356080	359080	Porque ela é muito protetora com os outros dois.
359080	362080	E o atributo dela é 4.
362080	364080	E ela tem um pequeno guaxinim,
364080	366080	que ela chama de marmelo.
366080	368080	Marmelo. Perfeito.
368080	370080	Cada um dos aprendizes tem uma...
370080	372080	tem vários ensinamentos
372080	374080	de que cultua a aprendiz, né?
374080	376080	Que é o culto de Sofia,
376080	378080	que era o nome da aprendiz.
378080	380080	A disseminação do conhecimento,
380080	382080	que daí vai dar um bônus pra quem quiser
382080	384080	lembrar de história. Mesmo de histórias que nunca leu,
384080	386080	existe uma chance dessa pessoa lembrar.
386080	388080	É o Lando.
388080	390080	Do Amor ao Próximo.
390080	392080	O ensinamento do Amor ao Próximo
392080	394080	que faz com que a pessoa que
394080	396080	se foca nesse dogma, nesse
396080	398080	ensinamento, acaba tendo
398080	400080	uma pequena cura mágica.
400080	402080	E essa é a personagem
402080	404080	Samu. E o Amor aos Animais.
404080	406080	Quem lembra da Sofia?
406080	408080	Que tinha o Amor aos Bichinhos.
408080	410080	Também o ensinamento da aprendiz, da Sofia.
410080	412080	E quem acaba
412080	414080	indo por esse dogma,
414080	416080	se torna mais ligado a animais em gerais.
416080	418080	Ao ponto de, às vezes,
418080	420080	um desses animais decidir seguir
