start	end	text
0	27440	A escola Roberto Pena possui turmas do fundamental ao ensino médio.
27440	31200	Turmas estas que costumam ter um ótimo desempenho em competições esportivas
31200	33460	e na hora de aprovar seus alunos em universidades.
33800	35620	Essa semana, no Realidades Paralelas do Guaxinim,
35760	39280	vamos conhecer o mundo mágico e fantástico do ensino médio.
39580	41860	Episódio de hoje, a falta da Michele.
42180	44080	Com as alunas do segundo ano do ensino médio,
44440	46580	Emily, interpretada pela Prix,
46980	49280	Alicia, interpretada pela Angélica
49280	51760	e Carol, interpretada pela Fernanda.
52240	55920	Realidades Paralelas do Guaxinim é um sistema chamado Guaxinins e Gambiarras.
55920	57320	Eu preciso pôr isso no PDF.
57780	59980	Uma variação do sistema Lasers e Sentimentos.
60380	62920	Nele, cada jogador possui apenas um único atributo,
63760	65220	que vai de 2 a 5.
65600	68700	Quanto maior o atributo, mais atlético é o personagem.
69140	72560	Quanto menor o atributo, mais inteligente e carismático.
72980	76460	Sempre que o jogador tenta fazer algo, ele joga dois dados de seis lados.
76960	79940	Se esse jogador tentar uma atividade física ou um ataque,
80380	85320	ele precisa tirar nesses dois dados um número igual ou menor ao seu atributo.
85320	87320	Se ele tentar qualquer coisa que não seja...
87440	89440	um ataque ou uma ação física,
89440	91440	se ele tentar algo social ou intelectual,
91440	93440	ele precisa tirar seu atributo ou mais.
93440	95440	O jogador com o atributo 4,
95440	97440	se precisar correr ou atacar,
97440	99440	precisa tirar nesses dados de seis lados,
99440	101440	pelo menos em um deles,
101440	103440	o número 1, 2, 3 ou 4.
103440	105440	Se esse jogador tentar algo que não seja...
105440	107440	um ataque ou uma ação física,
107440	109440	como tentar convencer alguém a segui-lo,
109440	111440	ele precisa tirar 4, 5 ou 6.
111440	113440	Testes muito difíceis,
113440	115440	rolam apenas um dado.
115440	117440	Se alguém está ajudando o jogador,
117440	119440	é uma situação muito fácil,
119440	121440	ele joga um dado a mais.
121440	123440	Qualquer dúvida, não deixe de nos perguntar nas redes sociais.
123440	125440	Por sinal, siga-nos no Twitter,
125440	127440	no Twitter,
127440	129440	no Twitter,
129440	131440	no Twitter,
131440	133440	no Twitter,
133440	135440	no Twitter,
135440	137440	no Twitter,
137440	139440	no Twitter,
139440	141440	no Twitter,
141440	143440	no Twitter,
143440	145440	no Twitter,
145440	147440	no Twitter,
147440	149440	no Twitter,
149440	151440	no Twitter,
151440	153440	no Twitter,
153440	155440	no Twitter,
155440	157440	no Twitter,
157440	159440	no Twitter,
159440	161440	no Twitter,
161440	163440	no Twitter,
163440	165440	no Twitter,
165440	167440	no Twitter,
167440	169440	no Twitter,
169440	171440	no Twitter,
171440	173440	no Twitter,
173440	175040	Hora iniciativa
175040	176000	Então
176000	179000	Não tem armadilha, podemos ir
179000	180900	O que vocês fazem?
182240	183020	Tá, tá
183020	185040	Eu amarro uma corda nelas
185040	186280	E uso como arma
186280	187520	Eu ataco
187520	190040	O mago lança seu Thunderbolt
190040	191860	Mais 15 no Upholder
191860	194180	Eu quero rolar a perseguição, posso?
195180	196580	Tem algum lugar pra se esconder?
