start	end	text
0	11020	Então, é Natal. E o que você fez?
11720	14900	Eu fiz um episódio bem maluco pro nosso RPG Guaxa.
15260	19200	Pra quem já acompanha o RPG Guaxa, nesses quase 4 anos de existência,
19760	22420	sempre fazemos aqui um episódio especial de Natal.
23060	27360	Tivemos 3 episódios nos natais anteriores que formam uma trilogia.
27360	32480	E embora esse episódio seja uma one-shot, uma aventura fechada em si,
32800	36080	seria bacana você ouvir pelo menos um dos episódios anteriores.
36600	37460	Ou talvez os três.
38040	40780	Porque talvez daí você não consiga aproveitar 100% do episódio.
41680	45700	Olha, se bobear você não vai aproveitar nem 100% da leitura de regras.
48480	51460	Episódio de hoje, A Fazenda do Seu Natalino.
52260	56720	Com o Danilo Battini, lá do Contador de Histórias, que também editou este episódio.
56720	60940	Com a Carol, que é a senhora Danilo, a senhora Contador de Histórias.
61260	63440	E com a Shelly, lá do RPG Next.
63880	65440	Tá, tipo, vamos lá.
65840	71400	O Realidades Paralelas do Guaxinim usa o sistema Guaxinins e Gambiarras.
71920	78460	Nele, cada jogador possui, tipo, apenas um único atributo, que vai de 2 a 5.
79120	84780	Quanto maior o atributo, mais atlético é o personagem, mas mais burrinho, tipo Adam.
84780	89860	Quanto menor, mais inteligente e carismático, que nem eu, né?
90760	93040	Eu não sei onde o vovô se encaixa nisso tudo.
93260	95720	Mas, detalhe, o vovô é vovô, né, gente?
96600	101080	Sempre que o jogador faz algo com uma chance de errar, ele joga dois dados.
101520	106440	E aí ele precisa tirar o seu atributo, ou menos, pra ataques e ações físicas.
106760	111260	E o seu atributo, ou mais, pra ações intelectuais ou sociais.
111860	112780	Fácil, né, gente?
112780	114760	Ah, até o Adam entende essa.
115540	119680	Se a jogada for fácil, ou tiver algum auxílio, joga um dado a mais.
119940	123640	Tipo eu, com a magia do Natal e aqueles poderes todos.
124180	130640	Se a jogada for difícil, tipo, sei lá, tentar convencer o vovô a ser legal, rola-se um dado a menos.
131540	139000	Eu sou a Loriane, e além de trazer a alegria do Natal, eu faço parte do RP Guaxa.
139000	142540	Porque, né, gente, tem mundo mais divertido?
143080	144400	Ah, claro que não!
144780	150600	Então, se vocês gostam do RP Guaxa, e se vocês gostam do Natal, vocês têm que estar aqui com a gente.
151020	153140	Tipo, é óbvio, né?
153700	157580	Bom, agora eu tenho que ir, que eu tenho que encher o saco do vovô e atazanar o Adam.
158120	158560	Beijinho!
159380	164360	Não deixe de seguir nas redes sociais, arroba Marcelo Guaxinha e arroba RP Guaxa, tanto no Twitter quanto no Instagram.
165080	167620	Considere também nos apoiar no PicPay ou no Padrim.
168480	169120	Feliz Natal!
170900	171900	Tchau!
174780	181460	E aí, vocês estão na caverna?
181960	182600	Rola os dados!
183640	185240	Bola de fogo!
185920	189040	Chama o clérigo!
190240	191440	Assim eu morri!
192620	193820	Rola a iniciativa!
194480	197780	Então, não tem armadilha. Podemos ir.
198500	199700	O que vocês fazem?
199700	201700	Ah, tá!
201980	204700	Eu amarro uma corda nelas e uso como...
204780	206340	Eu ataco!
206740	210720	O mago lança seu Thunderbolt mais 15 no Upholder!
210740	213080	Ih, eu quero rolar a perseguição, bozo!
214000	215400	Tem algum lugar pra se esconder?
216020	217780	Ah, falha a crítica...
218860	219640	Ataque de impunidade!
219980	222220	É erro, mano! Chama o clérigo!
224860	228600	RPG Realidades Paralelas do Guaxinim
228600	231580	Sua aventura de bolso na forma de podcast
231580	234520	Uma jornada completa a cada episódio
234520	248800	Conta os mais velhos que quando Zé Natalino
248800	251680	chegou no bar-restaurante da pequena vila de Meldoce
251680	254660	contando que se chamava José Natalino
254660	256260	por ter nascido no Natal
256260	258480	ele levou um tapa no almoço
258480	259880	e um beijo no jantar
259880	263280	Os dois momentos protagonizados pela mesma pessoa
263280	264480	Maria Natalina
264480	266800	que nasceu no Natal
266800	269260	e achou que o forasteiro estava debochando de sua história
269260	273160	Hoje, depois de quase 70 anos de casados
273160	275380	os dois já criaram muitos filhos
275380	277060	muitos netos, alguns bisnetos
277060	278500	e muitos bichinhos na fazenda
278500	280760	Essa é uma história de Natal
280760	281980	na fazenda dos Natalinos
281980	285080	Mas não é sobre os dois, nem sobre os filhos
285080	286400	nem sobre os netos
286400	288340	e muito menos sobre os bisnetos
288340	290760	Sim, meus amigos, a história de hoje
290760	293420	é sobre os bichinhos da fazenda do seu Natalino
293420	294460	e nossos bichinhos
294480	295320	Os bichinhos de hoje são
295320	297920	Shelly, fala sobre seu personagem, aparência
297920	300060	e atributo para quem chegou hoje
300060	304040	Eu sou a Dona Neves
304040	306820	Eu sou a jumentinha, um pouco mais idosa
306820	308520	que puxa a carroça da fazenda
308520	310360	tanto para trabalho
310360	312120	quanto para os passeios
312120	313420	do seu Zé e da Dona Neves
313420	314700	quando eles vão até a cidade
314700	318700	Ela usa um
318700	320400	chapéu de palha
320400	322460	recortado para passarem
322460	323320	as orelhas dela
324480	326720	e uma bandana amarrada no pescoço
326720	328700	e ela tem uma peculiaridade
328700	329880	que ela empaca
329880	333040	quando ela precisa pisar em
333040	335620	em taco, em madeira
335620	337060	ela não gosta do som que esse
337060	339460	que os cascos dela fazem em madeira
339460	339920	então ela
339920	343080	geralmente ela empaca principalmente para atravessar
343080	344540	a ponte que leva para a cidade
344540	346860	e o atributo dela é 4
346860	353380	Carol, fala sobre teu personagem, aparência e atributo
354480	357720	Eu sou a porquinha Bigail
357720	360420	é uma porquinha rosadinha
360420	362800	que tem o rabinho bem enroladinho
362800	368460	e ela sempre se inspirou muito nos cachorros que tinham lá na fazenda
368460	371160	e queria muito ser igual a eles
371160	374620	então ela criou alguns hábitos assim de cachorro
374620	376660	como correr atrás do próprio rabo
376660	378220	às vezes ela tenta latir
378220	379820	mas não dá muito certo
379820	381820	e o atributo dela é 2
384480	387720	Perfeito, e para fechar Danilo, faz um personagem
387720	391720	Meu personagem é o Capitão
391720	394120	o Capitão é um galo de respeito
394120	396800	ele viu em uma revista que o Seu Zé estava lendo um dia
396800	398040	que os galos
398040	399260	na verdade
399260	402200	eles são os herdeiros direto dos dinossauros
402200	404760	então ele acredita que ele é um dinossauro do século
404760	405640	moderno
405640	407220	porque ele não sabe contar
407220	409600	e ele acha que ele tem que cuidar
409600	413720	dos outros animais da fazenda que infelizmente não tiveram a mesma capacidade evolutiva dele
413720	415600	de ser um dinossauro
415600	417600	e meu atributo é 3
417600	419040	ele tem uma cicatriz perto do olho
419040	422680	porque ele queria fazer uma cicatriz para parecer um pouco mais zangadão
422680	423960	mas ele não tinha muito coragem
423960	427440	ele só chegou perto de um prego e fez um cortezinho em cima da sobrancelha
427440	430280	Galo tem sobrancelha?
430280	431360	É um desenho
431360	433360	Não responda, vamos manter a manjinha
436560	439040	Guaxá
439040	440280	Capitão Galo
440280	442480	Neves, a jumentinha, a viga e o a porquinha
442480	443480	Se prepara que tá só...
443480	445480	Começando
445480	446040	Vamos gente
446040	448040	Tá na hora do RPG
448040	448760	A qualquer momento
448760	450520	Tá na hora do RPG Guaxá
450520	451320	Vai que beleza
451320	454120	Aumenta o volume que já vai começar
454120	455480	O especial de Natal
455480	457360	RPG
457360	460360	O que foi que aconteceu na fazenda dos Natalinos
460360	462560	RPG
462560	466320	RPG Guaxá
473480	480480	A fazenda é cuidada por duas pessoas quase centenárias
480480	482480	Que não possuem empregados
482480	484480	Logo, ela não possui uma quantidade muito grande de animais
484480	486480	E mesmo que eles possuem
486480	488480	Costumam ser mais independentes que o normal
488480	490480	Vamos lá, vamos saber nesta linda manhã
490480	494480	O que está fazendo a Dona Neves
494480	496480	Uai, eu tô esperando né
496480	498480	De manhã cedo
498480	500480	Geralmente o Seu Zé, ele atrela carroça em mim
500480	501480	E eu vou pra uma fazenda, né?
501480	503480	E eu vou pra onde ele mandar eu ir
503480	505480	Então eu tô ali só pastando
505480	507480	Perto do curral
507480	509480	E esperando o momento de colocar carroça
509480	511480	E esperando o momento de colocar carroça
511480	513480	Perfeito
513480	515480	A Abigail tá fazendo o que nesta manhã?
515480	517480	Ai, é uma manhã muito especial
517480	519480	Ai, é uma manhã muito especial
519480	521480	E eu tô aqui esperando os meus amigos
521480	523480	Tô farejando tudo
523480	525480	Eu tô correndo atrás do meu rabo
525480	527480	E tô explorando todo o ambiente
527480	529480	Au
529480	530480	E por último o capitão tá fazendo o que?
530480	532480	O capitão está fazendo sua ronda matinal
532480	534480	Para saber o que está acontecendo na fazenda
534480	536480	Ele está tentando evitar que os pintinhos que ainda não sabem nadar
536480	538480	Vão para lago
538480	541480	Ele fica lá gritando com os mais jovens da fazenda
541480	542480	Que não sabem o que estão fazendo
542480	545480	E podem ser alvos dos perigos modernos
545480	547480	Que eles não tem capacidade evolutiva de se proteger
547480	551480	Eu acho excelente que o capitão tá lá gritando pros pintinhos não irem pra água
551480	553480	Só que os patinhos estão lá, todos nadando
553480	555480	Mas os patos nadam, Dona Neves
555480	557480	Quantas vezes eu tenho que te falar isso?
