start	end	text
0	12740	O Reino de Delfim caiu, uma princesa e seu tio são o que sobrou da família real.
13140	17100	Juntos de um conselheiro e do mais fiel cavaleiro, agora fogem para o mar.
17420	21420	Um castelo em chamas, muitas mortes, mas a aventura não é sobre isso.
21680	27120	A aventura é sobre o que veio depois, é sobre algo que está no horizonte e além dele.
27680	29900	Episódio de hoje, A Luz do Farol.
30220	35880	Com os padrinhos, JP Bunch, do paralelo B, no papel de Július, o conselheiro.
36220	42080	Com Rafael Tellerman, lá do Gerência Sem Experiência, no papel de Jasper, o irmão do falecido rei.
42340	49780	E com a Francine, que por não ter um projeto na internet, eu vou dizer que ela é da RPGuache, no papel de Liz Delfim, a princesa.
50000	53840	O Realidades Paralelas do Guaxinim usa um sistema chamado Guaxinins e Gambiarras,
53840	56680	uma variação do sistema Lasers e Sentimentos.
57180	59840	Nele, cada jogador possui apenas um único atributo.
60000	61420	Um atributo que vai de 2 a 5.
61760	64500	Quanto maior o atributo, mais atlético é o personagem.
64900	67480	Quanto menor, mais inteligente e carismático.
67860	70240	Sempre que o jogador tenta fazer algo, ele joga dois dados.
70680	74400	E precisa tirar seu atributo ou menos, para ataques e ações físicas.
74760	78020	E seu atributo ou mais, para ações intelectuais ou sociais.
78560	82120	Se a jogada for fácil, ou tiver algum auxílio, joga um dado a mais.
82440	84700	Se a jogada for difícil, rola-se um dado a menos.
85080	86840	Qualquer dúvida, nos procure nas redes sociais.
86840	88880	E nem esqueça de nos seguir.
90000	94000	Tanto no Twitter, quanto no Instagram.
94320	97480	Considere também se tornar apoiador no PicPay ou no Padrim,
97920	100420	para receber episódio antes, gravar vozes e etc.
100820	103480	Mais informações no Escudo Mestre, ao final do episódio.
103900	104420	Boa aventura.
112240	114280	Aí vocês estão na caverna.
114780	115380	Rola os dados.
116420	117380	Bola de fogo!
118680	119380	Chama o...
120000	121820	Chama o Clérigo.
122940	124220	Como assim eu morri?
125400	126600	Rola a iniciativa.
127280	129660	Então, não tem armadilha.
129940	130560	Podemos ir.
131300	132460	O que vocês fazem?
133880	134560	Tá, tá.
134760	137880	Eu amarro uma corda nelas e uso como arma.
138260	139120	Eu ataco.
139540	143460	O Magro lança seu Thunderbolt mais 15 no Ubi Holder.
143480	145780	Eu quero rolar a percepção, posso?
145780	148200	Tem algum lugar para se esconder?
148820	149780	Ah, pode.
