start	end	text
380	2980	Muita gente deve ser um relato sobrenatural para contar.
3300	7000	Coisas inexplicáveis acontecem ao seu redor e você não sabe...
7580	8440	Bem, explicar.
8820	10360	E a esmagadora maioria não passa disso.
10720	13720	São coisas que você não sabe dizer como nem por que aconteceram.
14040	19320	Situações que parecem não fazer sentido, mas que no fundo ainda são naturais.
19740	22780	Mas e quando você encontra algo realmente sobrenatural?
23300	24280	Como você reage?
24860	26520	Como reagem as pessoas ao seu redor?
27200	29580	Episódio de hoje, A Nova Residente.
29580	33160	Com a Shelly, lá do RPG Next, do Pode Isso e do Contínuo.
33460	35960	Com a Renata Bruscato, lá do Caquitas Podcast.
36580	40060	E com o Gilles, do Projeto Drama e o Nossa Poesia.
40400	44760	O Realidades Paralelas do Guaxinim usa o sistema Guaxinins e Gambiars.
45220	49940	Nele, cada jogador possui apenas um único atributo que vai de 2 a 5.
50220	52900	Quanto maior o atributo, mais atlético é o personagem.
53360	55560	Quanto menor, mais inteligente e carismático.
55560	58320	Sempre que o jogador faz algo com uma chance de errar,
58600	59540	joga dois dados.
59680	62320	E precisa tirar seu atributo ou menos.
62540	64280	Para ataques e ações físicas.
64660	68260	E seu atributo ou mais para ações intelectuais ou sociais.
68620	72400	Se a jogada for fácil ou tiver algum auxílio, joga um dado a mais.
72580	75280	Se a jogada for difícil, rola-se um dado a menos.
75680	78500	Eu sou o Rick Moita e sou padrinho do RPG Guaxa,
78600	80640	porque acredito que, além do RPG,
80980	84460	o Guaxa nos proporciona belas histórias de aventuras e fantasias,
84460	86780	mantendo vivo a nossa criança interior.
89580	92900	Sim, arroba RPG Guaxa, tanto no Twitter quanto no Instagram.
93280	95400	Considere também nos apoiar no PicPay ou no Padrim.
95780	96300	Boa aventura.
101220	103140	Aí, vocês estão na taverna.
103660	104240	Rola os dados.
105300	106920	Bola de fogo!
107680	108780	Chama o...
108780	110700	Chama o clérigo.
111840	113080	Como assim eu morri?
113080	115520	Rola a iniciativa.
116140	118540	Então, não tem armadilha.
118820	119440	Podemos ir.
119580	121360	O que vocês fazem?
122720	123420	Tá, tá.
123640	126760	Eu amarro uma corda nelas e uso como arma.
127140	128000	Eu ataco.
128400	132260	O mago lança seu Thunderbolt mais 15 no Beholder.
132400	134660	Eu quero rolar a percepção, posso?
135400	137060	Tem algum lugar pra se esconder?
137720	139960	Ah, falha a crítica.
140540	141340	Ataque de impunidade!
141660	143900	Erro, mano! Chama o clérigo!
146900	147300	RPG.
148160	149280	Realidades Paralelas.
149580	150260	AXININ.
150600	152880	Sua aventura de bolso na forma de podcast.
153640	156180	Uma jornada completa a cada episódio.
170880	174140	Nessa aventura, eu vou quebrar um pouco o protocolo.
174300	179500	E antes de apresentar o cenário, eu quero ouvir dos jogadores apenas o nome, a aparência e o atributo.
179500	179560	E antes de apresentar o cenário, eu quero ouvir dos jogadores apenas o nome, a aparência e o atributo.
