start	end	text
0	9280	Antigamente precisávamos explicar para as pessoas o que é um podcast, hoje precisamos
9280	15580	explicar o que não é um podcast, hoje também não precisamos mais explicar o que é RPG
15580	21240	na maioria das vezes, já faz parte da cultura nerd, da cultura pop, embora muitas vezes
21240	27020	ainda precisamos registrar que RPG não é só D&D, e embora não seja D&D, precisa
27020	31260	admitir que o cenário de fantasia mágica ainda é muito RPG.
32200	39560	Episódio de hoje, A Princesa Orquiza e a Guerra, com as madrinhas Rafaela Malecheschi
39560	46740	e Juleiva, e com o meu amigo Príncipe Vidani, lá do Pelado da NET e do Mal Acompanhado.
46740	51600	Foi uma honra gigantesca receber este comunicador, e vamos ver o que ele aprontou.
52020	56680	O Realidade Paralelas do Guaxinim usa o sistema guaxinim de gambiarras, nele cada
56680	56740	jogador...
57020	62840	O jogador possui apenas um único atributo que vai de 2 a 5, quanto maior o atributo
62840	66940	mais atlético ao personagem, quanto menor, mais inteligente e carismático.
67220	70880	Sempre que o jogador faz algo com uma chance de errar, joga dois dados e precisa tirar
70880	75640	seu atributo ou menos para ataques e ações físicas, e seu atributo ou mais para ações
75640	77420	intelectuais ou sociais.
78020	82740	Se a jogada for fácil ou tiver algum auxílio, joga um dado a mais, se a jogada for difícil,
82740	84200	rola-se um dado a menos.
84680	86940	Eu sou o André Trapani e sou padrinho do...
87020	94040	Do RP Guaxa, porque, poxa, eu pago um serviço de streaming aí que não me dá nem de perto
94040	98980	tanta diversão quanto esse projeto, nada mais justo do que pagar o RP Guaxa e poder
98980	102420	fazer parte da taberna ainda de bônus, que é um bônus incrível.
103200	107620	Não deixe de seguir nas redes sociais, arroba Marcelo Guaxinim, arroba RP Guaxa, considere
107620	112220	se tornar apoiador para ter cada vez mais episódios aqui no seu feed, lá pelo PicPay
112220	116500	ou pelo Padrim, procure por RP Guaxa e cada realzinho que você está ajudando a gente
116500	116940	a partir daí.
117020	118860	E aí você faz parte do nosso grupo do Telegram.
119020	119780	Agora bora, vem, vamos.
133860	140900	Sete realidades paralelas, uma infinidade de possibilidades, três jogadores e um Guaxinim.
141680	144100	Um pequeno passo para um jogador de RPG.
145020	147000	Mais uma grande rolagem para o pão.
147020	162020	5, 4, 3, 2, 1...
162020	169420	RPG, Realidades Paralelas do Guaxinim, sua aventura de bolso na forma de podcast.
169860	172340	Uma jornada completa a cada episódio.
177020	190300	A 200 anos, o reino orc de Nurs Gash passou por uma divisão significativa, com a morte
190300	193040	de um poderoso rei orc, deixando dois herdeiros.
193300	198060	O primeiro filho, o legítimo herdeiro, e o irmão mais novo, o segundo na sucessão,
198400	200680	um orc muito mais amado e preparado para o cargo.
201300	205140	Ambos queriam assumir o trono, e essa disputa entre os príncipes resultou em uma guerra
205140	207000	civil, que foi mitigada graças a uma guerra civil.
207020	214520	No fim, o reino foi dividido, e embora ambos os príncipes reivindicassem o nome do reino
214520	218900	para si, os povos que mantinham comércio com a região passaram a se referir ao reino
218900	223280	ocidental como Nurs, e o reino oriental como Gash.
223660	228560	Embora essa nomenclatura não faça sentido algum para um orc, acabou pegando e sendo
228560	230960	oficializada nos mapas posteriores.
231200	235420	O conflito entre os dois reinos se arrastou por décadas, com uma guerra fria que volta
235420	236020	em meia.
236020	240640	A guerra escalava para uma guerra declarada, sem muitos confrontos, mas que tem se intensificado
240640	241720	nos últimos 20 anos.
242100	246180	Graças à guerra, muitos grupos de aventureiros deixaram de ser exploradores de masmorras
246180	248300	para se tornarem pequenos grupos mercenários.
248600	252440	Muitos foram os heróis que se envolveram diretamente na guerra, recebendo fama, fortuna,
252980	255000	e uma morte ainda jovem.
255140	259520	Mas isso não aconteceu com os três aventureiros locais, pelo menos não até agora, que o
259520	264800	nosso general de Gash solicitou um encontro, que segundo ele, existe uma missão em que
264800	266000	precisa de um grupo de aventureiros.
266020	269460	Um grupo de agentes neutros dentro dessa guerra para ser realizada.
269960	272000	E esses aventureiros são os nossos jogadores de hoje.
272420	275740	Então eu peço, Juleiva, fala sobre esse personagem, a aparência e atributo.
275880	277180	Opa, oi gente.
277800	279460	Eu vou jogar com a Niniel.
279800	281960	A Niniel, todo mundo chama ela de Nini.
282280	286660	Ela é uma elfa alta, gorda, de longos cabelos negros e olhos verdes.
286800	292960	Ela possui marcas de queimadura pelo corpo, antigas, na lateral esquerda, incluindo no
292960	293640	seu rosto.
293640	295580	Ela está no seu terceiro século.
296020	300580	E quando ela não está nas suas empreitadas, ela reside na região.
300800	301980	Isso faz uns 20 anos.
302300	305720	Ela usa a espada da sua família, que é capaz de entrar em chamas.
306020	310860	Esse recurso não é usado pela Nini, porque ela tem um medo profundo de fogo.
311160	313000	O atributo da Nini é o 4.
313220	313640	Perfeito.
313900	316480	Rafa Malachesti, fala sobre esse personagem, a aparência e atributo.
316540	317200	Olá, pessoas.
317680	319000	Hoje eu vou jogar com a Ayla.
319000	324840	A Ayla é uma humana jovem que anseia por conhecer o mundo fora da vila onde ela nasceu.
324920	326000	Ela vem de uma família de botelhão.
326020	328720	Ela tem vários praticários que queriam que ela aprendesse o mesmo ofício.
329220	334260	No entanto, ela acabou usando esses conhecimentos para se especializar na criação de venenos.
334440	339220	Por isso, ela carrega consigo uma balestra, onde a ponta das suas flechas são banhadas
339220	339740	em veneno.
339980	343860	A Ayla tem uma estatura alta, os cabelos castanhos na altura dos ombros.
344320	348660	Ela usa um manto com capuz, onde ela também carrega frascos com as suas criações.
349160	350780	E o atributo dela é o 3.
351060	351540	Perfeito.
351540	355800	E estreando no RPG Watch, recebemos ele hoje, que é membro da Realeza.
355800	358140	Nosso querido amigo, Príncipe Videni.
358440	359040	Tudo bem, Vitinho?
359120	359840	Tudo bem, gente.
359900	361020	Muito obrigado pelo convite.
361380	363420	Hoje eu vou jogar com o Serjão.
364520	365760	Serjão, nome separado.
366460	368100	Ele é um orc.
368380	369620	O atributo dele é 5.
370260	374020	E a única característica dele que é mais marcante é que ele é extremamente burro.
374060	377860	É o que eu vou trazer para o jogo de hoje, porque faz um bom tempo que eu não jogo RPG.
378040	381920	Então eu quero ter a desculpa do meu personagem ser burro para eu poder ser burro também.
381920	384520	Então essa é a minha estratégia que eu já estou conseguindo.
384520	386740	Eu espero ser mais burro no meio do jogo, inclusive.
400040	404960	O grupo de vocês já se conhece, provavelmente já trabalhou algumas vezes juntos.
405580	408080	Já se encontraram algumas vezes.
408080	412820	E hoje, como eu comentei antes, foram chamados para uma reunião na taverna.
413240	413720	É...
413720	414480	Com o general.
414520	415800	Com o general, né, do reino.
416440	418980	Ele tem uma missão importante para vocês.
419480	420520	Ele aguarda vocês na taverna.
421360	423200	Imagino que vocês cheguem juntos, né?
423260	423680	Pode ser.
423880	424320	Fechado.
424560	425740	Não tem nada contra, inclusive.
426840	428300	Até para não se perder, né?
428480	428780	É.
428960	429920	Então para mim está ótimo.
430580	432000	Eu guizo em vocês, inclusive.
433280	434920	Para de se distrair, Serjão.
435640	437180	Principalmente na taverna, né?
437520	441740	O horário é pela manhã, então ela ainda não está tão movimentada.
441740	444280	Tem um ou outro assim, dormindo sobre uma mesa.
444520	451340	Está o pessoal da taverna tentando fazer a manutenção e a limpeza para servir uma refeição
451340	454320	quando o sol estiver mais alto, né?
454740	456900	Mas o momento é de calma.
457320	462620	E assim que vocês entram na taverna, um taberneiro, ele estava limpando uma caneca,
463020	469440	ele aponta para uma cortina de veludo que separa o salão principal de uma das salas reservadas
469440	472440	e faz o sinal com a cabeça para vocês.
472440	474500	A gente já passou nessa cortina de veludo.
474500	475760	Bom, vocês é que sabem.
475960	484500	É um lugar que normalmente nobres fazem encontros pessoais e algumas missões mais reservadas
484500	485740	são negociadas.
486020	486500	Beleza.
486880	488800	Então eu vou cochichar para os meus colegas.
489300	491040	Hum, tem gente importante por aí.
491460	494740	Será que é algum filho perdido do príncipe de novo?
495000	495720	O que vocês acham?
495740	496460	Eu vou lá perguntar.
496540	497460	Vou direto lá perguntar.
498180	501420	Vou abrir a cortina de veludo e perguntar literalmente o que ela falou.
501420	504200	Tem algum filho perdido de algum príncipe aí, gente?
504500	507260	Só para a gente saber aqui que estamos com essa dúvida aí na cabeça.
507680	508080	Quero saber.
508460	511380	Deixando as suas companheiras meio perplexas para trás, né?
511880	513360	Lá abre aquela cortina de veludo.
513800	515780	É uma sala reservada, como eu falei.
515920	523240	Ela tem painéis de carvalho escuro revestindo as paredes com entalhes relatando batalhas e lendo as orques, né?
523740	528940	Uma iluminação suave das tochas nas paredes e um candelabro suspenso acima da mesa central.
528940	533660	A mesa é feita de madeira maciça, está coberta com pergaminhos, mapas, relatórios.
533660	544120	E o mais perplexo ainda, o general Darguk, que é o general principal ali, o braço direito do rei,
