start	end	text
0	800	Estamos prontos?
1140	1980	Estamos sim!
2440	4780	Ah, você prefere mestre ou narrador?
4960	6660	Na verdade, eu prefiro guache.
8880	12380	Olá, eu sou Marcelo Guaxinim e antes de mais nada eu quero convidar você a ir lá no
12380	15040	premio mpb.com.br
15040	20680	MPB não é de música popular brasileira, é de melhores podcasts do Brasil.
20940	26420	O RPG Guache está concorrendo na categoria Ficção e Fantasia e eu conto com o voto de vocês.
26420	31900	Vocês podem votar todo dia, inclusive, mas se votar uma vez já ficarei imensamente grato.
31940	36820	Meu nome é Agatha Sofia, eu tenho um projeto na internet que se chama Buraco Atrás do Pôster,
36980	39080	que é um podcast mensal de videogames.
39460	44220	Oi, eu sou o Gilles, vocês me encontram na taberna, embora as pessoas digam que eu sou
44220	48860	um pouco ausente, mas eu estou lá e também nos episódios publicados do Nossa Poesia e
48860	49540	do Projeto Drama.
49820	54800	Oi, eu sou a Sarah Barbosa e vocês podem me encontrar na taberna do Guache ou então
54800	55720	no Instagram.
56420	58380	Com arroba Sarah Pereira B.
58980	62720	O Realidades Paralelas do Guaxinim usa o sistema Guaxinis e Gambiarras.
63120	66360	Nele, cada jogador possui apenas um único atributo, que vai de 2 a 5.
66760	71060	Quanto maior o atributo, mais atlético é o personagem, quanto menor, mais inteligente
71060	71820	e carismático.
72300	76300	Sempre que o jogador faz algo com mais chance de errar, joga dois dados e precisa tirar
76300	80840	seu atributo ou menos para ataques e ações físicas e seu atributo ou mais para ações
80840	82400	intelectuais ou sociais.
82780	85600	Se a jogada for fácil ou tiver algum auxílio, joga um dado a mais.
85600	87920	Se a jogada for difícil, rola-se um dado a menos.
88240	92340	Eu sou o Luiz Felipe Erdi e sou padrinho do RPG Guaxinim porque é uma oportunidade incrível
92340	96600	de conhecer pessoas que falam dos assuntos mais aleatórios possíveis, desde One Piece,
96700	100920	Game of Thrones, futebol e coisas do gênero e também porque é um canal muito bacana
100920	105720	para marcar mesa de RPG, menstruar, jogar, enfim, é uma comunidade muito interessante
105720	107460	e que eu tenho muito prazer em fazer parte.
108380	112480	O episódio de hoje não é recomendado para menores de 16 anos, pois trata de alguns temas
112480	113280	sensíveis.
113280	123280	Convido vocês a nos seguirem nas redes sociais e também nos apoiar, apoia.se barra rpguaxa
123280	126800	a partir de um real você ajuda esse podcast a continuar existindo, a partir de 10 reais
126800	128660	você faz parte do nosso grupo da taberna.
128900	133340	Como o Luiz Felipe acabou de convidar vocês, venham conhecer a taberna e ajudar esse projeto.
134040	136940	Episódio de hoje, aprovação da água.
143280	162100	Os irmãos estão deitados juntos em peles no chão do segundo andar da pequena casa,
162700	168480	cobertos por um lençol, enquanto sua mãe, uma linda mulher de cabelos loiros quase brancos,
168880	173260	dança pela casa apagando as velas e lhes contando sobre o lugar.
173280	179980	Nossa pequena vila de Flor d'Alva foi esquecida pela deusa no meio dessa floresta.
180700	186160	Aqui, os moradores reverenciam a água como o elemento mais puro da criação.
186760	193140	A água que traz o peixe, que mata a sede, limpa as feridas e molha as plantas.
193560	197180	A água é tão boa e pura que rejeita todo o mal.
197580	201440	Com base nisso, os antigos realizam a aprovação da água.
201440	206180	Eles lançam as acusadas de bruxaria no ponto mais profundo do rio.
206500	209920	Se ela flutuar, ela é condenada ao fogo.
209980	213240	A rejeição da água confirma sua aliança com as trevas.
214080	216620	Se ela afundar, vai morrer afogada.
217360	219160	Isso prova que estavam errados.
219960	224420	Não que alguém ligue. Nunca testaram um homem. Quem diria?
224420	230860	Diz a mãe enquanto segura a última vela, se aproxima de vocês e exibe seu rosto cheio de pontinhos,
230860	234440	como estrelas, e um sorriso que mal lhe cabe na boca.
234800	240280	Mas acredito que, se um rapaz for rejeitado pela água, será acusado de bruxaria também.
240740	243460	Por isso, meus filhos, eu lhes digo...
243460	247240	A mulher faz um pequeno silêncio e completa apagando a vela.
247700	249860	Na total escuridão, ela diz...
250480	253860	Nunca, em hipótese alguma, entrei na água.
