start	end	text
0	12940	Uma série de denúncias chegou aos ouvidos de ambientalistas e jornalistas, que decidiram
12940	16980	investigar o aparecimento de animais mortos no oceano, e o que tinha tudo para ser um
16980	21700	problema atual a ser resolvido, pode se mostrar algo muito, muito mais antigo.
21980	27360	Episódio de hoje, A Sombra das Ondas, com o Jão, o faz-tudo do Cais, meio segurança,
27360	32660	meio marujo, interpretado pelo Geraldo, lá do Chutando a Escada, pela Bianca, a famosa
32660	38760	fotojornalista, interpretada por Debbie Cabral, lá do Portal do Aviante, e José, o jornalista
38760	43540	dominicano, que está legalmente nos Estados Unidos, interpretado pelo Fencas, também
43540	44460	do Portal do Aviante.
44660	50340	O Realidades Paralelas do Guaxinim usa um sistema chamado Lasers e Sentimentos, na verdade,
50660	55380	uma variação dele, que já foi tão mexida que tá bem diferente, mas basicamente, cada
55380	57340	jogador possui um único atributo que vai diminuir.
57360	58480	De 2 a 5.
58640	62740	Sempre que o jogador precisa fazer um teste, ele lança dados de 6 lados, se for um teste
62740	67080	comum, 2 dados, se for algo difícil, 1 dado só, e se ele tiver algum tipo de ajuda, ele
67080	68180	lança um dado a mais.
68500	74780	Se for uma jogada física, como correr, pular, saltar, resistir a um veneno, ou um ataque,
75200	80300	seja ele a distância ou corpo a corpo, o jogador precisa tirar seu atributo, ou menos,
80440	81800	na lançada de D6.
81800	87200	Por exemplo, um personagem com atributo 3, precisa tirar 1, 2 ou 3 quando faz...
87360	89460	qualquer tipo de ataque, ou tenta correr.
89780	94100	Já quando o jogador precisa fazer uma ação que não é nenhum ataque, nem uma ação física,
94400	100500	como encontrar algo perdido, resolver um quebra-cabeça, se esconder, ele precisa tirar seu atributo,
100860	101480	ou mais.
101840	108220	No mesmo caso do personagem com atributo 3, ele precisa de 3, 4, 5 ou 6.
108620	113240	Note que tirar exatamente o número que você escolheu, independente do que você está fazendo,
113240	117320	é um acerto, e é um acerto crítico, é um acerto que costuma se sair melhor.
117360	125560	Não esqueça de nos seguir nas redes sociais, e ao final do episódio, ouvir o Escudo do Mestre,
125860	132500	onde vocês vão ter promoções, onde eu vou explicar alguns pontos técnicos desse episódio, e muito mais.
133020	137040	Também pense, se você gostar desse projeto, em apoiá-lo, tanto o PicPay quanto o Padrim.
137380	138860	Mais informações lá no Escudo.
139320	139900	Boa aventura!
147360	177340	Legenda por Sônia Ruberti
177360	179360	Legendas por Tiago Anderson
207360	237340	Legendas por Tiago Anderson
237360	239360	Legendas por Tiago Anderson
255360	261780	O Jão, ele trabalha para o jornal como um faz-tudo, ou ele foi contratado especificamente para essa missão?
261980	266780	Nenhuma das duas. O Jão estava lá no Cais, ele é meio bobão,
267360	271260	assim, tal, a Debbie conheceu ele, falou, você não pode dirigir uma lancha aí,
271340	273300	porque aí eu fui lá, entendeu? Beleza!
273560	279380	Eu estou fazendo um bico de marinheiro e segurança.
279580	284480	A Bianca, que é a personagem da Debbie, é a foto jornalista. Fala do teu personagem.
284800	293100	Então, a Bianca, ela tem 30 e poucos anos, ela já ganhou alguns prêmios com as fotos que ela vendeu para jornais.
293100	297000	Ela está sempre viajando e tirando foto.
297000	300780	Ela está sempre viajando e se metendo em conspirações governamentais.
301000	303200	Ela é baixa, ela tem um...
303200	306980	Toda vez que eu falo, ela é baixa ou ela é alta e dou uma medida, eu me lasco.
308660	310680	Eu vou ficar no sol, ela é baixa.
312540	319120	Ela tem cabelo preto, na altura do ombro, cabelo cacheado, é isso.
319240	320080	E qual o atributo dela?
320320	321400	O atributo dela é 2.
322000	322400	Perfeito.
322400	326320	Primeiro ela recebeu a informação de que animais apareceram mortos em algumas praias,
326320	332840	depois a informação de alguns pescadores, embarcações pequenas que encontraram animais mortos em alto mar,
332940	336820	até que finalmente ela recebeu uma denúncia anônima que chegou para ela,
336900	342520	de uma movimentação em alto mar de militares e de um grande navio soltando um líquido estranho.
