start	end	text
0	13220	Muitos são os povos que surgiram, cresceram, prosperaram e desapareceram da noite para o
13220	13420	dia.
13900	19200	Os sábios tentam entender o porquê das civilizações terem desaparecido e levantam hipóteses de
19200	25740	guerras, mudanças climáticas, fome, enquanto os loucos falam de motivos ainda mais sombrios.
25740	31760	Talvez a resposta esteja nos itens trazidos por Louis Phillips Howard, um renomado professor
31760	37400	da Universidade Loyola de Nova Orleans, que recentemente no Camboja encontrou uma vila
37400	40680	até então não catalogada chamada Tului Azul.
40920	44760	Será que esses achados vão finalmente responder o que aconteceu com todas essas civilizações?
45160	47380	Será que queremos realmente saber essa resposta?
48220	54700	Episódio de hoje, A Sombra de Tului Azul, com Deb Cabral lá do Portal Deviante, interpretando
54700	55700	Jane Austen.
56500	59260	A estudante de linguística meio nonjentinha.
59760	66000	A Shelly do RPG Nexi, do Contino e do Pode Isso, interpretando Wei Ying Chen.
66460	68960	A Ming, que tem um nome tão difícil que precisou de um apelido.
69460	73020	Ex-estudante de matemática e atualmente cursando ciências forenses.
73020	79420	E o Danilo Bastini, lá do Contador de Histórias, interpretando Adam Miller, uma tentativa de
79420	81240	grunge que estuda jornalismo.
85740	88260	Dimension FM para Júlio Avança e Daniel Shipman.
89700	93060	Assim, qual é a grande alegria do posto que o loucuro de um toe site Marcelo Rastori
93060	95980	finalement era descarteiro?
96620	99080	Separado pelo consider 운동ativo e nascer com o Down 357 e os dado de vergonha.
99500	101500	Existem os엽as Estratégicos.
101920	102920	Criar figuras que não existem.
102920	103420	O ДоD.
103420	105140	Tudo na perturbação.
105620	107560	Valoridades des Gender Relativas.
107560	110200	E a arte throws down archive, visão do corpo, dautralizações eender de tv.
110780	112960	Voces passam por muito prazer na questão da doutrina.
112960	114120	Então, mas onde adoecer?
114560	115260	A Mark sounds good.
115260	120260	Então, não tem armadilha. Podemos ir.
120260	122260	O que vocês fazem?
122260	127260	Tá, tá. Eu amarro uma corda nelas e uso como arma.
127260	128260	Eu ataco.
128260	132260	O Magro lança seu Thunderbolt mais 15 no Upholder.
132260	135260	Eu quero rolar a perseguição, posso?
135260	137260	Tem algum lugar pra se esconder?
137260	140260	Ah, falha a crítica.
140260	141260	Ataque de impunidade!
141260	144260	Ei, romântico clínico!
164260	169260	A Universidade Loyola fica em Nova Orleans e foi fundada em 1904 por jesuítas.
169260	171260	Hoje, ela oferece uma infinitividade.
171260	174260	de cursos e se orgulha por sua interdisciplinaridade
174260	176260	e por seus doutores renomados.
176260	181260	Um deles é L. Phillips Howard, um especialista em povos antigos
181260	185260	que decidiu abrir um grupo de estudos no final do semestre,
185260	187260	onde todos já estão muito ocupados.
187260	191260	Exceto vocês, que por curiosidade ou por falta de créditos
191260	194260	decidiram atender um chamado no mural de avisos.
194260	199260	O grupo de estudos Sulu e Azul convida o corpo discente para a sua primeira reunião
199260	201260	que será realizada no dia seguinte.
201260	206260	No dia 1º de novembro, quinta-feira, às 21h, na sala de estudos 9
206260	211260	da Faculdade de Artes e Ciências, Universidade Loyola, Nova Orleans,
211260	216260	onde daremos início aos estudos dos itens encontrados entre Lul e Azul, Camboja,
216260	220260	sob a coordenação do professor L. Phillips Howard.
220260	224260	Todos os estudantes, independente do curso, estão convidados.
228260	230260	Vocês chegam, então, no dia marcado?
230260	232260	Marcado e na hora.
232260	235260	E como não especificava curso nenhum, apareceram vocês ali.
235260	240260	Vocês esperam muito pouco, logo são chamados a entrarem.
240260	245260	Lá dentro, um cheiro de maresia, não de maresia de droga,
245260	248260	maresia de mar mesmo, de água salobra.
248260	253260	De todos os itens que estão lá, um monte de caixas empilhadas,
253260	256260	bastante papéis velhos sobre a mesa.
256260	259260	O professor está ali, é um homem, um senhor alto,
259260	263260	ainda com bastante cabelo, branco, um rosto meio quadrado,
263260	266260	óculos pequenininhos, redondos.
266260	272260	E junto dele tem uma menina, ruiva, de uns 23, 24 anos,
272260	275260	que está lá ajudando ele a separar os papéis.
275260	276260	Ele quando vê vocês...
276260	279260	Oh, obrigado por terem vindo.
279260	282260	Por favor, vamos sentar.
282260	285260	É, claro. Eu sentei ali numa meio de fileira.
285260	288260	Eu vou pra frente da primeira carteira.
288260	290260	Ah, eu também.
290260	296260	Como vocês devem saber, me chamo Lewis Phillips Howard,
296260	300260	mas podem me chamar de Phil, sem formalidades.
300260	303260	Apenas Phil.
303260	309260	Ah, essa aqui é minha bolsista, a Aveline.
309260	310260	É, a menina fala...
310260	313260	Oi, gente! Eu sou a Levanta Sobrancelha.
313260	314260	E aí?
314260	315260	Oi.
315260	317260	Antes de começarmos, eu gostaria de saber...
317260	320260	o nome de vocês e o curso.
320260	323260	Oi, eu sou a Jane.
323260	327260	E eu estudo linguística.
327260	334260	Ela é super desnob, pentelha, super postura retinha,
334260	338260	o cabelo bem liso, louro, um nariz super empinado.
338260	340260	E ela é insuportável.
340260	344260	Oi, meu nome é Huy Minh Tien.
344260	345260	E eu faço uma...
345260	346260	Saudação, assim?
346260	350260	É, uma saudaçãozinha, uma baixadinha de cabeça, assim.
350260	353260	Eu sou, obviamente, chinesa.
353260	355260	Os olhinhos puxadinhos.
355260	359260	Eu uso um óculos com armação vermelha.
359260	362260	E o cabelo é moderninho, assim.
362260	365260	Ele é todo repicado, até a altura dos ombros.
365260	368260	E as pontas são pintadas de vermelho.
368260	371260	Eu não entendi seu nome. Você pode falar de novo, por favor?
371260	373260	Huy Minh Tien.
373260	375260	Mas todo mundo me chama de Minh.
376260	378260	Ok.
378260	382260	E aí, Adam Miller, jornalismo.
382260	385260	É um prazer aí, pessoal. Valeu, é nóis.
385260	391260	Eu, basicamente, eu sou a tentativa de ser um grunge no século XXI.
391260	397260	Calça jeans meio zoada, uma camiseta do Nirvana, uma blusa de flanela por cima
397260	400260	e cabelo meio encaracolado até o ombro.
400260	402260	Aí eu levanto a mão assim.
402260	405260	Ah, me desculpe, meu curso é ciências forenses.
405260	408260	E aí faço mais uma saudaçãozinha com a cabeça.
408260	410260	E minha sobrancelha sobe de novo.
410260	411260	O professor continua.
411260	415260	Normalmente, eu faria esse tipo de estudo sozinho.
415260	421260	Mas estou há meses de me aposentar e finalmente ter a minha casinha na beira da água.
421260	423260	Queria concluir isso rápido.
423260	425260	Então, vamos aos fatos.
425260	429260	Estas últimas férias eu passei no Camboja.
429260	431260	Tenho amigos historiadores lá.
