start	end	text
0	800	Estamos prontos?
1140	1980	Estamos sim!
2820	5180	Ah, você prefere mestre ou narrador?
5320	7060	Na verdade, eu prefiro guache.
9980	13480	Olá, eu sou Marcelo Guachinim, sou guache do episódio de hoje e estou aqui com...
13480	16620	Olá, aqui quem fala é o Rafael Zorzal, editor do projeto.
16820	20660	Vocês podem me encontrar aqui no RP Guache, em todo episódio com a minha edição.
21340	26280	E também ouvir alguns projetos que eu tenho, como Arquivos da Patrulha e o Projeto Drama.
26280	34120	Olá, eu sou a Káfika e vocês me encontram na taberna, jogando e conversando muita bobagem.
34220	41540	Opa, eu sou o Tiki e vocês me encontram na taberna também, falando besteira e de vez em quando dando um conselho interessante.
42500	48500	O Realidade Paralelas do Guachinim usa o sistema guachinins e gambiarras.
49200	55640	Nele, cada jogador possui apenas um único atributo, que vai de 2 a 5.
55640	59800	Quanto maior o atributo, mais atlético é o personagem.
60420	63800	Quanto menor, mais inteligente e carismático.
64480	74460	Sempre que o jogador faz algo com uma chance de errar, joga 2 dados e precisa tirar seu atributo ou menos para ataques e ações físicas.
75080	80120	E seu atributo ou mais para ações intelectuais ou sociais.
80120	85620	Se a jogada for fácil ou tiver algum auxílio, joga um dado a mais.
85640	89720	Se a jogada for difícil, rola-se um dado a menos.
90360	97240	Eu sou a Agatha Sofia e sou madrinha do RP Guacha porque foi nesse grupo que encontrei quem eu sou.
97880	103760	Foi nesse grupo que meu coração perdeu suas amarras e pude mostrar minha carne e alma,
104400	109820	meu sangue e lágrimas, meus sorrisos e as garras de minha palma.
109820	115420	Me tornei madrinha porque foi por causa das pessoas que conheci aqui.
115640	120960	Que eu me tornei oceano e eu pude encontrar em mim a minha calma.
121400	129560	Convido você a ajudar esse projeto lá no apoia.se para receber o episódio antes, gravar a voz do NPC, discutir os episódios.
130200	133440	Principalmente ajudar o RP Guacha a existir.
134200	135020	Conto com sua ajuda.
136900	140700	Episódio de hoje, a urna de Augustus Maier.
145640	163700	Augustus Maier era um renomado colecionador de arte na alta sociedade, também um contrabandista temido e admirado no submundo.
163880	167000	Infelizmente, ou talvez felizmente, ele faleceu.
167400	169300	Ou melhor, ou faleceram.
169820	171400	Muito sangue e poucas pistas.
171660	175400	Humores no submundo sugerem que ele estava de posse de uma peça extraordinária.
175640	176380	Extremamente valiosa.
176620	179700	Possivelmente um motivo por trás de sua morte misteriosa.
179880	183960	A polícia, sem pistas ou suspeitos, recorre a um trunfo recente.
184500	186600	A tecnologia de cópia celebral.
186600	191560	Em algumas universidades, a cópia digital do conhecimento de uma pessoa está sendo testada.
191720	198120	Agora, investigadores e pesquisadores se preparam para copiar e explorar a mente de Augustus Maier.
198700	201760	Na esperança de desvendar os segredos por trás de sua morte.
202020	205300	Os jogadores são investigadores ou pesquisadores com essa missão.
205640	206640	Necrotério à noite.
206940	209740	Com cada segundo que se passa, o processo se torna mais difícil.
210080	213060	A missão é tentar extrair esse motivo e esse culpado.
213420	216180	Quanto mais tempo eles demorarem, menos chance de sucesso.
216300	220220	Por isso, aqui não estão os três melhores no assunto.
220440	225760	Apenas os melhores que estavam perto o suficiente do local onde o corpo está.
225760	230800	Mas antes de falar disso, vamos conhecer nossos personagens jogadores de hoje.
231400	235620	Então eu convido o Zorzal a falar sobre seu personagem, aparência e atributos.
235960	237860	Hoje eu vou jogar com o Johann Wagner.
238320	241800	Ele é um pesquisador forense, PHD da Alemanha.
242140	245460	E é o agente mais jovem do seu departamento da Interpol.
245760	249360	O Johann teve os olhos de praticamente todo mundo voltados para si.
249780	253940	Depois que ele se formou com 16 anos em Neurociência na Universidade de Berlim.
254360	256360	Sendo PHD na área com 22 anos.
256660	258780	Neurociência não foi o único campo de estudo de Johann.
259200	261020	Que se aprofundou em diversas áreas acadêmicas.
261160	264140	Como computação, psicologia e engenharia mecânica.
264320	265560	Ele foi contratado pela primeira...
265640	272320	Pela primeira vez pela Interpol aos 23 anos como consultor em um caso enigmático do serial killer conhecido como Monstro Invisível.
