start	end	text
0	6520	Ao contrário de João e o pé de feijão, aquele conto clássico lá de 1800 e alguma coisa,
6800	11860	na história de hoje os protagonistas querem realmente trocar uma vaca, a Fifi, por feijão.
12300	14880	Mas por bastante feijão. Não cinco feijões mágicos.
15300	20080	Por bastante feijão comum pra poder plantar e alimentar o seu povo.
20620	24440	Será que eles vão conseguir? Será que eles vão conseguir o feijão? Será que eles vão conseguir vender a vaca?
24680	27820	Será que eles vão conseguir ficar longe de magia? É o que a gente vai descobrir.
27820	33900	Episódio de hoje, a vaca, a Fifi e os feijões.
34420	38840	Com a Alana Samerron, lá da Jeitinho Geek, uma loja que você pode dizer que veio do Guaxa.
39040	41980	Ela faz itens personalizados, caderno, camiseta.
42340	45420	Inclusive tem algumas artes do RP Guaxa.
45720	49820	Você pode pedir alguma coisa de lá, fala com ela, que eu tenho certeza que você vai gostar de alguma coisa.
50880	53860	Com a Tinta e Pixel, com a nossa querida Mari Silvestre.
54380	56540	Ela é arroba Tinta e Pixel em todas as redes sociais.
56540	60180	Ela é uma designer ilustradora maravilhosa.
60660	64760	Você pode inclusive encomendar uma ilustração com ela e depois botar na camiseta com a Luana.
65060	69060	Ou pro seu mais variado projeto, ou simplesmente porque você gosta de arte.
69300	71340	Então segue lá, Tinta e Pixel.
71880	75880	E também o Rodrigo Azevedo, que não tem nenhum merchan pra colocar aqui.
76280	79140	Ele diz que é fisioterapeuta, professor e dublador de NPC.
79440	80440	Porque ele já fez um monte de NPC.
80880	84840	E se o pessoal quiser seguir ele lá no Instagram, é arroba Fisio Rodis.
84840	86440	Vai estar tudo aqui no post.
86540	89580	Os três, por sinal, são padrinhos da RPGuash.
90060	93920	E conseguiram jogar esta aventura, porque receberam um Vale Aventura.
94380	99480	Que ele é dado a alguns padrinhos em momentos muito específicos, quando os padrinhos saem a linha.
99880	101260	E foi o caso desses três.
101540	104720	Eu não lembro o que cada um fez pra ganhar, cada um dos Vale Aventura.
105080	107940	Mas você pode se tornar padrinho e perguntar pra eles.
108300	112220	Você pode procurar no PicPay, por RPGuash, ou no Padrim, por RPGuash.
112220	115340	A parte da EGS faz parte lá do nosso grupo do Telegram.
115340	117340	E ajuda pra caramba este projeto.
118780	122780	O Realidades Paralelas do Guaxinim usa o sistema Guaxinim Zenobiaras.
122780	125780	Nele, cada jogador possui apenas um único atributo.
125780	127780	Que vai de 2 a 5.
127780	130500	Quanto maior o atributo, mais atlético é o personagem.
130500	132980	Quanto menor, mais inteligente e carismático.
132980	136980	Sempre que o jogador faz algo com alguma chance de errar, joga dois dados.
136980	140980	E precisa tirar o seu atributo ou menos para ataques ou ações físicas.
140980	143980	E seu atributo ou mais para ações intelectuais ou sociais.
143980	148980	Se a jogada for fácil, ou tiver auxílio de algum jogador, joga-se um dado a mais.
148980	151980	Se a jogada for difícil, rola-se um dado a menos.
151980	152980	Eu sou o Umperalta.
152980	159980	E eu sou o padrinho do RPGuash porque eu amo RPG e não há lugar melhor para se apreciar uma boa aventura.
159980	163980	Não deixe de seguir nas redes sociais, ou me assinar no Instagram.
163980	165980	Boa aventura.
171420	173420	Sete Realidades Paralelas.
173420	175420	Uma infinidade de possibilidades.
175420	178420	Três jogadores e um guaxinim.
178420	182420	Se vocês olharem à sua esquerda, verão um corvo sob uma maceira.
182420	186420	À sua direita, a aventura está prestes a começar.
188420	189420	Cinco.
191420	192420	Quatro.
196420	197420	Dois.
201420	202420	RPG.
203420	205420	Novas realidades paralelas do guaxinim.
205420	207420	Sua aventura de bolso na forma de podcasts.
208420	210860	Uma jornada completa a cada episódio.
217420	219420	ミュー hm
219420	220460	자� repararei
220460	223960	음
225420	227420	A pequena vila de Ballardina está passando por problemas.
227420	231420	Suas terras já não estão mais tão férteis.
231420	240220	A caça da região diminuiu, o rio está com cheiro estranho e as árvores que perderam as flores no outono continuam secas no início da primavera.
240560	249800	Por isso, as famílias locais decidiram trocar uma de suas vacas por feijão, afinal o feijão não precisa de muito para crescer e vai alimentá-los bem.
249800	261260	A vila é formada por três grandes famílias e cada uma delas enviou um emissário para levar a vaca Fifi até a grande vila de Golebiowski.
261760	262700	E cuidar da troca.
263000	272840	Esses escolhidos são os jogadores de hoje, então eu queria que a nossa veterana, que já gravou um milhão de vezes, a Luana, fala sobre seu personagem e aparência e atributos.
272840	281480	Oi gente, hoje eu vou jogar com a Dona Esther, ela tem 62 anos, o atributo dela é 2.
281700	290300	Bom, tem uma maior parte dos cabelos acinzentados, mas alguns fios são brancos, outros são pretos e o cabelo é ondulado.
290300	299900	Quando jovem, eu tinha uma estatura mediana, hoje sou mais curvada, então tenho 1,49 e meio de altura.
300380	306020	Minha pele é tarda, olhos pretos e eu sou muito simpática com todos da vila.
306460	318800	Sou a pessoa mais velha daqui da vila e sempre estou com vestido esverdeado, sapato fechado e uma bolsinha, uma mochilinha onde eu levo minhas coisas.
318800	320140	Sou a matriarca.
320140	321240	Eu sou a matriarca da família Ribeira.
321480	335940	Meus nove filhos queriam enfiar meu neto do meio, o Léo, que ele é mais forte, mas como o irmão dele adoeceu, ele vai ficar para ajudar com os demais afazeres.
336500	347540	Queriam mandar outra pessoa, mas eu bati o pé até eles aceitarem que eu iria, afinal, alguém tem que cuidar das outras crianças que virão, dos jovens que virão, na verdade.
347540	348580	Que irão.
350140	355260	A minha netinha Inês, ela fez um colar para me dar sorte.
