start	end	text
0	9020	Você está ouvindo um episódio participante da campanha O Podcast Delas 2023.
9020	17740	Para encontrar outros episódios, acesse o site oficial da campanha ou procure pelas hashtags nas redes sociais.
18280	24420	Hashtag O Podcast Delas 2023. Uma atitude simples que muda a podosfera.
24820	26720	Por mais mulheres nos podcasts.
30000	34560	Passamos um terço de nossas vidas na cama. Algo assim.
35340	36500	Deveríamos, ao menos.
36980	41680	Um local onde você fica deitado, fecha os olhos, no escuro, indefeso.
42500	47920	Não é à toa que existem tantas histórias de terror envolvendo o sono, a cama e as coisas embaixo da cama.
49340	50200	Episódio de hoje.
51100	52340	A véia embaixo da cama.
53200	53920	Com as madrinhas.
54820	56040	Rafaela Malecheski.
56780	57760	Caroline Hashimoto.
58600	59420	E a Shelly Poison.
60000	64460	Que também faz parte do RPGnext, um dos podcasts que inspirou este projeto.
65340	71780	O Realidades Paralelas do Guaxinim usa o sistema Guaxinim e Gambiarras.
72340	77060	Nele, cada jogador possui apenas um único atributo que vai de 2 a 5.
77700	81020	Quanto maior o atributo, mais atlético é o personagem.
81620	84000	Quanto menor, mais inteligente e carismático.
84760	88760	Sempre que o jogador faz algo com uma chance de errar, joga dois dados.
88760	89960	E precisa tirar seu atributo.
90000	93100	Seu atributo, ou menos, para ataques e ações físicas.
93580	97020	E seu atributo, ou mais, para ações intelectuais ou sociais.
97700	101440	Se a jogada for fácil, ou tiver algum auxílio, joga um dado a mais.
101780	104520	Se a jogada for difícil, rola-se um dado a menos.
105060	107480	Eu sou a Sarah, madrinha do RPG Guaxa.
107840	111400	Porque meu amigo Tiago Kessley me apresentou o primeiro episódio.
111800	112780	O episódio das gatas.
113340	115480	E desde esse episódio, eu não parei mais.
115700	118000	E eu quero desvendar o Guaxaverso.
118000	118720	O Guaxaverso.
120000	120560	Segredo, tá?
121280	123920	Considere apoiar esse projeto lá no PicPay ou no Padrim.
124220	126340	Cada um real ajuda a sair cada vez mais episódios.
126720	127840	E siga a gente nas redes sociais.
128080	129500	Arroba o Marcelo Guaxinim, arroba o RPG Guaxa.
129680	130860	Tanto no Twitter quanto no Instagram.
130860	131860	Tchau.
150000	153980	Sete realidades paralelas.
154600	156620	Numa infinidade de possibilidades.
157160	159180	Três jogadores e um guaxinim.
159940	160880	Escolha o seu carro.
161340	164440	Pise no acelerador e cuidado com a corredora de rosa.
164840	167620	Porque será dada a largada para a nossa aventura.
171100	171940	Cinco.
174000	174840	Quatro.
174840	175840	Três.
176880	177760	Três.
178260	179200	Escargada.
179200	180400	Dois.
184720	185400	RPG.
186160	187920	Realidades paralelas do guaxinim.
188300	190700	Sua aventura de bolso na forma de podcast.
191100	193620	Uma jornada completa a cada episódio.
201680	203080	Boa noite, William.
203080	207100	Estou aqui na frente da casa das meninas onde a tragédia aconteceu.
207360	209080	As três garotas foram...
209200	221080	Suzane é mãe de três meninas.
221660	225780	Quando elas eram muito pequenas, o pai foi convocado pelo exército e nunca mais voltou.
226080	230380	Mas as meninas aprenderam a se virar e não perguntar sobre o pai desde muito cedo.
230380	236420	A mãe esconde, mas todas sabem que ela tem saído com uma colega de trabalho, a loira de cabelo Chanel.
237000	238380	Suzane trabalha com videogames e...
239200	242420	Desde que o marido se foi, passou a trabalhar dobrado para sustentar a casa.
242420	245420	Isso só piorou agora que o jogo está para ser lançado.
245420	247980	A mãe não fala muito do trabalho.
247980	253700	Se qualquer coisa vazar, mesmo que por acidente, ela não teria como pagar as multas do contrato.
253700	255380	Nem vendendo a casa.
255380	258100	Mas ela está produzindo um jogo para sair junto com o próximo Playstation.
258100	259100	Algo assim.
259100	262300	Um jogo de terror sobre uma cantiga de Ninar.
262300	264120	As meninas nunca ficaram sozinhas.
264120	267760	Mas esse fim de semana, Suzane informou que precisa fazer uma pequena viagem.
267760	268720	E após a viagem, Suzane vai para a casa dela.
268720	275500	E após muitos protestos, aceitou confiar nas filhas e não chamaram a babá desta vez.
275500	278360	Um fim de semana só das meninas.
278360	279780	Com as seguintes regras.
279780	281500	Não pode trazer ninguém de fora.
281500	283840	Não pode ficar acordada depois das 11.
283840	284840	Não pode sair de casa.
284840	288280	Então, antes de mais nada, vamos conhecer essas irmãs.
288280	291720	Rafa Marechewski, fala sobre seu personagem, aparência e atributos.
291720	292720	Olá pessoas.
292720	293720	Hoje eu vou jogar com a Catherine.
293720	295720	A Catherine, mais conhecida como Kate, tem 13 anos.
295720	296720	Então, ela é a mais nova de todas as irmãs.
296720	297720	Ela é a mais nova de todas as irmãs.
297720	298720	Ela é a mais jovem.
298720	304440	Ela cresceu muito próxima delas, porque elas sempre foram um apoio junto com a mãe
304440	306040	desde que o pai dela se foi.
306040	310140	Ao mesmo tempo que ela adora passar um tempo com as irmãs, ela ainda gosta de encher o
310140	311800	saco delas na mesma medida.
311800	316280	A Kate é uma garota animada e carinhosa com as pessoas que ela convive.
316280	320080	Mas ainda assim, ela é uma pré-adolescente petulante que está começando a impor as
320080	321080	suas vontades.
321080	323220	E o meu atributo vai ser o 3.
323220	324220	Perfeito.
324220	325220	A irmã do meio, então.
325220	326760	Shelly fala sobre seu personagem, aparência e atributo.
326760	327760	Porque, por exemplo, ela é uma jovem jovem.
327760	328720	Ela é uma jovem jovem.
328720	329720	Podemos ter ouvintes novos.
329720	332180	Eu vou jogar hoje com a Viviane.
332180	333640	Ela é então a filha do meio.
333640	335600	Ela está para fazer 16 anos.
335600	339760	Está doida para poder pegar habilitação logo, para poder dirigir carro.
339760	343880	Ela já sabe, ela já tem uma ideia, mas ela está doida para poder dirigir legalmente.
343880	352060	A Viviane, ela cresceu assim, junto das irmãs, mas ela é a mais, assim, afastada emocionalmente.
352060	355920	Ela está sempre com o nariz enfiado num livro, gosta muito de jogos.
355920	358680	Ela adora viver no mundinho dela, no mundinho de fantasia.
358680	366040	Foi o jeito que ela aprendeu a lidar com a perda do pai e a seguir em frente.
366040	371800	Ela vive pedindo para a mãe deixar ela ver o jogo que ela está fazendo.
371800	376260	Ela fala que ela quer ajudar, que ela quer jogar, é louca para jogar, mas obviamente
376260	378980	a mãe não deixa porque não pode vazar nada, né?
378980	381520	E o atributo é 4.
381520	382520	Perfeito.
382520	386680	E a irmã mais velha, a responsável desta família, Carol, fala sobre seu personagem,
386680	387680	aparência e atributo.
387680	390780	Eu vou jogar com a Cadence, também conhecida como Caddy.
390780	395800	Ela tem 17 anos, está prestando vestibular, está prestando as provas para ciências da
395800	397380	computação.
397380	402080	Ela diz que é porque ela quer seguir os passos da mãe, mas na verdade só quer ficar
402080	407000	mais perto dela, já que ela passou a ficar menos tempo com elas depois do desaparecimento
407000	408000	do pai.
408000	411960	Está sempre de olho nas irmãs, tentando passar a imagem de irresponsável, racional
411960	417080	e madura, mas ainda é uma adolescente que gosta de ler mangás românticos escondida
417080	419400	e procura ser admirada e amada.
419400	426680	Meu atributo é 2.
426680	437280	Com atributos Claro!
437280	445780	Da janela, você consegue ver o uber se distanciando levando a mãe de vocês.
445780	446620	É sextónica.
446620	446900	Obrigado, Pietro.
446900	446960	Vouulsionado.
446960	447060	Nãos, então, fiquem aí e eu seguro que você teve um bom momento na quinta.
447060	447080	Muito obrigado.
