start	end	text
0	9700	O mais difícil que sair do inferno, é continuar fora dele.
10960	14760	Episódio de hoje, A Voz da Garotinha.
16020	20360	Com os padrinhos, Juleiva, a nossa Jumozinha.
21060	23720	Felipe Xavier, lá do Arquivos da Patrulha.
24680	27800	E o Gus, do Arquivos da Patrulha, do Projeto Drama, da nossa poesia,
27800	29520	e de Uma Mesa no Fim do Universo.
30000	35440	O Realidade e os Paralelos do Guaxinim, usa o sistema Guaxinins e Gambiarras.
36020	41760	Nele, cada jogador possui apenas um único atributo que vai de 2 a 5.
42260	45840	Quanto maior o atributo, mais atlético é o personagem.
46380	49200	Quanto menor, mais inteligente e carismático.
49780	52520	Sempre que o jogador faz algo com uma chance de errar,
52520	58520	joga dois dados e precisa tirar seu atributo ou menos para ataques e ações físicas.
58520	64100	E seu atributo, ou mais, para ações intelectuais ou sociais.
64100	68840	Se a jogada for fácil, ou tiver algum auxílio, joga um dado a mais.
68840	72560	Se a jogada for difícil, rola-se um dado a menos.
72560	76700	Eu sou o Rodrigo Demo, e sou o padrinho do RPG Guaxa,
76700	80960	porque a vida é muito curta para viver uma única realidade.
80960	83420	Não deixe de seguir nas redes sociais,
83420	86900	arroba marcelaguaxinim, arroba rpguax, tanto no Twitter quanto no Instagram.
86900	87580	Considere também se inscrever no canal, e se inscrever no canal, para receber notificações de novos vídeos.
87580	90820	Considere também se tornar apoiador deste projeto.
90820	95620	E deixa eu avisar para vocês, esse episódio trata de temas pesados.
95620	101260	Então se você é menor de idade, ou está num momento mais sensível, eu evitaria de ouvir.
117580	129860	Música
130780	139180	Srs. passageiros, temos 7 realidade paralelas, 1 infinidade de possibilidades, 3 jogadores e um guaxinim.
139180	145600	Por favor, coloque sua cadeira na posição vertical, aperte o cinto e segure sua bebida,
145600	147560	pois a nossa aventura já vai decolar e chegar a seu miravez de verdade.
147580	150600	Cinco
150600	153660	Quatro
153660	156420	Três
156420	159280	Dois
159280	164220	RPG
164220	166600	Realidades Paralelas do Guaxinim
166600	169360	Sua aventura de bolso na forma de podcast
169360	172280	Uma jornada completa a cada episódio
177580	194640	O velho estava no inferno
194640	197860	Os dias no inferno eram todos iguais para o velho
197860	199320	Ele se afogava
199320	202000	Uma sereia beijava sua boca enchendo seus pulmões
202000	204280	E ele se afogava novamente
204280	206920	As sereias não tinham só cauda de peixe
206920	207560	Mas só a pele
207560	208980	Sua cara também era escamosa
208980	210460	E seu beijo era nojento
210460	212420	Às vezes o velho ficava tão apático
212420	214880	Que as sereias o levavam até a superfície do rio
214880	217040	Um rio de uma água escura e espumante
217040	220200	Lá ele via um garoto sendo arrastado pela água
220200	221880	Um garoto que era importante para ele
221880	224380	O velho então nadava apenas pulmões
224380	225420	Para salvar o garoto
225420	227720	E quando ele quase o alcançava
227720	229680	Uma cegonha gigantesca
229680	232540	Pegava no bico e o levava para longe
232540	234420	E então o velho se afogava
234420	236700	Num choro sem lágrimas no fundo do rio
236700	237540	Um dia o velho se afogava
