start	end	text
0	800	Estamos prontos?
1160	1980	Estamos sim!
2440	4780	Ah, você prefere mestre ou narrador?
4980	6660	Na verdade, eu prefiro guache.
8880	12040	Olá, eu sou o Marcelo Guaxinim e quero convidar você a ir lá em
12040	17880	premio.mpb.com.br e votar no RP Guaxa na categoria Ficção e Fantasia.
18140	23620	Você pode votar todo dia, mas um votinho já ajuda, mas se for todo dia é melhor ainda.
23820	26600	Muito obrigado, convido você a seguir nas redes sociais, é o Marcelo Guaxinim, arroba
26600	28020	RP Guaxa.
28020	34760	Jean Macedo, e você me encontra como MacedoJG7 em todas as redes sociais e na taberna do Guaxinim.
35000	39860	Caio Lourencio, e vocês me encontram também nas redes sociais como Caio Lourencio e na
39860	41740	taberna ali, conversando fiado.
41880	47680	Rafaela Rangel, vocês me encontram em todas as redes sociais como arroba Rafita Chan e
47680	48860	na taberna do Guaxinim.
49520	54260	O Realidades Paralelas do Guaxinim usa o sistema Guaxinins e Gambiarras.
54260	58000	Nele, cada jogador possui apenas um único atributo.
58020	60080	Que vai de 2 a 5.
60740	64280	Quanto maior o atributo, mais atlético é o personagem.
64960	67960	Quanto menor, mais inteligente e carismático.
68380	72780	Sempre que o jogador faz algo com uma chance de errar, joga dois dados.
73320	78080	E precisa tirar seu atributo ou menos para ataques e ações físicas.
78300	82760	E seu atributo ou mais para ações intelectuais ou sociais.
82760	86720	Se a jogada for fácil, ou tiver algum tipo de auxílio,
86720	88720	joga um dado a mais.
88720	92320	Se a jogada for difícil, rola-se um dado a menos.
92320	98740	Eu sou o Bruno Ishimoto e eu sou padrinho do RP Guaxa, porque eu sou apaixonado por cada
98740	101840	história que o Guaxa cria e conta.
101840	107120	Além disso, o RP Guaxa fez eu e a minha esposa voltarmos a jogar RPG.
107120	112560	Se ele fez e faz tanto por mim, o mínimo que eu podia fazer era entrar para o bando
112560	113560	do Panda do Lixo.
113560	116480	E você que está ouvindo isso?
116480	118480	Quer fazer parte dessa família também?
118480	125240	O episódio de hoje não é uma continuação do episódio anterior, mas ele se passa nas
125240	131060	imediações e talvez em alguns temas sensíveis do episódio anterior ele vá até um pouco
131060	132320	mais fundo.
132320	139480	Por isso, este episódio é recomendado para maiores de 16 anos e ele trata de temas sensíveis.
139480	142440	Episódio de hoje Açúcar, Sangue e Madeira
146480	159780	Embora longe da capital, a pequena cidade de Sombra a Corda é rica, pois produz beterrabas
159780	165020	e seus nobres alquimistas guardam a fórmula para o inestimável açúcar, iguaria amada
165020	168700	em todo o continente, que traz grande riqueza à região.
168700	173120	Ao redor da cidade, existem algumas vilas floresta adentro, que extraem madeira e caça
173120	175480	para abastecer Sombra a Corda.
175480	179340	Mas a maioria dos moradores da região está dentro da segurança de seus muros, com os
179340	184620	mais ricos habitando seu centro, cercados pelas plantações e com os trabalhadores
184620	186600	exprimidos entre o muro e o cultivo.
186600	192240	A cidade é tranquila, mesmo na área mais pobre, com uma criminalidade baixa, a punição
192240	198600	mais comum na região é enviar os encrenqueiros e os endividados para as vilas além dos muros,
198600	205400	um local de pessoas supersticiosas e atrasadas, segundo os moradores de Sombra a Corda.
205400	211460	Na aventura de hoje, vamos conhecer a responsável pelo portão oeste dessa muralha, que leva
211460	216580	para a floresta, onde fica também uma grande quantidade de trabalhadores.
216740	224040	A responsável local e seus auxiliares cuidam das leis daquela região, embora, como falei,
224040	228020	não costuma ter grandes problemas, ao menos até hoje.
228180	232860	Então, vamos começar conhecendo o personagem do Jean, fala sobre seu personagem, aparência
232860	233440	e atributos.
233560	235380	Eu vou jogar hoje com o Azad.
235400	241020	O Azad, ele é um caçador meio ladino, uma mistura de Robin Hood com um Aladdin.
241380	243260	Ele nem é dessa região, pra falar a verdade.
243440	247380	Talvez ele tenha saído de uma outra aventura problemática, com outro grupo, em um lugar
247380	252000	muito distante, mas ele acabou se embrenhando por aqui em Sombra a Corda pra descansar e
252000	253360	retomar as forças, né?
253680	258400	Numa bela noite, ele planejava roubar umas beterrabas ali e acabou esbarrando com uma
258400	261180	tentativa de sequestro do filho de alguém importante.
261180	264000	Por instinto, ele acabou salvando o garoto.
264460	265300	E assim ele ganhou.
265400	267180	Da sua mãe rica, um pouco de gratidão.
267580	271700	Mas só um pouquinho, porque gente rica não se porta com gente pobre, né?
271820	274760	E junto, a recomendação pra fazer parte da patrulha da xerife.
275000	278460	Já que ele tava precisando de um dinheirinho mesmo, ele decidiu aceitar o trabalho.
278660	280340	Até a hora que ele decidiu vazar dali.
280720	286080	O Azad é um homem por volta dos 25 anos, de pele oliva bronzeada, olhos verde musgo
286080	288980	e cabelos pretos na altura dos ombros, presos pra trás.
289140	294460	Ele veste comumente mantos de cor verde e roupas escuras leves, que favorecem o jeito
294460	295380	ágil e furtivo.
295400	299360	Ele possui uma excepcional pontaria, sendo um ótimo arqueiro.
299900	302760	E ele não conhece muito da região, mas ele aprende rápido.
303140	304540	É um sobrevivente versátil.
304920	306440	E o atributo dele é 4.
306740	307200	Perfeito.
307580	309820	Caio, fala sobre esse personagem, aparência e atributo.
310000	310720	Olá novamente.
311160	312440	Hoje eu vou jogar com o Dimitri.
312660	316300	O Dimitri é um jovem em torno dos 20 anos, magro, pequenino.
316600	321340	Ele tem uma pele morena e um cabelo preto, bem encaracolado e completamente indomável.
321620	324800	O Dimitri é visto como um garoto excêntrico e problemático.
324800	325380	Desde que ele foi um jovem, ele é visto como um garoto excêntrico e problemático.
325400	328320	Desde que ele era criança, ele mostrava o interesse por livros e inventos.
328500	331060	Ninguém sabe como e quando ele aprendeu a ler.
331600	335160	Mas desde que a população de Sombra Corda se lembra, o Dimitri sempre está inventando
335160	338260	alguma coisa, criando teorias ou dando pitacos em ser chamado.
338560	343480	Depois de algumas explosões e vários acidentes, o povo de Sombra Corda já estava cansado
343480	347240	das confusões do Dimitri e pedindo para que a xerife desse um jeito nele de uma vez por
347240	347580	todas.
347940	351980	A população esperava que ele enfim fosse banido da cidade, mas por algum motivo, para
351980	354920	surpresa de todos, a xerife decidiu transformá-lo em seu auxiliar.
355160	355380	Agora, o Dimitri é um jovem que não sabe o que fazer.
355380	360300	Agora, trajando seu estranho casaco com bolsos e mais bolsos, cheio de parafernália,
360460	365400	a energia destrutiva do Dimitri tem sido canalizada em favor da população de Sombra Corda, ao
365400	366700	menos a maior parte das vezes.
367020	368140	E o atributo dele é o 3.
368460	368940	Perfeito.
369520	372280	E Rafa, fala sobre seu personagem, aparência e atributo.
372540	378640	Hoje eu vou jogar com a Joana Manuela Guilhermina Castanhari Gabriela Constantina Vasconcelos
378640	383820	de Carvalho Albuquerque e Teslone, ou simplesmente Madame Joana Teslone.
383820	385140	Ela é uma mulher alta.
385140	385880	É imponente.
385980	389540	Tem a pele clara, os cabelos longos, lisos e escuros.
389940	392400	Os olhos também escuros e lábios cheios.
392920	397720	Ela é uma mulher bela, com um rosto com linhas suaves, mas está sempre cisuda.
398080	401160	Nasceu na nobreza e não sabe como é a vida fora dela.
401460	404840	Sempre pede para os seus subalternos fazerem tudo o que ela precisar.
405020	409540	É uma pessoa que está sempre atenta às leis e quer que tudo esteja correto o tempo inteiro.
410180	413400	Sabe de cor todas as leis do nosso reino Sombra Corda.
413400	415000	Faz as rondas pelo reino.
415140	421720	Faz as rondas pelo portão oeste e precisou aceitar entre seus subalternos Dimitri para evitar maiores problemas na cidade.
422200	423860	Bom, o garoto parece que tem potencial.
424100	427320	E recentemente também teve que acrescentar o garoto Azat.
427500	430640	Mas esse só entrou pois estava devendo um favor para uma outra nobre.
431160	434300	Melhor assim, esse menino não parece que está indo pelo caminho da lei.
434660	436640	Então acho que consigo colocar ele no lugar certo.
436840	438160	Seu atributo é 2.
445140	463260	A estrutura que funciona de sede ali para o xerife, além de tribunal e prisão, além de ter quartos para vocês, caso vocês decidam dormir por ali.
463260	473880	É uma estrutura feita de pedra, coberta com um telhado de palha, embora tenha bastante madeira entre um espaço e outro para não ser possível fugir por ali.
474260	475120	É modesta, mas é perfeita.
475140	476760	É bem robusta assim as paredes.
477280	479280	Demonstra a importância da função.
479500	480620	As paredes são bem grossas.
481060	484080	Projetada para resistir ataques e interpéries.
484480	486440	Não é que ela é encostada do muro.
486820	489580	Uma das paredes dessa estrutura é muro.
489940	494100	Foi construído colado nele ali, ao lado do portão.
494480	495820	Que normalmente está fechado.
496240	501060	Saindo por ali tu vai para a floresta, tem algumas trilhas, alguns caminhos para algumas vilas.
501300	504860	Mas eles costumam vir uma vez por mês, uma vez a cada dois meses.
505140	507640	Não é um caminho muito usado.
507640	512200	A cidade no entorno ali é formada por uma estrada de terra batida.
512680	516740	Acaba sendo circular, como eu falei, o muro fica em volta dessa cidade.
516860	522260	O centro fica com os nobres, plantação e vocês estão mais para o canto desse muro ali.
