start	end	text
0	11800	Em uma pequena cidade no interior do Canadá, vive um povo pacífico que se orgulha em dizer
11800	16860	que em seus 50 anos de fundação, nenhum crime mais grave que um ataque de urso tenha
16860	17840	sido registrado.
18140	19380	Mas isso está para mudar.
19780	23940	Será que os detetives da polícia local vão conseguir reencontrar a garota desaparecida?
24300	26020	Será que eles vão resolver este mistério?
26400	28180	Será que você vai conseguir?
28180	34020	Episódio de hoje, Amada Filha, com Fernando Malta, o Fencas, lá do Portal do Aviante
34020	39820	no papel do Bloom, com Bela Fontanella, a Isa, também do Portal do Aviante, como Kate,
40200	43720	e com João Galvão, padrinho, interpretando Max.
44100	47640	O Realidade Paralelos do Guaxinim usa uma variação do sistema Lasers e Sentimentos.
48340	51920	Nele, cada jogador possui apenas um único atributo, que vai de 2 a 7.
52260	57080	Sempre que o jogador tenta algo que possui uma chance de falhar, ele joga dois dados
57080	57840	de seis lados.
57840	62800	Um dado se for algo comum, três dados se for algo fácil, e um dado se for algo difícil,
63140	66160	e compara o resultado no dado com o seu atributo.
66520	71520	Jogadas que envolvam atividades físicas e ataques precisam tirar seu atributo ou menos.
72060	76580	Jogadas que envolvam testes que não são físicos, nem ataques, precisam tirar seu
76580	78100	atributo ou mais.
78520	84720	Um jogador com atributo 3, ele acertaria um tiro, um soco, seria bem sucedido numa corrida,
84960	87420	tirando um, dois ou três.
87840	93720	O mesmo jogador, se tentar se esconder, notar ou decifrar um enigma, ele será bem sucedido
93720	100680	se ao rolar os dados, conseguir que pelo menos uma das faces apareça o número 3, 4, 5 ou 6.
101340	105500	Seu atributo sempre é um acerto, e um acerto melhor que a média, um acerto crítico.
105820	110140	Qualquer dúvida sobre o sistema, sobre o episódio, sobre qualquer coisa, nos procure
110140	112820	nas redes sociais e não deixe de seguir
112820	114180	arroba marcelo guaxinim
114180	116480	arroba rp guaxa
116480	116720	arroba rp guaxa
116720	116760	arroba rp guaxa
116760	116800	arroba rp guaxa
116800	116880	arroba rp guaxa
116880	116900	arroba rp guaxa
116900	116960	arroba rp guaxa
116960	117200	arroba rp guaxa
117200	117240	arroba rp guaxa
117240	147220	arroba rp guaxa
147240	147840	arroba rp guaxa
147840	147920	arroba rp guaxa
147920	151400	arroba rp guaxa
151400	151900	arroba rp guaxa
151900	152160	arroba rp guaxa
152160	160640	arroba rp guaxa
160640	162240	arroba rp guaxa
162240	167680	arroba rp guaxa
167680	172080	arroba rp guaxa
172080	172360	arroba rp guaxa
172360	172620	arroba rp guaxa
172620	172640	arroba rp guaxa
172640	174200	arroba rp guaxa
174200	175000	arroba rp guaxa
175000	176120	arroba rp guaxa
176120	176160	arroba rp guaxa
176160	176740	arroba rp guaxa
176740	176920	arroba rp guaxa
176920	177100	arroba rp guaxa
177100	177220	arroba rp guaxa
177240	180280	Ah, falha a crítica.
180820	181820	Ataque de popularidade!
181960	184240	Ei, Romano, chama o clínico!
186900	190600	RPG Realidades Paralelas do Guaxinim.
190940	193540	Sua aventura de bolso na forma de podcast.
193960	196480	Uma jornada completa a cada episódio.
207240	214180	A região que vocês moram, então, é um Canadá similar ao nosso Canadá real.
214180	217040	É o Canadá porque os Estados Unidos, as pessoas reclamam que eu sempre fui nos Estados Unidos.
217240	222320	E não é o Brasil porque, como é policial, talvez no Brasil iria para um lado um pouco diferente a investigação.
222480	224960	A região que vocês estão é no Canadá, no lado inglês.
225220	231780	Essa região começou há pouco tempo atrás, há uns 50 anos, quando foi fundada uma empresa chamada Urso Feliz.
232000	235860	Essa empresa madeireira construiu uma cidade para os trabalhadores.
235860	242000	Depois, com a expansão dessa empresa, uma outra cidade mais próxima da rodovia geral foi construída.
242200	245320	Nessa cidade baixa, que eles chamam, que é um pouco abaixo da montanha,
245480	250680	fica mais a parte administrativa, o colégio, a polícia, toda a parte de infraestrutura da cidade.
250940	255500	Enquanto na cidade alta é mais o lugar dos lenhadores, dos trabalhadores.
255680	261240	Não chega a ser um lugar pobre, mas enquanto a cidade mais alta é um classe média para baixo,
261240	264500	a cidade baixa, que é onde fica até a delegacia de polícia que vocês estão,
264620	265840	ela é classe média alta.
266020	269420	Para cima, incluindo algumas pessoas com muito dinheiro moram ali.
269700	275060	A cidade se chama Nova Gaspar, porque o fundador da Urso Feliz veio de uma cidade chamada Gaspar,
275220	277180	e ele decidiu botar Nova Gaspar como nome.
277400	278920	Todos vocês são policiais.
279180	282620	A polícia no Canadá, em sua maioria, é a polícia montada.
282720	287120	É uma das poucas polícias no mundo, que é a federal, estadual, municipal, é tudo uma só.
287280	288960	Existem algumas exceções.
289360	294200	Esta cidadezinha, por ter surgido de uma empresa privada, etc e tal, é uma dessas exceções.
294200	299940	A polícia ali é paga diretamente pela prefeitura, principalmente por impostos que essa empresa, a Urso Feliz, está pagando.
