start	end	text
0	16500	O mecha se escreve mecha, mas não tem nada a ver com cabelo, nesse caso é uma abreviatura
16500	19300	para mechanical, inglês para mecânico.
19680	24300	Basicamente é um robô gigante, geralmente bípede, controlado ou não por um piloto
24300	25740	ou controlador externo.
25740	32140	Comuns em algumas obras de ficção científica, mangás, animes e agora no RPGuax.
33240	37300	Episódio de hoje, Anjos de Metal, Êxodo.
38300	43620	Com os meus amigos, a Data Sofia, aqui do RPGuax e lá do Projeto Drama, que é um projeto
43620	46400	que surgiu aqui na taberna, então tá tudo em casa.
47240	52480	Com o Caio Lourenço, que é padrinho do RPGuax e que se você gosta de robôs gigantes,
52480	55480	você pode conversar com ele no Twitter, arroba Caio Underline Lourenço.
55740	62460	E com o Júlio Matos, o meu primo distante, se você quer conhecer jogos independentes
62460	68540	do tipo que você nunca viu, conheça a Secular Games, seculargames.com.br, lá tem jogos
68540	74140	que vão revolucionar o que você conhece como RPG, inclusive o Rebel R, que eu divulguei
74140	78940	esses tempos e o Catarse já encerrou, mas em breve você vai poder adquirir na Secular,
79200	80420	caso você tenha deixado passar.
81140	85540	O Realidade Paralelas do Guaxinim usa o sistema Guaxinim e Gambiarras.
85740	90960	Ele, cada jogador, possui apenas um único atributo que vai de 2 a 5.
91380	93720	Quanto maior o atributo, mais atlético é o personagem.
93940	96440	Quanto menor, mais inteligente e carismático.
96920	100620	Sempre que o jogador faz algo com uma chance de errar, joga dois dados e precisa tirar
100620	105400	seu atributo ou menos para ataques e ações físicas, e seu atributo ou mais para ações
105400	107200	intelectuais ou sociais.
107900	111180	Se a jogada for fácil ou tiver algum auxílio, joga um dado a mais.
111180	114120	Se a jogada for difícil, rola-se um dado a menos.
115740	117080	Se a jogada for difícil, rola-se um dado a mais.
117080	117700	Se a jogada for difícil, rola-se um dado a menos.
117700	117880	Se a jogada for difícil, rola-se um dado a menos.
117880	118260	Se a jogada for difícil, rola-se um dado a menos.
118260	118540	Se a jogada for difícil, rola-se um dado a menos.
118540	118680	Se a jogada for difícil, rola-se um dado a menos.
118680	124800	Porque, poxa, eu pago um serviço de streaming aí que não me dá nem de perto tanta diversão
124800	130100	quanto esse projeto, nada mais justo do que pagar o RPG Guaxa e poder fazer parte da
130100	132780	taberna ainda de bônus, que é um bônus incrível.
133680	136420	No site de redes sociais eu vou mostrar o Guaxinim, arroba RPG Guaxa tanto no Twitter
136420	136960	quanto no Instagram.
136960	139120	Considere também se tornar apoiador desse projeto
139120	140560	Pelo Padrim ou pelo PicPay
140560	143860	E ajude o RPG Guaxa a ter cada vez mais episódios
143860	145280	Outra coisa que eu esqueço de pedir
145280	146260	Mas é sempre importante
146260	148880	Se o seu agregador tem algum tipo de avaliação
148880	151060	De estrelinhas, deixa as estrelinhas
151060	152540	Põe lá as estrelinhas para o RPG Guaxa
152540	154620	Se ele tiver opção de comentários, como o Spotify tem
154620	157500	Deixe seu comentário, eu vou agradecer bastante
157500	159020	Agora, sem enrolação
159020	159940	Fica o episódio
166960	196940	Fica o episódio
196960	198080	Cinco
198080	201180	Quatro
201180	203980	Três
203980	206780	Dois
206780	211540	RPG
211540	214080	Realidades Paralelas do Guaxinim
214080	216860	Sua aventura de bolso na forma de podcast
216860	218540	Uma jornada completa
218540	219780	A cada episódio
226960	232460	Esse é um mundo que evoluiu e avançou
232460	233960	Para um período de paz e harmonia
233960	236300	A natureza é exuberante e vibrante
236300	238100	A temperatura é sempre agradável
238100	239720	Não há escassez de alimento
239720	241560	Não há lutas ou guerras
241560	244240	Nesse cenário utópico, as cidades são planejadas
244240	246020	De forma sustentável e inclusiva
246020	248340	Respeitando o patrimônio cultural
248340	249440	E ambiental
249440	251440	As pessoas têm acesso a moradia digna
251440	252940	Transporte público eficiente
252940	255100	Saúde e educação de qualidade
255100	256580	Lazer e cultura
256580	259040	As cidades são seguras e livres de violência
259040	260500	Catástrofes e poluição
260500	264280	As cidades ideais são espaços de convivência
264280	267300	Harmoniosa entre os habitantes e a natureza
267300	268660	Com um mundo tão perfeito
268660	270500	As pessoas acabam buscando problemas
270500	271920	Nos jogos de videogame
271920	274900	Jogos extremamente realistas e imersivos
274900	277260	Que te levam para os mais diversos mundos
277260	278360	E o mais famoso deles
278360	279700	É o Angelic Core
279700	281900	Onde o jogador controla um anjo
281900	282720	Um mecha
282720	284940	Que varia de 3 a 5 metros de altura
284940	286260	Equipado com armas e propulsores
286580	288440	Em forma de asas
288440	289520	Que os permite voar
289520	290860	Por um período de tempo
290860	293020	Esses robôs foram muito populares
293020	294760	Durante a última grande guerra
294760	296060	E era uma máquina perfeita
296060	297820	Para tudo o que não poderia ser resolvido
297820	298960	Com um míssil continental
298960	300640	Os jogadores são 3 pessoas
300640	302060	Com uma vida perfeita
302060	303580	Uma vida que eles dariam tudo
303580	304820	Para manter ou salvar
304820	306540	Eles são os melhores jogadores
306540	307780	De Angelic Core
307780	308860	Da região
308860	310600	E por isso foram chamados
310600	312220	Para testar uma nova versão do jogo
312220	313840	Uma versão ainda mais realista
313840	315160	Uma versão que talvez
315160	316560	Mude o seu mundo
316580	317800	O seu paraíso
317800	319700	Por isso convido a veterana
319700	320520	Da mesa de hoje
320520	321140	A Agatha
321140	323080	A falar sobre o seu personagem
323080	324100	A aparência e atributos
324100	324460	Oi
324460	326280	Hoje eu vou jogar com a Atla
326280	328120	Ela é uma mulher trans
328120	329400	Que usa os pronomes ela e dela
329400	330760	Ela tem 32 anos
330760	331600	E é advogada
331600	333240	Ela é uma mulher negra
333240	334120	Com cabelos curtos
334120	335020	Na altura do queixo
335020	336280	Olhos castanhos
336280	337820	E ela sempre está meio séria
337820	339060	Ela geralmente usa
339060	340000	Uma camiseta branca
340000	341180	Com um blazer vermelho
341180	342340	Calça jeans e bota
342340	343920	Ela joga só nos tempos livres
343920	345040	No Angelic Core
345040	346520	Ela geralmente está fazendo
346520	348160	Coisas com as duas esposas dela
348160	349480	Que é a Andy e a Froome
349480	350400	Que faz tempo
350400	351540	Que elas compraram uma casa
351540	352120	Para elas
352120	353300	Já estão vivendo instável
353300	354060	Há bastante tempo
354060	355820	Então quando ela não está no trabalho
355820	356880	Ou saindo com as esposas
356880	357740	Ela joga
357740	358840	E ela prefere ser
358840	359540	Mais um jogador
359540	360580	Lone Wolf
360580	361880	Ela prefere fazer as coisas
361880	362340	Sozinhas
362340	363100	Por conta própria
363100	364000	Apesar de estar trabalhando
364000	364600	Em equipe
364600	365680	Ela nunca participou
365680	366560	De campeonatos
366560	367900	Mas ela tem tanta
367900	368740	Dedicação no jogo
368740	369500	Que ela chegou a entrar
369500	370960	No ranking da região dela
370960	372000	E por isso chamou a atenção
372000	373240	O anjo dela
373240	374420	Se chama Asbel
374420	376080	Tem 5 metros de altura
376080	376500	E ela é uma mulher
376520	377540	E ele é guio
377540	378740	E é rápido
378740	380260	Ele só tem armadura suficiente
380260	380920	Para chegar perto
380920	382120	Das presas dele
382120	383320	E atirar com a shotgun
383320	383960	De plasma
383960	384960	A queima roupa
384960	385800	Ele é um humanoide
385800	387020	E a aparência se assemelha
387020	387760	A uma valquíria
387760	388800	Da mitologia nórdica
388800	389680	Só que tem alguns
389680	390520	Criados animalescos
391060	392000	Que nem braços
392000	393220	E pernas de lobo
393220	394080	Que ela usa
394080	395760	O atributo dela é 4
395760	396300	Perfeito
396300	397120	Caio Lourencio
397120	398200	Fala sobre o seu personagem
398200	399060	E a aparência e atributo
399060	399760	Olá pessoal
399760	400960	Hoje eu vou jogar com o Ray
400960	402260	O Ray é um garoto
402260	403400	De 16 anos
403400	404060	Magro
404060	405800	E com 1,55 de altura
405800	406500	O que dá
406520	407000	A impressão
407000	407600	Que ele é ainda
407600	408580	Mais novo
408580	409560	O que dá a impressão
409560	410580	Que ele é ainda
410580	411640	Um pouco mais novo
411640	413120	Ele tem a pele morena
413120	413920	Cabelo preto
413920	414940	Raspado dos lados
414940	416160	Com os dreads em cima
416160	417060	Ele é um garoto
417060	418060	Bastante gentil
418060	418900	E empolgado
418900	419900	Às vezes empolgado
419900	420620	Até demais
420620	422040	O Ray começou a jogar
422040	422960	Angelic Core
422960	423940	Por pressão das pessoas
423940	424500	Da escola
424500	425720	Mas rapidamente
425720	426680	Se apaixonou pelo jogo
426680	427460	E passou a acompanhar
427460	428720	De perto as notícias
428720	429960	Atualizações
429960	430520	E o cenário competitivo
431120	431820	Porém
431820	433000	Por conta do nível
433000	434080	De realismo do jogo
434080	435160	Ele ficou muito mal
435160	435740	Depois de abater
435740	436160	Seu primeiro adversário
436520	437920	E desde então
437920	439280	Ele passou a focar
439280	440060	Em dar suporte
440060	440860	Para sua equipe
440860	442100	E quando tem que
442100	442800	Entrar em combate
442800	443760	Ele usa estratégias
443760	444600	Para incapacitar
444600	445860	Os anjos adversários
445860	447380	Em vez de eliminá-los
447380	448620	Por conta dessa postura
448620	449300	De não eliminar
449300	450120	Os adversários
450120	450980	Ele logo ganhou
450980	451760	Certo destaque
451760	452780	Na comunidade do jogo
452780	453820	O Ray mora
453820	455140	Com seus dois pais
455140	455720	E sua mãe
455720	457000	Está se preparando
457000	458020	Para cursar a faculdade
458020	459220	De programação de jogos
459220	460140	E ele tem
460140	461080	Uma vida perfeita
461080	461540	Uma família
461540	462600	Que dá todo o suporte
462600	463020	E amigos
463020	463960	Que sempre o apoiaram
463960	464940	Em Angelic Core
464940	465940	Ele utiliza um anjo
465940	466440	Modelo misérico
466520	466880	A El
466880	468340	De atributo 3
468340	469560	Geralmente equipado
469560	470720	Com um chicote de energia
470720	471960	E um escudo plasmático
471960	472740	Perfeito
472740	474340	E tenho a honra
474340	475300	De receber aqui
475300	476480	Nosso querido
476480	477420	Júlio Matos
477420	478500	Fala sobre seu personagem
478500	479600	E a aparência e atributo
479600	479920	Olá
479920	480880	O meu personagem
480880	481920	Se chama Zaoud
481920	483040	E ele é um homem
483040	483880	De meia idade
483880	485720	Por volta dos seus 50 anos
485720	488040	Obcecado por matemática
488040	489040	E física
489040	490980	Ele tem uma aparência
490980	493300	Uma pele um pouco mais morena
493300	494340	Uma barba
494340	495980	Por fazer
495980	496500	Uma barba
496520	497580	Uma barba média
497580	498180	Digamos assim
498180	499140	Já um pouco branca
499140	500160	Com várias marcas
500160	501020	Que demonstram
501020	501900	A idade que ele tem
501900	503180	Ele gosta muito
503180	504460	De criar aqueles modelos
504460	505440	De ação e reação
505440	506760	Que uma bolinha
506760	507660	Bate num lado
507660	508400	Vai caindo
508400	509360	E vai gerando
509360	510280	Várias reações
510280	510940	Adiante
510940	512480	Ou mesmo trilhas de dominó
512480	513660	Que ele costuma brincar
513660	514420	De fazer isso
514420	515080	Ele tem bastante
515080	515780	Tempo livre
515780	517540	Ele vive com seus dois filhos
517540	519280	Sarah de 17 anos
519280	520740	E Marie de 20
520740	521420	Que são
521420	522680	Tudo que ele tem na vida
522680	523720	Depois que Leona
523720	524700	A esposa dele
524700	525320	Faleceu
525320	526340	De uma doença
526340	526500	Com uma doença
526520	527140	Congênita
527140	527880	Eles vivem
527880	529060	Em um condomínio vertical
529060	530140	E Saúde se orgulha
530140	530700	Bastante
530700	531140	De manter
531140	532040	Uma mini oficina
532040	532940	De experimentos
532940	534300	E jogos antigos
534300	535000	De tabuleiro
535000	535840	Ele é o típico
535840	536400	Nerdão
536400	536960	E ele leva
536960	538140	Bastante a sério
538140	539120	A presença dele
539120	539680	No jogo
539680	541380	Porque pra ele
541380	542420	É uma extensão
542420	543460	Dessa oficina
543460	544280	E desse local
544280	545060	Onde ele pode
545060	546700	Fazer as experiências dele
546700	547540	Ele não é muito
547540	548940	Brilhante na matemática
548940	549560	Mas ele gosta
549560	550380	Muito de ver
550380	551320	Como que
551320	552320	As coisas
552320	553900	Parecem se encaixar
553900	554740	Em sequência
554740	555660	Quando ele consegue
555660	556340	Montar
556340	557480	As estruturas
557480	558100	Que ele cria
558100	559200	O anjo dele
559200	559760	Se chama
559760	560520	Metatron
560520	561940	E o atributo dele
561940	563060	É 5
563060	583640	Como eu falei pra vocês
583640	584880	O mundo
584880	586000	Em que vocês vivem
586000	586320	Ele é
586340	587200	Ali
587200	588620	Tá tudo certinho
588620	589400	Tá tudo perfeito
589400	590300	Vocês vivem
590300	591120	Em uma utopia
591120	591540	Então
591540	592840	Cada um de vocês
592840	594740	Vive da maneira
594740	596420	Que gosta
596420	598480	Sem nenhum problema
598480	599640	E obviamente
599640	600300	O ser humano
600300	600920	Ele tenta buscar
600920	601460	Problemas
601460	603560	Quando não tem
603560	604900	Ele criou
604900	605300	Os jogos
605300	606260	De videogame
606260	607000	Que replicam
607000	607440	Guerras
607440	608420	Que replicam lutas
608420	609540	Uma série
609540	610100	De coisas
610100	610960	E vocês
610960	611420	São bons
611420	612000	Nesse jogo
612000	613280	Todos vocês foram
613280	613940	Convidados pra
613940	614880	Na manhã de hoje
614880	616000	Ele até
616000	616900	A sede da empresa
616900	617600	Que fica
617600	618940	Na mesma região
618940	619600	Que vocês
