start	end	text
0	800	Estamos prontos?
1140	1980	Estamos sim!
2440	4780	Ah, você prefere mestre ou narrador?
4960	6660	Na verdade, eu prefiro guache.
8780	13240	Olá, eu sou Marcelo Guaxinim, e antes dos nossos queridos jogadores se apresentarem,
13320	18300	eu queria convidar você para ir no prêmio mpb.com.br.
18720	23780	MPB não é de música popular brasileira, é de melhores podcasts do Brasil.
24080	28640	O RPG Guache está concorrendo na categoria Ficção e Fantasia.
28640	34600	O prêmio é uma oportunidade para você estar conhecendo novos podcasts dos mais variados temas
34600	42320	e ajudar, mais uma vez, a usar a força dos guaxinims, o guaxapower,
43000	46040	para, mais uma vez, ajudar o podcast a ficar conhecido.
46500	52200	Seria maravilhoso ficar no top 10, no top 5, talvez, de ficção e fantasia.
52660	56600	Então vai lá, prêmio mpb.com.br.
56600	58440	Você cria o seu cadastro.
58640	61720	Você pode conhecer um monte de podcasts maravilhosos.
61780	64980	Votar, né? Também outros podcasts que você escute.
65440	70240	Mas o principal que eu peço a vocês é votar no RPG Guache em Ficção e Fantasia.
70460	74080	Se votar uma vez, fico eternamente grato.
74220	80340	Mas, sempre que você lembrar, você pode, uma vez por dia, dar seu voto.
80580	83740	Então vota hoje, vota amanhã, vota depois.
84680	85780	Esqueceu? Acontece.
85840	88520	Mas aí, fim de semana, sentou no computador para jogar.
88640	90700	Lá, o seu RPG via Discord.
91000	92920	Antes da jogatina, vota.
93260	96520	Peço para os seus amigos lá da mesa, lembrem-se de votar no RPG Guache também.
96520	100080	Então, por favor, peço sua ajuda, seu apoio.
100400	104360	RPG Guache, prêmio mpb.com.br.
104600	106320	Ficção e fantasia.
106840	111960	Quero muito ganhar, quero muito me classificar numa posição bacana.
112360	114120	E isso depende de você.
114420	117860	Olá, eu sou a Juleiva e vocês me encontram no Arroba Guachete.
117960	118520	Oi, aqui é...
118640	119100	A Shelly.
119340	123380	E vocês me encontram no Instagram e no BlueSky com o Arroba Shelly Poison.
123720	126240	E também no RPG Next em Aventuras Antigas.
126360	126880	Oi, galera.
127180	130560	Aqui é a Fabiola e vocês me encontram na Taberna do Guaxinim.
130700	132040	Venham virar apoiadores.
132520	137220	O Realidades Paralelas do Guaxinim usa o sistema Guaxinins e Gambiarras.
137740	141920	Nele, cada jogador possui apenas um atributo, que vai de 2 a 5.
142520	145060	Quanto maior o atributo, mais atlético é o personagem.
145520	147700	Quanto menor, mais inteligente e carismático.
147700	151740	Sempre que o jogador faz algo com uma chance de errar, joga dois dados.
151960	155360	E precisa tirar seu atributo ou menos para ataques e ações físicas.
155820	158800	E seu atributo ou mais para ações intelectuais ou sociais.
159220	163220	Se a jogada for fácil ou tiver algum auxílio, joga um dado a mais.
163640	166600	Se a jogada for difícil, rola um dado a menos.
167460	171280	Eu sou a Rafaela Rangel e sou madrinha do RPG Guaxa.
171640	174380	Primeiro porque a gente precisa manter esse projeto vivo.
174380	177380	E segundo porque todo o amor e acolhimento que eu recebo...
177940	180380	desde que eu cheguei na taberna vale cada centavo.
181360	182160	Sejam padrinhos!
182560	186220	Antes de conhecer o episódio de hoje, nosso querido editor Rafael Zorzal...
186220	187380	que também é um roteirista maravilhoso.
188440	191540	Ele terminou seu livro, que vai sair no dia 9.
191820	194200	Falo mais sobre isso no Escudo do Mestre.
194620	197040	Mas deixo aqui uma palhinha para vocês.
197540	201540	Com um sorriso de canto de boca e olhando diretamente para a tela do computador...
201540	205800	Roberto começou a ouvir o som que saía do rapaz no fundo da cafeteria.
206620	207540	Pela primeira vez em algum tempo...
207700	210700	Roberto usou o dom que adquiriu aos 11 anos de idade.
210700	214700	Os barulhos do restaurante e os demais barulhos foram se abafando...
214700	219700	enquanto Roberto se concentrava a ouvir apenas aquele único som.
219700	222700	O som da mente de outra pessoa.
222700	224700	Ele é daqui a pouquinho.
224700	226700	Será que você trabalhou ou só de bobeira?
226700	228700	Receio uma fala com ele.
228700	230700	Ele parou de acessar a mente do seu admirador...
