start	end	text
0	16500	Uma guerra entre orques e elfos que se estende por gerações.
16800	20340	Uma guerra tão equilibrada que qualquer movimento novo pode levá-la ao fim.
20680	22520	É isso que os elfos vão tentar hoje.
22800	25540	Mas os orques estão prontos para fazer qualquer coisa para evitar.
26000	27260	Ou quase qualquer coisa.
27580	28380	Episódio de hoje.
28380	30060	As princesas orquisas.
30580	31320	Com as madrinhas.
32000	35000	Neo, lá do Nossa Poesia e do Projeto Drama.
35360	37540	Com a Ana, que também é do Projeto Drama.
37820	40260	E com a Fran, que por enquanto não tem projeto.
40600	42000	Vou dizer que é só do RPGuache.
42380	46880	O Realidades Paralelas do Guaxinim usa o sistema Guaxinins e Gambiarras.
47240	51860	Nele, cada jogador possui apenas um único atributo, que vai de 2 a 5.
52280	54920	Quanto maior o atributo, mais atlético é o personagem.
55240	57480	Quanto menor, mais inteligente e carismático.
57480	61360	Sempre que o jogador faz algo com uma chance de errar, joga dois dados.
61800	65320	E precisa tirar seu atributo ou menos para ataques e ações físicas.
65640	68700	E seu atributo ou mais para ações intelectuais ou sociais.
69320	72820	Se a jogada for fácil, ou tiver algum auxílio, joga-se um dado a mais.
73360	75780	Se a jogada for difícil, rola-se um dado a menos.
76600	78360	Eu sou o Gilles e sou padrinho da RPGuache.
78460	80160	Porque quero que este projeto continue crescendo.
80460	82440	E porque gosto demais de fazer parte da taberna.
83140	84600	Não deixe de me seguir nas redes sociais.
84600	85940	Arroba Marcelo Guaxinim.
86040	86820	Arroba RPGuache.
86820	89180	Tanto no Twitter quanto no Instagram.
89620	92240	Considere-se se tornar um apoiador desse projeto.
92320	94580	Lá pelo PicPay ou pelo Padrim.
94960	98160	E saiba que agora o RPGuache tem canecas.
98480	99540	Tem uma arte incrível.
99920	101440	Para você que é um teórico do Guaxaverso.
101760	102760	Dá uma olhada no post.
103180	105860	E eu vou falar mais sobre isso no final do episódio.
106260	106840	Boa aventura.
116820	134140	E aí, vocês estão na caverna.
134660	135280	Rola os dados.
136340	137960	Bola de fogo.
138700	141720	Chama o clérigo.
141720	144220	Assim eu morri.
144660	146540	Hora iniciativa.
146820	149580	Então, não tem armadilha.
149860	150500	Podemos ir.
151200	152380	O que vocês fazem?
153760	154460	Tá, tá.
154660	157800	Eu amarro uma corda nelas e uso como arma.
158160	159040	Eu ataco.
159440	163400	O mago lança seu Thunderbolt mais 15 no Ubi Holder.
163420	165700	Eu quero rolar a percepção, posso?
166420	168100	Tem algum lugar para se esconder?
168740	170980	Ah, falha a crítica.
171560	172360	Ataque de habilidade.
172700	173640	Erro, mano.
173740	174920	Chama o clérigo.
174920	175000	Chama o clérigo.
