680;8580;;"09";Alguém, que com certeza não fui eu, certa vez disse que o melhor lugar para conhecer alguém verdadeiramente é numa festa.
9300;11840;;"09";Eu discordo, mas talvez essa pessoa estivesse certa.
12520;18960;;"09";A aventura de hoje, assim como o baile de hoje, não é recomendado para menores de 16 anos.
21020;26560;;"09";Episódio de hoje, Baile das Rosas, Doces ou Travessuras.
26560;54560;;"10, 09";Galinha Viajante
56560;64500;;"09, 04";Eu sou a Rafa Malecheschi e vocês me encontram no Instagram como Rafa Malecheschi e no Instagram do RP Guaxa.
64520;72280;;"09";Eu sou o Basso, o meu Twitter é arroba senhor Basso, senhor escrito por extenso, e vocês podem me encontrar lá no leitor cabuloso.
86560;116540;;"06";Eu sou o Basso, o meu Twitter é arroba senhor Basso, senhor escrito por extenso, e vocês podem me encontrar lá no leitor cabuloso.
116540;116560;;"06";Eu sou o Basso, o meu Twitter é arroba senhor Basso, senhor escrito por extenso, e vocês podem me encontrar lá no leitor cabuloso.
116560;146540;;"06";Eu sou o Basso, o meu Twitter é arroba senhor Basso, senhor escrito por extenso, e vocês podem me encontrar lá no leitor cabuloso.
146540;176520;;"06";Eu sou o Basso, o meu Twitter é arroba senhor Basso, senhor escrito por extenso, e vocês podem me encontrar lá no leitor cabuloso.
176520;206500;;"09";Eu sou o Basso, o meu Twitter é arroba senhor Basso, senhor escrito por extenso, e vocês podem me encontrar lá no leitor cabuloso.
206520;236500;;"05";Eu sou o Basso, o meu Twitter é arroba senhor Basso, senhor escrito por extenso, e vocês podem me encontrar lá no leitor cabuloso.
236500;266480;;"05, 03, 00";Eu sou o Basso, o meu Twitter é arroba senhor Basso, senhor escrito por extenso, e vocês podem me encontrar lá no leitor cabuloso.
266480;296440;;"09";Eu sou o Basso, o meu Twitter é arroba senhor Basso, senhor escrito por extenso, e vocês podem me encontrar lá no leitor cabuloso.
296480;301980;;"09";Uma noite em especial está prestes a mudar esse cenário monótono para alguns jovens, né?
302360;308660;;"09";Ruxandra, uma estudante do terceiro semestre de artes, convidou nossos jogadores para uma festa.
309040;312760;;"09";Sim, a mesma Ruxandra que se destaca com seu estilo alternativo,
313120;315880;;"09";parecendo um catálogo de tatuagens com tema de flor.
316140;320600;;"09";Seus cabelos loiros frequentemente são manchados de tinta quando ela retorna da faculdade.
320920;325480;;"09";Ruxandra é uma pessoa quieta, cuja mente parece sempre estar vagando em busca de inspiração artística.
326480;330380;;"09";Vale destacar que ela mal trocou mais do que duas palavras com os jogadores,
330820;334160;;"09";ou qualquer outra pessoa, até onde vocês sabem, durante todo o ano.
334420;338400;;"09";Ela passava a maior parte do tempo olhando pela janela do ônibus, com semblantes distantes.
338660;344400;;"09";No entanto, essa semana ela está surpreendentemente animada e comunicativa como nunca antes.
344700;350560;;"09";Ela se dirigiu a cada um dos jogadores e convidou para um baile funk na noite de Halloween,
350880;353220;;"09";que em 2023 caiu numa terça-feira.
353220;355220;;"09";Mas antes de prosseguir, vamos conhecer...
355480;360260;;"09";Os jovens que a Ruxandra convidou para esta noite de festa.
360480;363260;;"09";Agatha, fala sobre sua personagem, aparência e atributo.
363460;365640;;"10";O nome da minha personagem é Olivia Karen.
366000;368880;;"10";Os pais dela queriam... Um queria Karen, o outro queria Olivia.
369180;371580;;"10";Não se decidiram no final, colocaram os dois nomes.
372100;373220;;"10";O atributo dela é 2.
373740;375640;;"10";Ela é estudante de gastronomia.
376200;380640;;"10";Ela é loira, alta, de cabelos longos, dourados e ondulados.
380940;385440;;"10";Ela é gorda, branca e sempre está usando roupas em tons mais escuros.
385820;387820;;"10";Como roxo, preto ou vermelho.
388520;392520;;"10";Ela é bem retraída, quase não fala e sempre está focada nos estudos.
393120;398000;;"10";Ela conheceu a Ruxandra quando ela deixou cair alguns livros no corredor da faculdade.
398520;401180;;"10";E a Ruxandra se ofereceu para pegar os livros para ela.
401740;403060;;"10";E foi amor à primeira vista.
403280;405960;;"10";Ela está completamente apaixonada por essa menina.
406620;408820;;"10";E só tem olhos para ela e fica idealizando.
409640;412700;;"10";O negócio é que ela nunca falou propriamente dito com a Ruxandra.
412700;415340;;"10";Nunca trocou outras palavras que não fossem aquele obrigado.
415480;418200;;"10";Ela vai para a festa vestida de Scylla.
418720;421800;;"10";Que é a figura mitológica que ela mais gosta.
421920;425400;;"10";Mas está todo mundo confundindo ela com a Úrsula da Pequena Sereia.
425500;427620;;"10, 09, 04";Rafa, fala sobre os personagens para esse atributo.
427640;429740;;"09, 04";Olá, hoje eu vou jogar com a Marina.
430020;433880;;"04";A Marina tem 22 anos e ela está no quarto ano do curso de História.
434140;439800;;"04";A sua paixão pelo curso começou graças a uma professora de História com quem ela teve aulas no Ensino Fundamental.
440280;442020;;"04";E que fez a Marina criar um objetivo.
442020;445020;;"04";Que um dia ela iria tentar fazer os alunos...
445480;448880;;"04";Que os olhos dos seus alunos brilharem assim como ela se sentia nessas aulas.
448880;450880;;"04";Ela se mudou para fazer a faculdade.
450880;460240;;"04";E sendo uma pessoa comunicativa e sociável, ela pegou algumas matérias optativas em outros cursos para conseguir conhecer gente nova.
460240;463640;;"04";Foi assim que ela fez uma matéria de História da Arte com a Ruxandra.
463640;465640;;"04";Mas não imaginava ser chamada para a festa.
465640;467240;;"04";Porque elas não conversaram muito.
467240;474520;;"04";A Marina tem uma estatura baixa, pele branca, olhos castanhos, é gorda, tem os cabelos verdes azulados na altura dos ombros.
474520;475880;;"04";Com a raiz escura aparente.
475880;477880;;"04";Ela vai para a festa com um vestido branco.
477880;480880;;"04";Alguns acessórios dourados na cabeça e nos braços.
480880;482880;;"04";Além de algumas faixas pelo corpo.
482880;486320;;"04";Tentando reproduzir alguma versão da Cleópatra mumificada.
486320;488320;;"09, 04";O atributo dela é o 3.
488320;491680;;"09";Perfeito. Um baço. Fala sobre esse personagem, por exemplo.
491680;494960;;"09, 04";Eu vou jogar com o Diego, mais conhecido como Digão.
494960;499880;;"09";Ele é um rapaz de uns 22 anos que está no segundo ano de Educação Física.
499880;502880;;"09";Ele escolheu o curso porque ele já faz crossfit há alguns anos.
502880;504360;;"09";E achava que combinava isso com ele.
504360;510360;;"09";Ele também pensa em depois concluir o curso, talvez conseguir um emprego em uma academia.
510360;513360;;"09";Ou quem sabe até abrir o próprio box de crossfit.
513360;515360;;"09";O Digão possui uma estatura média.
515360;518360;;"09";Ele tem cabelos curtos e olhos castanhos.
518360;523360;;"09";Ele gosta muito de atividades ao ar livre, se movimentar, de fazer trabalhos manuais.
523360;527360;;"09";Ele gosta bastante de desafios e pode ficar um pouco competitivo.
527360;531360;;"09";Faz tempo que ele está criando coragem para fazer a primeira tatuagem dele.
531360;534360;;"09";Uma coisa que eu acho que vê que todo mundo lá nos box de crossfit.
534360;535360;;"09";Finalmente tem.
535360;539360;;"09";Mas ele não consegue se decidir muito por qual que ele vai fazer.
539360;542360;;"09";E ele sempre olhou muito as tatuagens que a Ruxandra tem.
542360;545360;;"09";Ele achava sempre os desenhos muito bonitos.
545360;548360;;"09";Mas ele nunca teve muita abertura para conversar com ela.
548360;551360;;"09";Por isso até que ele ficou animado quando ela o convidou para a festa.
551360;554360;;"09";Porque ele achou que finalmente ia ter uma oportunidade de abordar o assunto.
554360;556360;;"09";Para conversar com ela sobre isso daí.
556360;561360;;"09";Porque assim, se não fosse isso, era bem provável que o Digão nem fosse.
561360;563360;;"09";Porque ele tem um pouco de assim com festa de Halloween, que ele tem medo de fantasma.
564360;567360;;"09";Para a festa daí, ele conseguiu arrumar uma fantasia de He-Man.
567360;572360;;"09";Mas não está com aquela sunga de pelo que tem no He-Man.
572360;575360;;"09";Está por cima, na verdade, de um short de ginástica.
575360;577360;;"09";Para não ficar indecente.
577360;579360;;"09";Está por cima de um short que vai até o joelho, mais ou menos.
579360;583360;;"09";Tem aquele X ali no peito de couro, igual a do He-Man.
583360;587360;;"09";Uma peruca loira barata ali, tipo da fantasia.
587360;589360;;"09";E a fantasia não vinha com a espada.
589360;592360;;"09";Então ele conseguiu emprestar uma espada do Thundercats mesmo.
592360;593360;;"09";E o atributo dele é 5.
593360;609360;;"09";A Ruxandra marcou com vocês no posto de gasolina às 22 horas.
609360;612360;;"09";Alguém vai chegar muito antes? Alguém vai chegar na hora?
612360;614360;;"09";Como é que vocês vão? Só para eu me organizar.
614360;617360;;"09";Eu acho que eu vou chegar ali uns 5 minutos para as 10, assim.
617360;620360;;"09, 04";A Marina chega também por aí, um pouquinho antes das 10.
620360;622360;;"10, 04";A Olivia, como ela está muito nervosa de encontrar a Ruxandra.
622360;626360;;"10";Ela chega uns 10, 15 minutos antes.
626360;632360;;"10, 09";E fica esperando ali na parada, na parede ali do posto de gasolina.
632360;635360;;"09";Perfeito. Os três se conhecem ou não?
635360;640360;;"09";Quer dizer, se conhecem de vista, mas tem alguma relação de amizade entre vocês?
640360;643360;;"09";Eu estava pensando que assim, nós três temos 22 anos.
643360;647360;;"09";Sendo uma cidade pequena, é bem provável que a gente tenha cursado a mesma escola.
647360;650360;;"09";Não, não. Mas é uma cidade dormitório.
650360;651360;;"09, 03, 00";Ah, tá. Desculpa.
651360;656360;;"09, 00";Provavelmente vocês estão aí alugando um apartamento, talvez dividindo com alguém.
656360;659360;;"09";Mas vocês não... Quer dizer, alguém pode ter nascido aí.
659360;662360;;"09";Mas não é necessário. A maioria aí é dormitório mesmo.
662360;665360;;"09, 03";Então eu acho que o Digg não deve conhecer ninguém.
665360;670360;;"09";Porque o curso é meio que, não sei nem o tipo de educação física e o restante é de humanas, né?
670360;673360;;"09";Então não sei se ele, acho que não conheceria não.
673360;680360;;"10, 09";Rafa, a proposta que eu tenho é, você quer que a Marina seja a única amiga que a Olivia tem nessa faculdade?
680360;688360;;"10";É a única pessoa que ela conversa de verdade e fica enchendo o seu ouvido até o último sobre como a Roxandra é incrível?
688360;693360;;"10, 04";Pode ser. A Marina, ela veio de fora, mas aí a gente se conheceu ali na faculdade.
693360;696360;;"04";Porque ela, enfim, tenta conversar com todo mundo que ela consegue.
696360;701360;;"09, 04";Então a Olivia é a primeira a chegar no posto de gasolina, né? Ela chega um pouco antes que os outros.
701360;706360;;"09";O posto de gasolina, ele fica na beira da estrada principal, né? Nas noites de quinta e sexta-feira.
706360;709360;;"09";Em fim de semana, o posto costuma estar cheio de jovens.
709360;713360;;"09";Mas hoje é uma terça-feira, né? Então tá, tá bem pacato.
713360;718360;;"09";O ambiente é preenchido pelo rádio tocando baixinho chão de giz e pelo calor acolhedor.
718360;722360;;"09";Sobre a sombra das árvores que cercam o posto, alguns carros estão estacionados.
722360;727360;;"09";Ao longo do cenário, tem um homem sentado num banco assim, próximo mais da estrada.
