start	end	text
160	5900	Existe um reino protegido por sete cavaleiros, cada um com uma capa representando uma cor do arco-íris.
6200	9500	Mas isso não é um episódio sobre eles. O episódio sobre eles foi outro, inclusive.
10060	16140	Esse episódio é de uma geração anterior. Esse episódio é sobre política e uma grande aventura.
16480	20300	Episódio de hoje, Cavaleiros Arco-íris, o último corvo.
20640	25180	Com JP Bunch, lá do Paralelo B, com a Sabrina da Geek Inventário.
25500	28160	E com Rafael Tellerman, do Gerência Sem Experiência.
28160	32840	O Realidades Paralelas do Guaxinim usa o sistema Guaxinins e Gambiarras.
32960	37200	Nele, cada jogador possui apenas um único atributo que vai de 2 a 5.
37360	40500	Quanto maior o atributo, mais atlético é o personagem.
40900	43400	Quanto menor, mais inteligente e carismático.
43820	51960	Sempre que o jogador faz algo com uma chance de errar, joga dois dados e precisa tirar seu atributo ou menos para ataques e ações físicas.
52120	55720	E seu atributo ou mais para ações intelectuais ou sociais.
55720	60180	Se a jogada for fácil ou tiver algum auxílio, joga-se um dado a mais.
60520	63040	Se a jogada for difícil, rola-se um dado a menos.
63380	71300	Eu sou o Paulo Vitor e sou o padrinho do RP Guaxa, porque todas essas aventuras me fizeram companhia no trajeto de ida e volta do trabalho.
71420	77720	E agora, durante a pandemia, elas têm feito com que as minhas quintas-feiras sejam, pelo menos, um pouquinho mais divertidas.
78440	85480	Não deixe de nos seguir nas redes sociais, arroba Marcelo Guaxinim, arroba RP Guaxa, tanto no Twitter quanto no Instagram.
85720	89720	Considere também se tornar apoiador lá pelo PicPay ou pelo Padrim.
90080	93040	Maiores informações no Escudo Mestre, ao final do episódio.
93520	94180	Boa aventura!
115720	116260	Podemos ir.
117000	118160	O que vocês fazem?
119560	123580	Ah, tá. Eu amarro uma corda nelas e uso como arma.
123960	124840	Eu ataco.
125240	129180	O Magro lança seu Thunderbolt mais 15 no Ubi Holder.
129200	131480	Eu quero rolar a percepção, posso?
132220	133880	Tem algum lugar para se esconder?
134540	136760	Ah, falha a crítica.
137340	138140	Ataque de impunidade!
138500	140740	Ei, Romano, chama o clínico!
143520	145500	RPG Realidades Paralelos.
145720	147080	Paralelas do Guaxinim.
147440	149740	Sua aventura de bolso na forma de podcast.
150460	153000	Uma jornada completa a cada episódio.
171660	175680	As histórias contam que no passado o mundo era selvagem, cheio de criaturas.
175720	178120	Mágicas, dragões e bruxos malignos.
178640	182000	As aglomerações humanas eram pequenas e todos viviam com medo.
182740	187480	Até que surgiu um homem com sua espada mágica e a ajuda de sete cavaleiros fiéis.
188060	193680	Venceu todo o mal e fundou um reino próspero, onde todos podiam ser felizes e viver em paz.
194440	196800	Esse reino recebeu o seu nome, Ararat.
197400	199560	Sir Ararat de herói passou a rei.
199920	201800	O rei maravilhoso que nunca teve filhos.
201800	204700	No final de sua vida começou a ser cobrado pelos nobres.
204880	205300	A indicar.
205300	206820	A indicar alguém a sucedê-lo.
207460	209080	Mas Ararat tinha outros planos.
209800	215280	Notando que as famílias estavam a ponto de declarar guerra, Ararat cravou sua espada mágica numa pedra
215280	219320	e definiu que quem tirasse a espada seria digno de ser o novo rei.
219480	224520	E que até lá, o regente seria eleito a cada sete anos, de maneira democrática.
224840	226880	Passaram-se sete anos do último regente.
227400	230340	As famílias estão se organizando para eleger seu sucessor.
230540	235220	Basicamente, quem é candidato a regente tem que conseguir assinaturas de outras famílias.
235300	240920	E quem conseguir mais assinaturas, seguindo alguns outros critérios que foram criados ao longo do tempo,
241240	244140	acaba se tornando regente pelos próximos sete anos.
244440	247880	Ninguém pode se reeleger, então é uma vez só.
