0;13120;;"03";O Jogo do Bicho
30000;59980;;"03";Jogo do Bicho
60000;89980;;"02, 05, 03";Jogo do Bicho
89980;119960;;"15, 02, 05";Jogo do Bicho
119980;149960;;"15";Jogo do Bicho
149980;155380;;"15";A história é uma mistura de Manuel Carlos com Cavaleiros do Zodíaco
155380;158140;;"15";Só que a nossa Helena se chama Pedro
158140;160460;;"15";Agora vamos olhar pelo espelho retrovisor
160460;164660;;"15";Imaginário, já que o Jardim Robô me retrovisou em nosso último encontro
164660;166980;;"15";E observar os nossos heróis
167620;169360;;"05";Shelly, fale sobre o seu personagem
169360;176260;;"09, 05";A minha personagem é a Anísia
176260;178680;;"09";Uma negra maravilhosa, escultural
178680;179680;;"09";Com cabelo afro
179980;182340;;"09";Cheio de penteados maneiros
182340;186000;;"09";Ela é originária de Laguna de Abril
186000;189740;;"09";Tem um sotaque específico daquela região
189740;191060;;"09";Aí, meu irmão
191060;194600;;"09";Ela usa roupas de animal print
194600;196940;;"09";Unhas sempre bem feitas
196940;197940;;"09";Ela é toda bonitona
197940;201480;;"09";E ela tem o pingente de coelhinha
201480;203940;;"09";Orelhinhas, rabinho de pompom
203940;205800;;"09";E pezinhos de coelho
205800;207860;;"09";E o atributo dela é 4
209980;212880;;"05";Perfeito, Thaís
212880;217140;;"05, 10";Eu sou a Cris
217140;220880;;"10";A Cris é uma menina encrenqueira
220880;221800;;"10";Muito encrenqueira
221800;223300;;"10";Ela é de São Paulo, meu
223300;227140;;"10";E ela é uma menina morena, baixinha
227140;229400;;"10";Usa calça bem justinha
229400;232660;;"10";Uma blusa de super-herói, sempre
232660;234700;;"10";E não mexe comigo, não
234700;236300;;"10";Minha armadura é de gatinha
236300;237840;;"10";Meu atributo é assim
237840;239940;;"10";Hello Kitty, Hello Kitty
239980;241520;;"05";E por último, Felipe
241520;244820;;"07, 05";Eu sou o Pedro
244820;247480;;"07";Um senhor de 40 anos
247480;250120;;"07";Eu estou um pouco mais em forma
250120;251560;;"07";Por ter subido e descido o morro
251560;252920;;"07";Ter conhecido São Paolo
252920;255560;;"07";Caminhando por toda a cidade
255560;256400;;"07";Na última aventura
256400;259720;;"07";E eu porto a armadura de madruguinha
259720;261640;;"07";E meu atributo é 3
269980;277320;;"05";Sobre a música
277320;278120;;"05";Então, como foi dito antes
278120;278920;;"05";O Zé Droguinha agora se intitula José Trabalhador
278920;280080;;"05";Ele foi eleito e deu um golpe de Estado
280080;282380;;"05";Ele se tornou um ditador dos Estados Unidos do Brasil
282380;286480;;"05";Com a promessa de acabar com a música em todo o território
286480;289340;;"05";Ele tem caçado músicos e dançarinos
289340;292060;;"05";Com medo do poder de vocês
292060;294380;;"05";Ele colocou um prêmio para quem eliminá-los
294380;296260;;"05";E agora ele precisa ser parado
296260;298500;;"05";Após os eventos de São Paolo
298500;299860;;"05";Vocês embarcaram nessa Kombi
299860;299960;;"05";Do Zé Droguinha
299980;301900;;"05";E partiram em direção
301900;303420;;"05";Da capital do país
303420;304680;;"05";Que é Gurgel
304680;306100;;"05";Que fica no Distrito Federal
306100;317560;;"07, 02, 05, 08";Vocês estão
317560;319220;;"05";Na Kombi então
319220;321560;;"05";Uma Kombi velha, faltando várias coisas
321560;324600;;"05";Estão dirigindo por estradas de chão
324600;325960;;"05";Porque vocês não podem pegar
325960;327400;;"05";Estradas principais
327400;329720;;"05";Que vocês estão sendo procurados
