start	end	text
0	14780	A vela é uma fonte de luz utilizada desde os tempos remotos, quer na sua forma simples
14780	20800	ou acopladas em lanternas, utilizadas muito antes da descoberta da lâmpada e outros sistemas
20800	22180	de iluminação elétricos.
22920	26820	A confecção de velas foi desenvolvida independentemente em muitos lugares ao longo da história.
26820	30380	As velas foram criadas pelos romanos a partir de 500 a.C.
30680	34220	Estas eram verdadeiras velas, imensas e feitas em sebo.
34500	39840	Os primeiros registros de velas feitas de gordura de baleia na China remontam à dinastia
39840	42560	Xin, mais de 200 a.C.
43000	47440	Na Índia, a parafina da canela a ferver foi usada para a fabricação de velas nos templos.
47740	52120	Em parte da Europa, do Oriente Médio e da África, onde o óleo de lâmpada feito de
52120	56800	azeitonas estava prontamente disponível, a confecção de velas permaneceu desconhecida
56800	58680	até a Idade Média.
59700	61360	Uma vela é uma ótima alusão à vida.
62180	65560	Uma vela que ilumina mais costuma acabar mais rápido.
66700	68800	Episódio de hoje chama...
70160	73600	Com os padrinhos Ramon, lá do Sycast e do Missangas.
74200	78260	Essa segunda parte é mentira, mas ele pediu pra gente colocar aqui como propaganda, então
78260	79260	eu agradeço.
80340	86040	A Luana, lá do Jeitinho Geek, uma lojinha maravilhosa de coisinhas geeks e nerds, que
86040	86460	por sinal...
86460	92820	Tá com uma ilustração incrível para este episódio, que você pode aproveitar em diversos
92820	94480	produtos, então confere lá.
95000	96600	E a Fernanda, do Estação 21.
97160	102320	O Realidades Paralelas do Guaxinim usa o sistema Guaxinim Zigambiarras.
102900	108240	Nele, cada jogador possui apenas um único atributo, que vai de 2 a 5.
109020	112140	Quanto maior o atributo, mais atlético é o personagem.
112780	115460	Quanto menor, mais inteligente e carismático.
115460	116440	Sempre.
116460	120480	Sempre que o jogador faz algo com uma chance de errar, joga dois dados.
120980	126560	E precisa tirar o seu atributo ou menos para ataques e ações físicas, e seu atributo
126560	129420	ou mais para ações intelectuais ou sociais.
130000	133840	Se a jogada for fácil ou tiver algum auxílio, joga um dado a mais.
134540	137000	Se a jogada for difícil, rola-se um dado a menos.
138020	143880	Eu sou a Bia, também conhecida como Bia Rebelde, e sou madrinha do RP Guaxa, porque além do
143880	146320	Guaxa merecer todo o apoio para esse projeto.
146460	146940	Incrível.
147500	151200	A taberna é o melhor lugar para se estar a qualquer momento do dia.
151700	154700	Não deixe de seguir nas redes sociais, arroba a Masala Guaxinim e arroba a RP Guaxa, tanto
154700	155720	no Twitter quanto no Instagram.
156140	159880	Considere também nos apoiar no PicPay ou no Padrim, e boa aventura.
170480	174900	Sete realidades paralelas, com uma infinidade de possibilidades.
174900	177500	Três jogadores e um guaxinim.
178120	181100	Cuidado com o vão entre o trem do hype e a plataforma.
181680	185700	Aguarde a aventura parar totalmente para embarcar e boa viagem.
188940	189780	Cinco.
191800	192680	Quatro.
194740	195580	Três.
195580	196580	Dois.
197780	198260	Dois.
202940	203420	RPG.
203980	204580	Realidades Paralelas.
204900	208540	Sua aventura de bolso na forma de podcast.
208920	211440	Uma jornada completa a cada episódio.
225380	230980	Gardênia Vermelha é uma pequena vila que produz perfumes muito admirados dentro das
230980	232460	muralhas do Castelo Negro.
