start	end	text
0	5620	Imagine um mundo em que todo o trabalho é substituído por máquinas
5620	8400	Será que a humanidade rumaria para um paraíso em vida
8400	13280	Com todo mundo se abraçando e aproveitando longas horas de ócio criativo
13280	17420	Ou isso apenas vai gerar mais desemprego e criar um abismo social maior ainda
17420	18600	E nas relações?
19300	22920	Se você puder escolher a aparência da pessoa amada, sua personalidade
22920	26620	Se você pudesse desligá-la de vez em quando
26620	29560	Um marido que não joga futebol toda quarta-feira
29560	32760	Uma esposa... ok, sem estereótipos aqui
32760	38040	Mas tente pensar em um futuro onde as máquinas podem literalmente substituir a humanidade
38040	39020	Em tudo
39020	41040	O que você pensa disso?
41220	45120	Ou melhor, já que você foi substituído, o que as máquinas pensam disso?
46440	48580	Episódio de hoje, 5
48580	53020	Com a madrinha Juleiva, aqui do RP Guaxa
53020	57940	Me ajuda muito lá no Instagram e em várias outras coisas do dia-a-dia deste projeto
57940	59300	Com o padrinho Chunin
59300	63100	Que por enquanto tem apenas um Instagram onde ele faz cantadas ruins
63100	65100	Convido vocês a conhecerem
65100	66420	E com o Caio Cruz
66420	69080	Nosso maior teórico do Guaxa Verso
69080	70200	Que não existe
70200	71920	Ele tem um podcast chamado
71920	73480	Só o Manchote
73480	74520	É um podcast de RPG
74520	76920	Ele tem um podcast de audiodramas
76920	78500	Chamado Arquivos SCP
78500	81620	Também tem o Instagram dele, pra quem quiser dar uma olhada
81620	83520	E ele faz coisas como
83520	84980	Aquele audiodrama
84980	87420	Que ficou no final do Guaxa Verso retrasado
87420	88720	Do Juju Alive
88720	89280	Do Juju Alive
89300	90060	Dá uma conferida lá
90060	106160	Suporte da Guaxinim Limitada
106160	107620	Ibrahima dos Netos falando
107620	108680	Com quem falo?
109100	111280	Oi, está falando com a Fabíola
111280	112820	Boa tarde, senhora Fabíola
112820	116320	Antes de continuar, preciso lembrar que essa ligação é gravada
116320	117680	Seu protocolo é
117680	119140	RP
119140	123080	11984
123080	126100	C4N4
126100	128680	Gostaria de ouvir o protocolo novamente?
129420	131200	Não, obrigado, já anotei
131200	132840	Ok, vamos lá então
