start	end	text
0	9760	Quando eu escrevo as aventuras do RPG Watch, eu sempre tento contar uma história diferente.
10000	12440	Mesmo que repita os jogadores e o cenário.
12660	17060	Os jogadores do episódio de hoje, você já os ouviu naquele episódio de criaturas adolescentes.
17440	19360	E ele tem ligação lá com o episódio do baile.
19780	24640	Mas enquanto o episódio passado deles foi uma aventura escolar, essa vai ser uma aventura um pouco diferente.
24640	32320	E por isso, se você ouviu o episódio anterior com sua criança, eu não lembro qual a classificação poderia ser para aquele.
32580	39320	Esse episódio é recomendado para maiores de 16, por coisas que normalmente você não vê aqui no RPG Watch.
39540	40120	Ficou o aviso.
41980	42860	Episódio de hoje.
43900	46000	Clube dos Monstros ao resgate.
47360	48400	Com a volta dos padrinhos.
49060	52900	Fabio Labello, Adriano Trota e Rafael Zipão.
54640	56920	Ei, você. Sim, você mesmo.
57320	58080	Em que época a gente tá?
58620	60140	O Sheriff já é conhecido?
60760	62600	Já aconteceu a corrida dos guaxinins pelos tacos?
63360	63840	Espera.
64460	65720	Você parece meio confuso.
65980	66660	Ah, droga.
67160	69100	Você ainda não tá na taverna do guaxinim, não é?
69820	70720	Tá, me escuta bem.
71540	72540	Isso vai ser bem importante.
73280	79060	O sistema do guaxinim de gambiarras é um sistema que cada jogador possui apenas um atributo que vai de 2 até 5.
79740	82220	Quanto maior o seu atributo, mais atleta que você é.
82420	84420	Quanto menor o seu atributo, mais inteligente.
84640	85740	E mais automático, ok?
86740	90060	Se o jogador fizer algo com chance de errar, ele rola dois dados.
90880	93700	Em que para ataques e ações físicas, você precisa tirar seu atributo ou menos.
93920	96620	E para situações sociais e mentais, seu atributo ou mais.
97340	98600	Escutou bem? Tá certinho?
99040	99960	Acho que consegue lembrar disso?
100760	101200	Perfeito.
101880	102960	Agora se junta à taverna.
103160	105800	Lá você vai achar pessoas bastante escolhedoras e maravilhosas.
106460	107720	Eles vão te manter a salvo de tudo isso.
108340	110220	Apenas fala que foi o viajante que te mandou, ok?
110960	112680	Agora me dá licença, eu preciso correr.
112680	114620	Eu preciso avisar Nick antes que seja tarde.
114660	115160	É tarde demais.
115760	116400	Me desejo sorte.
142660	144060	Vantagens mil.
144620	145780	E agora, a segunda coisa que eu sempre esqueço de pedir.
146220	148540	Vai lá no seu aplicativo que você escuta o podcast.
149320	152340	Vê se ele tem um sistema de deixar comentários ou estrelas.
152700	154600	E vai lá, avalia o RPG Watch.
155040	157240	Em especial quem usa o Spotify, o aplicativo.
157780	159720	Deixe cinco estrelinhas, deixe o seu comentário lá.
160100	163480	Mostre para as redes que o nosso podcast, ele é importante.
174620	188880	7 realidades paralelas, com uma infinidade de possibilidades.
188880	191720	Três jogadores e um guaxinim.
191720	195020	Cuidado com o vão entre o trem do hype e a plataforma.
195020	201240	Aguarde a aventura parar totalmente para embarcar e boa viagem.
202240	203240	Econômica.
203240	203420	.
203420	203580	.
203580	203740	.
203740	204040	.
204040	204080	.
204080	204220	.
204220	204240	.
204240	204460	.
204460	204540	.
204540	204560	.
204560	204580	.
204580	204600	.
204600	218000	5, 4, 3, 2, 1...
218000	221160	RPG. Realidades Paralelas do Guaxinim.
221540	223960	Sua aventura de bolso na forma de podcast.
224340	226860	Uma jornada completa a cada episódio.
234600	242360	Assim como as escolas do mundo humano, a Escola de Criaturas Adolescentes possui um sistema de clubes,
242520	246940	que é muito popular e oferece aos alu-monstros, alunos-monstros,
247360	251200	a oportunidade de se envolver em uma variedade de atividades extracurriculares.
251200	255340	Esses clubes são geralmente organizados e gerenciados pelos próprios monstrinhos,
255480	260040	com a supervisão de um ou mais monstrofessores ou orientamonstros.
260320	263500	Os clubes são criados com base em interesses e objetivos comuns
263500	266460	e podem se concentrar em uma ampla gama de atividades,
267060	272460	desde debates, caretas, sustos, voo, teatro, esculturas em abóboras,
272740	275720	voluntariado comunitário, tortura, etc.
276060	280420	Os alu-monstros normalmente se inscrevem para participar dos clubes no início do ano escolar,
280420	282920	mas alguns clubes permitem a adesão ao longo do ano.
283080	286220	A participação em clubes pode ser considerada um aspecto importante
286220	289160	na candidatura para a Universidade dos Monstros.
289260	293420	A famosa 1E, muitas vezes, é vista como uma indicação
293500	297500	de liderança, trabalho em equipe e habilidades organizacionais.
297500	303260	Além disso, os clubes também oferecem aos alu-monstros a oportunidade de fazer novos amigos
303260	307500	e construir relacionamentos com outros monstros que compartilham interesses semelhantes.
307500	312500	Eles podem se tornar uma comunidade importante para os alunos durante a escola secundária
312500	318000	e, muitas vezes, têm um papel significativo no desenvolvimento de suas habilidades sociais e monstruais.
318000	323060	Quando um alu-monstro não encontra um clube que se encaixa, ele pode sugerir a criação de um novo clube.
323060	330060	Para tanto, ele precisa enviar uma carta de intenção de criação com a assinatura de pelo menos 3 estudantes
330060	336060	antes do final do ano, para que a direção possa autorizar, ou não, sua criação no ano seguinte.
336060	342060	A carta com a intenção de criação do Clube de Cultura Humana para a apreciação da mesma,
342060	346060	mas a nova diretora está com um problema maior em suas ossudas mãos.
346060	351060	Algo que pode mudar os rumos da história humana, monstruosa e, principalmente,
351060	353060	do clube ainda não desenvolvido.
353060	356060	O clube ainda não foi fundado de estudos da cultura humana.
356060	364060	Antes de continuar, vamos conhecer os nossos alu-monstros, que são os mesmos da aventura passada.
364060	371060	Embora esse episódio seja uma aventura fechada e você pode ouvir sem ter ouvido o episódio anterior,
371060	376060	eu aconselho você a pausar e procurar se você ainda não ouviu.
376060	379060	Mas, se você não conhece, vamos apresentar novamente.
379060	381060	Fábio, fala sobre o personagem e a aparência da tribo.
381060	383060	Olá, humanos!
383060	385060	Prazer em conhecer vocês.
385060	387060	Eu vou jogar com a Nerecy.
