start	end	text
0	800	Estamos prontos?
1140	2000	Estamos sim!
2820	5180	Ah, você prefere mestre ou narrador?
6000	7740	Na verdade, eu prefiro guache.
10440	13540	Olá, eu sou o Marcelo Guaxinim, sou o guache da aventura de hoje.
14120	16720	Convido você a nos seguir nas redes sociais, eu vou marceloguaxinim.com.br
16720	20600	Estou no Twitter, conto no Instagram e outras redes por aí.
21040	25100	E convido você a apoiar este projeto em apoia.se.
25100	33540	Faz 10 reais e faz parte do nosso grupo do Telegra, grava voz de NPC e tem uma série de outras vantagens.
34240	35780	Alô, alô, aqui é o Luco.
36040	41120	Vocês me encontram nas redes sociais com arroba alucinante borgs, borgs de ciborgue.
41480	45900	E eu tenho um podcast de audiodrama e RPG que é o Naus do Arquivo.
46080	48020	Arroba Naus do Arquivo em todas as redes sociais.
48020	49660	E aí, aqui é o Jean.
50100	53920	Vocês me encontram na maior parte das redes sociais como maceudojg7.
54500	55080	E na taberna.
55100	57780	Oi, gente, aqui é a Deba.
57940	60100	Eu sou uma madrinha muito orgulhosa do RPGuaxa.
60800	64560	E vocês me encontram muito no Twitter, no arroba outraeunormal.
64760	65420	Vejo vocês lá.
65940	70100	O Realidades Paralelas do Guaxinim usa o sistema Guaxinins e Gambiarras.
71480	76320	Nele, cada jogador possui apenas um único atributo que vai de 2 a 5.
77180	80320	Quanto maior o atributo, mais atlético é o personagem.
80880	83880	Quanto menor, mais inteligente e carismático.
83880	89820	Sempre que o jogador faz algo com uma chance de errar, joga dois dados e precisa tirar
89820	95500	seu atributo ou menos para ataques e ações físicas e seu atributo ou mais para ações
95500	97140	intelectuais ou sociais.
97880	102300	Se a jogada for fácil ou tiver algum auxílio, joga-se um dado a mais.
102880	105640	Se a jogada for difícil, rola-se um dado a menos.
106380	111820	Eu sou o Jean Macedo e sou padrinho do RPGuaxa porque desde pequeno eu tenho o hábito de
111820	113760	desenhar os universos que passam pela minha vida.
113760	119800	E o Guaxaverso é uma excelente fonte de inspiração.
120800	124460	Episódio de hoje, como um sabiá.
143760	156820	O dia ninguém consegue esquecer, 26 de abril de 1974.
157380	162560	As sombras da decadência pairavam sobre a modesta comunidade de Rancho Pequeno.
163100	168360	Empuleirada em um modesto morro, onde um dia o ritmo frenético de uma manufatura de farinha
168360	172040	ecoava, agora se encontram poucas casas dilapidadas.
172040	173720	O ambiente era desolador.
173760	178800	Não havia energia elétrica, água encarnada, saneamento e muito menos segurança.
179180	184400	Pois um pequeno e barulhento grupo havia tomado o velho rancho como base para estocar armas,
184640	189460	drogas e dar lições naqueles da comunidade que iam contra seus desmandos.
189800	192040	No fim, naquele dia, o boi chegou.
192820	194760	E mudou o destino daquela comunidade.
195580	202360	O boi, como até hoje é chamado o seu Ernesto, era um homem de 40 anos, muito marcado por
202360	203620	cicatrizes, pelo sofrimento.
203760	208900	Com músculos gigantes e uma tatuagem que ele cobreia as costas.
209080	209460	Um boi.
210040	212920	Um boi de cara preta com olhos vermelhos bufando fogo.
213160	219860	Naquele dia, o boi chegou com alguns refugiados no Mato Grosso e sozinho colocou todos os
219860	221140	bandidos para correr.
221560	224800	Dizem que com as mãos nuas derrubou mais de 20 homens armados.
225280	232340	Junto do boi, chegou sua esposa, Varda Evina, seus dois filhos, João e Pedro, além de
232340	233680	duas outras famílias.
233760	239640	A Maria da Padoca e suas duas filhas, e a velha Berna, com seus seis netos.
239640	245680	Cinco anos depois, o boi continua a proteger sua comunidade, que hoje tem luz elétrica,
245680	251480	mesmo que intermitente, e ele não está mais sozinho em suas lutas.
251480	256360	Existem três moradores que volta e meia costumam ajudá-lo, como se fosse um centro comunitário
256360	263120	não oficial de rancho pequeno, e esses três moradores que costumam ajudá-lo são os personagens
263120	267660	da aventura de hoje, então eu peço que o Luco fale sobre sua personagem, aparência
267660	268100	e atributos.
268160	272400	Hoje eu vou jogar com o Caio Zunção, também apelidado de Cazu.
272400	277440	Ele é o chefe da família Zunção, que é uma família de seis irmãos que moram ali
277440	281960	na comunidade de rancho pequeno, e o Caio é um homem moreno de 32 anos.
282140	287000	Ele tem 1,80m de altura, cabelo cacheado, preto e volumoso, e usa roupas leves, que
287000	287880	facilitam o movimento.
288160	292280	Embora ele não seja forte como o boi, ele não fica pra trás quando o assunto é agilidade.
292520	292960	Por isso...
293120	294320	Eu vou jogar com o atributo 4.
294660	298840	Eu sou o mais velho de seis irmãos, como eu falei, e cresci na roça, trabalhando desde
298840	302420	a infância pra sustentar a família, tentando oferecer uma infância pros irmãos.
302940	306500	Amadureci muito rápido e trabalhei muito pra eles poderem estudar.
307160	311220	E nessas mudanças de família, sempre procurando um lugar melhor pra viver, mais oportunidade
311220	317060	de emprego, acabou que a gente foi pro interior, ficou perto ali do rancho pequeno, e aos poucos
