start	end	text
760	5660	Adolescentes enfrentam uma série de desafios em seu dia a dia, que vão desde questões acadêmicas,
5760	10940	como notas e desempenho escolar, até a complexidade dos relacionamentos interpessoais,
11480	17300	como namoros e amizades. O período da adolescência é marcado por intensas mudanças físicas,
17500	23880	emocionais e sociais, o que pode tornar a busca por equilíbrio uma tarefa desafiadora.
23880	30900	Agora imagine que cada adolescente é um monstro. Imagine o quanto poderes, garras e chifres
30900	38440	podem tornar esse período ainda mais complexo. Imagine que, no meio de tudo isso, talvez o mundo acabe.
39840	43320	Episódio de hoje. Escola de Monstros. O fim.
44360	47580	Olá, eu sou Marcelo Guaxinim, eu sou o Guaxa dessa aventura e estou aqui com...
47580	53860	O Zipão. Aqui está como Ali, eu sou o Zipão. Estou aqui no RP Guaxa e meu Instagram é
53860	55340	o Zipão na Mochila.
55660	62080	Olá, gente. Aqui é a Fabiola. Vocês me encontram lá na taberna do Guaxinim, no grupo de apoiadores do RP Guaxa.
62120	69200	Olá, olá pra todo mundo. Aqui é o Adriano Trota, eu sou ator, dublador, também sou padrinho do RP Guaxa,
69260	74000	você me encontra no grupo de apoiadores e também me encontra às vezes em algum episódio,
74000	80460	como NPC ou como jogador. E nas redes sociais é sempre arroba trota com três T's de tatu.
80740	82800	T-R-O-T-T-T-A.
83860	96060	Ei, ei, ei, ei. Finalmente acordou, bela adormecida? Você tá bem? Seu sonho foi tão estranho assim?
96620	104380	Eu... eu não sei. Eu não tô em uma cidade de um fogo. Um fogo de RPG, na verdade. Com três pessoas e o Guaxinim com o mestre.
104980	107720	RPG de mesa? Com o Guaxinim de mestre?
108520	109960	Você foi mesmo longe.
109960	113840	Gente, eu tô falando sério. Tinha um sistema, acho que numerador.
113860	118740	Que é o Guaxinim Zambiás. No sistema você tem um atributo entre dois e cinco.
118740	123720	Quanto maior ele for, mais atlético você seria. Quanto menor, mais inteligente e carismático.
123720	128500	Lembra também que se fizesse algo que pudesse errar, valeria dois D's.
128500	131800	E aí veria pelo seu atributo se passou ou não no teste.
131800	136580	Se tivesse ajuda, valeria mais um dado. E se fosse um pouco mais difícil, menos um dado.
136580	140940	Hmm, entendo. Parece um jogo interessante.
140940	142980	Vamos conseguir alguns dados no mundo mundo.
142980	144920	uns dados no mundo humano e jogar juntos
144920	147680	depois. Vejamos...
147680	148980	Pra gente conseguir fazer isso...
150060	150980	Precisamos convencer
150980	152700	a diretora a deixar a gente ir lá.
154020	154500	Perfeito.
155060	155620	Fala dois dados.
159140	160400	Siga a gente nas redes sociais.
160520	163060	Eu sou o Marcelo Guaxinim, arroba RP Guaxa e vote.
163740	164420	Abre o prêmio
164420	166820	D20 Awards. O link tá lá
166820	168880	no post, gente. Estamos concorrendo
168880	170340	em nove categorias.
170340	172400	Eu preciso do voto
172400	174060	de vocês. Peço
174060	175860	encaricidamente. Clique no link.
176020	178560	É bem rapidinho. Entra em cada uma das categorias
178560	180260	e vota no RP Guaxa
180260	182340	sempre que aparecer esta opção.
183300	184300	Agradeço muito
184300	186040	o seu voto e boa aventura.
197340	199620	Sete realidades paralelas.
200240	202280	Uma infinidade de possibilidades.
202400	204840	Três jogadores e um guaxinim.
205580	206520	Escolha seu carro.
206980	208040	Pise no acelerador
208040	210080	e cuidado com a corredora de rosa.
210480	211840	Porque será dada a largada
211840	213240	para a nossa aventura.
216640	217520	Cinco.
219540	220460	Quatro.
222460	223380	Três.
223380	224120	Três.
225040	226040	Dois.
230480	231000	RPG.
232400	233540	Paralelas do Guaxinim.
