760;5660;"15";Adolescentes enfrentam uma série de desafios em seu dia a dia, que vão desde questões acadêmicas,
5760;10940;"15";como notas e desempenho escolar, até a complexidade dos relacionamentos interpessoais,
11480;17300;"15";como namoros e amizades. O período da adolescência é marcado por intensas mudanças físicas,
17500;23880;"15";emocionais e sociais, o que pode tornar a busca por equilíbrio uma tarefa desafiadora.
23880;30900;"15";Agora imagine que cada adolescente é um monstro. Imagine o quanto poderes, garras e chifres
30900;38440;"15";podem tornar esse período ainda mais complexo. Imagine que, no meio de tudo isso, talvez o mundo acabe.
39840;43320;"15";Episódio de hoje. Escola de Monstros. O fim.
44360;47580;"13, 15";Olá, eu sou Marcelo Guaxinim, eu sou o Guaxa dessa aventura e estou aqui com...
47580;53860;"13";O Zipão. Aqui está como Ali, eu sou o Zipão. Estou aqui no RP Guaxa e meu Instagram é
53860;55340;"13";o Zipão na Mochila.
55660;62080;"04";Olá, gente. Aqui é a Fabiola. Vocês me encontram lá na taberna do Guaxinim, no grupo de apoiadores do RP Guaxa.
62120;69200;"16, 04";Olá, olá pra todo mundo. Aqui é o Adriano Trota, eu sou ator, dublador, também sou padrinho do RP Guaxa,
69260;74000;"16";você me encontra no grupo de apoiadores e também me encontra às vezes em algum episódio,
74000;80460;"16";como NPC ou como jogador. E nas redes sociais é sempre arroba trota com três T's de tatu.
80740;82800;"16";T-R-O-T-T-T-A.
83860;96060;"12";Ei, ei, ei, ei. Finalmente acordou, bela adormecida? Você tá bem? Seu sonho foi tão estranho assim?
96620;104380;"01";Eu... eu não sei. Eu não tô em uma cidade de um fogo. Um fogo de RPG, na verdade. Com três pessoas e o Guaxinim com o mestre.
104980;107720;"12";RPG de mesa? Com o Guaxinim de mestre?
108520;109960;"12";Você foi mesmo longe.
109960;113840;"01, 12";Gente, eu tô falando sério. Tinha um sistema, acho que numerador.
113860;118740;"01";Que é o Guaxinim Zambiás. No sistema você tem um atributo entre dois e cinco.
118740;123720;"01";Quanto maior ele for, mais atlético você seria. Quanto menor, mais inteligente e carismático.
123720;128500;"01";Lembra também que se fizesse algo que pudesse errar, valeria dois D's.
128500;131800;"01";E aí veria pelo seu atributo se passou ou não no teste.
131800;136580;"01";Se tivesse ajuda, valeria mais um dado. E se fosse um pouco mais difícil, menos um dado.
136580;140940;"01, 12";Hmm, entendo. Parece um jogo interessante.
140940;142980;"12";Vamos conseguir alguns dados no mundo mundo.
142980;144920;"12";uns dados no mundo humano e jogar juntos
144920;147680;"12";depois. Vejamos...
147680;148980;"12";Pra gente conseguir fazer isso...
150060;150980;"12";Precisamos convencer
150980;152700;"12";a diretora a deixar a gente ir lá.
154020;154500;"15";Perfeito.
155060;155620;"15";Fala dois dados.
159140;160400;"15";Siga a gente nas redes sociais.
160520;163060;"15";Eu sou o Marcelo Guaxinim, arroba RP Guaxa e vote.
163740;164420;"15";Abre o prêmio
164420;166820;"15";D20 Awards. O link tá lá
166820;168880;"15";no post, gente. Estamos concorrendo
168880;170340;"15";em nove categorias.
170340;172400;"15";Eu preciso do voto
172400;174060;"15";de vocês. Peço
174060;175860;"15";encaricidamente. Clique no link.
176020;178560;"15";É bem rapidinho. Entra em cada uma das categorias
178560;180260;"15";e vota no RP Guaxa
180260;182340;"15";sempre que aparecer esta opção.
183300;184300;"15";Agradeço muito
184300;186040;"15";o seu voto e boa aventura.
197340;199620;"04, 03";Sete realidades paralelas.
200240;202280;"04";Uma infinidade de possibilidades.
202400;204840;"04";Três jogadores e um guaxinim.
205580;206520;"04";Escolha seu carro.
206980;208040;"04";Pise no acelerador
208040;210080;"04";e cuidado com a corredora de rosa.
210480;211840;"04";Porque será dada a largada
211840;213240;"04";para a nossa aventura.
216640;217520;"06";Cinco.
219540;220460;"06";Quatro.
222460;223380;"10";Três.
223380;224120;"10";Três.
225040;226040;"06";Dois.
230480;231000;"10";RPG.
232400;233540;"10";Paralelas do Guaxinim.
233540;236340;"10";Sua aventura de bolso na forma de podcast.
236720;239260;"10";Uma jornada completa a cada episódio.
244260;251960;"15";O ano passado foi um ano incrível
251960;253300;"15";que marcou o Colégio de Monstros.
253720;256060;"15";Com um baile único, alunos notáveis se formando
256060;257880;"15";e a mudança de diretor na escola.
258120;260260;"15";Mas o tempo passa e um novo ano se inicia.
260800;262080;"15";O décimo terceiro ano
262080;264300;"15";aposta no Cleiton como grande destaque
264300;265640;"15";para o baile no final do ano.
265840;268300;"15";Em especial agora que ele ficou um pouco mais sociável.
268540;270860;"15";Graças aos alunos que entraram no ano passado.
271160;272920;"15";Falando neles, nosso amado trio
272920;274640;"15";precisa pensar no futuro.
275000;276560;"15";Em especial no futuro do seu clube.
276800;278100;"15";Afinal, se tudo der certo,
278480;280340;"15";os três se formam no final do ano
280340;281740;"15";e o clube vai fechar.
282140;284080;"15";Se não tiver três membros para cuidar dele.
284300;285020;"15";Mas há esperança.
285360;288660;"15";Muitos alunos monstros que estão entrando no décimo primeiro ano
288660;290420;"15";ainda não possuem clubes.
290820;291800;"15";Mas antes de mais nada,
291800;293800;"15";vamos lembrar quem são os nossos personagens.
294940;296420;"15";Zipão, fala sobre o seu personagem,
296540;297320;"15";aparência e atributo.
297660;298960;"13, 15";Eu sou o Zipão.
299180;300560;"13";Estou jogando com o Ali,
300960;303720;"13";que o nome em árabe significa alto.
304100;305280;"13";Ele é um Slenderman.
305680;308700;"13";Alto, magro, com a pele branca e opaca.
308980;309800;"13";Tem olhos grandes,
309940;312080;"13";onde o preto cobre quase que totalmente
312080;313280;"13";o globo ocular.
313500;314680;"13";Possui uma boca pequena,
315120;316720;"13";que passa por despercebida.
316920;319460;"13";Então ele prefere se comunicar principalmente
319940;321360;"13";utilizando a telepatia.
321360;322860;"13";Como todo bom Slenderman,
323060;325960;"13";ele usa um terno preto com camisa branca.
326300;328020;"13";Afinal, ser elegante
328020;330360;"13";também faz parte dos negócios da família.
330560;333000;"13";O meu poder é a manipulação mental,
333240;335180;"13";utilizado para fazer com que os outros
335180;336460;"13";esqueçam algo,
336620;338800;"13";como o que viram ou o que passaram.
339100;340880;"13";Depois das férias conturbadas,
