start	end	text
0	25160	3 histórias ligadas por um pequeno detalhe, 3 pessoas sem memória precisando encontrar
25160	28060	uma resposta, mesmo não tendo uma pergunta.
28060	32900	O episódio de hoje, eu estarei lá, com o Filipe Xavier no papel de John, com a Shelly
32900	38320	Poison no papel de Mary e com a Sinara no papel de Emily, 3 pessoas que vão descobrir
38320	41280	junto com vocês quem eles realmente são.
41480	45880	A realidade paralela do Guaxinim é uma variação do sistema lasers e sentimentos, nele cada
45880	49780	jogador possui apenas um único atributo que vai de 2 a 5.
49960	55920	Sempre que o jogador tenta algo, ele joga 2 dados de 6 lados, se for algo comum, 3 dados
58060	59360	são algo difícil.
59360	64720	Jogadas que envolvem atividades físicas e ataques precisam tirar seu atributo ou menos.
64720	69500	Jogadas que envolvam testes que não são físicos nem ataques precisam ser iguais ou
69500	71000	maiores que o atributo.
71000	78860	Um jogador com atributo 3 acerta um tiro, um soco, uma corrida, tirando 1, 2 ou 3 no
78860	79860	dado.
79860	84500	O mesmo jogador se tentar se esconder, notar ou decifrar um enigma será bem sucedido se
84500	87960	tirar 3, 4, 5 ou 6.
88060	93700	Seu atributo sempre será um acerto, um acerto melhor que a média, um acerto crítico.
93820	97720	Qualquer dúvida nos procure nas redes sociais e não deixe de nos seguir
97720	106880	Considera também nos apoiar no Padrim ou no PicPay para lançarmos cada vez mais episódios.
106960	109760	Maior de informações no Escudo Mestre ao final dessa aventura.
118060	129680	Jogada para a religião
129680	135760	E aíou estão na caverna?
135760	137880	Cora os dados.
137880	141820	bola de fogo chama clérigo por assim eu morri R. Missiatzy So, não tem armadilha podemos
141820	142820	ir
142820	144560	O que vocês fazem?
144560	146040	Hum .. humm
146040	147540	Tá taаю amarro uma corda.
147540	147920	ela terminou a outra narração tem gente antes de ir óhcrita more do tá link no bando
147920	149840	Borda nelas e use como arma.
150220	151080	Eu ataco.
151460	153620	O Magro lança seu Thunderbolt
153620	155420	mais 15 no Ubi Holder.
155480	157740	Eu quero rolar a perseguição, posso?
158480	160140	Tem algum lugar pra se esconder?
160800	163020	Ah, falha a crítica.
163600	164420	Ataque de impunidade!
164760	167000	Erro, mano! Chamo o clínico!
169820	173340	RPG Realidades Paralelas do Guaxinim
173340	176320	Sua aventura de bolso na forma de podcast
176320	179260	Uma jornada completa a cada episódio.
187260	189340	Essa aventura, então, vocês não montam os personagens,
189420	190780	vocês apenas escolherão os nomes.
190900	192420	O atributo eu quero que vocês escolham
192420	194420	assim que a cena de vocês surgirem.
194500	196300	Então eu defini quais são os personagens de vocês,
196460	198300	vou jogar vocês numa cena e a partir dessa cena
198300	200300	vocês vão decidir que atributo vocês vão ter
200300	202200	pra resolver os problemas que se colocam.
202320	203740	As cenas que eu vou descrever agora
203740	205840	não estão na ordem necessariamente
205840	206920	que elas aconteceram.
207000	209060	Elas podem ter acontecido numa ordem diferente
209060	210240	ou nessa mesma ordem.
210420	212340	Talvez descobrir a sequência faça parte
212340	213400	do que vocês vão precisar.
217980	219380	Então eu vou começar pelo Felipe.
219600	221920	O Felipe Xavier se chama John Carter, né?
222280	222720	Correto.
222940	224880	Tu chega até o local de manhã,
225080	226140	chove bem fininho,
226240	228200	então o sol ainda não apareceu completamente.
228520	230740	Tu passa por debaixo da linha policial
230740	233060	que divide o povão da cena
233060	234280	em que tudo está acontecendo.
234280	235580	Ao passar pela corda,
235580	237120	tu tira o casaco e o chapéu,
237280	238740	entrega pra um policial que tá por ali,
239000	240060	tira a arma do coldre,
240220	242040	tira a camiseta de dentro da calça
242040	244380	e coloca a arma atrás da calça
244380	245360	com a camiseta por cima
245360	247040	pra parecer que o coldre tá vazio
247040	247860	e que tu tá desarmado.
248000	248300	Ok.
248660	250040	Um policial chega até você,
250260	251980	te entrega um megafone e fala.
252120	252720	Tenente Carter,
252880	254420	o homem se chama Nicholas Johnson.
254780	255760	Ele está desempregado.
255940	257500	Possui algumas passagens por furto
257500	258520	e porte de drogas.
258740	261160	O pessoal da delegacia já está investigando o rapaz,
261480	263240	pois há indícios de que o mesmo está envolvido
263240	264740	com algum traficante grande da região.
264740	265420	A namorada...
265420	266860	A namorada dele trabalhava à noite
266860	268040	em um clube próximo daqui.
268440	270300	Ela foi assassinada no caminho para casa.
270740	272600	O oficial que veio dar a notícia para Nicholas
272600	273540	foi baleado e morto.
273620	275680	O homem parece não ter aceitado bem a notícia.
276000	277880	Ele tá bem transtornado.
278100	279360	Acho que ele já estava bem doidão
279360	280500	quando o policial chegou aqui.
280760	282180	O garoto que está de refém
282180	283180	não é o filho dele.
283340	284780	Ele é apenas namora-mãe do menino.
285280	285680	Namorava,
286020	286960	já que a mesma faleceu.
287260	287700	Certo.
287960	288820	Qual a idade do garoto?
288920	290020	Um sete anos, senhor.
290100	290420	Ok.
290800	291980	Ele exigiu alguma coisa?
292100	293460	Ele quer a mulher dele.
293460	294660	Hum...
294660	295400	Tá certo.
295420	296880	Isso vai ser um pouco complicado.
297180	297580	Sim.
298120	299100	O senhor vai ver.
299440	300080	Muito bem, então.
300480	301480	Eu pego o megafone.
301660	303160	Tu vai te aproximar lá do local?
303460	303900	Sim, vou.
304220	306340	Tu te aproxima até a entrada da casa.
306480	307760	Tu vê que é uma casa simples.
308000	309260	No quintal desta casa
309260	310480	tá caído um policial
310480	311900	que foi baleado pelas costas.
312040	313140	Provavelmente o policial deu a notícia.
313260	313840	Quando se virou,
313960	315120	o cara voltou e atirou nele.
315240	316580	Tem uma cerca baixa
316580	317840	que um dia já foi branca,
317920	319160	mas tá bem descascada,
319340	320180	bem mal cuidada.
320340	322160	Na janela principal da casa
322160	324400	tem uma criança em cima de uma cadeira
324400	325400	pra ficar mais alta.
325420	327500	E servir como proteção pro Nicolas.
327700	329080	Essa criança tá chorando bastante.
329280	331240	Ela segura nas mãos uma granada
331240	332060	sem o pino.
332260	333740	O Nicolas tá por trás dessa criança
333740	334340	com uma arma
334340	337080	e ele tá ameaçando tirar a vida dos dois.
337260	338980	Se a criança abrir as mãos,
339040	339700	a granada cai.
339860	341160	Qual o teu atributo, Felipe?
341540	342460	Meu atributo é 3.
342720	343480	O que tu pretende fazer?
343620	344560	Eu preciso do megafone
344560	345780	pra falar com o Nicolas
345780	346700	ou ele me escuta daqui?
346980	347860	Tu pode tentar falar sem.
348060	348240	Tá.
348360	349520	Mas tu vai ter que chegar um pouco mais perto.
349600	350820	Eu vou chegando calmamente.
351000	351980	Falo, senhor Nicolas.
352100	353000	Eu levanto as mãos.
353140	353420	Eu estou desarmado.
354200	355180	Eu posso me aproximar?
355180	356540	Eu quero a minha esposa.
356740	357600	Ok, ok.
357800	359420	Eu posso me aproximar, senhor Nicolas?
359700	360800	Eu vou atirar nele.
361320	362540	Eu vou atirar em todo mundo.
362780	363660	Eu preciso dela.
363860	365660	Ele parece que tá com sobrefeito de drogas, assim.
365720	366180	Ele tá bem transtornado.
366860	367960	Ok, senhor Nicolas.
368260	369200	A sua esposa,
369360	370880	ela está num local seguro
370880	372100	neste exato momento.
372420	372940	Pra tanto,
373000	374640	eu preciso que o senhor abaixe a arma
374640	376600	pra que a gente possa levá-la até ela.
376780	377160	Um dado.
378200	378600	3.
378820	379880	3, que é o teu atributo.
380060	381940	O cara, ele parece se acalmar.
382080	383440	Ele baixa a arma por um momento,
383520	384860	mas o menino continua na frente dele.
384860	385980	Traz ela aqui.
386140	387680	Nicolas, repito novamente.
387860	390700	Eu preciso que você largue a arma
390700	393000	pra que eu possa levá-lo até ela.
393120	395160	Ele leva a arma até a testa, se coça.
395260	396440	Eu atirei no policial.
396660	397660	Vocês vão me prender.
397920	399160	Eu quero ela aqui.
399300	400240	Não se preocupe.
400460	402260	Se você soltar a arma,
402480	403420	libertar a criança,
403700	406400	isso vai ser muito positivo pra você, senhor Nicolas.
406660	407600	Mantenha calma.
407860	409240	Ninguém vai fazer nada com você.
409380	409860	Eu te prometo.
410440	410980	Ei, garoto.
411140	412080	O menino fala alguma coisa?
412200	413760	O menino tá chorando bastante e te olha.
413760	414100	Tá.
414860	417900	Uma pulseira, alguma coisa assim na mão dele
417900	419040	que eu tô vendo aqui?
419180	419380	Não.
419600	420620	Garoto, fica calmo.
420700	421760	Vai ficar tudo bem.
