start	end	text
0	10740	Lembra da época que você nem queria um picolé, mas comprava um picolé porque podia ganhar um outro picolé?
11320	14920	Ou melhor, quando o picolé podia vir com um iPod no palito?
15400	19540	Eu troquei muito picolé por picolé. Eu até conheço um cara que achou um iPod.
20380	23900	Lembra daqueles álbuns de figurinha que a figurinha não vinha nem cola?
23900	30560	Que tinha todos os desenhos da Globo na época, um negócio em papel jornal claramente não licenciado?
30800	36200	Que se você completasse uma página podia ganhar prêmios, como um jogo de copos, patins, videogame?
36600	39500	Então, uma vez eu ganhei um pega-vareta.
40040	42840	Nunca conheci alguém que ganhou um videogame. Será que alguém ganhou?
43500	46440	Quantas figurinhas premiadas de videogame foram impressas?
47100	50020	Todos que tinham um álbum faltava sempre a mesma figurinha.
50200	53880	Então, quantas dessas figurinhas existiram por aí?
54480	57820	Umas cem? Umas vinte? Uma?
58940	62180	Quando eu era criança eu sonhava em abrir essa figurinha.
63000	67880	Hoje, adulto, cínico, tenho certeza que nenhuma foi impressa.
68440	72360	E na Febre da Lebre? Quantas tampinhas premiadas foram impressas?
74940	77700	Episódio de hoje, Febre da Lebre.
78340	83860	Com as madrinhas Mel, lá do Projeto Drama, do Nossa Poesia,
83900	85140	e aqui do RP Guaxa.
85660	87540	Com a Juleiva, aqui do RP Guaxa.
88040	89540	E com o Patrick, o Tic.
90140	95080	Ele faz parte de um canal lá no Twitch chamado Pequenos Dados, Grandes Falhas.
95800	98600	Devia ter um S ali, mas é sem um S mesmo.
99140	103100	Além disso, ele faz parte comigo lá do SciCast, e aqui do RP Guaxa.
105100	110400	Caro colega, estimados membros do júri, douto magistrado,
110400	113400	o que posso falar acerca da defesa do meu cliente,
113900	115140	é o seguinte.
116580	121800	O Realidades Paralelas do Guaxinim usa o sistema Guaxinins e Gambiarras.
122380	127640	Nele, cada jogador possui apenas um único atributo, que vai de 2 a 5.
128300	131480	Quanto maior o atributo, mais atlético é o personagem.
131760	134820	Quanto menor, mais inteligente e carismático.
135940	138740	Sempre que o jogador faz algo com uma chance de errar,
138740	143620	joga dois dados e precisa tirar seu atributo, ou menos, para ataques.
143900	149700	E ações físicas, e seu atributo, ou mais, para ações intelectuais, ou sociais.
149700	156580	De acordo com essa explicação, vocês podem verificar que meu cliente é obviamente um atributo 2,
156580	162900	e não conseguiria de modo algum machucar seriamente um humano muito maior do que ele.
166900	172420	Dando continuidade ao meu argumento, se a jogada for fácil, ou tiver algum auxílio,
172420	173320	joga-se um dado.
173320	173820	Se a jogada for fácil, ou tiver algum auxílio, joga-se um dado.
173820	179000	E se a jogada for difícil, rola-se um dado a menos.
180020	184380	Sali entando que meu cliente estava sozinho durante o ocorrido,
184480	190920	como pode comprovar a gravação juntada aos autos, realizada pelo meu auxiliar, o Guaxinim Vess.
192380	197300	Eu não sou o Adivo Goblin, mas sou madrinha do RP Guaxa,
197360	201200	porque sou apaixonada pelas histórias que são contadas aqui,
201200	203800	e me surpreendo cada vez que saem.
203820	204700	Um episódio novo.
211420	214100	Isso é o que o Adivo Goblin diria.
214680	216320	Não deixe de seguir nas redes sociais,
216400	217680	arroba o seu gostei, arroba o seu RP Guaxa,
217740	218940	tanto no Twitter quanto no Instagram.
219440	222820	E sério, considere-se e se tornar apoiador desse projeto,
222980	224500	fazer parte dessa incrível família,
224700	228460	fazer como a Fabi que gravou as regras desse episódio de uma maneira diferente,
228720	229920	gravar voz de NPC,
230420	231620	fazer parte da comunidade,
231620	233540	receber episódio antes de jogar,
233820	234900	e ter muitos amigos.
235440	237420	E agora, fica a aventura.
261620	262060	E aí
263820	270700	Senhoras e senhores, temos sete realidades paralelas,
270700	275100	uma infinidade de possibilidades, três jogadores, e um Guaxinim.
275100	278500	Por favor, coloque a sua cadeira na posição vertical,
278500	283900	aperte o cinto, e segure a sua bebida, pois a nossa aventura já vai decolar.
283900	286900	Cinco.
286900	289900	Quatro.
289900	292900	Três.
292900	295280	Dois.
295280	299280	Três.
299280	300720	R.P.G.
300720	302740	Realidades Paralelas do Guaxinim.
302740	305440	Sua aventura de bolso na forma de podcast.
305440	308140	Uma jornada completa a cada episódio.
308140	309140	Quatro.
309140	310140	Três.
310140	311140	Três.
311140	312140	Quatro.
312140	313140	Três.
313140	314140	Quatro.
314140	315140	Três.
315140	316140	Quatro.
316140	317140	Quatro.
317140	318140	Quatro.
318140	319140	Quatro.
319140	320140	Quatro.
320140	321140	Quatro.
321140	322140	Quatro.
322140	322640	Quatro.
322640	322740	Quatro.
322740	322840	Quatro.
322840	322880	Quatro.
322880	327740	Lebre é lebre, o seu refrigerante, agora com números premiados em cada tampinha.
328220	330720	Refresque-se com o risco de ficar bilionário.
339820	345600	O Luar é um pequeno país na América Central que no passado tinha forte apelo turístico
345600	350840	por suas praias de areia branca e fina, por seu mar cristalino e paisagens incríveis.
350840	355840	O lugar recebia turistas do mundo todo e era o destino preferido dos artistas de Hollywood.
356160	362340	A popularização de O Luar acabou por atrair turistas do mundo todo e, por consequência,
362820	366480	grandes investidores que queriam ter suas empresas representadas no país,
366740	371840	para vender para o povo local, para os turistas e para servir de uma vitrine de seus produtos.
372800	374840	Mas isso acabou por dividir o povo hololense.
374840	380600	Grande parte da população temendo que a industrialização exagerada pudesse destruir
380600	384300	suas paisagens naturais, se colocou contra essa invasão estrangeira.
384540	392500	O auge desse processo foi a eleição de Amaris Trombetta, que foi eleita presidente de O Luar em 1965.
393240	401000	Seu discurso extremista de desenvolvimento sustentável e proteção da natureza fez com que o exército,
401000	409000	com a ajuda militar estrangeira, derrubasse o governo ecoterrorista e tomasse o poder, salvando assim a nação.
409380	410480	Hoje, abril de 19...
410600	416300	1984, os militares continuam no poder e o país não é mais um destino turístico de ninguém.
416300	421100	Suas paisagens deram lugar a uma indústria cada vez mais automatizada, o desemprego é alto,
421100	428100	o nível de analfabetismo é alto, o acesso à saúde é escasso e 70% da população convive com o esgoto a céu aberto.
428100	433400	Mas o país foi salvo do desenvolvimento sustentável, ao menos.
433400	439380	No início da década de 70, a famosa marca de refrigerante, Le Bricola, chegou a O Luar,
439380	440580	trazendo seus incríveis sabores e sugestões.
440580	444080	Tomando controle da maior parte da indústria de bebidas local.
444280	449900	O maior concorrente da Le Bricola, por incrível que pareça, eram os sucos Aoba, feitos com fruta nativa.
450280	454160	Levou quase 15 anos para a Le Bricola chegar a 95% do mercado.
454360	455200	Mas esse dia chegou.
455800	464760	No início do ano de 1984, a promoção Febre da Le Bricola veio para sepultar de vez qualquer concorrência.
464760	470480	Com números impressos nas tampinhas de refrigerante Le Bricola e a promessa de prêmios em dinheiros,
470580	475160	com sorteios semanais, o refrigerante Le Bricola realmente virou uma febre.
475160	479980	Com pessoas trocando refeições inteiras por litros de refrigerante, padarias vendendo
479980	483380	mais garrafinhas do que pão, o povo está agitado.
483380	486380	Faltam lebres em alguns pontos do país.
486380	489200	Pois essa noite um prêmio bilionário.
489200	493420	É bom lembrar os jogadores que bilionário é porque a moeda do país é bem desvalorizada
493420	495580	e ela possui muitos zeros.
495580	500280	Mas pensem em 23 anos de salário mínimo.
500280	510380	Antes de saber quem são as pessoas que vivem neste lugar e que talvez tenham uma tampinha,
510380	514900	vamos conhecer os jogadores e Ju fala sobre os personagens e a aparência tributa.
514900	519600	Olá, eu vou jogar com a Guadalupe, que é chamada pelos amigos de Lupe.
519600	526680	A Lupe tem 21 anos, é gordinha, latina, de estatura média e usa óculos de aro redondo,
526680	528560	remendados no eixo central.
528560	530060	A Lupe mora com a avó, a dona Ana.
530060	532520	E com o vira-lata, Timóteo.
532520	535040	O cabelinho dela é curto para dar menos trabalho.
535040	537940	E ela trabalha na pequena gráfica do seu Gaspar.
537940	542980	Sem que o seu Gaspar saiba, é comum que ela deixe as pessoas do bairro, um bairro bem
542980	547340	humilde, fazerem cópias de documentos e de anúncios de cães perdidos.
547340	549900	No geral, ela tende a não ser corajosa.
549900	552060	O atributo da Lupe é 3.
552060	553060	Perfeito.
553060	554860	Mel, fala sobre sua personagem e a aparência tributa.
554860	558160	Olá, eu vou jogar com a Dandara, mas normalmente os amigos dela chamam ela de Danda.
558160	559160	Ela é muito bonita.
559160	559860	Ela é muito bonita.
559860	565400	Ela tem 26 anos, estatura mediana e o corpo dela é bem fofinho, vamos dizer assim.
565400	568360	Ela é filha de um pai desconhecido e uma enfermeira.
568360	572980	A pele mais escura do que o comum no bairro dela faz ela acreditar que o pai dela era
572980	575980	negro, mas a mãe dela nunca comentou sobre isso.
575980	578640	Mora somente ela e a mãe numa pequena vila.
578640	582420	E ela trabalha com a mãe como auxiliar de enfermagem numa clínica local.
