start	end	text
0	16880	Há exatos 4 anos atrás, no mesmo dia dessa gravação, no dia que os padrinhos estão
16880	20200	recebendo esse episódio, foi lançado o primeiro RPGuash.
21020	26220	Ele já estava editado, antes, algumas pessoas já tinham ouvido, mas oficialmente, para
26220	33500	todo mundo, foi no dia 24 de maio que ele nasceu, e foi muito bem recebido, e eu agradeço
33500	34840	a todos de coração.
35600	42200	Esse último mês foi para comemorar isso, a gente lançou um episódio por semana, e
42200	47420	esse episódio que abriu o mês, que embora tenha saído lá no final de abril, ele foi
47420	52400	um presente para todos os ouvintes, sejam os ouvintes novos, os ouvintes velhos, aqueles
52400	56200	que acreditam no Guaxaverso e estão errados, e aqueles que não.
56220	64320	O episódio de hoje é um presente aos velhos ouvintes, um episódio sobre nascimento, glória
64320	68800	e guaxaversíceis, embora ele continue a não existir.
70220	78460	Episódio de hoje, glória, com os padrinhos, André Trapani, que também grava lá o Psycast
78460	85180	comigo, Gustavo Martinez, e Amare, que está como tinta e pixel em todas as redes sociais,
85180	86180	foi ela que fez isso.
86220	91120	Aquele guaxinim do Guaxadei, por exemplo, dá uma procurada lá e conheça o trabalho
91120	91620	dela.
93420	97940	O Realidades Paralelas do Guaxinim usa o sistema Guaxinim de Gambiarras.
98520	102700	Nele, cada jogador possui apenas um único atributo, que vai de 2 a 5.
103360	107640	Quanto maior o atributo, mais atlético é o personagem, quanto menor, mais inteligente
107640	108280	e carismático.
109220	114000	Sempre que o jogador faz algo com uma chance de errar, joga dois dados, e precisa tirar
114000	116120	seu atributo ao menos para ataques e ações.
116220	120620	Se o atributo for mais para ações intelectuais ou sociais.
120620	127780	Se o jogado for fácil, ou tiver algum auxílio, joga um dado a mais, e se o jogado for difícil,
127780	129800	rola-se um dado a menos.
129800	135780	Eu sou o Policial Silva, e agora preciso ir urgente, pois recebi um chamado da Capitã
135780	138420	Maldonada aqui no rádio, do Camborão.
138420	139420	Até breve.
139420	140420	E aí, Rafaão, beleza?
140420	141420	Ô, Deco, sai daí de cima.
141420	142420	Ai, meu Deus.
142420	143420	Deco, sai daí de cima.
143420	144420	Ai, meu Deus.
144420	144920	Deco, sai daí de cima.
144920	145340	Ai, meu Deus.
146220	147220	Deco, sai daí de cima.
147220	152260	Não deixe de nos seguir nas redes sociais, tanto no Twitter quanto no Instagram.
152260	157660	Considero também te apoiar pelo PicPay ou pelo Padrim, e manter esse projeto existindo.
157660	162320	Obrigado de coração a todos que assinaram, e a todos que pensam em assinar.
162320	163320	Boa aventura.
176220	189260	Sete realidades paralelas, uma infinidade de possibilidades, três jogadores e um guaxinim.
189260	192140	É um prazer ter vocês por aqui.
192140	197180	Queremos todos batendo as mãos para a próxima música, digo, aventura.
197180	198180	Cinco.
198180	199180	Quatro.
199180	200180	Três.
200180	201180	Quatro.
201180	202180	Quatro.
202180	203180	Quatro.
203180	204180	Quatro.
204180	205180	Quatro.
205180	206180	Quatro.
206220	207220	Quatro.
207220	208220	Quatro.
208220	209220	Quatro.
209220	210220	Dois!
210220	211220	Dois!
211220	212220	Cinco.
212220	213220	Cinco.
213220	214220	Cinco.
214220	215220	Cinto.
215220	216220	Cinco.
216220	217220	do zero.
217220	218220	Dois!
218220	219220	Coisinha.
219220	220220	Dois!
220220	221220	Cinco.
221220	222220	Dois!
222220	223220	Dois!
223220	224220	Três.
224220	225220	Três.
225220	226220	Dois.
226220	227220	Cinco.
227220	228220	Dois!
228220	229220	Cinco.
229220	230220	Três.
230220	231220	Dois!
231220	232220	Cinco.
232220	233220	Dois!
233220	234220	Cinco.
234220	235220	Iraqi childcare floridumb.
235220	236220	Cinco.
236220	243540	Trapani é dona da maior rede de pizzarias da Europa, com filiais pelo mundo todo e tendo sua base de atuação na Itália.
243740	252320	É dito, na Itália e em todas as propagandas da rede, que se você come uma pizza Trapani, a concorrência se torna apenas uma panqueca aberta.
252820	259400	Embora não esteja nenhuma propaganda, outro dito comum ligado à família é que nunca deva nada a um Trapani.
259400	270600	A família Trapani poderia ser milionária com sua rede de restaurantes, mas decidiu ser bilionária e hoje é a família mafiosa mais influente na Europa e nos Estados Unidos.
271180	275280	Seu patriarca, Antony Trapani, é um dos homens mais ricos do mundo.
275720	280120	Tratado como rei na Itália, é chamado de Papa de Pobre, ou Papa dos Pobres.
280600	285400	Sempre de terno impecavelmente branco e amado por todos aqueles que não ficaram em seu caminho.
285400	289200	Antony sabe que o dia que morrer seus filhos vão espalhar sangue pela Itália.
289400	291260	Para ver quem tomará seu lugar.
291540	295440	Mas até lá, ninguém se atreve a pensar em encurtar sua vida.
295800	297980	Antony tem 12 filhos homens.
298580	301940	10 homens de negócios, um artista e um político.
302240	304660	O humorista Pedro Zumbi certa vez disse,
305060	307280	O mais honesto dos Trapani é o político.
307600	310620	O comentário fez a plateia rir por 4 longos minutos.
310960	311980	Porque era engraçado.
312380	313180	E era verdade.
313380	314860	Foi o último show de Pedro.
315200	317920	Além dos filhos homens, Antony tem uma filha.
318360	319200	Sua caçula.
319400	326700	Angel Trapani, um lindo anjo de 19 anos, que cometeu o erro de se apaixonar.
327280	331640	E agora o fruto dessa paixão está para nascer em um hospital pequeno na Suíça.
332080	335160	Angel está com seus homens de maior confiança.
335640	338280	E pretende ter sua filha de maneira discreta.
338680	341820	O plano é voltar para casa alegando que a criança é adotada.
342400	347300	Todo homem de confiança da família Trapani tem um T estilizado tatuado na pele.
347300	349300	11 locais mais visíveis que ouvem.
349400	353000	Em especial, aqueles que atuam dentro da lei.
353280	356760	Muito se fala de juízes com tatuagens nas nádegas.
357220	358400	Embora provavelmente sejam lendas.
359520	365800	Antes de a gente continuar conhecendo um pouco mais dessa família, em especial da Angel,
365880	367800	vamos conhecer os nossos jogadores hoje.
368380	373320	Eu queria que a nossa estreante Mari falasse a história do seu personagem, a aparência e atributo.
373320	375500	Eu vou ser a Paola Lucchesi.
375700	379080	Ela conheceu a Angel na escola e se tornaram boas amigas.
379080	383080	Quando completou 18 anos, ela entrou para a polícia, pois era seu sonho.
383080	385680	Mas logo descobriu que não era como ela tinha sonhado.
385680	389880	Nunca conseguiu subir na carreira, por não ser do tipo que ficava julgando seus superiores.
389880	392680	Queria ser reconhecida apenas pelo seu trabalho.
392680	395680	Acabou ficando um tempo na área de retrato falado.
395680	399680	Puxou uma boa aptidão para desenho e até reconhecer e memorizar rostos.
399680	405380	Insatisfeita em como as coisas eram feitas por lá, acabou deixando a polícia e se tornando investigadora particular.
405380	408880	Durante seu trabalho na polícia, descobriu que a família de Angel fazia parte do projeto.
408880	411880	Mas isso não afetou seu relacionamento.
411880	416880	Chegou a alterar alguns retratos a pedido da família Trapani quando estava na polícia.
416880	419880	E agora, como investigadora, faz alguns trabalhos quando preciso.
419880	422880	Paola sempre teve uma relação ruim com a própria família.
422880	429880	Então, a associação com os Trapani se provou fundamental para sua independência financeira e para se sentir mais segura.
429880	435880	Hoje, ela tem 21 anos, estrutura mediana, cabelos ondulados, castanhos compridos e olhos verdes.
435880	437880	E o seu atributo é 2.
437880	438380	Perfeito.
438880	442880	O estreante que temos aqui hoje vai falar sobre seu personagem, aparência e atributo.
442880	443880	É o Gustavo. Gustavo.
443880	446880	Hoje eu vou jogar com o Francesco Maier.
446880	449880	O Francesco é italiano, mas de descendência suíça.
449880	452880	Desde cedo se envolveu com o que não devia.
452880	455880	Nunca foi com o que se cheirasse muito.
455880	459880	E acabou se envolvendo muito na máfia local da cidade.
459880	463880	Com o tempo foi crescendo, evoluindo dentro da família.
463880	467880	E até que foi preso, comprometido com esquema de contrabando.
467880	473880	O que teoricamente seria uma responsabilidade da família Trapani, mas que não havia provas disso.
473880	477880	Depois que saiu da prisão, foi recompensado pela família com um cargo de confiança,
477880	480880	que é ser o segurança e motorista da Êntima.
480880	483880	Já faz 10 anos nesse cargo e ela trata ele como tio Frank.
483880	488880	Agora já tem uns 42 anos, cabelo grisalho e o atributo é 3.
488880	494880	Perfeito. E o veterano da mesa de hoje, em sua segunda aventura, André Trapani.
494880	496880	Que foi a brincadeira que os padrinhos batizaram a família.
496880	500880	Fala sobre o teu personagem, aparência e atributo.
500880	509880	Hoje eu vou jogar com o Giovanni Trapani, um rapaz de 25 anos, alto, forte, cabelo preto.
509880	513880	Quando ele era adolescente, a padaria do pai dele foi assaltada, destruída.
513880	516880	E como ele era pobre, a polícia não fez muita coisa.
516880	520880	Mas a família Trapani, que protegia a região em troca de um pagamentozinho,
520880	525880	pegou os ladrões, puniu e acabou restituindo a própria família pelos danos da padaria.
525880	531880	Por isso, o Giovanni idolata os Trapani, em especial o patriarca, como heróis e protetores da cidade.
531880	535880	Não demorou muito para o Giovanni se tornar um membro leal do grupo.
535880	537880	Tatuou um T, inclusive, nas costas.
537880	542880	E obedece cegamente. Obedeceu, inclusive, quando mandaram ele se tornar um policial.
542880	547880	Como policial, ele teve uma ascensão bem rápida na carreira, porque ele realizava muitas prisões.
547880	553880	Curiosamente, sempre de inimigos da família Trapani, ou de pessoas que estavam cometendo crime em seu território sem autorização.
553880	557880	E, diferente do que os outros pensam, ele não se considera um policial corrupto.
557880	561880	Pois ele acredita que a família Trapani é a verdadeira mantenedora da paz e da ordem.
561880	563880	E o atributo dele é sim.
563880	579880	Aventura
579880	581880	A aventura começa...
581880	585880	A grande parte dela vai se passar na Suíça.
585880	591880	O Giovanni, ele é um policial da Itália? Ele é ali da região? Como é que...
591880	595880	Ele fez a carreira na Itália, mas ele vai para onde a família mandar.
595880	601880	A Paola, ela falou que tem descendência ali da região. Ela é policial onde? Na Itália ou na Suíça?
601880	604880	Não, ela é investigadora particular. Ela não está mais na polícia.
604880	606880	Ah, tá. Mas quando ela foi da polícia?
606880	610880	É da área ali da Itália. Da mesma área da India, eu imagino.
610880	611880	Então, da Itália.
611880	612880	Tá, perfeito.
612880	616880	E o motorista atua com a Angel, atua na Itália também.
616880	619880	Então, vocês estão ali meio de fora. Perfeito.
619880	626880	O clima esse ano é próximo ao Natal, as festas de final de ano. É final de dezembro.
626880	630880	Tem muita neve na rua, está tudo meio tomado de branco.
630880	633880	É uma área mais alta, mais afastada que vocês estão.
633880	638880	Logo pela manhã, o Francesco recebeu uma mensagem da Angel,
638880	640880	dizendo para buscar a Paola e o Giovanni.
640880	646880	E irem rapidamente até o hospital, pois ela teve um problema.
646880	650880	O Francesco, então, ele deve ter informação de tão muito.
650880	651880	Sim, sim.
651880	657880	Então, ele vai e pega o carro da família, seu carro tão preto, cuidado, e vai atacar cada um deles.
657880	663880	Eventualmente, acaba pegando os dois. Dirige com cuidado por conta da pista.
663880	668880	Em alguns pontos, só molhada. Em outros, ainda com uma pequena camada de neve.
668880	676880	Embora o tempo todo passem aqueles carros grandes para fazer a limpeza da estrada e tentar salgar,
676880	678880	ainda assim, não está um dia muito fácil.
678880	683880	A gente segue, então, calmamente. Acredito que não muito calmamente também,
683880	687880	mas dentro da segurança, até os desvios até o hospital.
687880	692880	Todos vocês receberam a mensagem. Simplesmente, a Angel quer falar com vocês que ela está com um problema.
692880	695880	Ela não especificou que problema é esse.
695880	697880	Estou pronto à espera.
697880	701880	Na noite de ontem, teve bastante nevasca. Vocês estavam por ali pelo hospital,
701880	705880	mas elas acabaram indo para casa descansar depois que o bebê nasceu.
705880	708880	Trocaram de pessoal que ficava de olho.
708880	713880	A nevasca de ontem, hoje, já deu uma amenizada. Dá para ver um pouco do sol lá em cima,
713880	718880	mas devido a altitude do local, a época do ano, o chão ainda tem bastante neve.
718880	725880	O que chama a atenção de vocês, ao chegar num pequeno e caríssimo hospital,
725880	731880	ele é afastado realmente para ocasiões especiais para quem realmente tem dinheiro.
