start	end	text
0	11760	Uma comédia de arrepiar os pelos com altas confusões bem longe de casa.
11760	17040	Esses guaxinim não são só fofos, eles são hilários. Quando os filhotes descobrem que
17040	22680	precisam voltar para o aconchego da mamãe, eles vão aprontar altas aventuras. Preparem-se para
22680	27960	risadas, atrapalhadas e uma aventura selvagem que vai mostrar que a família é a maior aventura de
27960	35680	todas. Não dá para perder na sua sessão da tarde, digo, na arpeguaxe. Episódio de hoje,
36880	43280	Guaxinim, o retorno dos filhotes. Olá, eu sou o Marcelo Guaxinim, sou o guaxa dessa aventura e estou
43280	49840	aqui hoje com... Eu sou a Sara Barbosa e você me encontra na taberna do guaxa como um arroba
49840	57880	Oi, amigo e Sara. E também no Instagram como arroba Sara Pereira B. Oi, eu sou o João
57880	57940	Pereira B. Oi, eu sou o João Pereira B. Oi, eu sou o João Pereira B. Oi, eu sou o João
57940	65480	Pedro, você me encontra na taberna como morcego de óculos e no Instagram como jopen0199. Oi,
65620	70180	eu sou o Jean e você me encontra na taberna do arpeguaxa e em qualquer rede social como
70180	78220	arroba macedojg7. O Realidades Paralelas do Guaxinim usa o sistema guaxinins e gambiarras.
78800	86160	Nele, cada jogador possui apenas um único atributo, que vai de 2 a 5. Quanto maior o atributo,
86160	87920	mais atlético é o personagem.
87940	94380	Quanto menor, mais inteligente e carismático. Sempre que o jogador faz algo com uma chance
94380	100600	de errar, joga dois dados e precisa tirar o seu atributo ou menos para ataques e ações
100600	107560	físicas e seu atributo ou mais para ações intelectuais ou sociais. Se a jogada for fácil
107560	113040	ou tiver algum auxílio, joga um dado a mais. Se a jogada for difícil, rola-se um dado
113040	117380	a menos. Eu sou a Bia, também conhecida como Bia Rebelde.
117940	122740	E sou madrinha do arpeguaxa, porque além do guaxa merecer todo o apoio por esse projeto
122740	127640	incrível, a taberna é o melhor lugar para se estar a qualquer momento do dia.
128980	132860	Não deixe de me seguir nas redes sociais, eu sou o Marcelo Guaxinim, arroba arpeguaxa.
132860	141000	E gente, sério, preciso do apoio de vocês. Com o fim do PicPay e do Padrim, muitos, muitos
141000	147860	apoiadores foram perdidos. Vai lá no apoia-se, apoia.se barra arpeguaxa.
147940	153820	E assine o arpeguaxa. Ajuda esse podcast a continuar existindo.
154460	157120	Mais informações no escudo, mestre. E boa ventura.
172020	177440	Sete realidades paralelas. Uma infinidade de possibilidades.
177940	184020	Três jogadores e um guaxinim. Escolha seu carro, pise no acelerador e cuidado
184020	188420	com a corredora de rosa, porque será dada a largada para a nossa aventura.
191960	198580	Cinco. Quatro. Três.
200380	201180	Dois.
205820	206420	RPG.
206420	206580	RPG.
206960	207580	Realidades Paralelas.
207940	211500	Realidades Paralelas do Guaxinim. Sua aventura de bolso na forma de podcast.
211880	214420	Uma jornada completa a cada episódio.
222880	230880	1977 foi o ano que o Lucky nasceu. Em 1977, também os cinemas americanos exibiam Guerra
230880	236120	nas Estrelas e Os Embalos de Sábado à Noite, transportando todos para um mundo que encantava
236120	237420	nerds e jockeys.
237420	243520	Era uma época marcada pela presença de D&D e sprays fixadores. Os jovens eram felizes,
244280	248320	menos aqueles afetados pela crise do petróleo que gerou uma inflação de 13% ao ano e uma
248320	252360	taxa de desemprego recorde nos Estados Unidos. Mas os não afetados eram muito felizes.
252740	257860	Quem também era muito feliz eram os guaxinims, atraídos por um mundo repleto de McDonald's
257860	262240	e Pizza Hut, que não paravam de se expandir. Os guaxinims encontravam a verdadeira abundância
262240	266680	de alimentos, como se a fome fosse algo distante e esquecido.
266680	272540	As cidades, antes neutras em relação a esses animaizinhos, tornaram-se um lar acolhedor.
272600	276260	Afinal, que mal poderia causar esses ladrõezinhos fofinhos?
276440	281220	Neste cenário, os protagonistas são três filhotes de guaxinim, nascidos na cidade,
281540	287480	mas que têm uma mãe originária da floresta. Uma guaxinim grande, forte e previdente.
287800	291300	Ela elaborou um plano de contingência muito, muito importante.
291300	292300	Ela sempre dizia...
292840	296300	Se vocês se perderem, meus filhos, me encontrem no topo da pizza...
296680	302300	Pizza Hut, que fica na Praça dos Pombos. Não importa o que aconteça, estarei lá esperando
302300	306940	vocês. Ou deixarei o preguiçoso do Rick. Mas alguém estará lá.
307360	313200	Como guaxinims estão sumindo pela cidade ultimamente, a mãe de vocês reforça isso
313200	319000	todo dia. E esperam que quando chegar a hora, vocês façam de tudo para chegar no ponto
319000	319580	de encontro.
319580	325580	Então, antes de descobrir outro filme muito famoso em 1977, vamos conhecer os personagens
326680	331780	originais desta aventura. Então, eu peço que Jean, já que você já foi citado, fala
331780	333920	sobre seu personagem, aparência e atributo.
334520	340300	Tá certo. Olá, eu sou Jean, e hoje eu vou jogar com o Lucky. O Lucky é o mais velho
340300	345940	dos três guaxinimzinhos. Lucky é sorrateiro e curioso. Ele costuma se valer mais do improviso
345940	350600	do que qualquer tipo de preparação para suas abordagens. Ele é tão curioso que começou
350600	355360	a fuçar lixeira já pequenininho, antes mesmo de receber um nome. E quando a mãe viu as
355360	356660	maravilhas de pizza que ele tinha, ele começou a se divertir. Ele começou a se divertir
356680	357800	e começou a se divertir. E quando a mãe viu as maravilhas de pizza que ele tinha trazido,
358140	364440	ela não teve dúvidas. O nome dele deveria ser Lucky. Um legítimo nome de um vira-lata.
364800	369960	Lucky é um guaxinim pequenininho, né? Ele é muito jovem, apesar de ele se achar muito
369960	375420	experiente. Ele tem uma orelhinha cortada assim, sabe? Uma cicatriz. E um lenço que
375420	379340	uma vez ele se enfiou dentro de uma lixeira, enrolou no pescoço dele, mas a mãe falou
379340	383600	que estava bonitinho. Aí ele passou a usar. Então ele usa um lencinho laranja ao redor
383600	384320	do pescoço.
384520	386600	O sabor de pizza favorito do Lucky é margarina.
386680	393080	E ele é o melhor encontrador de pizza de marguerita do mundo. Ele tem plena certeza
393080	395620	disso. E o atributo dele é 3.
395820	398600	Perfeito. Sarah, fala-me sobre os personagens, aparência e atributos.
398620	403280	Oi, pessoal. Hoje eu vou chegar com a Giza. Giza é uma das mais novas junto do seu irmão
403280	407700	gêmeo. E ela admira muito a sua mãe. Se inspira no seu irmão mais velho, o Lucky.
408240	412320	E ama brincar e levar presentes para o Fê, que é o seu irmão gêmeo. Pra se gabar,
412320	416420	ela vive dizendo que faz missões secretas. Por isso sempre volta com algum objeto,
416680	418640	um ovo, que é a toca da família, né?
418880	423760	Ela seguiu o caminho da ousadinha. Então ela gosta de ser uma guaxinzinha mais ousada.
423840	429520	E ela tenta roubar, quer dizer, pegar emprestado e deixa folhinhas verdes no lugar como uma
429520	433220	forma de pagamento, sabe? Se ela viu, ela gostou, ela amou e ela vai levar.
433620	438320	Ela é boa no que faz. Suas mãos são ágeis, parecem ter vida própria. E ela tem um tamanho
438320	442560	bem pequenininho. E ela sempre faz tudo com muita maestria, já que ela tem uma agilidade
442560	446660	muito boa. Ela sabe se esgueirar muito bem para alcançar os seus objetivos. Ela usa
446660	450940	um cordão de miçangas rosas, com umas florzinhas e pulseiras de miçanga também, da mesma
450940	456320	cor, que ela pegou por aí de uma menina enquanto ela esquentava o franguinho dela. Ah, e ela
456320	459760	ama a pizza de sabor mussarela. O atributo dela é o 4.
459900	464300	Perfeito. E por último, o Pedro vai falar sobre o seu personagem e a aparência e atributo.
464580	470100	Oi, meu nome é João Pedro. Vou jogar hoje com o Fê. É um pequeno guaxinim que vive
470100	475140	com sua família. Ama seus irmãos e os respeita muito, principalmente o Lucky, que é o mais
475140	476640	velho. Isso é um irmão gêmeo, né?
476660	482940	A Giza. Que por alguns segundos é a mais velha que ele. Ama e admira a mamãe. Tão
482940	488180	elegante e forte quanto um guaxinim pode ser, né? Ama brincar com seus irmãos, sempre
488180	493660	tentando levar a Giza para começar alguma brincadeira ou confusão. E ama acompanhar
494340	500540	o Lucky em suas caçadas alimentícias. Ele realmente é muito bom para achar as melhores
500540	506360	fatias de pizza. Bem, um certo dia o Fê estava passeando e viu alguns rapazes, alguns
506660	512760	humanos, né? Pulando de prédios, muros, telhados para telhados. Descobriu que aquilo se chamava
512760	518480	parkour. Quem mais seria apto a fazer isso do que um guaxinim, não é? E se tornou sua
518480	526440	maior paixão. Ele tem a ideia que um dia vai conseguir ser o primeiro guaxinim campeão
526440	534480	da cidade em parkour. Ele usa um bonézinho que a irmã trouxe de uma das missões secretas
534480	534720	dela.
534720	536480	E a pizza favorita.
536660	539420	E a receita dele é quatro queijos. O meu atributo é quatro.
561240	566640	Já voltamos no tempo, falando em 1977. Mas, como eu falei, Lucky nasceu em 77.
566660	572000	E é o irmão mais velho. Ele tem três anos. Então, estamos na década de 1980.
572520	577340	Os irmãos, que nasceram um ano depois, têm dois anos cada um.
577500	582020	Embora a gente vá falar de outras datas mais pra frente, eu quero voltar alguns dias atrás.
582600	589240	Na última tarde em que estiveram juntos os cinco, né? Três filhos, o pai e a mãe.
589500	596400	Eles estavam, vocês estavam, né? Em cima da Pizza Hut, do ponto de encontro, que também é mais ou menos um lar pra vocês.
596660	605500	Vocês estavam lá. O Rick, ele juntou pedaços suficientes pra montar umas três pizzas, de uns doze sabores no total.
606420	613820	Vocês estavam lá comendo e ouvindo a mãe de vocês contar histórias. Ela, de cima da borda do prédio, né?
