start	end	text
0	10280	O Japão é um país engraçado, onde monstros gigantes destroem cidades, em especial as
10280	15860	pedreiras, e jovens com seus robôs gigantes lutam contra esses monstros, e também destroem
15860	16960	a cidade no processo.
17420	21340	É engraçado que sempre são jovens, os adultos parecem sempre estar ocupados fazendo outras
21340	24740	coisas, quem sabe reconstruindo a cidade, talvez?
24740	30580	Outra grande tradição japonesa são as meninas mágicas, garotas que estudam em colégios
30580	35400	que as obrigam a usar roupinhas de marinheira, e que quando se transformam viram elas mesmas
35400	40480	usando as mesmas roupas, só que mais chamativas, com o intuito de disfarçá-las.
40780	45860	O episódio de hoje é sobre esse segundo grupo, o de meninas mágicas, sem pedreiras e robôs
45860	48140	gigantes, ao menos não no primeiro episódio.
49180	54520	Episódio de hoje, Guerreiras Mágicas do Guaxinim, com as Madrinhas Mágicas.
54740	60000	Ágata Sofia, lá do Projeto Drama, da Casa das Ágatas, do EgoCast e do RPGuache.
60340	63660	Com a Fer Cortez, do Estação 21 e do RPGuache.
64040	67800	Com a Fabiola Belo, do Instagram do RPGuache e do RPGuache.
68420	72260	O Realidade Paralelas do Guaxinim usa o sistema guaxinis e gambiadas.
72620	76600	Nele, cada jogador possui apenas o único atributo que vai de 2 a 5.
76860	79500	Quanto maior o atributo, mais atlético é o personagem.
80080	82260	Quanto menor, mais inteligente e carismático.
82740	84600	Sempre que o jogador faz algo com uma chance diferente.
84740	86120	Se errar, joga-se dois dados.
86500	89520	E precisa tirar seu atributo ou menos para ataques e ações físicas.
89840	92820	E seu atributo ou mais para ações intelectuais ou sociais.
93340	96540	Se a jogada for fácil ou tiver algum auxílio, joga um dado a mais.
96880	99100	Se a jogada for difícil, rola-se um dado a menos.
99560	104380	Eu sou Davi Lucas, e eu sou padrinho do RPGuache, porque em um momento tão delicado como uma pandemia,
104720	108600	e sem poder sair de casa, tive a honra de conhecer o RPGuache através dele,
108900	112880	e pude viajar para vários outros lugares em cada nova história contada em seus episódios.
112880	114660	E sigo até hoje, sendo levado.
114740	116220	Nesse mar incrível de aventuras.
116500	117740	Não deixe de me seguir nas redes sociais,
117840	121660	tanto no Twitter quanto no Instagram.
121920	125960	E sério, sério, se você quiser continuar ouvindo esse projeto, ajudar ele a crescer,
126200	127940	pense em ser nosso padrinho.
128400	129880	Eu falo mais sobre ele no Escudo Mestre.
142880	144480	Sete realidades paralelas.
144740	147300	Uma infinidade de possibilidades.
147720	150140	Três jogadores e um guaxinim.
151940	157920	Respeitável público, não deixem a boba comer sua pipoca e não derramam um homem forte.
158380	160600	Pois o espetáculo irá começar.
161160	162380	Boa aventura!
165380	166260	Cinco.
168260	169180	Quatro.
169180	172180	Três.
172740	174180	Dois.
175360	175880	Quatro.
175880	176620	Cinco.
176740	176940	E cinco.
176940	179840	Encontre mais delas no eChimor.com
179840	182600	RPG, REALIDADES PARALHELAS DO GUAXINIM.
182740	184960	Sua aventura de bolso na forma de PODCAST,
185220	188380	uma jornada completa a cada episódio.
188380	192840	Utilize o botãoがんasker 접종ar na segunda parte para perder a vida давante do eh jealous.
193000	195300	Zero dédio
195340	196020	乾杯
196020	197140	Atanuki High School
197180	199540	É conhecida como a melhor segunda opção do Japão.
199540	203600	Se seu filho não passou em uma escola do Ensino Médio graduada,
203600	204300	Essa é uma boa escola da América Latina com muito o esporte militar.
204300	208600	uma boa escola para ele, pois ela é muito melhor que as escolas fáceis de entrar, mas
208600	211120	não é assim uma das top aprovações no vestibular.
211480	216580	E só isso já joga uma pressão em cima desses estudantes, que não são os mais brilhantes
216580	219380	do país e também não são os bullies.
220020	223700	Eles são alunos médios do ensino médio.
224000	229060	Eles são cobrados por suas famílias, eles estão em uma escola nova, eles precisam estudar
229060	234020	e tirar boas notas nesses três anos, seus amigos de infância estão em outras escolas,
234620	239420	as cerejeiras já estão rosas, mas ninguém tá passeando de mãos dadas, e coisas estranhas
239420	240540	estão acontecendo na escola.
240820	245860	Mas nada disso importa, pois a cidade está para ser destruída, por uma força do mal,
246320	251380	que só pode ser combatida por guerreiras da paz e da esperança, por adolescentes mágicas.
251640	254040	Mas vocês ainda não sabem disso, nem as jogadoras.
254560	257800	Então seria melhor conhecê-las antes delas receberem essa notícia.
258560	259180	E são elas.
259340	261840	Fernanda, só fala sobre o teu personagem e aparência atributiva.
261920	262540	Oi, gente!
263140	264280	Hoje eu sou a...
264280	266680	Aurora Hikijisa, tá?
266900	270700	Ela é uma estudante de 15 anos, o atributo dela é 3.
271460	273780	Ela é uma garota de... bem alta, tá?
273820	279500	Ela tem 1,70m de altura, tem um cabelão longo e vermelho com algumas mechas laranja,
280200	281860	e o olho dela também é laranja.
282460	286800	Ela é bem extrovertida, determinada, ela tem o hábito, assim, de sempre assumir a
286800	291540	responsabilidade de proteger todo mundo que ela gosta, e embora ela seja uma menina,
291540	293600	ela se recusa, veementemente.
294280	299560	Agora, o uniforme feminino da escola, então ela se veste com calça social, camiseta branca
299560	300700	e a gravatinha, né?
300960	302240	Básica, igual os meninos.
302680	308480	Ela é praticante de kendo, e faz parte também do time de atletismo da escola, embora seja
308480	310480	um pouquinho, assim, desajeitada.
310600	311480	Perfeito, fala o atributo.
311660	311960	3.
312280	312800	Ah, Fábio!
313040	314940	Boa noite, bom dia, boa tarde.
315400	315980	Oi, gente!
316640	320120	Hoje eu vou jogar com a Meroli Yoshikawa.
320120	323900	Ela tem 15 anos, e o atributo dela é 4.
324280	330220	A Meroli é uma menina de 1,50m de altura, ou seja, ela é baixinha, com cabelos e olhos
330220	331340	da cor azul.
331600	336320	Seus cabelos cacheados abundantes ficam acima da altura dos ombros, ou seja, são curtos,
336380	336460	né?
336780	338680	E ela usa óculos por causa da miopia.
339460	344640	Apesar de ser tímida e possuir uma aparência frágil, é bem determinada quando quer alguma
344640	345000	coisa.
345220	350800	Ela pratica Kyudo, que é a arte marcial japonesa do tiro com arco e flecha, e participa do
350800	352220	clube de natação do colégio.
352260	352920	E o atributo dela?
352920	353640	É 4.
353800	354180	Perfeito.
354280	356940	Agatha, fala sobre o teu personagem e a aparência do teu atributo.
357060	359420	Oi, meu personagem é a Persephone Tanaka.
360340	364080	Ela é uma jovem de 15 anos, o atributo dela é 2.
364920	369880	Ela é uma jovem meio reclusa, ela tá numa fase rebelde, ela tinha o cabelo preto e acabou
369880	371220	de pintar totalmente verde.
371820	376720	Ela tem vários adereços que são meio góticos, ela tem uma correntinha e colocou brincos
376720	378980	já pra o desespero da mãe dela.
379260	383480	Os pais queriam que ela fosse advogada e fosse mais como uma irmã mais nova, que é a Super
383480	384140	CDF.
384280	388600	E ela não tá em nenhum clube, exatamente porque ela gosta de ficar mais reclusa, mas
388600	392060	secretamente, ela gosta de dançar e gosta de moda.
392340	396880	Então ela sobra no terraço pra testar as danças que ela vê no YouTube e às vezes
396880	397960	costurar alguma coisa.
409380	413440	Não que tenha influência na aventura, mas pra sentir a vibe de vocês.
413440	416060	Na sala de aula, onde cada uma senta?
416560	418640	Na ordem que a gente fez antes, então, a Fernanda?
418900	420900	Mais na frente, no fundo, na janela, no meio?
421100	427080	Eu sento mais na janela, mais pro lado do fundo, né?
427540	431800	Porque eu gosto de ver todo mundo assim que vai chegando, essas coisas, eu sou aquela
431800	435680	que fica puxando assunto durante a aula, então na frente os professores às vezes ficam
435680	438400	atacando uns tocos de giz, então eu sento mais no fundo mesmo.
439440	440320	A Melody?
440320	443300	Ela gosta de ficar perto da janela também.
443440	447040	Mas ela fica mais pra frente, porque como ela é baixinha, se ela ficar muito atrás
447040	451360	ela não vai conseguir ver o quadro ali, quando o professor estiver falando as coisas.
451800	453340	Mais perto da janela, da porta?
453700	458120	É, perto da janela, mas é mais pra frente da sala, porque como ela é baixinha, senão
458120	458860	ela não vai enxergar.
459440	461820	E ela usa óculos também, não adianta ficar longe não.
462180	463060	E a Persephone?
463420	468100	Só pra ficar engraçado de ser a fileira das protagonistas de Cabelo Colorido, eu tô
468100	472200	na janela também, só que é no meio, que é o lugar que quando eu cheguei é o que
472200	472920	sobrou ali.
473440	475580	Uma das últimas que eu cheguei pra pegar lugar.
476300	479160	E eu não presto muita atenção nas aulas, eu fico mais olhando pra fora.
479380	479900	Tu é a última?
480100	483720	Não, eu fui uma das últimas pra chegar na sala, então eu peguei o lugar que tinha,
483920	485940	que era no meio da fila, na janela.
486080	488380	Tá, então todas ficaram na janela, na mesma fila.
489000	489360	Exato.
490080	495360	Daí tem você no meio, as três estão uma atrás da outra no meio, é isso?
495700	497300	Vocês só não são a última nem a primeira?
497300	502300	É, eu não sou a última não, pode ser isso, já facilita a conversa.
503000	503400	Pode ser.
503440	509220	A primeira da fila é loira, ela se chama Akemi, vocês vão ouvir dela daqui a pouco.
509760	513320	E a última da fila, só pra juntar todo mundo então, é a Yumi.
513820	518180	Ela é mais trevosa que a Persephone, inclusive.
519600	520420	Minha rival.
520480	521560	Tô gostando dessa fuleira.
522980	529140	O resto dos alunos da sala são aqueles personagens genéricos que a gente vê em anime, que tem
529140	530960	mais ou menos todos a mesma cara e o mesmo cabelo.
530960	532960	Sabe quando vocês vêem um...
533440	539620	As pessoas com cabelo engraçado são as pessoas protagonistas ou vilões, todo o resto são
539620	540620	só pessoas normais?
540620	541620	É isso.
541620	549480	Qualquer um que abre uma página de mangá e veja a ilustração sabe que as cinco daquela
549480	555940	fileira tem alguma coisa especial, mas vamos voltar pra aventura, estamos na segunda semana
555940	561760	de aula, vocês já tiveram aquela primeira semana, ninguém é amigo ainda de ninguém,
561760	562760	já existem alguns colegas, já existem alguns colegas.
562760	567640	Já existem algumas pessoas que estão mais próximas, mas é a segunda semana de aula.
567640	572700	As flores da cerejeira já começaram a florescer, a temperatura tá mais amena, né?
572700	577640	E nessa primeira aula da segunda semana, a presidente da turma, que é a primeira da
577640	583100	fileira de vocês, a Akemi Saito, ela tá passando os recados, né?
583100	589080	Por sinal, vocês já pelo burburinho, pela fofoca, você sabe que o cargo dela como presidente
589080	591080	não foi votação, né?
591080	592520	Ela ganhou este cargo.
592520	598300	A professora indicou, porque ela teve a maior nota no exame de admissão pra essa escola.
598300	603680	Dizem que ela deveria estar numa escola mega conceituada, que a família dela é rica e
603680	609140	ela sempre teve notas boas, mas que ela ficou nervosa no dia da prova da escola que a família
609140	614320	queria que ela entrasse e ela acabou errando muitas questões, o que fez com que ela parasse
614320	615320	ali.
615320	621360	Ela tem um cabelo loiro muito claro e olhos azuis muito brilhantes, ela diz.
621360	622360	Já deu alguns recados?
622360	623360	Já deu alguns recados, né?
623360	626400	E a parte que interessa começa agora.
626400	630600	Primeiro tópico, todas as turmas adotaram um animal de estimação e o primeiro ano
630600	632660	precisa cuidar desse gato.
632660	637040	Ela aponta pra um gato se lambendo em cima da mesa da professora.
637040	638040	Ai, gatinho!
638040	644160	Precisamos dar um nome pra ele, então sugestões devem ser colocadas nessa caixa que faremos
644160	646880	um sorteio ou uma votação na semana que vem.
646880	651840	Segundo tópico, a direção pediu pra avisar que estão sumindo muitos celulares, eles pediram
651840	657220	que os estudantes não tragam mais os celulares pra escola até pegarmos o ladrão.
657220	662120	E eu também devo lembrar que a escola não se responsabiliza por materiais alheios aos
662120	665720	estudos, porque o celular distrai muito vocês.
665720	668780	É isso, tenham um ótimo dia!
668780	674600	Ela faz um vezinho assim com os dedos próximos aos olhos, faz uma pose que ninguém dá muita
674600	679040	bola e então ela volta a sentar na primeira cadeira da fila de vocês.
679040	680840	Eu imediatamente cutuco a Persephone.
680840	681840	Você?
681840	682840	Sabe?
682840	683840	Daquele cutucão nela.
683840	684840	Persephone!
684840	685840	Persephone!
685840	686840	Ah, dá um sussinho.
686840	687840	Oi.
687840	688840	Você já teve uma ideia pro nome do gatinho?
688840	689840	Ai, ele é tão fofinho!
689840	695460	Eu quero tanto dar um nome pra ele, mas eu acho que tem que ser um nome muito fofinho.
695460	696920	Você pensou em algum?
696920	699220	Gato número dois, porque o da outra sala fugiu.
699220	700220	Ai não!
700220	701220	Assim não!
701220	707220	Aí eu dou aquela viradinha assim na mesa, né?
707220	708220	Melody!
708220	709220	Melody!
709220	710220	E você?
710220	711220	Você tem alguma ideia?
711220	712220	Curo?
712220	713220	Ele é preto.
713220	714220	Ah, é verdade!
714220	715220	Curo!
715220	718220	Aí eu já pego um papelzinho e escrevo.
718220	723880	Eu acho que se a gente colocar o mesmo nome, talvez a gente possa convencer que mais gente
723880	725220	tá gostando dessa ideia.
725220	727220	Aí eu tô mega empolgada, tá?
727220	729220	Aí eu fico assim olhando pro gato.
729220	733220	Eu acho que o gato tem alguma marca ou ele é todo preto?
733220	734220	Todo preto.
734220	736220	Ele parece que tá um pouco ligando pra sala de aula.
736220	739220	A professora tá de boca aberta assim olhando pra ele.
739220	740220	Ela parece ser...
740220	741220	É...
741220	742220	Também empolgada com gato.
742220	743220	É.
743220	744220	Bem preto é a minha cor favorita.
744220	745220	Por que não?
745220	746220	Eu pego o papelzinho e escrevo a sugestão delas.
746220	747220	Eu levanto assim, eu falo...
747220	748220	Eu levanto a mão e falo...
748220	749220	Sensei!
749220	750220	Sensei!
750220	751220	A professora levanta?
751220	752220	Pois não.
752220	753220	Qual nome a senhora acha que combina com gato?
753220	754220	Já que eu tô vendo que ela gostou do gato.
754220	755220	Ah!
755220	756220	Eu, como professora...
756220	757220	Eu não posso influenciar vocês.
757220	758220	Ah, mas a gente só quer saber a sua opinião.
758220	759220	Mas você influenciou a representante.
759220	760220	Eu não.
760220	761220	Foi o direito.
761220	762220	Foi o direito.
762220	763220	Foi o direito.
763220	764220	Foi o direito.
764220	765220	Foi o direito.
765220	766220	Foi o direito.
766220	767220	Não entendi, mas tudo bem.
767220	768220	Aí então eu cutuco a...
768220	769220	A Kemi na minha frente.
769220	770220	A Kemi?
770220	771220	Qual você acha que devia ser o nome do gato?
771220	772220	A gente tava pensando aqui em Kuro.
772220	773220	Porque ele é preto, né?
773220	774220	Kuro-chan vai ficar muito bonitinho.
774220	775220	Ela...
775220	776220	Ela...
776220	777220	Ela vira pra...
777220	778220	Pra ti?
778220	779220	Vai combinar?
779220	780220	Eu acho.
780220	781220	Ele é todo pretinho.
781220	782220	Ela precisa de um pet com o nome de Guerreiro Imponente.
782220	783220	Guerreiro Imponente.
783220	784220	Aí eu...
784220	785220	Eu tô botando assim a mão no rosto.
785220	786220	Ah!
786220	787220	Ah!
787220	788220	Ah!
788220	789220	Ah!
789220	790220	Ah!
790220	791220	Ah!
791220	792220	Ah!
792220	793220	Ah!
793220	794220	Ah!
794220	795220	Ah!
795220	796220	Ah!
796220	797220	Ah!
797220	798220	Ah!
798220	799220	Ah!
799220	800220	Ah!
800220	801220	Ah!
801220	802220	Ah!
802220	803220	Ah!
803220	804220	Ah!
804220	805220	Ah!
805220	806220	Ah!
806220	807220	Ah!
807220	808220	Ah!
808220	809220	Ah!
809220	810220	Ah!
810220	811220	Ah!
811220	812220	Ah!
812220	813220	Ah!
813220	814220	Ah!
814220	815220	Ah!
815220	816220	Ah!
816220	817220	Ah!
817220	818220	Ah!
818220	819220	Ah!
819220	820220	Ah!
820220	821220	Ah!
821220	822220	Ah!
822220	823220	Ah!
823220	824220	Ah!
824220	825220	Ah!
825220	826220	Ah!
826220	827420	Quando vem um gato, fica fofinho.
827440	828860	E se a gente chama ele de Katsudon?
829420	830220	O que que significa?
831020	834940	Não é porque Katsudon, primeiro, é um tipo de ramen, né?
835200	836580	Que é de carne de porco.
836840	839900	Mas Katsu também, não sei se é o mesmo kanji.
840040	841280	Mas Katsu quer dizer vitória, né?
