start	end	text
0	17980	O Velho Oeste Americano inspirou uma série de filmes que são feitos até hoje, filmes
17980	23720	que ficaram clássicos, o bom, o mal e o feio, por um punhado de dólares, três homens em
23720	24280	conflito.
24280	30260	É óbvio que sabemos que esses filmes são completamente fantasiosos e não mostram o
30260	35420	Velho Oeste como ele realmente era, o Velho Oeste com menos armas, com menos pontaria,
35880	38540	com menos heroísmo, com menos ação.
39040	44320	O episódio de hoje não é um episódio histórico, pelo contrário, muito pelo contrário.
44680	50820	No episódio de hoje acompanharemos um xerife, uma índia, um mexicano e seu burrinho, o
50820	51420	Madruguinha.
52020	54260	Episódio de hoje, Madruguinha do Oeste.
54280	61520	Com Felipe Xavier, no papel de Dom Ramon, Debbie Cabral, no papel de Dakota e João
61520	64140	Vitor Galvão, no papel do xerife Robbins.
64860	66700	Esse episódio é livre para todas as idades.
67460	70620	A RPG Guarja usa um sistema chamado Lasers e Sentimentos.
71180	76600	Nesse sistema, os jogadores sempre rolam um ou mais dados de seis lados, aqueles que você
76600	77820	encontra no War.
78140	82860	Cada personagem tem um único atributo, um único número, que vai de dois a cinco.
82860	87760	E sempre que esse personagem vai atacar alguém, ou fazer uma ação física, ele precisa
87760	92980	rodar o dado e tirar um número igual ou menor ao seu atributo.
93300	97980	E sempre que ele vai fazer uma ação que não é uma ação física, nem um ataque, como
97980	104880	procurar uma pista, ou vir, ou mesmo se esconder, ele sempre precisa tirar o seu atributo ou
104880	105420	mais.
106200	112180	Não esqueça de me seguir nas redes sociais, arroba Marcelo Guaxinim, e siga o RP Guaxa.
112180	112220	Até a próxima.
112860	117140	Se você também quiser apoiar este episódio, ser padrinho, e colocar sua voz em um dos
117140	121740	NPCs, escute até o final, no escudo do mestre, eu explico para vocês.
121900	122580	Uma ótima aventura.
142860	172840	Tchau, tchau, tchau.
172860	174280	Hora iniciativa.
174900	177300	Então, não tem armadilha.
177580	178220	Podemos ir.
178920	180100	O que vocês fazem?
181480	185520	Tá, tá, é, eu amarro uma corda nelas e uso como arma.
185880	186760	Eu ataco.
187160	191120	O mago lança seu Thunderbolt mais 15 no Upholder.
191140	193420	Ih, eu quero rolar a perseguição, posso?
194160	195820	Tem algum lugar para se esconder?
196460	198700	Ah, falha crítica.
199260	200080	Ataque de impunidade!
200080	202080	Ei, Romano, chama o clérigo!
