start	end	text
0	9940	E se você acordasse em um lugar estranho, com pessoas estranhas, em um ambiente diferente
9940	11200	do que você está acostumado?
12040	12980	É assustador, né?
13600	17200	Mas ao menos você pode gritar e ser alguém que você não é normalmente.
18200	23720	Mas e se você acordasse em um lugar familiar, com pessoas que você ama, e algo estivesse
23720	24260	errado?
25020	26340	Algo que você nem sabe o que é?
27600	28220	Não seria pior?
30000	41000	Episódio de hoje, Mãe, com os meus amigos e padrinhos, Jean Macedo, Adriano Trota e
41000	42200	Thaís Zuzu.
43460	46940	E agora com vocês, o Bardo Petis!
47300	47820	Uhul!
48440	49400	Isso!
51000	51620	Bardo!
52060	52540	Bardo!
53340	55500	Toca aquela do guaxinim de gambiarras!
55500	57060	Ah, sim, sim.
57300	59920	Você precisa escolher um atributo entre 2 e 5, né?
60360	60740	E depois?
61560	62280	E depois?
63140	64700	Depois, meus caros.
67000	70220	Rolem 2D6
70220	74980	Se for uma jogada normal
74980	80160	Para algo difícil ou se está machucado
80160	82940	Rola menos um dado
82940	87360	Ganhou ajuda ou é fácil demais
87360	89040	Role um dado
89040	91320	Até mais!
91620	94820	Uma ação física ou uma briga
94820	98680	Atributo pra baixo é a dica
98680	101980	Atenção, carisma ou percepção
101980	106500	Atributo pra cima, irmãos
106500	110100	Cheque mate se tirar seu atributo
110100	113380	Isso é um crítico
114320	117300	Agora ouça com atenção
119040	129680	Se tudo der errado, role no chão.
149040	151520	Que se diverte, que brinca, que ajuda.
152100	153400	Então, vem pra cá também.
154280	160060	E se você me conhece do Squash Versos, você sabe que eu costumo fazer um jogo de palavras com a primeira letra de cada verso.
160660	164520	E embora aqui não forme o título do episódio, forma uma palavra muito especial.
165040	167840	Volta lá onde eu cantei e repara qual foi a primeira letra de cada verso.
174600	176620	Sete realidades paralelas.
176620	178620	Uma infinidade de possibilidades.
179040	180620	Três jogadores.
181840	182860	E um guaxinim.
183400	185740	É um prazer ter vocês por aqui.
186540	189840	Queremos todos batendo as mãos para a próxima música.
190260	191580	Digo, aventura.
192920	193540	Cinco.
195460	196500	Quatro.
198580	198620	Três.
200980	202020	Dois.
206620	207020	RPG.
207820	209020	Realidades paralelas do Squash.
209040	212340	Sua aventura de bolso na forma de podcast.
212740	215260	Uma jornada completa a cada episódio.
229040	234860	A aventura de hoje envolve uma família e eu gostaria de apresentá-los um pouco antes de começar a aventura.
234860	238860	Porque talvez conhecer toda a família seja a aventura.
239040	241620	O pai da família é o personagem do Jean.
242060	245640	Então, por favor, Jean, fala sobre o teu personagem, aparência e atributos.
245740	248700	Olá, eu jogo hoje com o Joseph King.
249060	254700	O Joseph é um homem de 42 anos, homem branco, de cabelos curtos, já bastante grisalhos,
255260	261040	olhos azuis, barba sempre bem feita e desenhada e aquele rosto quadrado tipicamente estadunidense.
262020	269020	Apesar de ter uma estatura baixa e já não ser tão jovem, ele tenta se manter em forma estando constantemente ali na casa.
269040	275080	E o Joseph teve condições de galgar uma carreira muito promissora como arquiteto.
275440	285280	Então ele teve uma vida boa e ele pôde dar uma criação que suprisse todas as necessidades e preferências e vontades do filho Michael e da filha Emma.
285620	287220	E o atributo dele é 3.
287620	288120	Perfeito.
288620	293020	Essa noite, Joseph, você sonhou com o dia que você encontrou Cecil.
293320	296640	Ela era mais alta, mais loira, dois anos mais velha.
296640	298640	Você estava no começo da faculdade de arquitetura.
299480	302640	E ela já planejava um trabalho de conclusão de curso em engenharia.
303520	305900	O teu carro não podia ligar naquela tarde.
306260	308440	E ela consertou o motor em troca de macarona.
309180	312780	Ela estava suja de graxa, mas você não teve coragem para comentar.
313460	315560	A primeira vez que ela falou com você, ela disse...
315560	318080	Parece que seu carro está gritando por ajuda.
318200	320640	A última coisa que ela te falou foi...
321400	322500	Cuida das crianças.
322500	324540	Tu acorda na tua cama.
325420	326460	É uma cama de casal.
326520	328500	Tu está dormindo em uma ponta.
329040	332480	Do outro lado, está bagunçado, mas não tem ninguém ali.
332900	336980	Tu está sozinho, mas com a certeza de que algo não está muito certo.
337320	342140	Só que um barulho lá fora prende a tua atenção e tu esquece aquilo por um momento.
342500	343840	Antes de mais nada...
343840	347580	Adriano Trota, o filho mais velho, fala sobre o teu personagem, aparência e atributo.
347880	349560	Olá, olá pra todo mundo.
350080	351920	Hoje eu vou jogar com o Michael King.
352240	353840	Ele é mais conhecido como Mike.
353840	355640	É o filho mais velho do Sr. Joseph.
355800	356900	Tem 16 anos.
357440	358480	É branco, loiro.
359040	360940	Tem o cabelo espetadinho, de galã.
361120	361920	Olhos azuis.
362360	363420	É alto, atlético.
363920	365980	É o típico garoto popular do high school.
366320	369200	Ele é quarterback do time de futebol americano da escola.
369700	370880	Futuro rei do baile.
371180	373100	Mas ele também tira notas altas.
373380	377980	Sim, ele é presidente do clube de debates e representante de turma.
378460	380120	É, a vida vai bem pro menino Mike.
380240	381040	Esse menino vai longe.
381900	385560	Alguns acham que ele poderia ser jogador profissional no futuro.
386080	388920	Mas ele pretende mesmo é fazer a business school.
389040	389840	Em Harvard.
389840	391840	E dar ainda mais orgulho pra família.
391840	393500	E o atributo dele é o 4.
393500	394780	Essa noite tu sonhou também.
394780	396000	Tu sonhou com a formatura.
