start	end	text
0	800	Estamos prontos?
1140	1980	Estamos sim!
2440	4780	Ah, você prefere mestre ou narrador?
4940	6640	Na verdade, eu prefiro quase.
8880	11140	Olá, eu sou o Marcelo Bastianini e queria convidar você
11140	14160	pra Convenção de Cultura Pop Luiz Delfino,
14520	15840	a Popcom LD.
16200	17940	Ela vai acontecer, como o próprio nome diz,
18200	20080	no Colégio Luiz Delfino,
20340	22020	lá em Blumenau.
22320	24620	Você pode dar uma conferida lá no Instagram deles,
24820	28460	Popcom, P-O-P-C-O-N-L-D.
28460	30280	E todas as informações vão acontecer agora,
30440	32060	dia 14 de setembro.
32240	34560	Eu, Beto e Malu estaremos lá,
34820	35880	visitando o evento
35880	38200	e dando um abraço a quem aparecer.
38640	40220	Então vejo vocês lá, Popcom,
40600	43540	lá na Luiz Delfino, em Blumenau.
44000	45160	Olá, todo mundo!
45600	46900	Aqui é o Adriano Trota,
47120	48520	muito feliz de estar aqui de novo.
49040	51020	Você pode me encontrar na Taverna do Guaxinim,
51340	52120	seja um apoiador,
52640	55240	ou, se você quiser, você também pode me encontrar no Instagram.
55240	58420	É o arroba trota, T-R-O-T-T-T-A.
58460	59980	Oi, gente, aqui é a Shelly.
60280	62700	Vocês me encontram no Blue Sky, no Instagram,
62840	63960	como o arroba Shelly Poison.
64040	66700	Vocês me encontram no RPG Next e em Aventuras Antigas.
67260	69220	E vocês também podem me encontrar
69220	71280	no grupo de spoilers
71280	73340	da Taverna do Guaxinim.
73580	75000	Então, se vocês virarem padrinhos...
75000	75480	Especificamente.
75760	78220	Exatamente, especificamente no grupo de spoilers.
78780	80200	Virem padrinhos, vocês me encontram lá.
80320	81440	Opa, aqui é o Tiki.
81880	84000	E vocês me encontram no RPG Guaxinim.
84280	86320	De vez em quando eu broto num sidecast
86320	87500	ou num contrafactual.
88460	90100	Na Taverna do Guaxinim
90100	92540	e vários grupos adjacentes.
94380	97320	As realidades paralelas do Guaxinim
97320	99140	usam o sistema Guaxinim
99140	99960	e Gambiarra.
100160	102480	Nele, cada jogador possui apenas
102480	105480	um único atributo, que vai de 2 a 5.
106140	107660	Quanto maior o atributo,
107820	109460	mais atlético é o personagem.
109800	110480	Quanto menor,
111060	112840	mais inteligente e carismático.
113640	115320	Sempre que o jogador faz algo
115320	116580	com uma chance de errar,
116580	118560	joga dois dados.
118700	120780	E precisa tirar o seu atributo ou menos
120780	122680	para ataques e ações físicas.
123340	124900	E seu atributo ou mais
124900	127040	para ações intelectuais e sociais.
127900	129440	Se a jogada for fácil
129440	130700	ou tiver algum auxílio,
131340	133060	joga um dado a mais.
133480	134780	Se a jogada for difícil,
135320	136840	rola-se um dado a menos.
137080	138580	Eu sou a Tarinê, eu tô gripada,
139760	141140	mas eu faço tudo
141140	142080	por esse projeto.
142780	144580	E por isso que eu sou madrinha do RPG Guaxinim.
145540	146140	Porque,
146580	148580	esse projeto tem um lugar especial
148580	149340	no meu coração.
150840	152580	Convido você a nos seguir nas redes sociais
152580	154520	ao marcelo guaxinim, arroba rpguaixa
154520	156700	lá no Instagram e no Blue Sky.
157300	158640	Se você quiser que o RPG Guaxinim
158640	160580	continue a existir, seja nosso
160580	162640	padrinho. Vai em apoia.se
162640	164520	barra rpguaixa. Contribua
164520	166260	a cada um real, ajuda muito.
166540	168400	Cada 10 reais você faz parte do nosso grupo do Telegram
168400	170240	que recebe episódio antes, grava
170240	172360	NPC, grava a leitura
172360	174140	de regras como a gente viu agora.
174140	176320	Tem uma série de outras vantagens.
176580	178400	Que você já ouviu falar aqui em outros
178400	180400	episódios. Mas agora,
180600	182380	vamos lá. Episódio de hoje,
183040	184300	Memórias Nebulosas.
202060	204640	Essa aventura a gente vai começar de uma maneira diferente,
205060	206500	já que os personagens,
206500	208600	não sabem nada sobre si.
208860	210120	Então primeiro eu quero que o Tic
210120	211860	fale sobre a aparência
211860	214560	e o atributo do personagem dele.
214840	216600	Hoje eu vou jogar como Vitor,
217280	217860	um homem
