start	end	text
0	800	Estamos prontos?
1140	2000	Estamos sim!
2820	5180	Ah, você prefere mestre ou narrador?
6000	7740	Na verdade, eu prefiro guache.
10440	13540	Olá, eu sou o Marcelo Guaxinim, sou o guache da aventura de hoje.
14140	16720	Convido você a nos seguir nas redes sociais, eu vou marceloguaxinim.com.br
16720	20620	Estou no Twitter, conto no Instagram e outras redes por aí.
21040	25100	E convido você a apoiar este projeto em apoia.se.
25100	33540	Para 10 reais você faz parte do nosso grupo do Telegra, grava voz de NPC e tem uma série de outras vantagens.
34260	36700	Oi gente, aqui é a Rebelbia.
37420	40080	Hoje eu vou chegar de novo depois de um século.
40080	47560	E vocês podem me encontrar no prezstart, que é arroba prezstart, no Instagram, com três S's, sim, tudo junto.
48080	49080	Ou no arroba encólicas.
50100	54460	Ou se quiser falar comigo só, você pode me procurar no arroba rebel__bia.
54540	55080	Oi gente!
55100	57100	Oi gente, aqui é a Rafaela Rangel.
57400	62400	Vocês podem me encontrar na taberna do Guaxinim, sejam padrinhos e madrinhas.
62800	66220	Ou na maioria das redes sociais, como Rafita Chan.
66980	70360	Tá, me explica como funcionam porcas e parafusos.
71740	73220	Guaxinim e gambiarras.
73460	74400	Tanto faz.
75060	79820	Bem, o Realidades Paralelas do Guaxinim usa o sistema Guaxinim e Gambiarras.
79840	84320	Ah tá, isso eu sei. Eu já escutei nas outras aberturas. Vai pra parte da ficha.
84320	93040	Não tem uma ficha igual aos outros RPGs. Na verdade, cada jogador ou jogadora tem apenas um atributo que vai de 2 a 5.
93340	99300	Quanto maior o atributo, mais atlético é o personagem. Quanto menor, mais inteligente e carismático.
100540	105100	Então se eu quiser fazer tipo a Michelle Rodrigues, eu vou ter um atributo alto, certo?
105560	111120	Isso. Agora, se quiser interpretar um hacker ou alguém bom de lábia, aí é melhor ter um atributo baixo.
111120	114280	Entendi. Bom, RPG tem dados, né?
114320	114980	Uhum.
114980	116180	Quando eu rolo os dados.
116180	129940	Quando você tentar fazer algo que pode dar errado, você vai jogar dois dados e pelo menos um deles você precisa tirar o seu atributo ou menos para ataques e ações físicas, ou o seu atributo ou mais para ações intelectuais ou sociais.
129940	135060	Deixa eu ver se eu entendi. Eu vou jogar de Michelle Rodrigues, que é um atributo 5, claro.
135060	135560	Claro.
135560	141360	Se eu quiser atirar em alguém, ou tentar roubar uma porta, eu tenho que tirar 5 ou menos.
141360	142120	Uhum.
142120	144280	Pra mentir pra alguém, eu preciso tirar 5 ou mais?
144280	145280	É isso?
145280	146280	Isso, exatamente.
146280	149280	Nossa, mas é só isso? Simples assim?
149280	151280	É. Quer dizer, tem mais uma coisa.
151280	151780	Uhum.
151780	159780	Se a jogada for fácil, ou tiver algum auxílio, você joga um dado a mais. Se a jogada for difícil, você joga um dado a menos.
159780	166780	Pegando os exemplos que você deu, se você tentar atirar em alguém, mas tiver um carro em movimento, seria uma jogada difícil, então você jogaria só um dado.
166780	173280	Agora, se você fosse tentar roubar uma porta e alguém ajudasse você, aí seria uma jogada fácil, então você jogaria 3 dados.
173280	174280	Uhum.
174280	175780	Entendi.
175780	177280	É, muito simples mesmo.
177280	182780	Agora, me conta uma coisa, Sr. Basso. Por que você decidiu apoiar o RPG Guaxa?
182780	190280	Ah, eu decidi apoiar porque eu me apaixonei pelo projeto, achei uma ideia muito boa, e eu queria muito fazer parte da taberna que era o grupo.
190280	195280	E foi uma das melhores decisões que eu tomei, porque eu nunca joguei tanto RPG na minha vida.
195280	199280	Episódio de hoje, Metallic Raccoon, o grande show.
204280	230280	O Metalic Raccoon foi um fenômeno universitário local alguns anos atrás.
230280	233280	Aquela banda que quem ouvia sabia que ia longe.
233280	234780	Mas nunca foi.
234780	242280	Daquela época, restaram alguns fãs fervorosos, e uma van incrível, com um guaxinim metaleiro que parecia sair das capas do Iron Maiden.
242280	249780	Mas um show, talvez o último show, e um festival desconhecido até então, pode ser a oportunidade que sempre buscaram.
249780	252780	Ou talvez seja apenas o seu adeus definitivo.
252780	260780	Antes de continuar, vamos conhecer essas pessoas adultas, que já largaram a sua fama de tocar na escola, de tocar em faculdade,
260780	268780	e que agora tentam ter uma vida normal entre o mundo da música e o mundo real dos boletos.
268780	274280	Então vamos primeiro conhecer o personagem da Bia. Por favor, fala sobre o personagem, a aparência e atributos.
274280	276780	Hoje eu vou jogar com a Sara Esvati.
276780	283780	Ela tem 33 anos, e ela sempre sonhou em ter uma banda de sucesso, sendo a vocalista e a guitarrista.
283780	288780	Ela vem, assim, de uma longa linhagem de instrumentistas e compositores da Índia.
288780	289780	Sendo que ela é da 2ª geração.
289780	290780	Sendo que ela é da 2ª geração.
290780	292780	Dos que nasceram fora do país.
292780	296780	Durante a escola, ela virou amiga, assim, do Bart, né?
