start	end	text
0	24460	Calma gente, deixa eu explicar, pra quem é ouvinte do RPG Guaxa, esse episódio tá saindo extra no mês, e pra quem é ouvinte apenas do Spin de Notícias, ele tá saindo no feed do Spin, mas tem um bom motivo pra isso.
24460	48520	Vejam só, em comemoração aos 8 anos do primeiro podcast do Portal do Aviante, o SciCast, teremos essa semana de SciCast, ou seja, episódios de temática de ciência forense, no Spin de Notícias, no SciCast, deve rolar também no Missangas, no Contrafactual, tudo isso pra você que tem um detetive dentro de você, ou é apenas curioso no assunto.
48520	53840	Que maneira melhor de começar isso, se não com um crime, um crime à la Agatha Christie?
53840	67220	Então vem comigo, escuta esse episódio que foi gravado na forma de RPG, mas editado como se fosse um audiodrama, e eu desafio você, ao chegar ao final do episódio, e descobrir quem matou Samanta Potter.
67900	83820	Episódio de hoje, morte na estação de esqui, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim, e o Felipe Xavier, do Arquivos da Patrulha, da RPG Guaxa, e do coração de cada brasileiro.
83840	113820	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim, e do coração de cada brasileiro.
113840	143820	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim, e do coração de cada brasileiro.
143840	173820	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
173840	203820	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim, e do coração de cada brasileiro.
203840	233820	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
233820	263800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
263820	293800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
293820	323800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
323820	353800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
353820	383800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
383820	413800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
413820	443800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
443820	473800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
473820	503800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
503820	533800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
533820	563800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
563820	593800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
593820	623800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
623820	653800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
653820	683800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
683820	713800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
713820	743800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
743820	773800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
773820	803800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
803820	833800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
833820	863800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
863820	893800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
893820	923800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
923820	953800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
953820	983800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
983820	1013800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
1013820	1043800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
1043820	1073800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
1073820	1103800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
1103820	1133800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
1133820	1163800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
1163820	1193800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
1193820	1223800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
1223820	1253800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
1253820	1283800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
1283800	1283820	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
1283820	1313800	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
1313800	1343780	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
1343780	1373760	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
1373760	1403740	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
1403740	1433720	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
1433720	1433740	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
1433740	1463720	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
1463720	1493700	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
1493700	1523680	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
1523680	1553660	Episódio de hoje, morte na estação de Agatha Christie, com a Debbie, aqui do Portal do Aviante, com a Fabiola Belo, nossa madrinha e cantora da Taberna do Guaxinim.
