start	end	text
0	16920	Policiais. Tão bons no que fazem, que quase parecem super-heróis, só que sem poderes.
17120	25040	Embora normalmente consigam façanhas milagrosas. Tiros certeiros, sorte ampliada, planos mirabolantes
25040	29840	que dão certo e, às vezes, vilões extremamente burros.
30160	37060	Esse tipo de policial era muito comum nos filmes dos anos 80, um pouco nos anos 90 e no episódio de hoje.
37600	43260	Três policiais que estão para vencer o último grande criminoso de sua cidade,
43680	47380	que poderiam se aposentar ou embarcar em uma nova missão.
47840	50700	Afinal, o que está acontecendo em Raccoon Town?
50700	54960	Para essa aventura, cada jogador, além de pensar no seu personagem,
55040	60140	pensou em um ator que o interpretaria, caso isso fosse um filme.
60620	64000	Episódio de hoje, nada de novo em Raccoon Town.
64400	68580	Com Chris Lane, lá do Derivadas, minha colega do Portal do Aviante,
68660	73000	que também já grava sidecasts, spins de notícias e muitos podcasts por aí.
73440	79020	Ela escolheu interpretar ou ser interpretada por Scarlett Johansson, loira.
79380	82540	Embora eu nunca vá entender essa escolha, tendo a opção ruiva.
83200	84940	A Shelly, lá do Pode Isso?
85480	90860	Do RPG Next, que é um parceiro nosso de RPG com aventuras e histórias.
91240	96720	E do Contínuo, ela escolheu ser Michelle Rodrigues.
97100	102600	E por último, temos Gabriel, nosso querido Biel Obar, do lado da Taverna do Beholder,
102760	104560	também um podcast de RPG que eu recomendo muito.
105100	107340	E ele escolheu ser o Eddie Murphy.
107340	111660	Mas é o Eddie Murphy do tempo em que ele resgatava Meninos Dourados
111660	114160	e aprontava todas em Beverly Hills.
115040	119340	Para os desavisados, toda aventura do RPG Guaxa usa um sistema
119340	123100	baseado em um sistema chamado Lasers e Sentimentos.
123420	128600	Basicamente, todos os heróis têm apenas um atributo, que vai de 2 a 5.
128920	136260	Qualquer ação que seja física ou um ataque, como atirar, socar, correr, pular,
136820	139440	você tem que tirar o seu atributo ou menos.
139900	141480	Digamos que o seu atributo é 4.
141480	144860	1, 2, 3 ou 4, você conseguiu.
145040	149200	Se você tirar o seu atributo, ou seja, um 4, você conseguiu e foi muito bem nisso.
149500	153340	Da mesma forma, qualquer coisa que não seja um ataque nem uma ação física,
153820	156560	você precisa tirar o seu atributo ou mais.
157000	160280	No mesmo caso, 4, 5 ou 6.
160640	165300	Sendo que 4 não só é um acerto, como é um acerto acima da média.
165800	170320	No Escudo Mestre, eu explico muito mais coisas sobre aventura e falo mais sobre esse sistema.
170320	172540	Aproveite a viagem.
175040	182100	versiões pela plataforma
182620	187280	que foi portada pela Universidade de B só,
187280	191280	movie sul americana
192640	195500	A escolaenen
195780	197520	a escolaenen
197520	198980	a escola employees
198980	200960	a escola conta
200960	203160	a escola
203160	204880	a escola
204880	206740	Como assim eu morri?
207920	209160	Hora iniciativa.
209780	212180	Então, não tem armadilha.
212460	213080	Podemos ir.
213800	214980	O que vocês fazem?
216340	217000	Ah, tá.
217260	220400	Eu amarro uma corda nelas e uso como arma.
220760	221640	Eu ataco.
222040	226000	O mago lança seu Thunderbolt mais 15 no Upholder.
226040	228300	Eu quero rolar a percepção, posso?
229040	230700	Tem algum lugar pra se esconder?
231360	233560	Ah, falha a crítica.
233560	235140	Ataque de prioridade.
235300	237580	Erro, meu chão clínico.
240140	243920	RPG Realidades Paralelas do Guaxinim.
244280	246860	Sua aventura de bolso na forma de podcast.
247300	249820	Uma jornada completa a cada episódio.
260200	263540	Para chegar até onde vocês chegaram no início desta aventura,
263560	264740	para chegar neste momento,
265100	268520	vocês destruíram parte do patrimônio privado e público,
269040	271600	em especial veículos e estruturas.
272020	273140	Mais uma quinta-feira comum.
273540	273880	Perdão.
274820	277520	Vocês estão num pier atrás de um carro blindado.
279500	282360	Perto de vocês, um helicóptero está em chamas, caído.
283020	285840	Atrás de vocês, uma lancha também está em chama.
287160	288760	Na frente de vocês, um galpão.
290760	293200	Três homens encapuzados com metralhadores
293200	294740	estão atirando contra o carro.
295240	297100	Se vocês tinham alguma outra arma especial,
297240	299220	ela acabou a munição enquanto vocês chegaram até ali.
299700	301280	Cada um de vocês tem pistolas apenas.
302980	305220	Vocês, durante as últimas semanas,
306380	308240	resolveram um mistério
308240	312920	em que várias empresas que recolhiam lixo
312920	313940	estavam sendo atacadas.
314660	317240	No fim, descobriram uma rede de explosivos
317240	318460	que foram espalhados pela cidade
318460	321020	para destruir todo o sistema de tratamento de esgoto
321020	322380	e de coleta de lixo.
322380	326260	E chegaram ao auto-intitulado Doutor Chorume,
326640	330020	que pretendia destruir todo o sistema de limpeza da cidade
330020	332540	para oferecer sua empresa no lugar.
333100	334540	Como vocês descobriram ele,
335080	336520	ele partiu para o sequestro.
337000	338040	Sequestrou a prefeita
338040	340760	e deu para a cidade três horas
340760	343900	para trazer uma continha milionária para ele,
344000	345520	senão as bombas iam detonar.
346420	348320	O cronômetro da bomba já está rolando
348320	351140	e esse aviso foi há duas horas e cinquenta minutos atrás
351140	352260	até vocês conseguirem chegar.
352380	356140	Então vocês estão atrás deste carro,
356560	358940	o carro recebe tiros o tempo todo
358940	362680	e tem que passar por esses três mercenários
362680	364560	para chegar até a prefeita
364560	366700	e desarmar esses explosivos.
376080	378940	Então, todos vocês rolem um dado.
380300	380980	Dois.
381540	381960	Shelly.
382380	384300	Cinco.
386200	386940	Comecei bem.
387580	388000	Cris.
389140	389700	Dois.
390600	391340	Eu estou tudo errado.
391460	392360	A gente começou na corrida.
392440	393480	Como é o nome do personagem de vocês?
393700	397040	É Ed, Scarlet e Michelle?
397220	397360	Não.
397760	398480	Pode ser, cara.
398540	399360	É Ed e Camus.
399600	400240	Está bom para mim.
400560	400920	Pode ser.
401920	402480	Ótimo.
402520	403180	Mais fácil lembrar.
410420	411420	Então é a Michelle.
411420	411440	É a Michelle.
411820	412300	É a Michelle.
412300	414140	A Michelle é a única dos três que nota isso.
415480	419880	Os mercenários não estão atirando para acertar vocês,
419960	420920	até porque o carro é blindado.
421480	424120	Parece que cada um deles atira contra o carro.
424620	426160	Quando está perto de acabar a munição,
426280	427240	o outro começa a atirar.
427620	429320	Eles não parecem que querem matar vocês.
429420	430800	Eles só querem segurar vocês ali
430800	432940	até os dez minutos passarem, provavelmente.
434380	434820	Malditos.
435480	435920	Guaxã.
437920	440000	Só porque eu não consegui captar
440000	441260	o que é que tem ao meu redor,
441260	442260	eu estou atrás do carro.
442460	444680	E tu falou que tinha ao lado e atrás.
445380	447120	É, ao lado tem um helicóptero em chamas,
447200	448900	atrás de ti tem uma lancha em chamas.
449100	451020	Provavelmente cada um de vocês chegou num veículo desse.
451560	452400	Que não vem o caso.
452900	455060	Mas aí do outro lado do carro, né,
455140	456440	tem um galpão.
456760	459400	Na frente desse galpão tem três mercenários atirando com metralhadora.
460260	461080	Ah, malditos.
461900	463500	Estão fazendo uma cortina de balas
463500	464420	para segurar a gente aqui.
464960	467280	Cara, faço a mínima ideia o que fazer.
468220	468720	É simples.
469000	470620	Vamos tirar o freio de mão desse carro
470620	471720	e empurrar o carro em cima deles.
471720	472600	Vai dar tudo certo.
