start=4490ms stop=31095ms speaker_SPEAKER_07
start=43336ms stop=49040ms speaker_SPEAKER_10
start=51129ms stop=59601ms speaker_SPEAKER_10
start=59923ms stop=62385ms speaker_SPEAKER_10
start=63641ms stop=64541ms speaker_SPEAKER_10
start=65271ms stop=67835ms speaker_SPEAKER_10
start=68395ms stop=70008ms speaker_SPEAKER_10
start=72640ms stop=73573ms speaker_SPEAKER_10
start=74694ms stop=75356ms speaker_SPEAKER_10
start=77597ms stop=79940ms speaker_SPEAKER_10
start=80721ms stop=82385ms speaker_SPEAKER_10
start=82911ms stop=83896ms speaker_SPEAKER_10
start=85135ms stop=102453ms speaker_SPEAKER_10
start=103251ms stop=114134ms speaker_SPEAKER_09
start=114575ms stop=117954ms speaker_SPEAKER_09
start=118327ms stop=121061ms speaker_SPEAKER_09
start=121825ms stop=145203ms speaker_SPEAKER_09
start=145814ms stop=155984ms speaker_SPEAKER_09
start=156324ms stop=164898ms speaker_SPEAKER_10
start=166969ms stop=180263ms speaker_SPEAKER_01
start=180670ms stop=182402ms speaker_SPEAKER_01
start=186035ms stop=187359ms speaker_SPEAKER_01
start=187359ms stop=187971ms speaker_SPEAKER_06
start=187971ms stop=189329ms speaker_SPEAKER_01
start=189329ms stop=189397ms speaker_SPEAKER_04
start=189397ms stop=190178ms speaker_SPEAKER_14
start=190178ms stop=191196ms speaker_SPEAKER_00
start=191960ms stop=192758ms speaker_SPEAKER_00
start=194847ms stop=195560ms speaker_SPEAKER_06
start=199719ms stop=205764ms speaker_SPEAKER_00
start=205764ms stop=205814ms speaker_SPEAKER_06
start=205814ms stop=208718ms speaker_SPEAKER_00
start=227020ms stop=237020ms speaker_SPEAKER_10
start=237325ms stop=245509ms speaker_SPEAKER_10
start=246120ms stop=249380ms speaker_SPEAKER_10
start=249991ms stop=252741ms speaker_SPEAKER_10
start=253081ms stop=254032ms speaker_SPEAKER_10
start=254626ms stop=255764ms speaker_SPEAKER_10
start=256443ms stop=264609ms speaker_SPEAKER_10
start=264881ms stop=279787ms speaker_SPEAKER_10
start=280229ms stop=293522ms speaker_SPEAKER_10
start=293879ms stop=295645ms speaker_SPEAKER_10
start=296052ms stop=298174ms speaker_SPEAKER_10
start=298293ms stop=300874ms speaker_SPEAKER_10
start=300874ms stop=303217ms speaker_SPEAKER_03
start=303658ms stop=305390ms speaker_SPEAKER_03
start=305882ms stop=311876ms speaker_SPEAKER_03
start=312079ms stop=314286ms speaker_SPEAKER_03
start=314303ms stop=324439ms speaker_SPEAKER_03
start=324490ms stop=338157ms speaker_SPEAKER_03
start=338514ms stop=341825ms speaker_SPEAKER_03
start=341926ms stop=344473ms speaker_SPEAKER_10
start=344915ms stop=346290ms speaker_SPEAKER_04
start=346918ms stop=354252ms speaker_SPEAKER_04
start=354286ms stop=356782ms speaker_SPEAKER_04
start=357461ms stop=366544ms speaker_SPEAKER_04
start=367003ms stop=370738ms speaker_SPEAKER_04
start=371027ms stop=372232ms speaker_SPEAKER_04
start=372707ms stop=380772ms speaker_SPEAKER_10
start=380874ms stop=388972ms speaker_SPEAKER_14
start=389448ms stop=407529ms speaker_SPEAKER_14
start=418904ms stop=427937ms speaker_SPEAKER_10
start=428327ms stop=430602ms speaker_SPEAKER_10
start=431247ms stop=441757ms speaker_SPEAKER_10
start=441910ms stop=446612ms speaker_SPEAKER_10
start=447122ms stop=451298ms speaker_SPEAKER_10
start=451774ms stop=466086ms speaker_SPEAKER_10
start=466307ms stop=470466ms speaker_SPEAKER_10
start=470500ms stop=480925ms speaker_SPEAKER_10
start=481315ms stop=483641ms speaker_SPEAKER_10
start=484168ms stop=485967ms speaker_SPEAKER_10
start=486290ms stop=487427ms speaker_SPEAKER_10
start=487750ms stop=490365ms speaker_SPEAKER_10
start=490568ms stop=492436ms speaker_SPEAKER_03
start=492436ms stop=492741ms speaker_SPEAKER_10
start=493336ms stop=496680ms speaker_SPEAKER_03
start=496680ms stop=498089ms speaker_SPEAKER_10
start=498225ms stop=500534ms speaker_SPEAKER_04
start=500721ms stop=505050ms speaker_SPEAKER_04
start=505339ms stop=506086ms speaker_SPEAKER_04
start=506392ms stop=506816ms speaker_SPEAKER_06
start=506714ms stop=507020ms speaker_SPEAKER_04
start=507682ms stop=521655ms speaker_SPEAKER_04
start=521655ms stop=522130ms speaker_SPEAKER_10
start=522538ms stop=524371ms speaker_SPEAKER_10
start=524541ms stop=526001ms speaker_SPEAKER_14
start=526205ms stop=528344ms speaker_SPEAKER_14
start=528565ms stop=533302ms speaker_SPEAKER_14
start=533302ms stop=540432ms speaker_SPEAKER_10
start=540500ms stop=541859ms speaker_SPEAKER_10
start=541502ms stop=544388ms speaker_SPEAKER_05
start=544694ms stop=546290ms speaker_SPEAKER_05
start=547054ms stop=548327ms speaker_SPEAKER_05
