start	end	text
0	8800	Não é incomum no esporte um grande atleta perder uma competição, treinar e buscar sua vitória, sua redenção.
9280	15780	Embora isso seja mais comum em desenhos japoneses, ainda assim o mundo real é cheio de momentos como esse.
16100	19440	Existem exceções, é claro, como por exemplo o duelo de pistolas.
19740	24740	Muito comum em filmes de velho oeste e a menos que você esconda a porta de um fogão a lenha embaixo do poncho,
25220	29080	não é algo que você tenha muita chance de buscar a virada, eu acho.
30000	34560	Episódio de hoje, o bom, o mal e o ceifador.
35400	38360	Com o Alain Sabihon, madrinha do RPGuacha.
38800	41580	Com o Jean Macedo, padrinho do RPGuacha.
41960	50840	E com o Sr. Basso, também padrinho, lá do site Leitor Cabuloso e dos podcasts Corvil de Livros, Pindorama e Perdidos na Estante.
51840	56680	O Realidades Paralelas do Guaxinim usa o sistema Guaxinim e Gambiarras.
56680	59880	Nele, cada jogador possui apenas um único atributo.
60000	61700	Que vai de 2 a 5.
62260	65260	Quanto maior o atributo, mais atlético é o personagem.
65780	68360	Quanto menor, mais inteligente e carismático.
69260	71980	Sempre que o jogador faz algo com uma chance de errar,
72440	77620	joga dois dados e precisa tirar seu atributo ou menos para ataques e ações físicas.
78080	81500	E seu atributo ou mais para ações intelectuais ou sociais.
82460	86640	Se a jogada for fácil ou tiver algum auxílio, joga um dado a mais.
86640	89860	Se a jogada for difícil, rola-se um dado a menos.
90520	97880	Eu sou o Gus e sou padrinho do RPG Guaxa, num primeiro momento, por ser a dose certa de RPG recomendada.
98360	98960	Por mim mesmo.
99400	101960	Sério, olhei a bolha e não tinha contra-indicações.
102480	108440	E depois, pelas pessoas maravilhosas que tive a oportunidade de conhecer neste distinto grupo.
109140	112820	Não deixe de seguir nas redes sociais, arroba Marcelo Guaxinim, arroba RPG Guaxa,
112820	114780	tanto no Twitter quanto no Instagram.
115360	119820	E considere também com carinho apoiar esse projeto, lá pelo PicPay ou pelo Patreon.
120000	125620	Ou mesmo fazendo uma doação por pix, rpguaxa arroba gmail ponto com.
140620	143340	Sete realidades paralelas.
143980	145980	Uma infinidade de possibilidades.
146520	148560	Três jogadores e um guaxinim.
149320	149980	Escolha sua casa.
150660	153840	Pise no acelerador e cuidado com a corredora de rosas.
154200	156960	Porque será nada largada para a nossa aventura.
160580	161260	Cinco.
163400	164160	Quatro.
166320	167080	Três.
168880	169680	Dois.
170620	171300	Três.
174260	177260	RPG. Realidades Paralelas do Guaxinim.
177640	179820	Sua aventura de bolso na forma de podcast.
180000	182960	Uma jornada completa a cada episódio.
182960	207620	A Everton Pink National Detective Agency.
207620	209140	Desculpa, professores de inglês.
209140	209160	A Everton Pink National Detective Agency.
209160	209440	A Everton Pink National Detective Agency.
209440	213180	Foi fundada em 1850 por Everton Pink Jonas.
213320	216900	Um imigrante irlandês que era um ex-detetive da polícia de Chicago.
217080	221100	A agência inicialmente se concentrou em fornecer serviços de segurança privada para empresas.
221360	224440	Mas acabou se envolvendo em várias atividades de aplicação da lei.
