start	end	text
0	9140	Em A Volta da Cigarra conhecemos o grupo de sobreviventes de Novíssimo Itá, o grupo
9140	12400	protegido por Dona Francisca e seu incrível hidrelétrico.
12660	18100	Naquele episódio também conhecemos a coitada Kelly, uma menina que só queria tocar seu
18100	19160	violão, será?
19640	20960	Além de Pedro e seu bando.
21480	26600	Observamos a história por um lado da moeda, e se Dona Francisca é a nossa coroa, está
26600	28440	na hora de conhecer Pedro, o cara.
28440	37060	Episódio de hoje, O Canto da Cigarra, com a Dani, que se diz só madrinha do FP Guarça,
37400	42220	mas está sempre lá mestrando, jogando, fazendo bagunça junto com a Bela e com a Ju.
42640	48620	O João Queiroz, que além de padrinho e bagunceiro, ele é o criador de Um Barbante e Um Copo de
48620	53220	Iogurte, é um podcast de bate-papo sobre perrengues e tal, que a ideia para o nome do podcast
53220	54040	dele foi eu, inclusive.
54040	57380	E para o Mike, lá de Uma Mesa no Fim do Universo.
57380	63240	Um podcast de RPG, muito similar a esse que você conhece, recomendo muito, fala o melhor
63240	64500	deles, do Escudo Mestre.
65140	68860	O Realidade Paralelas do Guaxinim usa o sistema Guaxinins e Gambiarras.
69060	72920	Nele, cada jogador possui apenas um único atributo que vai de 2 a 5.
73440	75580	Quanto maior o atributo, mais atlético é o personagem.
76080	77980	Quanto menor, mais inteligente e carismático.
78360	82280	Sempre que o jogador faz algo com uma chance de errar, joga dois dados, e precisa tirar
82280	87120	o seu atributo ou menos para ataques e ações físicas, e seu atributo ou mais para ações
87120	88240	intelectuais ou sociais.
88760	91720	Se a jogada for fácil, ou tiver algum auxílio, joga um dado a mais.
92080	94140	Se a jogada for difícil, rola-se um dado a menos.
94480	98800	Eu sou o Moa, e eu sou padrinho do RPG Guaxinim, porque eu amo o projeto, e eu queria conhecer
98800	99540	pessoas novas.
100040	104060	Não deixe de seguir nas redes sociais, arroba Marcelo Guaxinim e arroba RPG Guaxinim, tanto
104060	105140	no Twitter quanto no Instagram.
105300	109420	E sério gente, considere apoiar este projeto, lá pelo PicPay ou pelo Padrim, o que for
109420	110140	melhor para vocês.
110640	111360	Uma boa aventura.
112980	113980	Tchau.
117120	118120	Tchau.
147120	173400	RPG Realidades Paralelas do Guaxinim, sua aventura de bolso na forma de podcast.
173400	176680	Uma jornada completa a cada episódio.
177120	192120	RPG Realidades Paralelas do Guaxinim, sua aventura de bolso na forma de podcast.
192120	194480	Houve uma guerra e a humanidade perdeu.
194760	199560	Pedro era um guarda florestal recém-contratado vindo de uma cidade distante, que não conhecia
199560	200380	ninguém da região.
200380	205680	Um homem sozinho, trazendo muita mágoa, com muito conhecimento de sobrevivência e nenhum
205680	207100	apego pela população local.
207120	212940	Numa situação normal, Pedro seria um problema para si e para aqueles que o cercam.
213360	216100	Durante um apocalipse zumbi, Pedro se tornou um líder.
216480	220580	Pedro não hesitou em atirar em seus vizinhos quando as pessoas passaram a tentar matar
220580	221860	e comer umas às outras.
222180	225880	Pedro soube onde se esconder quando as cidades maiores entraram em colapso.
226300	231440	Pedro sobreviveu o suficiente para juntar pessoas ao seu redor, que o seguem e o admiram.
231440	235780	Por cinco anos, todas as cidades estavam tomadas por zumbis.
236040	236840	E os dias eram difíceis.
237120	243420	Mas uma tarde, há dois anos atrás, os zumbis simplesmente foram embora, se organizaram
243420	247240	numa grande turba e partiram em direção ao litoral catarinense.
247240	253440	Ainda existem zumbis, que ficaram presos em casas ou carros, mas são raros de encontrar.
253440	258800	Pedro e seu bando, que antes se escondia, passaram a saquear as cidades que encontram
258800	263440	em busca de suprimentos, se organizando em carros, coletando armas e comida.
263440	266360	Os raros sobreviventes que encontram acabam entrando para o bando.
266360	266880	O bando é um dos mais ricos dos zumbis.
266880	266980	O bando é um dos mais ricos dos zumbis.
266980	267080	O bando é um dos mais ricos dos zumbis.
267080	273440	O bando atualmente é composto por Pedro, como líder, além de oito outros homens e
273440	274760	sete mulheres.
274760	279180	Pedro não é uma boa pessoa, mas é o melhor que o grupo tem no momento.
279180	283920	Ele respeita e protege quem é do bando, mas já tirou pelas costas de quem não quis fazer
283920	286980	parte de sua equipe, mais de uma vez.
286980	291780	Os jogadores são pessoas deste bando, que agem no oeste de Santa Catarina, ali na divisa
291780	296940	entre Santa Catarina e Rio Grande do Sul, e são interpretados pelos padrinhos.
296940	300180	Dani, fala sobre a história do teu personagem, atributo e aparência.
300180	309620	A minha personagem vai ser a Bianca, quando tudo tinha começado ela tinha 13 anos, porém
309620	316260	ela conseguiu fugir com os pais para o mar e ficava velejando até tudo começar a se
316260	317260	acalmar.
317260	325620	Numa dessas paradas ela parou em Santa Catarina, mas quando ela estava voltando para o barco,
325620	326700	ela não encontrou nenhum barco.
326700	328940	E nem os pais.
328940	338940	Hoje ela já está com 20 anos, e nesse período, mais ou menos, uns 6 meses, ela encontrou
338940	347460	o bando do Pedro, e eles botaram carinhosamente o apelido dela de Mia, porque quando encontraram
347460	353140	ela, ela estava tão escondidinha que o Pedro disse que só com o gato Mia para encontrar
353140	354140	ela.
354140	355940	Então todo mundo no bando chama ela de Mia.
355940	365340	Ela tem os cabelos longos, pretos, mas preso sempre no rabo de cavalo.
365340	372060	Normalmente ela está com casaco, ou um casaco, ou um moletom de manga comprida.
372060	378180	Ela adora aquelas calças cheias de bolso, porque ela pode botar tudo ali.
378180	384180	Normalmente quando tem que fazer algum... tem que sair para pegar recursos, ela é uma
384180	385180	das primeiras a se candidatar.
385180	389500	Porque ela adora ficar rastreando as coisas.
389500	392580	E não fica isso, o atributo dela é 3.
392580	393580	Perfeito.
