start	end	text
0	4860	Antes de começar o episódio, tá rolando uma votação do D20 Awards.
5220	8220	O RPG Guaxa tá indicado em várias categorias e eu queria muito ganhar.
8520	13520	Peço a vocês, link no post ou procura lá D20 Awards e vota no RPG Guaxa.
13920	15740	Você pode votar várias vezes.
16260	18520	O Guaxa Verso precisa de você.
30000	59980	O Guaxa Verso precisa de você.
60000	68080	Os dragoneses já começam em desgraça e existem aqueles filmes em que tá tudo bem até que algo acontece e desgraça.
68460	78960	Sabe que não tem um filme de zumbi sobre pessoas vivendo bem, felizes, numa fazenda alegre onde todo mundo é amigo e ninguém quer tirar a vida do outro, trair, roubar?
79440	80920	E é sobre isso a aventura de hoje.
81780	85200	Uma fazenda feliz mesmo em um mundo de zumbis.
86360	87940	Até que uma coisa acontece.
89040	89900	Episódio de hoje.
90000	92680	O Chapéu do Mineiro e os Zumbis.
93260	96820	Com as madrinhas Juleiva e Bia Rebel.
97180	101460	E com o padrinho Rafael Tellerman, que também é lá do Egoacast.
101820	104000	Salve, salve, guaxovintes!
104660	110220	O Realidades Paralelas do Guaxinim utiliza o Sistema Guaxinim de Gambiarraça, ou GG para os íntimos.
110800	115000	Nele, cada jogador utiliza apenas um atributo, que vai de 2 a 5.
115160	120000	Quanto maior for o seu atributo, mais blindão trincado é o seu personagem.
120180	123940	E quanto menor, mais inteligente e carismático.
124400	128860	Sempre que o jogador fizer algo com mais chance de errar, rola-se dois dados.
129400	135100	E deve-se tirar o seu atributo, ou menos, para ataques ou ações físicas.
135260	138080	Natação, escalada, voador de dois pés no peito.
138720	143120	E seu atributo, ou mais, para ações intelectuais e sociais.
143780	144420	Intimidação.
144880	146000	Ou a famosa bola de fogo.
146820	149400	Sempre que a jogada for mamatinha.
150000	151140	Ou tiver algum auxílio.
151580	152640	Rola-se um dado a mais.
153240	156480	Ou se for um beozão, e a jogada de fato for difícil.
157140	158420	Rola-se um dado a menos.
159100	160400	E eu sou o Mário César.
