start	end	text
0	29600	Rubens é conhecido por todos como Tio Binho, um homem que só tem medo de uma coisa, e esta
29600	31480	coisa acaba de chegar no porto.
31580	36900	Episódio de hoje, o Circo Pirata, com o Filipe Xavier, aqui do RP Guaxa, como Big John,
37340	43620	com o Dio Francesco, nosso querido padrinho, como Peter, e Fernanda Cortez, lá do Animagos,
43860	48880	que tem um site de Harry Potter, que tem podcast, como A Casa do Elefante e Estação 3 Quartos.
49140	53980	No papel de Duda, realidade para as guaxinins do sistema guaxinins e gambiarras, uma variação
53980	55340	do sistema Lensers e Sentimentos.
55640	59340	Nele, cada jogador possui apenas um único atributo, que vai de 2 a...
59600	64100	Quanto maior o atributo, mais atlético é o personagem, quanto menor o atributo, mais
64100	65660	inteligente e carismático ele é.
65940	70560	Sempre que o jogador tenta fazer algo, ele joga 2 dados de 6 lados, e precisa tirar seu
70560	76660	atributo ou menos, se for realizar um ataque ou uma ação física, e seu atributo ou mais
76660	78900	para ações intelectuais ou sociais.
79340	80900	Qualquer coisa não se encaixa na primeira categoria.
81340	84980	Se a jogada for muito fácil, o jogador tiver algum item especial ou estiver sendo auxiliado,
85300	86560	ele roda um dado a mais.
86560	89560	Se for uma jogada difícil, ele está sendo atrapalhado ou está machucado.
89880	91300	Ele rola apenas um dado.
91540	92680	Qualquer dúvida, entre em contato com a gente.
92760	97360	Não esqueça de nos seguir, arroba Marcelo Guaxinim, arroba RPGuaxa, tanto no Twitter
97360	98640	quanto no Instagram.
98780	99940	É muito importante que você siga.
100280	105460	E, se você quiser mais episódios do RPGuaxa no seu feed, pense com carinho em nos apoiar,
105680	109320	tanto pelo PicPay quanto pelo Padrim, e tenha várias vantagens.
109700	112360	Explique melhor no Escudo do Mestre ao final do episódio.
112760	113340	Boa aventura.
119600	132140	E aí, vocês estão na caverna?
132620	133280	Rola os dados.
134320	135940	Bola de fogo!
136680	139720	Chama o clérigo.
140860	142100	Como assim eu morri?
143260	144480	Rola a iniciativa.
145160	147560	Então, não tem armadilha.
147840	148440	Podemos ir.
148440	149440	O que você quer?
149600	150360	O que vocês fazem?
151380	152440	Tá, tá.
152660	155780	Eu amarro uma corda nelas e uso como arma.
156160	156440	Eu ataco.
157420	161280	O mago lança seu Thunderbolt mais 15 no Beholder.
161420	163680	Eu quero rolar a perseguição, posso?
164420	166080	Tem algum lugar pra se esconder?
166720	168440	Ah, falha a crítica.
169540	170340	Ataque de impunidade!
170680	171580	Erro, mano!
171700	172920	Chama o clérigo!
175720	179320	RPG, Realidades Paralelas do Guaxinim.
179600	185600	Sua aventura de bolso na forma de podcast, uma jornada completa a cada episódio.
191540	195160	Compartilhe os comentários nesta vez.
200520	202280	Vocês estão no Porto Tubarão Bebê.
202280	207440	Esse pequeno porto fica em um local provavelmente em uma Europa de 1800, mas não conseguimos
207440	209420	precisar exatamente em que momento e local.
209420	211300	local histórico que ela se encontra. O fato
211300	213220	é que esse porto, ele tem
213220	215300	a sua cidade, que não é uma cidade muito
215300	217320	grande, que não fica perto de nenhuma
217320	219600	cidade grande, mas tem a vantagem
219600	221300	de ser longe da lei.
221600	223040	Como é um lugar mais afastado,
223300	224960	como é um lugar não tão rico,
225180	227060	tem pouquíssimos oficiais da lei.
227320	229780	Oficiais esses que foram naturalmente
229780	231320	selecionados pelas pessoas
231320	233340	do porto. Bons policiais não duraram
233340	235240	muito tempo por ali. Os policiais que
235240	237180	sobraram são ou preguiçosos
237180	239100	ou corruptos. Alguns são os dois.
239420	241600	Nesse porto existe uma loja, a maior loja
241600	243600	do porto, chamada Secos e
243600	245500	Molhados do Tio Binho. Uma loja
245500	247740	que compra e vende produtos de procedência duvidosa.
248080	249880	Binho é um senhor forte, com tatuagens
249880	251780	pelos braços, cabelo branco,
252040	253500	um óculos de vidro bem grosso,
253700	255700	que ele costuma usar só quando ele tá lendo
255700	257120	ou tá em algum momento na própria
257120	259600	loja dele. Ele, apesar de ser o dono,
259640	261560	ele tem muitas crianças que trabalham pra ele.
261620	263500	Ele chama todas de sobrinho, por isso ele é o
263500	265540	Tio Binho, o pessoal chama ele de tio. Todas essas
265540	267740	crianças foram adotadas ou compradas.
268100	269240	Ele adotou
269240	271460	essas crianças pra trabalharem ali
271460	273800	na loja com eles e ele as protege,
273880	275120	ele as alimenta, embora
275120	277640	ele trate elas com uma certa distância
277640	279560	e uma certa frieza. Dessas
279560	281280	crianças que estão ali, são ao todo
281280	283580	nove crianças que estão, três
283580	285440	são os jogadores de hoje. Eu vou chamando
285440	287100	vocês, vocês falam o nome,
287340	289520	um pouco do seu personagem, atributo. Primeiro deles,
289700	291200	Felipe, como é que é o seu personagem?
291660	293560	Eu sou o Big John, um adolescente
293560	295920	de 14 anos, 1,75 de altura,
296080	297640	negro, gordinho e um
297640	299200	tanto forte. Eu fui comprado
299240	301440	por Tio Binho, quando eu tinha mais ou menos 8 anos
301440	303200	de idade, de um traficante de pessoas.
303500	305400	Eu trabalho como vigia da loja e
305400	307000	apesar da minha idade,
307220	309580	14 anos, eu sou capaz de espancar
309580	311140	qualquer um que tentar roubar o Tio Binho.
311340	313420	A minha vontade é de socar a cara de qualquer
313420	315340	traficante de pessoa que aparece na loja. E o meu
315340	316980	atributo é 5. Perfeito.
317320	319380	O Dia Francesco. Oi, eu sou o Peter,
319800	321400	eu tenho 20 anos de idade
321400	323500	e eu sou o sobrinho mais inteligente da família.
324180	325480	Eu trabalho muito
325480	327540	e principalmente no caixa, contando dinheiro.
327920	329040	Tio Binho confia muito em mim.
329400	331220	O meu sonho é conhecer o mundo,
331440	333280	ainda mais a partir de uns meses atrás,
333440	335320	quando eu consegui encontrar um diário de bordo
335320	337540	de um capitão, que ele esqueceu num bar aqui perto.
337740	339400	E eu me debrucei sobre essa leitura,
339500	341100	me apaixonei pela rotina do navio
341100	343120	e passei esse tempo todo
343120	345420	pensando em qual a melhor organização da tripulação
345420	347100	e do trabalho no navio.
347620	349160	Então, meu objetivo agora é
349160	351020	encontrar um capitão e zarpar
351020	353040	com ele pra ir embora. Meu atributo é 2.
353480	354840	O teu personagem é o mais velho
354840	357360	das 9 crianças, dos 9 sobrinhos.
357900	359100	Tu tá com ele há mais tempo.
359240	360480	Depois de ti
360480	363240	é a própria personagem da Fernanda, que a gente vai falar
363240	365100	daqui a pouco. Os outros são um pouco
365100	367180	menores. Normalmente, quando se chega
367180	369020	a uma idade adulta, as pessoas
369020	370760	pegam um barco e vão embora
370760	373240	ou casam mesmo e tentam seguir sua vida
373240	375280	em outro lugar da vila ou vão embora
375280	377040	pro continente, numa cidade maior.
377240	378940	Tu ficou um pouco mais tempo do que o normal,
379260	381160	mas é bem tratado
381160	382680	e respeitado por todo mundo ali.
382880	384900	E por último, o personagem, o segundo mais
384900	387160	velho dos sobrinhos do Tio Binho,
387160	388900	temos o personagem da Fernanda.
389240	389860	Qual é o seu personagem?
390540	393320	A minha personagem, ela é a Duda.
393660	395160	O nome dela é Maria Eduarda, mas
395160	397320	só chamam ela de Duda. Ela tem
397320	399000	mais ou menos 1,60m,
399100	400760	é bem magrinha, cabelo
400760	402900	preto, cara de invocada,
403180	405420	muito ligeira, ela é muito esperta
405420	407220	de raciocínio rápido e ela é
407220	409420	muito ambiciosa. Ela quer muito
409420	411500	assumir os negócios do Tio Binho
411500	413200	quando ele se aposentar ou
413200	414680	morrer, o que vier na frente, né?
414680	416960	Pra ela não tem tanta diferença
416960	418600	e o atributo dela é 3.
418600	420620	Perfeito. O teu personagem, ele foi adotado
420620	422540	com 6 anos, tu não lembra nada do que
422540	424680	aconteceu contigo antes de tu chegar ali
424680	426380	na loja de secos e molhados,
426620	428620	mas tu costuma ter sonhos. Os bons
428620	430520	sonhos, que são a maioria, tu sonha com
430520	432720	um circo, leão, o homem mais forte
432720	434580	que levantava peso, uma velha
434580	436600	senhora que mexia com bonecos, uma bailarina...
437360	438900	Os melhores sonhos são com a bailarina.
439120	440600	Às vezes você tem pesadelos, com
440600	442460	fogo, pessoas gritando...
442460	445040	O pior deles é um onde o chão tá coberto de sangue.
445100	446600	Esse último, tu teve na
446600	447620	noite passada, inclusive.
448600	456800	Já é final do dia.
