start	end	text
0	29840	Um grupo militar criado especificamente para tratar de assuntos paranormais.
29840	31560	Que nunca encontrou nada paranormal.
31860	33740	É acionado para uma última missão.
34100	39120	Uma última chance de provar sua utilidade antes de ser dissolvido e seus membros dispensados.
39620	41580	Será que finalmente vão encontrar algo paranormal?
42160	44420	Será que eles estão prontos para o que está por vir?
44780	46920	Episódio de hoje, o contrato de Mickley.
47520	52460	Com a Jujuba, lá do Missangas Podcast do Portal do Aviante, como Lully Scully.
52800	57460	Com o Thiago Jetson, nosso padrinho, como Juan Oliver.
57460	59460	E Gabriel Pinheiro, também padrinho.
59840	65060	E uma das pessoas que está ajudando a RP Guaxa, cuidando lá do nosso Instagram, como Pierre Cor.
65420	69080	Todos militares, treinados, prontos para a ação.
69400	70120	Ou assim eles acham.
70320	74260	O Realidade para os Guaxininhos é um sistema chamado Guaxinins e Gambiarras.
74540	76520	Uma variação do sistema Lasers e Sentimentos.
77000	81060	Nele, cada jogador possui apenas um único atributo, que vai de 2 a 5.
81420	86660	Quanto maior o atributo mais atlético é o personagem, quanto menor, mais inteligente e carismático ele é.
86660	89500	Sempre que um jogador tenta fazer algo, ele joga dois dados.
89500	93820	E precisa tirar seu atributo, ou menos, para ações físicas e ataques.
94160	97240	E seu atributo, ou mais, para ações intelectuais ou sociais.
97900	99860	Qualquer coisa que não se encaixe na primeira categoria.
100220	103740	Se a jogada for fácil, ou tiver algum jogador auxiliando, ele joga um dado a mais.
104060	106380	Se a jogada for difícil, rola-se apenas um dado.
106740	109200	Qualquer dúvida, me procure nas redes sociais, onde deixo nos seguir.
109560	111580	Arroba Marcelo Guaxinim e arroba RP Guaxa.
111820	113740	Tanto no Twitter, quanto no Instagram.
114340	118900	Considere também nos apoiar no PicPay ou no Padrim, para lançarmos cada vez mais episódios.
118900	119140	Que é isso.
119500	121340	Quem sabe não nos tornamos semanais um dia?
121740	124760	Maiores informações no Escudo Mestre, ao final do episódio.
125200	125740	Boa aventura.
149500	164980	Boa noite.
167480	177500	Boa noite.
177500	178800	Boa noite.
178800	178880	Boa noite.
178880	179160	Boa noite.
179500	182180	Aí vocês estão na taverna
182180	183240	Rola os dados
183240	186320	Bola de fogo
186320	189680	Chama o clérigo
189680	192140	Se eu morri
