0;9000;"13";As vezes ao tentar criar uma coisa, criamos outra.
9160;11200;"13";A humanidade está cheia de bons exemplos disso.
11520;15440;"13";Marca passos, micro-ondas, raio-x, penicilina, cookies.
16040;18840;"13";As vezes o que criamos até funciona para o que queríamos,
19060;22260;"13";mas possui um efeito colateral melhor que o efeito primário.
22520;26860;"13";O Viagra deveria ajudar pessoas com problemas no coração, por ser um vaso dilatador.
26860;30620;"13";E acabou resolvendo problemas que vão além do coração.
31040;31820;"13";Ou quase isso.
32160;33800;"13";E esse foi o caso da Cordalina,
34040;38860;"13";um medicamento desenvolvido para ativar áreas do cérebro em pessoas com transtornos psíquicos,
39500;40960;"13";no intuito de curá-las.
41160;45260;"13";Que até deu certo, mas resultou num efeito colateral nunca imaginado.
45360;48480;"13";Um efeito que chamou a atenção do governo e dos militares.
48800;50800;"13";Episódio de hoje, O Corvo.
51100;55200;"13";Com Isabela Fontanella como autora de bestsellers policiais,
55200;55920;"13";Aldrey.
55920;57740;"13";Fernando Malta, o Fencas.
57940;60020;"13";Como o Moe, o taxidermista.
60420;64220;"13";E Tarek Fernandes, como o Harvey, o médico veterinário.
64720;66380;"13";Bem, na verdade não.
66800;68380;"13";Mas vem comigo que vocês vão entender.
85920;87920;"01, 07";Eu sou um clérigo.
87920;89920;"07";Como assim eu morri?
89920;91920;"05, 07";Hora iniciativa.
91920;95920;"10";Então, não tem armadilha. Podemos ir.
95920;97920;"10, 02";O que vocês fazem?
97920;102920;"00";Ah, tá. Eu amarro uma corda nelas e uso como arma.
102920;104920;"03, 00";Eu ataco.
104920;108920;"10, 03, 06";O Magro lança seu Thunderbolt mais quinze no Ubi Holder.
108920;111920;"06";Eu quero rolar a perseguição, posso?
111920;113920;"10";Tem algum lugar pra se esconder?
113920;115920;"10, 06";Ah, falha a crítica.
115920;117920;"10";Ataque de impunidade!
117920;119920;"10";Ei, Romano, chamo o clérigo!
119920;125920;"10, 00";RPG, Realidades Paralelas do Guaxinim.
125920;128920;"00";Sua aventura de bolso na forma de podcast.
128920;132920;"00";Uma jornada completa a cada episódio.
145920;148920;"unknown";Você está em torno de uma mesa de madeira muito antiga.
148920;151920;"unknown";No centro dessa mesa, uma vela que produz a única luminosidade do lugar.
151920;155920;"unknown";Na mesa, existem entalhes, rudimentares, que marcam os pontos cardeais.
155920;158920;"13";Ao sul está Harvey, que é o Tarik.
158920;160920;"13";Qual é a aparência do teu personagem, Tarik?
160920;162920;"13";Jesus, em que nível?
162920;164920;"13";Eu não sei.
164920;165920;"13";Eu não sei.
165920;166920;"13";Eu não sei.
166920;167920;"13";Eu não sei.
167920;168920;"13";Eu não sei.
168920;169920;"13";Eu não sei.
169920;170920;"13";Eu não sei.
170920;171920;"13";Eu não sei.
171920;172920;"13";Eu não sei.
172920;173920;"12, 13";Eu não sei.
173920;174920;"12";Eu não sei.
174920;175920;"12";Eu não sei.
176920;179920;"13";Ele está usando um jaleco.
179920;180920;"12";Sim.
182920;186920;"12";Ok, o jaleco, camisa social e gravata por baixo.
186920;188920;"13";Ele tem 32 anos.
188920;189920;"13";Sim.
189920;192920;"13";A leste está o Moe, que é o Fenkess.
192920;194920;"03, 13";Qual a aparência do teu personagem?
194920;199920;"03";É um cara baixo, bem, bem magro.
199920;203920;"03";Ele está usando roupas bem ensurradas.
203920;204920;"03";Bem magrilas, singles.
204920;207320;"03";Pouco sujas, inclusive.
207820;209720;"03";Enfim, cabelo...
209720;211020;"03";Ele é meio careca.
212020;214300;"03";Careca, mas com o cabelo que falta desgrenhado.
214460;215320;"03";E barraba por fazer.
215460;217800;"03, 13";Ele tem 57 anos, né?
217860;218060;"13";Sim.
218180;220780;"13";A oeste está Aldrin, que é a Isabela.
220920;221820;"13";Qual é a aparência do seu personagem?
222100;223020;"08";Ela é jovem, né?
223340;225060;"08";Ela tem uma estatura média.
225060;227800;"08";Tá com um vestido preto, curto.
228040;230060;"08";Um casaco bem confortável.
231180;232640;"08";E sapatos de salto.
232960;234840;"08";E um cabelo bem arrumado, maquiado.
235200;235820;"08";Bem vestida.
235960;239220;"13";Ao norte, um homem muito alto e forte, sem camisa.
239640;241620;"13";Sua cabeça é a cabeça de um corvo.
