start	end	text
0	15820	R.P.G. R.P.G. R.P.G. R.P.G. do Flash é pra vocês, é mais um especial de Natal
15820	21180	Foi um ano difícil, mas não viemos até aqui para falar disso
21180	28420	Porque é Natal e só queremos diversão, então esperamos que gostem
30000	33420	O Natal já foi salvo duas vezes por Adam, Paper e Loriane
33420	39140	Embora encarar os problemas do mundo mágico não os tenha preparado para enfrentar os problemas do mundo real
39140	42240	Por sinal, seria legal você ouvir os episódios de Natal anteriores
42240	46220	Mas não é totalmente necessário, essa ainda é uma aventura completa
46220	49380	Episódio de hoje, o fim do Natal
49380	52180	Com meus padrinhos e amigos queridos
52180	55220	Jujuba, lá do Sycast e do Missangas
55220	57640	Fencas, do Sycast e do Contrafactual
57640	59640	Danilo Battistini, do Contador
60000	65320	Esse podcast usa um sistema próprio que eu explico em todos os episódios, menos nesse
65320	68080	RPG de Natal é gritar e rolar dados, gente
68080	71700	Então, se você quiser saber as regras, escute o episódio que saiu antes desse
71700	72720	Ou então o próximo
90000	102660	Após salvarem o Natal duas vezes
102660	105020	Vencendo o Coelho da Páscoa e enganando o Grint
105020	111320	Adam, Paper e Loriane finalmente ganharam o respeito que merecem dentro da fábrica de brinquedos do Grande Vermelho
111320	118600	E agora, cada um deles tem uma posição de destaque dentro dessa instituição chamada Natal
118600	119980	Jujuba, lá do Sycast e do Missangas
119980	123480	Jujuba, fala um pouco sobre a Loriane, a aparência, atributo
123480	128500	E o que ela faz hoje, ela pode fazer o que ela quiser na fábrica de brinquedos
128500	130760	Ela chegou no top da carreira dela
130760	132460	Então fala um pouco sobre ela
132460	135400	Nossa senhora, que responsa, eu acho
135400	143960	Bom, a Loriane, ela é uma jovem elfa, né
143960	148340	É extremamente empolgada por aventuras
148340	149960	Empolgadíssima de ter salvo o Natal
149980	153620	Duas vezes já, ela se sente um pouco superior por conta disso, né
153620	158000	Ela acabou se afeiçoando aí pelos amiguinhos de aventura dela
158000	160160	Então agora ela gosta bastante do Adam também
160160	161220	Parece ou não?
163180	164480	Eu vou três anos pra isso
164480	167020	É, ela tem um caderninho de aventuras
167020	171680	Onde ela gosta de ticar coisas ou anotar coisas que ela pretende pra próxima aventura
171680	172600	É isso que ela faz hoje
172600	176340	E como ela pode escolher, né, o que ela queria fazer aí
176340	178060	Porque agora ela é uma super heroína
178060	178980	Ela...
179980	184260	Ela gosta muito, né, de ficar ali no balcãozinho e tal
184260	184980	Ela se diverte
184980	189480	Mas esse ano ela pediu pro Big Red ir pra linha de produção
189480	193200	E ajudar a coordenar a linha de produção
193200	195600	O atributo dela é 3
195600	197060	Perfeito
197060	200900	Fencas, fala um pouco sobre o Paper, sobre o papel dele
200900	201500	Entendeu?
201740	202520	Ah, ah, ah
202520	207460	O papel dele na fábrica de brinquedos e o atributo dele
207460	209680	Ah, o Paper é aquele caramba
209980	212840	O amigo da vizinhança
212840	214160	Aquele senhorzinho
214160	216060	É o amigo da vizinhança
216060	219000	É o senhorzinho que não aguenta mais a vida
219000	221460	E o que sobra pra ele
221460	224820	A incumbência dessa de ter que salvar o mundo
224820	226780	Ou o Natal, sei lá
226780	228020	E...
228020	230180	Mas dado que ele conseguiu o prestígio
230180	232100	Desde a última missão
232100	234620	Ele conseguiu justamente o que ele queria
234620	237160	Há nove meses ninguém vê o Paper
237160	238080	Ele não sai de casa
238080	239300	Ele tá aposentado
239300	242060	E quando perguntam por ele na fábrica
242060	242440	Falam
242440	245840	Ah, o Paper, com o quê de reverência e medo
245840	248800	Porque não sabe nem como é que é o estado dele
248800	250200	E é isso que ele quer
250200	251600	Ele só quer descansar
251600	252840	Ele não quer ser importunado
252840	255140	O atributo é 2
255140	256820	Perfeito
256820	259800	E por último, Danilo
259800	260780	Fala sobre o Adam
260780	262800	O que ele faz atualmente na fábrica de brinquedos
262800	263820	Muito bem
263820	266920	O Adam é aquele duende, gnomo, elfo
266920	268700	Eu não lembro exatamente qual dos três que eu era
268700	269220	Mas eu acho que ele é um dos três que eu amo muito
269220	269280	Mas eu acho que ele é um dos três que eu amo muito
269300	271000	Mas ele é um cara muito empolgado
271000	272380	De bem com a vida
272380	274260	E que não entendeu muito bem esse negócio
274260	276220	De poder escolher qualquer coisa pra fazer na fábrica
276220	277200	Porque ele gostava muito
277200	279820	Mas como o Paper tava sumido fazia muito tempo
279820	283020	Ele pediu pro Vermelhão pra ele ser assistente pessoal do Paper
283020	285280	Então ele passa todo dia pra ver se ele tá bem
285280	287540	Mesmo ele indo abrindo a porta da casa dele
287540	288460	Ele vai lá todo dia
288460	294500	O Adam não é muito inteligente
