start	end	text
0	4640	O que você vai ser quando crescer?
5240	10680	Grande, responde a crianças sagaz, meio que pra fazer uma piada, meio que pra não precisar
10680	11300	te responder.
11860	16240	É complicado como na adolescência não estamos prontos pra escolher o futuro e ainda assim
16240	18800	estamos fazendo todas as escolhas.
19860	26680	Episódio de hoje, o futuro de João Lucas, com a Shelly Poison, lá do RPG Next, do Contínuo
26680	33440	e do Pod Isso, com o Rafael Jacaúna, lá do Mundo Freak e o Jaca Freak, e com a Déia,
33720	34940	lá do Spiel der Bins.
35540	40720	O Realidades Paralelas do Guaxinim usa o sistema Guaxinins e Gambiarras.
41160	46160	Nele, cada jogador possui apenas um único atributo, que vai de 2 a 5.
46620	52560	Quanto maior o atributo, mais atlético é o personagem, quanto menor, mais inteligente
52560	53300	e carismático.
53300	56660	Sempre que o jogador faz algo com uma chance de errar.
56680	63020	Para errar, joga dois dados e precisa tirar seu atributo ou menos para ataques e ações
63020	68440	físicas e seu atributo ou mais para ações intelectuais ou sociais.
69040	73880	Se a jogada for fácil ou tiver algum auxílio, joga-se um dado a mais.
74400	77460	Se a jogada for difícil, rola-se um dado a menos.
78020	84500	Eu sou a Juliana Sheffer e sou madrinha do RPG Guaxa, porque este é um lugar de boas
84500	86500	histórias, de diversão garantida.
86680	88680	E de muito companheirismo.
89300	94740	Não deixe de nos seguir nas redes sociais, tanto no Twitter quanto no Instagram.
95200	99140	Considere também nos apoiar no PicPay ou no Padrim e boa aventura.
116680	124500	Bola de fogo, chamo o clérigo, assim eu morri.
125680	126900	Hora iniciativa.
127520	130820	Então, não tem armadilha, podemos ir.
131540	132740	O que vocês fazem?
134100	138140	Tá, tá, eu amarro uma corda nelas e uso como arma.
138500	139380	Eu ataco.
139780	143640	O mago lança seu Thunderbolt mais 15 no Beholder.
143640	146040	E eu quero rolar a percepção, posso?
146680	148680	Tem algum lugar pra se esconder?
148680	150680	Ah, falha a crítica.
150680	152680	Ataque de impunidade!
152680	154680	Ei, Romano, chamo o clérigo!
154680	161680	RPG Realidades Paralelas do Guaxinim.
161680	164680	Sua aventura de bolso na forma de podcast.
164680	167680	Uma jornada completa a cada episódio.
167680	169680	Ainda não é o momento de se despedir.
169680	171680	Ainda não é o momento de se despedir.
171680	173680	Ainda não é o momento de se despedir.
173680	174680	Ainda não é o momento de se despedir.
174680	175680	Ainda não é o momento de se despedir.
175680	176680	Ainda não é o momento de se despedir.
176680	177680	Ainda não é o momento de se despedir.
177680	178680	Ainda não é o momento de se despedir.
178680	179680	Ainda não é o momento de se despedir.
180680	184680	Quando somos crianças, temos os amigos da rua e os amigos da escola.
184680	186680	Ah, tem os primos também.
186680	189680	Mas, na maior parte das vezes, eles nem contam como amigos.
189680	191680	Mas nem sonha em falar isso pra sua mãe.
191680	193680	Ela fica magoada.
193680	198680	É engraçado que costumamos agir de uma maneira com os nossos amigos da rua e os outros amigos da escola.
198680	203680	Existem exceções, mas eu acho que éramos mais infantis e encardidos
203680	205680	quando estávamos com os amigos que moravam na nossa rua.
205680	207580	moravam na nossa rua. E mais
207580	209880	adultos, com muitas aspas,
210300	211720	na escola. Afinal,
211800	213080	tem bastante gente te olhando,
213680	214760	em especial a Angélica.
215700	217400	Ei, cuidado, sem contato visual.
217840	219680	Provavelmente, o amigo ideal é aquele que mora
219680	221300	na sua rua e estuda na sua escola.
222220	223620	Principalmente na sua sala.
224060	225580	Isso, claro, desde que ele não seja um
225580	227600	CDF que fica contando pra sua mãe os dias
227600	230000	que tem prova. Ah, Thiago, eu te odiava.
230000	231760	Mas esse não é o caso desses
231760	233920	quatro amigos. Na verdade,
233920	235720	é o caso. Eles são amigos que
235720	237820	cresceram na mesma rua, estudam na mesma escola.
238560	239920	E, ao menos, entre
239920	242220	eles, ninguém é dedo duro.
242440	243260	Eu acho.
243840	245820	Desses quatro amigos, o primeiro deles é o personagem
245820	247620	da Shelly. Shelly, fala sobre o seu personagem,
247760	248660	aparência, atributo.
249860	251780	Hoje eu vou jogar com a Ivelize.
252340	253300	Mas pode chamar de Ive.
254040	255340	Ela tem 14 anos.
255660	257620	É baixinha, mas fortinha.
257720	259160	Gosta muito de fazer esportes.
259700	261780	Tem o cabelinho encarucalado, castanha
261780	263760	até a altura dos ombros, olhos castanhos também.
263760	264780	A pele mais clarinha.
265380	267500	E ela é apaixonada por esportes.
268280	269920	Qualquer esporte que você falar,
270140	271760	ela é boa. É craque no futebol, é craque
271760	273620	na queimada, é craque no basquete,
274100	275180	no bambolê,
275660	276760	tudo.
278060	279400	E atributo 4,
279840	281940	logicamente. E o sonho dela
281940	283140	é ser
283140	286080	talvez uma professora de educação física
286080	287920	ou, quem sabe, até uma jogadora
287920	288960	de futebol famosa.
289540	291580	E nossa segunda criança é
291580	293600	interpretada pelo Jacaúna. Jacaúna fala sobre
293600	295420	o personagem, a aparência, o atributo.
295660	297800	Olá, o meu nome é Rafael.
298180	299940	O Rafael, ele é um
299940	301900	garoto de 14 anos,
302280	303100	é um adolescente,
303660	305740	magro, com o cabelo raspado
