start	end	text
0	7560	Embora uma onda científica tenha começado no norte do reino
7560	11800	e uma espécie de evolução cultural esteja tomando conta de tudo
11800	14300	o sul ainda permanece supersticioso
14300	19080	Lá, ainda se acredita em fadas, em gnomos, em duendes
19080	21400	em criaturas que vêm para nos pregar peças
21400	23800	O imposto normalmente é cobrado por senhores locais
23800	25760	que repassam isso para a coroa
25760	32400	Mas o líder da região sul pediu para que o imposto fosse coletado diretamente em sua cidade
32400	34660	pois havia um assunto a ser tratado
34660	39100	O que será que este homem tem a dizer aos coletores de impostos?
39440	41520	O que será que o sul os reserva?
41900	42780	Episódio de hoje
42780	44940	O Imposto e o Pé de Galinha
44940	47980	Com Guilherme Vertamatti, lá do Portal do Aviante
47980	52820	interpretando Alexander, o líder do grupo que vai cobrar imposto
52820	54700	Com Gabriel Garbi, lá do...
54700	55720	Tá vendo? Do Bier
55720	59320	interpretando Rick, o vermelho
59320	61980	E para completar este time de soldados
61980	65340	temos a Shelly, lá do RPG Next
65340	67780	do Pode Isso e do Continuum
67780	70540	interpretando a Elisha
70540	73400	O Realidades Paralelas do Guaxinim é um podcast de RPG
73400	75360	onde cada aventura é única
75360	79040	Ele usa um sistema adaptado de lasers e sentimentos
79040	82340	que basicamente cada jogador possui apenas um único atributo
82340	84000	que vai de 2 a 5
84000	85620	E sempre que precisa realizar uma ação
85620	85700	com um jogador que não é um jogador
85720	87340	física ou um ataque
87340	89800	rola dois dados de 6 lados
89800	92720	e precisa tirar seu número ou menos
92720	95420	No caso da Elisha, o personagem da Shelly
95420	96540	que tem atributo 4
96540	99220	se ele for atacar alguém ou correr
99220	102620	ele precisa tirar 1, 2, 3 ou 4
102620	105760	Já se o jogador tentar algo que não seja uma ação física
105760	109260	nem atacar, como notar alguém escondido
109260	112100	ele precisa tirar seu atributo ou mais
112100	113760	No mesmo caso da Elisha
113760	115580	ela precisaria tirar 4
115580	117580	5 ou 6
117580	119960	Um atributo muito alto como um 5
119960	123440	faz com que o jogador seja melhor em combate a ações físicas
123440	125920	mas que tenha dificuldade em ações mentais
125920	127760	O oposto também é verdade
127760	129460	Não esquece de nos seguir nas redes sociais
129460	130520	arroba Marcelo Guaxinim
130520	132300	arroba RP Guaxa
132300	133260	Lá no Twitter
133260	134880	Ótima aventura pra vocês
145580	154080	E aí, vocês estão na caverna?
154080	155900	Rola os dados
155900	157900	BOLA DE FOGO
157900	159900	Chama o...
159900	161900	Chama o clérigo
161900	163900	Como assim eu morri?
163900	165900	Rola a iniciativa
165900	167900	Então
167900	169900	Não tem armadilha, podemos ir
169900	171900	O que vocês fazem?
171900	173900	Tá, tá
173900	175400	Eu amarro uma corda
175400	177400	Acorda nelas e uso como arma
177400	178640	Eu ataco
178640	181140	O mago lança seu Thunderbolt
181140	182980	mais 15 no Upholder
182980	185300	Eu quero rolar a perseguição, posso?
186280	187700	Tem algum lugar pra se esconder?
188340	190620	Ah, falha a crítica
190620	192100	Ataque de impunidade
192100	193180	Ei, arrumando
193180	194560	Chama o clérigo
194560	197900	RPG
197900	200900	Realidades Paralelas do Guaxinim
200900	203840	Sua aventura de bolso na forma de podcast
203840	204840	Uma jornada completa
205400	207400	Atacada Episódio
207400	230560	O reino de vocês é muito próspero e rico
230560	233100	Vocês costumam viajar pelas cidades
233100	234340	Coletando impostos
234340	236880	Ajudando as pessoas em pequenos trabalhos
236880	237980	E relatando a capital
237980	240300	Quando surge algo que vocês não consigam resolver
240300	243920	Vocês costumam cuidar mais das cidades ao norte
243920	246280	Só que dessa vez vocês foram enviados ao sul
246280	248980	Mais precisamente pra cidade de Anefer
248980	253140	Essa cidade, ela funciona como uma subcapital
253140	255760	Todos no sul pagam impostos pra ela
255760	258420	E ela repassa ao reino central
258420	260600	Só que dessa vez eles mandaram uma carta
260600	263820	Dizendo que uma das cidades que fazem parte lá do bloco deles
263820	264320	Não pode ser a cidade de Anefer
264340	265500	Não pode pagar este ano
265500	267440	E que eles queriam discutir algumas coisas
267440	268620	Com uma comitiva real
268620	270240	Então pediram pra vocês irem até lá
270240	272180	E vocês estão viajando para o sul
272180	274120	Para recolher nessa cidade de Anefer
274120	276280	Vocês tem uma carroça e um cavalo
276280	278280	Onde você está no cavalo com um batedor
278280	280340	Alexander, que a gente já vai apresentar os personagens
280340	281800	Tá guiando a carroça
281800	283880	E tem mais alguém junto com ele, protegendo ele
283880	286080	Dentro dessa carroça tem pertences de vocês
286080	288240	Roupas reservas, armas reservas
288240	289280	E um baú-cofre
289280	291560	Que a chave fica com o Alexander
291560	293160	Falando nele, Guilherme Vertamatti
293160	294100	É o personagem de Alexander
294100	294320	Como é que você se chama?
294340	297220	Meu personagem é o Alexander Highcliffe
297220	299100	1,80m de altura
299100	300540	Cabelo bem preto
300540	303340	Barba bem feitinha, cortadinha do jeito certinho
303860	305060	Cabelo encaracolado
305060	307120	É basicamente o xerife de Nottingham
307120	308580	Do filme do rei Arthur
308580	309840	Que é o Alan Rickman
309840	313120	Eu uso uma rapier
313120	315860	Toda trabalhada em filetes de ouro
315860	317120	Que eu consegui comprar
317120	319740	Depois de trabalhar muitos anos bem pro rei
319740	321620	O teu atributo é?
321620	322940	O meu atributo é 2
322940	323820	Perfeito
324340	327100	Eu, Rick, o vermelho
327100	328960	Gabriel Garbi, é o Rick, então
328960	329920	Fala do seu personagem
329920	332780	Bom, o Rick, o vermelho, ele recebeu esse nome
332780	333700	Porque ele é ruivo
333700	335920	Ele tem 1,70m de altura
335920	338460	É bem forte até pela complexão dele
338460	340700	Pelos padrões da média ali da galera
340700	342100	E ele usa um arco longo
342100	344140	Ele prefere ficar longe nos combates
