start	end	text
0	7440	O RPGuacha foi a maneira que eu encontrei para contar minhas histórias.
7680	10920	Eu não tenho a disciplina para escrever e muito menos para desenhar.
11120	18200	Então agradeço ao RPG e ao podcast por serem mídias que me permitem pôr minha arte para fora.
18680	22600	A minha e de meus amigos, pois as histórias que você escuta aqui partem de mim,
23040	27420	mas são escritas a oito mãos, ou no caso, quatro bocas.
27420	34320	Hoje, vamos apresentar para vocês outra pessoa, que também usa o RPG para se expressar,
34680	37080	que precisa de mais mãos para contar uma história.
37600	40000	Uma história escrita com sangue.
41360	44360	Episódio de hoje, o jogo da Nadine.
45080	48500	Com as madrinhas Rafa Malaszewski e Juleiva.
48920	50040	E com o padrinho Vitor Hugo.
50440	54860	Ele tem um perfil lá no TikTok, onde ele fala principalmente de RPG e anime.
54860	57200	Procura lá por Maisumvictor.
57200	57760	Tudo junto.
58000	62580	O Victor com C, V e C, T, O e dois R's no final.
66080	67820	Minuto da Informação
67820	70300	Boa noite.
70700	72520	Estamos ao vivo direto de Alcantarilha.
73080	76520	A cidade se tornou um caos graças aos rumores sobre o tal Guaxa Vessa.
77020	79220	Segundo informações fornecidas pelo Dr. Mikura,
79400	84160	já são cerca de dez ratos que enlouqueceram após se aprofundarem no conhecimento sobre esse universo.
84760	87160	Já sobre o Guaxa Vessa, as informações são válidas.
87720	93120	Já quando com manuscritos encontrados com teóricos, ele tem como base o sistema Guaxinim dos Gambiarras.
93920	100300	Tudo que se sabe sobre esse sistema, é que nele, cada jogador possui apenas um único atributo, que vai de dois a cinco.
100840	103160	Quanto maior o atributo, mais atlético é o personagem.
103700	105640	Quanto menor, mais inteligente e carismático.
106380	109740	Sempre que o jogador faz algo com uma chance de errar, rola dois dados.
109740	116420	E precisa tirar seu atributo ou menos para ataques e ações físicas e seu atributo ou mais para ações intelectuais ou sociais.
116420	120580	Se a jogada for fácil, tiver algum auxílio, rola um dado a mais.
120820	122940	Se a jogada for difícil, rola um dado a menos.
123680	128680	Eu só me informo de alcantarilho diretamente para os estúdios do R.P. Guaxa.
128880	130020	Não deixe de seguir nas redes sociais,
130100	131680	arroba Marcelo Guaxinim, arroba R.P. Guaxa,
131800	133340	tanto no Twitter quanto no Instagram,
133560	136240	e considere com carinho apoiar esse projeto.
136400	139540	A partir de dez reais, você pode ler as regras como você viu agora,
139780	141420	você pode gravar voz de NPCs,
142060	144000	você pode participar de vários grupos,
144000	145480	você recebe o episódio antes,
145480	147240	você tem um grupo de spoiler,
147500	148900	você tem material exclusivo.
149060	152180	Então cola lá, vem fazer parte do R.P. Guaxa.
152820	154720	E antes de tocar a vinheta de abertura,
155020	158060	quero avisar vocês que, ao contrário do que possa parecer,
158400	161820	esse é um episódio pesado, recomendado para maiores.
162200	165300	Ele pode conter cenas de terror, morte sobrenatural,
165620	168600	monstros e menção à violência envolvendo crianças.
169320	170360	Você foi avisado.
171160	171760	Boa aventura.
175480	184860	Sete realidades paralelas.
185060	187760	Uma infinidade de possibilidades.
187960	191160	Três jogadores e um Guaxinim.
191360	197560	Já estão todos no campo e aguardando o apito para o início a mais uma aventura.
201160	202020	Cinco.
202220	202720	Três.
202920	204320	Chegou a gente, chegou a gente.
204520	205120	Quatro.
205120	206300	Achei, achei.
206960	207680	Três.
208080	209160	Eu estou doido.
209780	210360	Doido.
211080	211500	Eu vou te ajudar.
214960	215520	RPG.
216120	217860	Realidades paralelas do Guaxinim.
218220	220640	Sua aventura de bolso na forma de podcast.
221060	223540	Uma jornada completa a cada episódio.
235120	240000	São Miguel das Flores é uma cidade pequena e pacata localizada no interior do sul do Brasil.
240080	244260	A cidade já foi conhecida por suas belas flores e pela tranquilidade que proporciona a seus habitantes.
244460	249120	A cidade tem uma praça central onde os moradores mais idosos se reúnem para conversar e passar o tempo.
249300	253080	Além disso, a cidade tem uma igreja antiga, que é um marco histórico da região,
253640	255480	e uma grande fábrica abandonada.
255680	258420	Sua população é formada principalmente por crianças e idosos,
258660	261880	pois desde que a empresa de velas aromáticas, cheirinho de vida,
262240	263520	fechou há seis anos atrás,
263520	267600	a cidade ficou sem opções de trabalho para a opção economicamente ativa,
268080	269560	e os adultos tiveram que migrar,
270000	273160	muitos sem a possibilidade de levar suas crianças e seus idosos.
273960	277360	O pouco comércio local sobrevive do salário dos aposentados
277360	279520	e de algum dinheiro que os pais enviam de cidades próximas.
280160	282580	A cidade tem uma torre de celular, que não funciona muito bem,
283000	285800	e é a única opção de internet que a população possui.
286080	290020	A escola fica no centro, numa das duas ruas que acompanham o centro, inclusive.
290020	293020	Ela fica em um prédio antigo, de paredes descascadas
293020	294220	e janelas emperradas.
294660	297820	Tem algumas poucas salas de aula, uma cozinha, uma sala dos professores
297820	298480	e um banheiro.
298820	301720	Na verdade, três banheiros, né? Meninos, meninas e professores.
302060	304840	A quadra poliesportiva é de cimento rachado
304840	307820	e fora de nível, com marcação meio apagada.
308420	309200	Ela não é coberta.
309400	311880	A escola atende do ensino fundamental ao médio,
311980	315260	contando com algumas turmas dos anos finais multisseriadas.
315600	317660	Os professores são poucos, mas esforçados,
317660	321060	e tentam dar conta de todas as disciplinas e turmas.
321360	322660	A escola também sofre com falta de...
323020	329660	Apesar dos problemas, a escola é um refúgio para muitas crianças e jovens
