start	end	text
0	5960	Sabe aquela história de infância que você contou pra todos os seus amigos?
6460	10280	Quando você foi relembrar com sua família, eles te avisam que ela nunca aconteceu?
10840	13600	Sabe quando você avisa pras pessoas que o olho do gato mudou de cor?
13920	17480	E todos dizem que você está enganado, apresentando fotos até,
17940	22580	pra provar que você só não tinha notado que o gato tinha heterocromia.
22960	28040	Ou quando a atendente da lanchonete lembra do seu pedido favorito por três dias seguidos,
28040	29540	e no quarto ela erra.
30000	31580	Ou nem lembra de você.
32240	38280	São coisas sutis, mas elas acontecem e normalmente não afetam sua vida.
39460	40060	Normalmente.
41360	42380	Episódio de hoje.
43180	45240	O mês que o mar levou Magnolia.
46600	50760	Olá, eu sou Marcelo Guaxinim, sou o Guaxa da aventura de hoje e estou aqui com...
50760	52200	Oi, meu nome é Agatha Sofia.
52560	55560	Pode me encontrar no arroba AgathaSofiaUnderline
55560	58320	e também no podcast Buraco Atrás do Pôster,
58440	59560	que falamos sobre videogame mensalmente.
60000	65320	Oi, eu sou a Juleiva, e vocês podem me encontrar no arroba Guaxete no Instagram
65320	69440	ou no melhor lugar da internet, que é a Taberna do Guaxinim.
69520	74540	Oi, eu sou a Sara Barbosa, e vocês podem me encontrar na Taberna do Guaxinim
74540	82680	com o arroba OiAmigos, ou vocês podem me encontrar no Instagram com o arroba SaraPereiraB.
86360	87300	Quem é você?
87300	89600	Eu nunca te vi por aqui antes.
90000	92920	Não que eu esteja aqui há muito tempo, na verdade.
93920	97620	Você está com uma cara de confuso e perdido.
98500	101100	Sente-se aqui perto da fogueira e descanse um pouco.
102280	107280	Bom, se você está perdido, imagino que não sabe como as coisas funcionam por aqui.
108420	110600	Eu vou te explicar o básico para você sobreviver.
111000	113560	Considere um presente de um outro aventureiro.
114560	117520	Bem-vindo, você está nas realidades paralelas do Guaxinim.
117520	119720	Por aqui, usamos o sistema Guaxinim.
120000	122000	Temos quatro açõesmaoretos間as de atropelagem,
122000	123460	a maioria de todos é para o investidor de jogador e jogador dos outros.
123460	124460	O Hugo doesn't have a Dias- victor.
124460	125300	Voac.
125300	127500	A gente tem o�outro de Alcântara, que é em 18s,
127500	129720	o atributo mais atlético ao personagem
129720	131620	quanto menor, mais inteligente
131620	132320	e carismático
132320	135680	sempre que o jogador faz algo com uma chance de errar
135680	137020	joga-se dois dados
137020	139520	e precisa tirar seu atributo ou menos
139520	141440	para ataques e ações físicas
141440	143080	seu atributo ou mais
143080	145100	para ações intelectuais ou sociais
145100	147220	se a jogada for fácil
147220	148460	ou tiver algum auxílio
148460	150540	joga-se um dado a mais
150540	153760	se a jogada for difícil, rola-se um dado a menos
153760	155620	eu sou o Lucas Felipe
155620	157460	e sou padrinho do RPG Guaxa
157460	159200	porque aqui eu posso descansar
159200	161200	enquanto exploro mundos fantásticos e fantasiosos
161820	163900	com magias e combates
163900	165900	tudo o que sonhamos na infância
165900	167240	e me desprendo
167240	169680	de uma mesa de escritório e tarefas diárias
169680	172080	venha ser apoiador desse projeto também
172080	174580	não deixe de seguir nas redes sociais
174580	175620	arroba arroba arroba
175620	177600	tanto no Twitter quanto no Instagram
177600	180460	considere também se tornar apoiador desse projeto
180460	182480	lá no apoia-se no Padrim
182480	183940	ou na Orelo
183940	185600	só procurar por RPG Guaxa
185600	186540	e apoiar
186540	187440	para termos cada vez mais
187440	188960	mais episódios
188960	190620	esse episódio
190620	193220	ele tem alguns gatilhos
193220	195380	inclusive de suicídio
195380	197840	e não é recomendado para menores de 16 anos
197840	207700	senhores passageiros
207700	209440	temos sete realidades
209440	212180	paralelas, uma infinidade de possibilidades
212180	213340	três jogadores
213340	214520	e um guaxinim
214520	217880	por favor, coloque a sua cadeira na posição vertical
217880	219280	aperte o cinto
219280	220840	e segure a sua bebida
220840	223340	pois a nossa aventura já vai decolar
223340	226040	cinco
226040	229180	quatro
229180	231880	três
231880	234700	dois
234700	239740	RPG
239740	242100	Realidades Paralelas do Guaxinim
242100	243560	sua aventura de bolso
243560	244260	na forma de
244260	246560	uma jornada completa
246560	247820	a cada episódio
247820	261560	o Balneário de Morro das Neves
261560	263880	passou recentemente por uma alteração de nome
263880	266460	anteriormente conhecido apenas como
266460	267540	Morro das Neves
267540	269600	devido às dunas branquinhas
269600	271800	a cidade agora incorporou o Balneário
271800	272440	a seu nome
272440	274240	essa mudança visa destacar
274260	277220	e não se trata apenas de uma pequena cidade litorânea
277220	278200	mas sim
278200	280880	de uma verdadeira instância de veraneio
280880	281680	além disso
281680	283640	a inclusão do termo Balneário
283640	287600	busca aproveitar a reputação de destinos balneários sofisticados
287600	289380	que tem se destacado no estado
289380	290560	em Morro das Neves
290560	293460	já podemos observar os primeiros grandes edifícios surgindo
293460	295360	e há uma crescente conversa
295360	297760	sobre investimentos em imóveis na planta
297760	299240	essa transformação indica
299240	301220	um potencial desenvolvimento urbano
301220	303040	significativo na região
303040	303620	sugerindo oportunidades de desenvolvimento urbano
303620	303640	e uma oportunidade de desenvolvimento urbano
303640	303660	e uma oportunidade de desenvolvimento urbano
303660	303700	e uma oportunidade de desenvolvimento urbano
303700	304240	e uma oportunidade de desenvolvimento urbano
304260	308920	atrativas para aqueles interessados no mercado imobiliário local
308920	312160	e como não custa absolutamente nada tentar
312160	315680	eu vou invocar os poderes premonitórios do RPG Watch
315680	318360	para compartilhar uma visão intrigante
318360	320120	aqui reside um podcaster
320120	322560	pouco conhecido, porém de bom coração
322560	325740	que acertou na loteria de seis números
325740	328820	e agora desfruta da vista do mar
328820	331720	enquanto continua a lançar seus podcasts de RPG
331720	332700	no entanto
332700	333700	isso não terá
333700	337440	nenhuma relação com a história que se desenvolverá hoje
337440	340520	a trama de hoje nos transporta para a vida de três amigas
340520	343480	que cresceram juntas na pequena morro das neves
343480	346200	e que hoje compartilham um amplo apartamento
346200	347940	aqueles com a planta mais antiga
347940	349700	que priorizam o espaço
349700	351540	e não a quantidade de apartamentos por andar
351540	354460	tudo muito bem cuidado por essas moradoras
354460	356420	da janela é possível inclusive
356420	357380	vislumbrar o mar
357380	360240	ainda que precise colar o rosto no vidro
360240	362240	ou enfiar a cabeça para fora
362240	363560	elas até viveram algumas aventuras
363700	365320	depois do ensino médio
365320	366940	mas hoje adultas
366940	369160	as três encontram-se mergulhadas
369160	371640	na monotonia do dia a dia
371640	373400	uma rotina que em breve
373400	376100	poderá ser sentida como uma ausência
376100	377760	e tudo começa com uma mudança
377760	379620	inesperada em suas vidas
379620	381400	a cor do apartamento
381400	383700	Agatha, fala sobre seu personagem
383700	384960	aparência e atributos
384960	387700	Olá, hoje eu vou jogar com a Anastasia Calamena
388380	390120	ela é baixinha, tem 1,57m
390120	391740	ela é uma mulher branca
391740	393660	olhos castanhos e várias sardas
393660	394140	no corpo
394140	396300	ela é ruiva, com cabelos longos e ondulados
396300	397880	geralmente usa vestido florido
397880	399540	alegres, cor chamativa
399540	401800	e que combina com a tatuagem na perna dela
401800	403280	que são todas caloridas também
403280	405240	ela sempre tem uma flor no cabelo
405240	407380	ela é carinhosa e afetuosa com as amigas
407380	410240	ela é uma menina sonhadora e sempre quis ser atriz
410240	412560	tanto que ela saiu para viajar pelo mundo
412560	415060	obviamente custeada pelos pais
415060	417260	depois que terminou o ensino médio
417260	418880	mas ela conheceu um cara
418880	419700	lá no exterior
419700	421840	achou que era um amor à primeira vista
421840	423340	acabou que ele passou a perna nela
423340	423640	e passou a ser um homem
423660	424500	e pegou todo o dinheiro
424500	426700	agora ela está de volta na cidade pequena
426700	429320	que ela cresceu e está tentando ser mais pé no chão
429320	431320	e ela não tem mais contato com a família
431320	433340	atualmente ela trabalha numa floricultura
433340	435100	e o atributo dela é 2
435100	437260	perfeito, Ju, fala sobre o seu personagem
437260	438160	aparência e atributo
438160	441420	olá, eu vou jogar com a Naya Almeida
441420	443160	e o meu atributo é o 3
443160	445540	a Naya, ela tem 1,68m
445540	446940	é branca brasileira
446940	449660	e tem o cabelo muito curto e esverdeado
449660	452460	nos braços, que geralmente estão expostos
452460	453640	ela mostra
453660	456500	várias tatuagens nos mais diversos estilos
456500	457400	é barista
457400	459960	num dos bares mais movimentados da cidade
459960	460780	o Mapate
460780	463200	costuma sair pra trabalhar no início da noite
463200	464720	e em razão disso
464720	467180	ela acaba dormindo muito durante o dia
467180	469820	sua gatinha amarela, chamada Polenta
469820	472140	a acompanha nas sonecas diurnas
472140	473580	sem família próxima
473580	475800	solteira que diz não se apegar
475800	477440	mas que se emociona às vezes
477440	480100	considera que suas amigas são o seu porto seguro
480100	480740	perfeito
480740	483540	e Sara, fala sobre o seu personagem, aparência e atributo
