start	end	text
0	14120	O MUNDO PROTEGIDO POR UMA MURALHA E SEUS AVENTUREIROS
14120	19260	Um grupo de pessoas que alterna sua vida entre matar orques e festejar numa taverna.
19560	22500	A vida que todo mundo ali pediu pra ter.
22920	27240	Então por que Rita, a guerreira mais poderosa daquele lugar, está tão inquieta?
27240	30020	Episódio de hoje, O MISTÉRIO DE RITA
30020	34200	Com Filipe Xavier, nosso padrinho do Realidades Paralelas do Guaxinim
34200	38160	Com Shelly, do RPG Next, do Pode Isso e do Continuum
38160	42100	E com Jefferson de um F só, lá do Dado Viciado
42100	47720	Mais informações sobre essas pessoas e seus projetos no Escudo Mestre ao final deste episódio
47720	49660	Não esqueça de nos seguir nas redes sociais
49660	54540	Arroba Marcelo Guaxinim e arroba rpguaxa
54540	55660	Links no post
55660	57180	Você também pode nos apoiar
57180	57220	Se inscrever no nosso canal
57220	60200	E ser nosso padrinho e falo mais disso lá no final
60200	63200	O Realidades Paralelas do Guaxinim usa um sistema chamado
63200	64780	Lasers e Sentimentos
64780	68720	Na verdade uma grande adaptação em cima desse sistema tão simples
68720	71080	Cada personagem possui um único atributo
71080	73800	E rola um dado de 6 faces ou mais
73800	76240	Tirando seu atributo ou menos
76240	79240	Ele é bem sucedido em ações físicas
79240	81360	Como correr, pular e lutar
81360	84220	Farfell, o personagem da Shelly neste episódio
84220	85840	Tem um atributo 4
85840	87160	Então 1, 2, 3, 4
87160	90060	É um acerto para ela numa luta
90060	91460	Ou numa corrida
91460	94760	Já se ela quiser descobrir uma pessoa mentindo
94760	95960	Ou se esconder
95960	98780	Ela precisa tirar seu atributo ou mais
98780	101320	No caso 4, 5 ou 6
101320	102620	Sempre que tira 4
102620	104620	Ela consegue um acerto crítico
104620	107100	Ou seja, ela é muito bem sucedida
107100	108460	Naquilo que tentou
108460	111180	Mais informações no decorrer do episódio
111180	112500	E no Escudo do Mestre
112500	113520	Boa aventura
117160	119760	E aí
119760	120120	Boa noite
120120	120300	Boa noite
120300	124380	E sabe o sopro do dragão
124380	134660	Reconheço o meu pesar
134660	140120	Quando tudo é traição
140120	145400	O que venho encontrar
145400	147140	É a verdade
147160	151560	A virtude em outras mãos
151560	161400	Aí vocês estão na caverna
161400	162500	Rola os dados
162500	165300	Bola de fogo
165300	168960	Chama o clérigo
168960	171380	Como assim eu morri?
172460	173160	Rola a iniciativa
173760	174760	Então
174760	176800	Não tem armadilha
176800	177140	Pode ser que não tenha armadilha
177160	177720	Podemos ir
177720	179600	O que vocês fazem?
180980	181660	Tá, tá
181660	183760	Eu amarro uma corda nelas
183760	185000	E uso como arma
185000	186240	Eu ataco
186240	188760	O mago lança seu Thunderbolt
188760	190560	Mais 15 no Ubi Holder
190560	192280	Eu quero rolar a minha sequição
192280	193040	Posso?
193900	195320	Tem algum lugar pra se esconder?
195960	198240	Ah, falha a crítica
198240	199700	Ataque de impunidade
199700	202160	Chama o clérigo
202160	205260	RPG
205260	205620	RPG
205620	207060	Realidades Paralelas
207160	208480	Paralelas do Guaxinim
208480	211460	Sua aventura de bolso na forma de podcast
211460	214420	Uma jornada completa a cada episódio
214420	222540	Vocês nasceram em um reino riquíssimo
222540	224420	Pacífico, quase um paraíso
224420	226740	Mas vocês sempre foram crianças inquietas
226740	229100	Achava aquele lugar um saco e vinha aprontando
229100	231040	Por isso, ninguém ligou
231040	233520	Quando vocês foram enviados para a muralha do norte
233520	236140	Na verdade, muita gente ficou feliz
236140	237020	Mas ninguém ficou muito feliz
237020	238480	Mas ninguém ficou mais feliz do que vocês
238480	241820	Pois na patrulha vocês têm bebida e comida infinita
241820	243780	Graças às doações do reino
243780	245900	E passam os dias combatendo orques
245900	247840	Coisa que vocês amam fazer
247840	249380	Vocês são conhecidos como
249380	250420	Ostrigêmeos
250420	253140	Pois embora tenham aparências diferentes entre si
253140	256000	Possuem a mesma idade e chegaram no mesmo dia
256000	257700	E sempre lutam lado a lado
257700	259640	Todos são humanos, têm 23 anos
259640	261720	E eu quero que vocês digam seu atributo
261720	262540	E uma arma
262540	264460	O atributo, pra quem não lembra
264460	265980	Ele vai de 2 a 5
265980	267000	Quanto maior a mensagem, mais feliz vocês são
267020	269580	Quanto melhor em combate e ações físicas você é
269580	272320	Quanto menor, melhor em outras situações
272320	273980	Se esconder, procurar, perceber
273980	276200	Felipe, qual o seu atributo?
276700	278020	Meu atributo é 4
278020	279700	Qual a aparência do teu personagem?
279800	281040	A arma dele, o nome dele?
281340	282560	Meu personagem é o Arandu
282560	284100	Ele tem um takapi
284100	286660	Ele é basicamente um indígena brasileiro
286660	289100	Ele tem uma estatura baixinha
289100	290980	Mas é bem troncudo, bem forte
290980	292960	Tem um cabelo liso em forma de cuia
292960	294420	A Shelly?
294420	296420	É, dessa vez eu sou a Farfélia
297020	300300	É uma mulher já mais alta
300300	301300	Forte
301300	303240	Loira com cabelinhos cacheados
303240	304980	Bem curtinhos, assim
304980	307600	Quase aquela carinha angelical
307600	308900	Aquele querubim
308900	310860	Também 23 anos
310860	313160	Eu uso um arco e flecha
313160	316020	E também, geralmente o atributo 4
316020	317860	Funciona pra mim, então vou manter o 4
317860	319320	Ok, Jefferson?
319720	321040	Eu vou ser o Figorne
321040	322840	Eu vou ter um machado de guerra
322840	324460	Também 23 anos
324460	326540	E saindo aí da mesmita
327020	328340	Isso eu vou ter um atributo 5
328340	330260	Que é o que a gente espera de quem tem um machado de guerra
330260	332440	É, eu também esperava isso
332440	334800	Ah sim, então o Figorne
