start	end	text
0	10740	Em um mundo esquecido pelos deuses, uma terrível criatura está matando meninas, mas o povo
10740	17220	não está sozinho, o povo tem os caçadores de monstros, e eles vão caçar e eliminar
17220	20020	esta criatura, ou morrer tentando.
20740	24740	Esse episódio não é recomendado para menores, pois trata de temas fortes.
25740	28100	Episódio de hoje, O Monstro.
28100	34940	Com os padrinhos, João Vitor Galvão, que também é lá do Projeto Drama, do Patrick,
35420	42120	que participa do canal da Twitch do Plano Heart, e com a Mel, lá do Projeto Drama e
42120	43380	do Nossa Poesia.
44620	48920	O Realidades Paralelas do Guaxinim usa o sistema guaxinim e gambiarras.
49380	53600	Nele, cada jogador possui apenas um único atributo, que vai de 2 a 5.
53600	56680	Quanto maior o atributo, mais atlético é o personagem.
56680	60240	Quanto menor, mais inteligente e carismático.
60240	65540	Sempre que o jogador faz algo com uma chance de errar, joga dois dados, e precisa tirar
65540	70440	seu atributo ou menos para ataques e ações físicas, e seu atributo ou mais para ações
70440	72580	intelectuais ou sociais.
72580	76400	Se a jogada for fácil, ou tiver algum auxílio, joga um dado a mais.
76400	79500	Se a jogada for difícil, rola-se um dado a menos.
79500	84640	Eu sou o Guilherme, e sou padrinho do RP Guaxa, porque esse é o melhor criador de realidades
84640	86000	da podosfera nacional.
86680	93040	Não deixe de nos seguir nas redes sociais, tanto no Twitter quanto no Instagram.
93040	95840	Considere também nos apoiar no PicPay ou no Padrim.
95840	97240	Feliz 2022.
116680	127240	Inscreva-se no nosso canal e ative o sininho para receber notificações de novos vídeos.
127240	146000	Até a próxima, tchau tchau.
146680	155720	RPG, Realidades Paralelas do Guaxinim, sua aventura de bolso na forma de podcast.
155720	157240	Uma jornada completa a cada episódio.
176680	183680	Conto as lendas que todos os habitantes da Floresta da Noite eram originalmente de outro
183680	189300	mundo, mas que devido a seus pecados foram sugados para a escuridão da floresta.
189300	194080	Essas mesmas lendas dizem que qualquer cidade que fique grande demais será devorada por
194080	196880	uma horda de criaturas feitas de pesadelos.
196880	202400	Verdade ou não, é fato que a floresta é salpicada de pequenas cidades que não ficam
202400	206520	a mais de um dia de viagem entre si, e que o número de desaparecimentos e desastres
206520	206560	é muito alto.
206560	206640	A floresta é uma floresta de pequenas cidades que não ficam a mais de um dia de viagem entre si, e que o número de desaparecimentos e desastres é muito alto.
206680	209520	A floresta é uma floresta de pequenas cidades que não ficam a mais de um dia de viagem entre si, e que o número de desaparecimentos e desastres é muito alto.
209520	214020	Ninguém fica muito longe das estradas ou das cidades, pois à medida que a pessoa se
214020	218600	perde na floresta, ela se torna mais perigosa e mortal.
218600	221660	Monstros perto de cidades são raríssimos.
221660	227700	Eles parecem evitar aglomerações, mas são menos incomuns no meio de estradas e pedindo
227700	229620	a passagem de uma vila para a outra.
229620	236560	Caçadores de monstros são raros, mas os que existem são muito bem tratados e respeitados.
236560	242640	Em um normalmente breve período de atuação, recebem sempre o melhor alimento e acomodação.
242940	247660	Antes de continuarmos, vamos conhecer o nosso grupo de caçadores.
248320	251500	Então, Mel, fala primeiro sobre o seu personagem, aparência e atributos.
251580	254120	Então, hoje eu vou jogar com a Juliana.
255080	263420	Ela é uma mulher baixinha e aparentemente ela é bem mirrada, mas na verdade ela tem uns músculos escondidos por trás das vestes.
263420	270420	Ela usa um arco feito de ossos de animais, mas ela está sempre falando para todo mundo que são ossos de dragão.
270960	278000	Ela tem uma cara um pouco intimidadora, sim, por causa das cicatrizes e tudo mais, mas ela é bem gentil.
278120	279720	E o atributo é 4.
279960	283000	Perfeito. João, fala sobre o seu personagem, aparência e atributos.
283060	285340	Pois bem, eu vou jogar hoje com o Wagner.
285340	293340	O Wagner é um homem jovem, deve ter lá para os seus 25 anos, que acaba se metendo em confusão por gostar de agir e falar.
293420	301260	Antes de pensar, ele traja uma armadura completa, que está alguns tamanhos maior do que o que ele deveria usar.
301540	306880	E um elmo, que em especial é comicamente grande e faz a voz dele ecoar sempre que ele fala.
307220	316940	Apenas os companheiros dele conhecem a verdadeira aparência dele por debaixo da armadura, porque quando ele fala com as pessoas, quando ele se apresenta, ele está sempre trajando ela.
317720	323100	Ele usa um martelo de guerra, um bicho enorme que é difícil de qualquer ser humano carregar.
323420	326380	Até mesmo ele, mas ele acha que é ótimo porque é marcante.
326820	328100	E o atributo dele é 4.
328400	332260	Perfeito. E por último temos o Patrick, que fala sobre o seu personagem, aparência e atributos.
332340	335420	Olá, hoje eu estou jogando com o Zugak Mirnson.
336040	342880	Ele é um guerreiro, um pouco mais velho, chegando até a grisalha, o cabelo, uma barba por fazer.
343640	345720	Ele é bem grande, bem alto, bem forte.
346660	352100	Ele é sempre bem humorado, menos na hora do combate, porque ele está bem focado no combate.
352100	353100	Ele usa...
353420	361880	Ele usa uma armadura sem elmo, um sabre cuja lâmina é azul e um escudo com um dragão pintado.
362100	363280	E o atributo é 5.
363420	367420	Perfeito. Ele, por ser mais velho, ele caça monstros há muito tempo?
