start	end	text
0	13900	O Papai Noel visita apenas as crianças que se comportaram durante o ano e acreditam nele.
14120	18580	Se você nunca recebeu um presente do Bom Velhinho, é porque nunca atendeu esses dois requisitos.
18980	24300	Em contrapartida, se uma criança que atenda os requisitos ficasse presente, toda a magia
24300	25920	do Natal deixa de existir.
26140	28540	E isto está prestes a acontecer.
28540	34340	Episódio de hoje, o Natal do Cauê, com a volta de seus gnomos, elfos, duendes, favoritos.
34520	40120	Jujuba no papel de Loriane, Danilo Battistini no papel de Adam e Fencas no papel de The
40120	40480	Paper.
41140	45100	O Realidades Paralelas do Guaxinim usa um sistema chamado Lasers e Sentimentos, na verdade,
45420	48980	uma adaptação dele, que eu costumo chamar de Guaxinim e Gambiarras.
49280	50200	Preciso colocar isso no PDF.
50660	55240	Basicamente, cada jogador possui um único atributo que vai de 2 a 5 e sempre que você
55240	58420	precisa realizar uma ação física ou um ataque, precisa tirar.
58540	59720	Seu atributo ou menos.
60200	64680	E quando precisa passar de uma ação que não seja física nem um ataque, seu atributo ou
64680	65080	mais.
65360	69860	Não esqueça de nos seguir nas redes sociais, arroba Marcelo Guaxinim e arroba RP Guaxa.
69860	72860	Também considere apoiar esse projeto no PicPay ou no Padrim.
73840	74680	Boa aventura!
88540	89040	Fala, Osados!
90200	91600	BOLA DE FOGO!
92320	93060	Chamo...
93060	95480	Chamo Clérigo!
96600	97840	Como assim eu morri?
99020	100280	Hora iniciativa.
100940	103320	Então, não tem armadilha.
103580	104200	Podemos ir.
104940	106100	O que vocês fazem?
107460	108200	Tá, tá.
108400	111500	Eu amarro uma corda nelas e uso como arma.
111880	112760	Eu ataco.
113160	117120	O Magro lança seu Thunderbolt mais 15 no Ubi Holder.
117120	118500	Eu quero rolar o meu serviço.
118540	119460	Não posso.
120420	121820	Tem algum lugar pra se esconder?
122460	124720	Ah, falha crítica.
125280	126080	Ataque de impunidade!
126420	127320	Ei, arrumando!
127460	128660	Chamo Clérigo!
131420	135060	RPG Realidades Paralelas do Guaxinim.
135400	138000	Sua aventura de bolso na forma de podcast.
138440	140940	Uma jornada completa a cada episódio.
148540	164420	Se inscreva no canal e ative o sininho pra receber notificações de novos vídeos.
164420	168840	Vocês três são gnomos que trabalham na fábrica de brinquedos que fica no Polo Norte.
169040	171380	Duendes ou elfos, nós estamos abrindo novos gêneros.
172340	172700	Isso.
172860	176720	Vocês são o que vocês colocaram na ficha de vocês quando fizeram o recadastro anual.
176720	178280	Vocês podem mudar todo ano isso também.
178280	178760	Elfo.
178960	179360	Duende.
179560	181040	Fênix, como é que é o teu personagem?
181420	181900	Vamos lá.
182120	183300	É o Paper.
183780	185500	Ele é um duende.
185820	186500	Duende ou gnomo?
186540	186880	Não sei.
187080	187460	Duende.
187960	188340	Gnomo.
188820	191520	Ele, enfim, é um bicho pequenininho.
191840	194020	Ele é bem velho, bem velho.
194380	197700	Mais velho do que deveria estar trabalhando.
198120	200720	Ele é barbudo e cabeludo.
201220	203380	Com os pelos brancos.
203380	206860	Tá sempre com uma cara bem ranzinza.
207200	208240	E a roupa dele também.
208280	209400	Também é toda cinza.
209520	211280	Enfim, e meio maltrapilho.
211520	214360	Na verdade, não é porque ele é maltrapilho, do tipo, ele não se cuida.
214400	215300	Ele meio que tá cagando.
215920	218520	Então, é basicamente isso.
218740	224200	E ele, da aventura passada, ele começou a usar uma bengala porque a idade tá pesando.
224480	225060	O Danilo.
225360	226280	Eu sou o Adam.
226540	228080	Um duende ainda sem barba.
228160	229160	Na verdade, eu sou um gnomo agora.
229220	229660	Eu esqueci.
229900	233320	Eu tenho um chapéu que ele é da cor que você quiser.
233320	234280	Eu não tenho barba.
234360	234960	Isso é muito triste.
235080	236080	Eu queria muito ter barba.
236200	238020	Porque eu sinto que eu não sou respeitado.
238020	239500	Eu sou como um gnomo sem barba.
239740	241200	E meu atributo é 4.
241280	242620	Porque eu não sou muito inteligente.
242860	243960	Mas eu tenho boas ideias.
244340	245800	O que, na verdade, não ajuda muito.
246120	247080	E a Jujuba.
247440	249340	A minha personagem é a Loriane.
249820	251300	Ela continua jovem.
252120	252560	Irresponsável.
252700	253140	Inconsequente.
253600	254040	Respondona.
254320	257120	Ela trabalha na lanchonete, né?
257340	261260	E ela usa sempre um chapéuzinho roxo que combina com a pulseirinha de miçangas dela.
261420	262560	Super fashion.
262560	263320	Tipo assim.
264140	265960	E o atributo dela é 3.
268020	277600	A lanchonete, por sinal, tem vários unicórnios trabalhando pra ela esse ano.
277900	278180	Boa.
278240	279780	E que até mudei o nome.
280220	281020	Não lembro qual era o nome.
281080	282820	Mas agora chama Z75.
283320	283760	Lanches.
284460	288200	O principal produto produzido ali são cupcakes.
289860	291580	É o maior sucesso, gente.
291760	293120	Eles não sabem de nada.
293120	294980	Nenhum dos três come esse cupcake.
295400	297980	Mas é o mais vendido pros outros ali.
298020	302180	Eu só tirei a plaquinha do Visite Nossa Cozinha, sabe?
302540	304280	Como assim ninguém mais come eles?
304640	306660	Eu pego um todo a refeição.
307600	312400	Além disso, há alguns coelhos trabalhando agora como estagiários em alguns setores.
312880	317500	O relacionamento do Grande Vermelho e do Coelho da Páscoa começou a se estreitar.
317720	319700	Eles voltaram a se falar e estão se ajudando.
320120	323740	Vocês estão no dia 23 de dezembro.
323740	326740	E são chamados até a sala da...
328020	329980	Chefe de Operações dos Gnomos.
330180	331300	Da chefe?
332200	332420	É.
332840	336560	Gente, eu acho que eles querem o melhor time deles pra salvar o Natal de novo.
336900	337580	Só pode ser.
338120	339500	Óbvio, né, Adam?
339680	340700	A gente é muito bom.
340800	342400	A gente salvou o Natal, sabe?
342780	348420	Agora, eu acho que, assim, a gente deve ser o super time de operações salva Natal do Natal.
348560	348840	Sei lá.
349220	349940	Não, o nome é ruim.
350220	351400	Depois eu penso numa sigla legal.
351740	353700	Eu acho que você tem que voltar a escrever no seu caderninho.
353760	354900	A gente nunca vai lembrar disso.
355180	356000	Ai, é verdade.
356180	356480	Peraí.
356480	357920	Eu vou lá buscar o caderninho.
358180	358540	Peraí.
359120	359600	Sério.
