start	end	text
0	8000	A cuca é um dos principais seres mitológicos do folclore brasileiro.
8240	12340	Ela é conhecida popularmente como uma bruxa que rapta crianças e que pode ter a forma
12340	15060	de uma velha ou de uma feiticeira com cabeça de jacaré.
15420	18100	Na versão da TV, um jacaré de peruca loira, por sinal.
18580	25220	Uma das versões da lenda da cuca diz que a cada mil anos brota de um ovo uma nova cuca.
25220	29380	Então a cuca antiga se transforma em um pássaro de canto triste.
29380	30720	Um corvo, talvez?
31440	33480	Seria o cuco o marido da cuca?
34040	34800	Mas de vago.
35440	39880	Então, quando a cuca antiga sai de cena, a nova cuca assume seu papel.
40700	45520	Na TV, a nova cuca é a Alessandra Negrini, o que deve ter feito o pássaro de canto triste
45520	47300	ser o mais triste de todos os pássaros.
47920	52500	Um ser maligno vai enfrentar no dia de hoje o seu maior desafio.
53180	54940	Um grupo de crianças de 5 anos.
56060	59340	Episódio de hoje, o pré 2 e o segredo da cuca.
59380	61380	Com os padrinhos...
62040	68320	Shelly, aqui do RPG Guaxa, e lá do RPG Next, uma das grandes influências que eu tenho aqui
68320	70340	e que eu recomendo que vocês conheçam também.
70860	75720	Com o Felipe Xavier, aqui do RPG Guaxa, lá do Arquivos da Patrulha, que já chegou a ser o episódio final.
76240	78740	Corram lá pra ouvir todos os episódios e a história completa.
79200	81960	Recomendo muito que conheçam o Arquivos da Patrulha e o nosso poesia.
82320	85600	Aquele podcast de leituras de poesias de domínio público.
86140	88440	Sempre um carinho nos seus ouvidos.
88440	89240	E a Ju...
89380	91120	Que é madrinha do RPG Guaxa.
91400	93140	Que sempre me ajuda aqui na revisão.
93660	96580	E é uma das cabeças que cuida do nosso Instagram.
98760	99440	Horreirade.
100380	101020	Paralelas.
101240	102460	Do guaxinim.
102740	105380	Usa o sistema guaxinim.
105560	106960	E gambiarras.
107280	111480	Nele, cada jogador usa o único atributo.
111840	114060	Que vai de 2 até 5.
114580	116380	Quanto maior o atributo...
116380	118380	Mais atético é...
118380	120380	O peixe ao máximo.
120380	122380	Quanto menor, mais inteligente.
122380	124380	Os carismáticos.
124380	130380	Sempre que o jogador faz algo com maçã antes de errar, joga dois dados.
130380	136380	E precisa tirar seu atributo ou menos para ações físicas ou ataques.
136380	142380	E seu atributo ou mais para ações estruturais ou sociais.
142380	146380	Se a jogada for fácil ou tiver alguma ajuda, joga um dado a mais.
146380	147380	Se a jogada for difícil, joga um dado a mais.
147380	151380	Se a jogada for difícil ou tiver ferido, joga um dado a menos.
151380	152380	Se a jogada for difícil ou tiver ferido, joga um dado a menos.
152380	153380	Eu sou a Maria.
153380	155380	Meu pai é o Watson.
155380	157380	Seguinte das crianças.
157380	159380	Não deixe de seguir nas redes sociais.
159380	160380	Arroba Marcelo Guaxinim.
160380	161380	Arroba RPGuaxa.
161380	162380	Tanto no Twitter quanto no Instagram.
162380	163380	Considere também.
163380	164380	Sério.
164380	167380	Considere com muito carinho se tornar apoiador deste projeto.
167380	169380	Eu explico as vantagens lá no Escuro do Mestre.
169380	172380	É só procurar no PicPay ou no Padrim por RPGuaxa.
172380	173380	E boa aventura.
177380	181380	E se ainda nãovidou, acesse na página de nacionalidade naormais.com.br
181380	183380	Conheça também osutetzinho.at
183380	184380	e outro do canal de estúdio.
184380	185380	E até a próxima.
185380	186380	mixingodomia,
186380	187380	cór benesei,
187380	188380	jäus
188380	203380	ztp
203380	205380	sratiz
205380	207940	Cinco
207940	211040	Quatro
211040	213840	Três
213840	216620	Dois
216620	221420	RPG
221420	223960	Realidades Paralelas do Guaxinim
223960	226760	Sua aventura de bolso na forma de podcast
226760	229660	Uma jornada completa a cada episódio
235380	244640	A creche encantada da Tia Mel possui seis turmas
244640	245740	Bersário 1 e 2
245740	247060	Maternal 1 e 2
247060	248720	Pré-escola 1 e 2
248720	251960	E se orgulha de ser a escolinha mais verde da região
251960	254660	Com sua horta e seus bichinhos na fazenda
254660	257760	Ensinando a vivência do campo para as crianças da cidade
257760	260120	A creche normalmente é bem barulhenta
260120	263040	Como qualquer lugar com crianças felizes e bem alimentadas
263040	264400	Mas não hoje
264400	265120	Hoje
265120	265360	Hoje
265360	267320	Todas as crianças forem a uma excursão
267320	268740	Até a feira livre da cidade
268740	270600	Aprender de forma prática
270600	273040	Sobre como o campo chega até a cidade
273040	275640	E de quebra, divulgar a feira para as crianças
275640	277800	De forma que as mesmas influenciem seus pais
277800	279080	A comprarem ali
279080	281560	Já que a diretora é sócia do empreendimento
281560	282860	É óbvio
282860	285400	Que esse tipo de atividade não inclui o Bersário 1
285400	287060	Pois eles são bebês, né?
287380	289300	E também não inclui algumas crianças
289300	290300	Do Pré 2
290300	292820	Pois ontem a Ana B
292820	294980	Soltou todos os animaizinhos
294980	295100	Da fazenda
295360	297840	Em cima da hortinha da escola
297840	299060	E os animais
299060	301160	Comeram as plantas
301160	302600	Além de fazer muita confusão
302600	304100	Os adultos acharam
304100	304840	Ou melhor
304840	306740	A professora Jessica achou
306740	309080	Que o pequeno trio de amigos da Ana B
309080	310400	Eram cúmplices
310400	312700	Mas na verdade eles só ficaram maravilhados
312700	314660	Com a Ana B chegando na horta
314660	316160	Montada em um cabritinho
316160	318620	Seguida por vários mini animais
318620	319660	Enquanto gritava
319660	320740	Aoba!
321420	323500	E executava pequenas manobras com o animal
323500	325340	Por isso a Ana B foi a primeira pessoa a fazer isso
325360	326180	Foi suspensa
326180	328720	E seus amiguinhos ficaram na creche
328720	330940	Aos cuidados da tia Jessica
330940	332800	Por sinal, foi a tia Jessica
332800	334580	Que os colocou de castigo no dia de hoje
334580	336760	Ela teria dito em seu discurso
336760	339520	Aquele que não faz o bem perante o mal
339520	342420	Já está fazendo o mal o suficiente
342420	346560	Na próxima vez que virem algo de errado acontecendo
346560	348580	Sejam a força do bem
