start	end	text
0	12640	Crianças com o sonho de ir à praia, mas para fazer isso, elas vão precisar mais do que conquistar o coração da profe, elas vão precisar roubar este coração.
13420	17160	Episódio de hoje, o pré-1 e o grande roubo do coração.
18220	22400	Olá, eu sou Marcelo Guaxinim, eu sou o guaxa dessa aventura e estou aqui hoje com...
22400	28120	Eu sou a Thaís Azul e você pode me encontrar no Instagram, é Tezo Queirão.
28120	32840	Eu sou a Ju e a minha rede social é o arroba gochete, é isso aí.
33000	45160	E eu sou a Lulu, ou Luluzinha também, autora de vários RPGs por aí, Luluzinha é muito difícil de você encontrar, então no Twitter é a Luluzinha, underline, e aí você acha o resto.
46140	49600	O realidade para as guaxinim é o sistema guaxinim e gambiarras.
50260	54540	Nele, cada jogador possui apenas um único atributo que vai de 2 a 5.
54540	57380	Quanto maior o atributo, mais atlético é o personagem.
57380	60380	Quanto menor, mais inteligente e carismático.
62220	74480	Sempre que um jogador faz algo com uma chance de errar, joga dois dados e precisa tirar seu atributo, ou menos, para ataques e ações físicas, e seu atributo, ou mais, para ações intelectuais ou sociais.
75140	78560	Se a jogada for fácil, ou tiver algum auxílio, joga um dado a mais.
78940	81180	Se a jogada for difícil, rola-se um dado a menos.
81560	87180	Não deixe de seguir nas redes sociais, arroba a sua luluzinha, arroba a RPG Goxa, e considere apoiar este projeto.
87380	90460	A partir de R$ 1,00 você está ajudando a gente a pagar o editor.
90820	105380	A partir de R$ 10,00 você faz parte do nosso grupo no Telegram, onde você pode gravar voz de NPC, conversar com os jogadores, conversar comigo, sugerir nomes de personagem, ajudar na construção das aventuras e fazer parte de tudo isso.
105380	116380	7 Realidades Paralelas 1 Infinidade
116380	117140	Infinidade
117660	121280	3 Jogadores e 1 Machine
121280	131900	Respeitável público, não deixem a boba comer sua pipoca, e não tenham um homem forte, pois o espetáculo irá começar.
132520	133720	Boa aventura!
136540	137440	5
137440	140500	4
140500	143400	3
143400	146000	2
146000	146980	1
146980	147000	1
147000	147080	2
147080	147100	3
147100	147120	De raised Says computers.
147120	147140	3
147140	151060	RPG
151060	153620	Realidades Paralelas do Guaxinim
153620	156400	Sua aventura de bolso na forma de podcast
156400	159320	Uma jornada completa a cada episódio
159320	180060	A creche encantada da Tia Mel possui apenas 6 turmas
180060	183840	E se orgulha de ser a escolinha mais ecológica da região
183840	186540	É uma escola amada e respeitada na comunidade
186540	189140	Que ganhou reconhecimento nacional no ano passado
189140	189300	E se orgulha de ser a escola mais ecológica da região
189300	191840	Quando um grupo pré-escolar evitou um assalto a ban
191840	194160	Essa notoriedade fez com que as crianças da creche
194160	196740	Recebessem presentes e oportunidades especiais
196740	200520	A mais recente delas foi o convite da prefeitura de Prainha Bonita
200520	203200	Que está patrocinando um passeio de ônibus
203200	205600	E um piquenique na praia para as turmas
205600	207720	Todas as turmas aceitaram o convite
207720	210100	Com exceção da turma da Tia Joana
210100	212640	A Tia Joana optou por não participar
212640	215460	Alegando que já tinha outros planos para o dia
215460	217940	De acordo com a Mari Maldonato
217940	219280	Mais conhecida como a Mari Maldonato
219280	222960	A razão para a recusa da professora Joana
222960	225800	É que ela é uma professora iniciante na creche
225800	228220	E ainda não desenvolveu um forte vínculo emocional
228220	229100	Com seus alunos
229100	231480	Embora muitos dos seus alunos não saibam
231480	232960	O que significa um forte vínculo emocional
232960	235620	Por esse motivo, ela tem um plano ambicioso
235620	237140	Para deixar sua marca na história
237140	239280	Se no ano passado uma turma ficou famosa
239980	241000	Por evitar um roubo
241000	243940	Essa vai entrar para a história por realizar um roubo
243940	247000	Essa turma vai roubar um coração
247000	248440	Antes de mais nada
248440	249260	Vamos conhecer os pés de joelho
249280	250480	E os personagens agora
250480	251300	Os nossos jogadores
251300	254420	Então Zuzu, fala sobre sua personagem
254420	256100	A aparência e atributo
256100	257480	Hoje eu vou jogar com a Laura
257480	259560	Ela é uma menina bem tranquila
259560	262100	Que faz as coisas bem devagarzinho
262100	263160	No tempo dela
263160	265020	Ela está sempre com sono
265020	267940	Ela é a criança que chega na creche dormindo
267940	269920	Ela tem cabelos louros grandes
269920	271740	Sempre presa em uma Maria Chiquinha
271740	274640	E anda com a sua pelúcia de capivara albina
274640	275680	O nome dela é Lele
