start	end	text
0	10480	Quem nunca olhou para o conteúdo de uma aula e pensou
10480	12360	Onde isso vai me ajudar na vida?
12760	15700	Ainda mais se for uma aula optativa que ocorre aos sábados
15700	17400	E esse nem é um sábado comum
17400	19740	Esse é o sábado do aniversário do Johnny
19740	23660	Um aniversário que vai ter comida, bebida, amor e medo
23660	25060	Episódio de hoje
25060	26740	Reflexo de Tulu e Azul
26740	29380	Com a Shelly, lá do RPG Next
29380	31320	Do Pode Isso e do Continuum
31320	33460	Com a Andresa e com o Marcelo Rebelo
33460	35080	Lá da Taverna do Beholder
35080	38120	E com a Sinari e o Pinheiro, aqui do RPGuaxa
38120	41140	Na verdade, todos são do RPGuaxa
41140	42880	O Realidades Paralelas do Guaxinim
42880	44880	Usa o sistema Guaxinins e Gambiards
44880	47760	Nele, cada jogador possui apenas um único atributo
47760	48920	Que vai de 2 a 5
48920	51760	Quanto maior o atributo, mais atlético é o personagem
51760	54100	E quanto menor, mais inteligente e carismático
54100	56560	Sempre que o jogador faz algo com uma chance de errar
56560	57600	Joga dois dados
57600	59340	E precisa tirar seu atributo ou menos
59340	60760	Para ataques e ações físicas
60760	61840	Ou seu atributo ou mais
61840	63580	Para ações intelectuais ou sociais
63580	66280	Se a jogada for fácil ou tiver algum auxílio
66280	67460	Joga um dado a mais
67460	70100	Se a jogada for difícil, rola-se um dado a menos
70100	71180	Eu sou o Pedro Love
71180	72860	E eu sou padrinho do RPGuaxa
72860	74840	Porque essas histórias inspiradoras
74840	76520	Expandiram muito o que eu conhecia por RPG
76520	78960	Tem um resuminho dessas regras lá no nosso Instagram
78960	80780	Por sinal, não deixe de nos seguir
80780	82840	Arroba Marcelo Guaxinim, arroba RPGuaxa
82840	85180	Tanto no Twitter, quanto no Instagram
85180	86340	Também considerem ser nosso padrinho
86560	88880	Para gravar vozes para NPCs
88880	90920	Gravar essa introdução que você ouviu
90920	92560	Opinar sobre a aventura
92560	94020	Jogar com outros padrinhos
94020	95880	Participar de grupos, etc
95880	97700	Boa aventura
116560	118700	Aí vocês estão na caverna
118700	119800	Rola os dados
119800	122920	Bola de fogo
122920	126260	Chama o clérigo
126260	128740	Como assim eu morri?
129820	130560	Rola a iniciativa
131340	132040	Então
132040	134100	Não tem armadilha
134100	135020	Podemos ir
135020	136880	O que vocês fazem?
138280	140660	Tá, tá, eu amarro uma corda
140660	142280	Nelas e uso como arma
142280	143540	Eu ataco
143540	145540	O mago lança seu Thunderbolt
146560	147840	15 noob holder
147840	150180	E eu quero rolar a percepção, posso?
151180	152620	Tem algum lugar pra se esconder?
153240	155540	Ah, falha a crítica
155540	157020	Ataque de habilidade
157020	158120	Ei, arrumando
158120	159460	Chama o clérigo
159460	162540	RPG
162540	165820	Realidades Paralelas do Guaxinim
165820	167360	Sua aventura de bolso
167360	168760	Na forma de podcast
168760	171700	Uma jornada completa a cada episódio
176560	202820	A Universidade Loyola em Nova Orleans tenta voltar à normalidade após alguns eventos ocorridos há dois anos atrás.
202820	205500	Entre esses eventos destacam-se surtos de violência,
205740	206320	homicídios,
206520	206540	desigualdade,
206540	210360	desaparecimentos, ataques de animais e talvez coisas ainda piores.
210760	213880	Coisas que todos na universidade tentam esquecer, menos os caloros,
214120	216820	e um estranho professor de francês chamado Valentin.
217060	221860	Os personagens jogadores entraram na universidade recentemente, ou seja, após esses eventos.
222220	225960	Então pra eles tudo é boato, rumor ou apenas uma boa história para ouvir à noite,
226240	229060	preferencialmente em volta de uma fogueira, bebendo álcool barato.
229060	234020	Os jogadores, embora façam cursos distintos, possuem créditos na mesma matéria, francês.
234020	236820	Por gostar do idioma, por ser mais fácil conseguir a nota,
237040	241440	ou talvez porque o professor, que é recém-contratado, gosta de compartilhar histórias estranhas.
241840	244160	Essa matéria acabou unindo cinco amigos inseparáveis,
244500	247060	que hoje tem aula de francês e um aniversário para comemorar.
247740	248460	São eles.
248880	250200	Shelly, fala sobre o teu personagem.
250580	255200	O personagem hoje é o Rupert, ele tem 20 anos, cresceu na Inglaterra
255200	260500	e ele se destacou no time de rugby da escola e ganhou uma bolsa para terminar os estudos nos Estados Unidos.
261000	262720	Então ele veio direto para Loyola.
262720	268760	Ele é ruivo, tem olhos azuis, um monte de sardinha no rosto, no corpo e é relativamente forte.
269180	270540	Afinal, o atributo é 4.
270900	272040	Perfeito. Andressa?
272460	274220	Hoje eu vou jogar com a Ramona.
274520	282440	Ela tem 20 anos, magrinha, cabelos compridos, cheio de dread, good vibes, vegana, pratica yoga,
282820	287940	curte umas ervas diferentes por aí, gosta de pregar esse estilo de vida na paz,
287940	292340	um estilo de vida deboísta e gosta muito do curso que está fazendo, que é de medicina,
