start	end	text
0	17520	Nunca se viu ministra melhor do que Martha. Com ela no comando, o Índice de Desenvolvimento
17520	21740	Humano da Inglaterra se tornou muito próximo a um. O país é hoje o melhor lugar para
21740	27740	se morar nesse início do século XXII. Mesmo assim, ao considerar a possibilidade de um
27740	33100	governo global, ela se tornou um alvo de ataques nas redes sociais. Se não bastasse isso,
33460	39320	um dos príncipes da família real se perdeu no Himalaia. E é por isso que três de seus
39320	45460	principais agentes vão até lá para descobrir o que aconteceu e para resgatá-lo, antes
45460	50200	que a imprensa tenha um motivo real para atacar a primeira-ministra.
50700	57180	Episódio de hoje, o sal do Himalaia, com Jujuba V, lá do Portal do Aviante, do SciCast e do
57180	57720	Missang.
57740	65440	Como a hacker Judy, do Contador de Histórias, temos o Danilo, interpretando o agente Oliver,
66160	70580	um agente que está quase para se aposentar. Também representando o Portal do Aviante,
70760	77860	temos Debbie, interpretando Debbie Pru, como uma agente secreta sedutora.
78220	83240	O Realidades Paralelas do Gostinim usa um sistema de regras chamado Lasers e Sentimentos,
83240	86660	na verdade, uma adaptação em cima desses sistemas.
86660	93100	Cada jogador possui um único atributo, que vai de 2 a 5, um número que o define.
93620	98960	Quanto menor esse número, mais inteligente e carismático é esse personagem.
99480	104780	Quanto maior o número, mais forte e preparado fisicamente ele é.
105180	108740	Sempre que o jogador vai tentar uma ação física, ele precisa tirar o seu número,
108900	112540	num dado de seis lados, ou menos, para ser bem sucedido.
112740	116160	Se esse jogador tentou alguma coisa que não é uma ação física,
116660	118880	ele tem que tirar seu número ou mais.
119240	122880	Ou seja, o seu número, o seu atributo, é sempre um acerto.
123400	129760	Qualquer jogada de ataque, seja de curta ou a longa distância, também usa o valor de ação física.
130100	132720	Se tiverem maiores dúvidas, nos perguntem nas redes sociais.
132960	134460	E não esqueça de nos seguir,
134940	138320	arroba marcelogostinim e arroba rpguaxa.
138660	139160	Boa aventura!
146660	156160	A CIDADE NO BRASILEIRO
159860	161460	Aí, vocês estão na taverna.
161860	162660	Rola os dados.
163460	165160	BOLA DE FOGO!
165860	166360	Chamo...
167760	168960	Chamo o clérigo.
170360	171360	Como assim eu morri?
172560	173760	Rola a iniciativa.
174260	174860	Então...
175460	176560	Não tem armadilhas.
176660	177660	Podemos ir.
178360	179560	O que vocês fazem?
180560	181600	Tá, tá.
181820	184940	Eu amarro uma corda nelas e uso como arma.
185320	185660	Eu ataco.
186600	190440	O mago lança seu Thunderbolt mais 15 no Beholder.
190600	192840	Eu quero rolar a percepção, posso?
193580	195240	Tem algum lugar pra se esconder?
195900	198120	Ah, falha a crítica.
198700	199520	Ataque de impunidade!
199860	200760	Erro, mano!
200880	202080	Chamo o clérigo!
204820	205460	RPG.
205460	205620	RPG.
205620	208620	Realidades Paralelas do Guaxinim.
208620	211620	Sua aventura de bolso na forma de podcast.
211620	214620	Uma jornada completa a cada episódio.
220620	225020	A aventura se passa numa Inglaterra similar à nossa, mas com pessoas completamente diferentes
225020	229620	para evitar processos e para deixar a liberdade artística fluir.
229620	232920	Nessa Inglaterra, a primeira ministra se chama Martha.
232920	235420	Existe uma família real com pessoas completamente diferentes da família real.
235420	236420	Real, né?
236420	239420	Vocês três são agentes das Forças Especiais Britânicas.
239420	242420	Vocês são chamados para missões especiais.
242420	245420	Já passaram por muitas aventuras, muitas missões.
245420	252420	Seja juntos, em dois ou mesmo em três, como missões com outras equipes e até missões solo.
252420	255420	O personagem da Debbie, como é que é o nome dele?
255420	258420	Meu personagem vai se chamar Debbie Proulx.
258420	262420	Qual o atributo dela, a especialidade e a aparência?
262420	263420	O atributo é três.
263420	264420	Ela é especialista.
264420	267420	Ela é especialista em objetos cortantes.
267420	270420	Então, ela tem facas de todos os tamanhos.
270420	273420	Ela tem aquelas estrelinhas de jogar à distância.
