start	end	text
0	5500	Não deixe o samba morrer
5500	10740	Não deixe o samba acabar
10740	16620	O morro foi feito de samba
16620	23580	De samba pra gente sambar
23580	53560	De samba pra gente sambar
53580	83560	De samba pra gente sambar
83580	113560	De samba pra gente sambar
113580	120680	Se ele precisar correr, socar ou empurrar um carro alegórico, seu atributo ou mais.
120960	131400	Se ele precisar dançar, tocar um instrumento ou mesmo convencer um jurado a dar uma nota maior, sem usar violência, ele precisa tirar seu atributo ou mais.
131780	138180	Ações difíceis rolam um dado apenas, ações normais rolam dois dados e tu precisa tirar teu atributo em pelo menos um deles.
138180	143560	E ações muito fáceis, ou quando alguém tá te ajudando, você rola três dados, precisando apenas de um único acerto.
143580	143880	E ações muito fáceis, ou quando alguém tá te ajudando, você rola três dados, precisando apenas de um único acerto.
144160	148560	Qualquer dúvida, me procure nas redes sociais, arroba marcelo guaxinim, arroba rp guaxa.
148780	155520	Também considere apoiar este projeto financeiramente para pagar o editor e fazer com que saiam cada vez mais episódios por mês.
156080	159660	E antes de desejar uma boa aventura, o Realidade Paralela do Guaxinim é um podcast de one shot.
159760	162320	Cada aventura pode ser ouvida e ela vai ter um início, um meio e um fim.
162600	165260	Esse episódio possui um início, um meio e um fim.
165260	173360	Mas esse episódio é bem melhor aproveitado por aqueles que já conhecem esse mundo de episódios sem ligação entre si.
173580	174140	Boa aventura.
179260	184560	Quando as minhas pernas não puderem aguentar
184560	189760	Levar meu corpo junto com meu samba
189760	192780	O meu anel de bamba
192780	196240	Entrego a quem mereça usar
196240	198260	Eu vou ficar...
198260	204480	Aí vocês estão na caverna
204480	205520	Rola os dados
205520	208320	Bola de fogo
208320	211980	Chama o clérigo
211980	214420	Como assim eu morri?
215520	216780	Rola a iniciativa
216780	219780	Então, não tem armadilha
219780	220720	Podemos ir
220720	222580	O que vocês fazem?
222580	224640	Tá, tá
224640	226780	Eu amarro uma corda nelas
226780	228000	E uso como arma
228000	229260	Eu ataco
229260	231760	O mago lança seu Thunderbolt
231760	233520	Mais 15 no Beholder
233520	235920	Eu quero rolar a percepção, posso?
236900	238320	Tem algum lugar pra se esconder?
238960	240580	Ah, falha a crítica
241240	242700	Ataque de impunidade
242700	243840	É erro, mano
243840	245180	Chama o clérigo
245180	248540	RPG
248540	251460	Realidades paralelas do Guaxinim
251460	253060	Sua aventura de bolso
253060	254460	Na forma de podcast
254460	257420	Uma jornada completa a cada episódio
257420	257980	Rolando
257980	273840	Que é muito parecido com o Rio de Janeiro
273840	275840	Embora tenha algumas diferenças
275840	278420	Na verdade vocês estão lá pela década de 60
278420	279840	Vocês trabalham
279840	281740	Pro diretor de uma escola de samba
281740	284100	Chamado Guaxinim de Andrade
284100	286040	Vocês fazem trabalhos
286040	287100	Pra própria escola
287100	287200	Mas vocês trabalham para a própria escola
287200	287280	Mas vocês trabalham para a própria escola
287280	289820	Mas vocês também são um pau para toda obra
289820	290860	Quando precisam ir em algum lugar
290860	293520	Buscar alguma coisa, falar com alguém, conversar com alguém
293520	295360	São vocês que são mandados ali
295360	298480	Porque vocês são de confiança do diretor da escola de samba
298480	300620	É sexta-feira de carnaval
300620	302420	A escola de vocês está com tudo pronto
302420	304320	Vocês vão desfilar amanhã
304320	305640	Ou seja, no sábado
305640	306880	Então está tudo pronto
306880	309800	Na escola, o pessoal está dando os últimos retoques no barracão
309800	312080	Vocês foram chamados
312080	313320	Para trabalhar essa noite
313320	316400	Então a aventura vai começar com vocês chegando até o barracão
316400	317560	Mas antes disso
317560	320220	Eu vou querer o nome, o atributo, a aparência
320220	321520	A idade de cada um de vocês
321520	323060	Começando pela Sinara
323060	327060	Eu sou a Cristina, tenho uns 35 anos
327060	328160	Ela é figurinista
328160	329860	Então ela se veste bem alegre
329860	331600	Com bastante cor, bastante brilho
331600	333400	Ela usa aqueles óculos grandes
333400	336160	E tem cabelos longos
336160	337640	Meio ondulados
337640	339080	E usa roupas alegres
339080	340240	E o meu atributo é 3
340240	342360	Perfeito, a Agatha Raffaella
342360	345480	O nome da minha personagem é Priscila de Oliveira Melossi
345480	346360	O atributo dela é
346400	349200	Ela tem uns 30 anos de idade
349200	351520	Ela é loira com cabelo encaracolado
351520	353180	Que chega a fazer uns canudos bem grandes
353180	355640	Quando ela foi chamada para o trabalho
355640	358020	Ela estava no meio de testar a roupa
358020	359300	Que ela ia usar amanhã no carnaval
359300	361560	Então ela apareceu com um vestido vermelho
361560	364200	E uma coroa de flores na cabeça
364200	365440	Estilo Carmen Miranda
365440	367740	E por último, o nosso querido amigo Jefferson
367740	370460	Bom, dessa vez eu vou ser o seu Jorge
370460	372700	E eu sou um rapaz
372700	373800	Um homem negro
373800	376200	De mais ou menos uns 45 anos
376400	377680	Com 46 anos
377680	379300	Aparenta ter um pouquinho menos
379300	380880	Muito malemolente
380880	382460	Muito descolado
382460	385260	E eu estou sempre ali na parte
385260	388100	Ajudando a manutenção dos equipamentos
388100	389380	E tudo o que eles precisam
389380	392500	Estou há muito tempo fazendo parte da Irmandade do Samba
392500	401100	Perfeito
401100	403240	Nessa noite pediram para o seu Jorge
403240	404780	Pegar o carro do grupo ali
404780	405900	Para buscar as meninas
406400	407800	Foi, pegou as duas em casa
407800	409380	Vocês estão voltando para o barracão
409380	411720	Seu Jorge vai estacionar o carro atrás do barracão
411720	413080	Todos rolam dois dados
413080	413880	Eu vou chamando
413880	415660	Vocês me dizem o resultado
415660	417920	É para anotar uma coisa que está acontecendo ali
417920	420500	Cristina, quanto é que tu tirou?
