start	end	text
0	9320	Até onde vai o seu amor pelo seu ídolo?
9720	11800	Que regras você quebraria para conhecê-lo?
12240	17700	Recentemente tivemos notícias de um fã que invadiu o espaço de um famoso e isso acabou na delegacia.
18120	21060	E agora você deve estar pensando, nossa, o Guaxa datou o episódio.
21440	22580	Mas é aí que você se engana.
23020	27100	Gente fazendo bobagem por conta de uma admiração é atemporal.
27100	33600	Hoje, algumas adolescentes vão encontrar não só seus ídolos, mas um ídolo dos ouvintes.
34240	36960	Episódio de hoje, o som da escuridão.
37640	39840	Com a Juleiva, madrinha do RPGuaxa.
40040	42420	Com a Deba, madrinha do RPGuaxa.
42520	45200	E com a Karol, lá do contador de histórias.
45400	47000	Conheçam o contador de histórias, gente.
47700	51100	O Realidades Paralelas do Guaxinim usa o sistema Guaxinim's Gambiarras.
51820	55220	Nele, cada jogador possui um único atributo que vai de 2 a 5.
55220	58960	Quanto maior o atributo, mais atlético e forte fisicamente é o personagem.
59320	61500	Quanto menor, mais inteligente e carismático.
61960	64320	Sempre que o jogador faz alguma coisa com uma chance de errar,
64580	67360	ele joga dois dados e precisa tirar seu atributo ou menos
67360	71520	para ataques e ações físicas e seu atributo ou mais para ações intelectuais ou sociais.
71980	75240	Se a jogada for fácil e tiver algum auxílio, joga-se um dado a mais.
75640	77640	Se for difícil, rola-se um dado a menos.
78080	80320	Eu sou o Mikio e sou padrinho do RPGuaxa,
80460	84160	porque além das histórias incríveis que você encontra sendo contadas no feed desse podcast,
84160	89720	a taverna é uma comunidade incrível, super receptiva e talvez a mais atóxica da internet hoje.
90260	92380	Seja você também um padrinho e venha fazer parte dela.
92740	93780	Não deixe de seguir nas redes sociais,
93860	96820	o meu nome é Marcelo Guaxinim e é arroba RPGuaxa tanto no Twitter quanto no Instagram.
97300	100620	Considere também nos apoiar no PicPay ou no Padrim e boa aventura.
114160	121700	Sete realidades paralelas, uma infinidade de possibilidades, três jogadores e um guaxinim.
122440	126940	Escolha seu carro, pise no acelerador e cuidado com a corredora de rosa,
127340	130100	porque será dada a largada para a nossa aventura.
133420	134380	Cinco.
136380	137340	Quatro.
139340	140260	Três.
142260	142860	Dois.
144160	145160	Três.
147300	150420	RPG, Realidades Paralelas do Guaxinim.
150780	153200	Sua aventura de bolso na forma de podcast.
153600	156100	Uma jornada completa a cada episódio.
171300	173080	O Boulevard Boys
173080	174100	O Boulevard Boys é um grupo musical,
174160	177500	formado por Noah, Kylo, Barry e Harry.
177840	181620	Eles estão em todas as paradas de sucesso das plataformas digitais
181620	186700	e são provavelmente o único grupo que ainda vende CDs e Blu-rays em larga escala.
